Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,3.07,3.13,3.05,3.11,65152,0
2014-02-10,17:00:00,3.1,3.12,3.09,3.11,106041,0
2014-02-10,18:00:00,3.1149,3.13,3.0983,3.12,71205,0
2014-02-10,19:00:00,3.11,3.12,3.09,3.1,53216,0
2014-02-10,20:00:00,3.1,3.1,3.09,3.093,40046,0
2014-02-10,21:00:00,3.1,3.11,3.08,3.09,80366,0
2014-02-10,22:00:00,3.09,3.11,3.08,3.1,179457,0
2014-02-11,16:00:00,3.11,3.16,3.1099,3.14,59565,0
2014-02-11,17:00:00,3.15,3.15,3.11,3.115,78509,0
2014-02-11,18:00:00,3.11,3.17,3.1,3.17,57322,0
2014-02-11,19:00:00,3.17,3.2,3.16,3.19,59126,0
2014-02-11,20:00:00,3.2,3.2,3.17,3.17,44492,0
2014-02-11,21:00:00,3.18,3.2,3.18,3.195,35023,0
2014-02-11,22:00:00,3.19,3.2,3.14,3.17,237921,0
2014-02-12,16:00:00,3.17,3.18,3.11,3.18,54080,0
2014-02-12,17:00:00,3.17,3.18,3.16,3.16,65909,0
2014-02-12,18:00:00,3.16,3.17,3.15,3.155,51586,0
2014-02-12,19:00:00,3.15,3.16,3.15,3.16,17513,0
2014-02-12,20:00:00,3.15,3.16,3.15,3.155,23000,0
2014-02-12,21:00:00,3.155,3.16,3.15,3.15,31626,0
2014-02-12,22:00:00,3.16,3.16,3.13,3.16,110242,0
2014-02-13,16:00:00,3.14,3.19,3.11,3.17,19861,0
2014-02-13,17:00:00,3.18,3.19,3.15,3.18,24349,0
2014-02-13,18:00:00,3.18,3.18,3.16,3.165,20091,0
2014-02-13,19:00:00,3.16,3.17,3.15,3.15,28886,0
2014-02-13,20:00:00,3.16,3.16,3.13,3.155,38890,0
2014-02-13,21:00:00,3.155,3.17,3.15,3.1601,29655,0
2014-02-13,22:00:00,3.1601,3.18,3.16,3.17,231847,0
2014-02-14,16:00:00,3.18,3.2,3.17,3.192,37908,0
2014-02-14,17:00:00,3.1999,3.24,3.165,3.2,54782,0
2014-02-14,18:00:00,3.195,3.2,3.16,3.165,24743,0
2014-02-14,19:00:00,3.17,3.19,3.16,3.19,11645,0
2014-02-14,20:00:00,3.19,3.2,3.18,3.2,18333,0
2014-02-14,21:00:00,3.2,3.2,3.16,3.17,41484,0
2014-02-14,22:00:00,3.17,3.18,3.16,3.17,46870,0
2014-02-18,16:00:00,3.186,3.2,3.104,3.18,65473,0
2014-02-18,17:00:00,3.17,3.2,3.15,3.1696,68521,0
2014-02-18,18:00:00,3.16,3.2,3.16,3.18,51826,0
2014-02-18,19:00:00,3.18,3.19,3.17,3.19,39776,0
2014-02-18,20:00:00,3.19,3.19,3.18,3.185,41407,0
2014-02-18,21:00:00,3.185,3.2,3.18,3.195,66514,0
2014-02-18,22:00:00,3.2,3.2,3.16,3.19,225794,0
2014-02-19,16:00:00,3.18,3.21,3.15,3.17,44355,0
2014-02-19,17:00:00,3.17,3.17,3.11,3.13,177346,0
2014-02-19,18:00:00,3.13,3.15,3.12,3.145,27621,0
2014-02-19,19:00:00,3.14,3.21,3.135,3.195,175383,0
2014-02-19,20:00:00,3.19,3.24,3.19,3.238,158224,0
2014-02-19,21:00:00,3.24,3.24,3.21,3.24,112082,0
2014-02-19,22:00:00,3.23,3.24,3.21,3.23,231779,0
2014-02-20,16:00:00,3.2499,3.25,3.16,3.18,23727,0
2014-02-20,17:00:00,3.17,3.25,3.17,3.2382,74234,0
2014-02-20,18:00:00,3.23,3.25,3.2,3.23,226476,0
2014-02-20,19:00:00,3.22,3.25,3.22,3.25,29064,0
