Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-21,17:00:00,8.32,8.47,7.31,7.55,488320,0
2014-03-21,18:00:00,7.5,7.5,7.2,7.2002,94047,0
2014-03-21,19:00:00,7.2,7.37,7.2,7.29,29700,0
2014-03-21,20:00:00,7.2501,7.49,7.23,7.31,43945,0
2014-03-21,21:00:00,7.36,7.44,7.25,7.4,21891,0
2014-03-24,15:00:00,7.4,7.4999,7.3,7.32,10451,0
2014-03-24,16:00:00,7.32,7.32,6.81,6.96,43737,0
2014-03-24,17:00:00,6.95,6.95,6.75,6.81,13772,0
2014-03-24,18:00:00,6.89,7.02,6.89,7.02,8299,0
2014-03-24,19:00:00,7.02,7.199,6.87,6.87,11700,0
2014-03-24,20:00:00,6.9901,7,6.95,6.975,5100,0
2014-03-24,21:00:00,6.96,7.28,6.75,7.2,17981,0
2014-03-26,15:00:00,7.15,7.15,6.9,7,22999,0
2014-03-26,16:00:00,7.1,7.1,7,7.05,1000,0
2014-03-26,17:00:00,7.0501,7.25,7.05,7.0501,970,0
2014-03-26,18:00:00,7.214,7.25,7.05,7.25,17124,0
2014-03-26,19:00:00,7.25,7.25,6.9899,6.99,6423,0
2014-03-26,20:00:00,6.9,6.9499,6.9,6.9499,2870,0
2014-03-26,21:00:00,6.95,6.9501,6.8,6.9501,5932,0
2014-03-27,15:00:00,7.24,7.24,6.773,6.7999,19469,0
2014-03-27,16:00:00,6.8,6.8983,6.77,6.8601,5571,0
2014-03-27,17:00:00,6.91,6.91,6.8,6.8,4800,0
2014-03-27,18:00:00,6.82,6.9,6.8,6.9,8750,0
2014-03-27,19:00:00,6.9,6.9,6.78,6.78,5865,0
2014-03-27,20:00:00,6.79,6.85,6.76,6.79,2500,0
2014-03-27,21:00:00,6.86,6.87,6.75,6.75,25925,0
2014-03-28,15:00:00,7.0199,7.0199,6.9,6.928,2540,0
2014-03-28,16:00:00,6.965,7,6.965,7,7300,0
2014-03-28,17:00:00,7.05,7.05,6.75,6.949,22560,0
2014-03-28,18:00:00,6.83,6.9399,6.83,6.83,4200,0
2014-03-28,19:00:00,6.86,6.86,6.7,6.7,1400,0
2014-03-28,20:00:00,6.7,6.8,6.651,6.8,8100,0
2014-03-28,21:00:00,6.92,7.0199,6.85,6.92,34780,0
2014-03-31,16:00:00,6.99,6.99,6.99,6.99,300,0
2014-03-31,17:00:00,7.04,7.05,6.955,6.955,3100,0
2014-03-31,18:00:00,6.86,6.86,6.8,6.8001,8900,0
2014-03-31,19:00:00,6.8,6.86,6.8,6.8001,5094,0
2014-03-31,21:00:00,6.8101,6.92,6.81,6.92,1100,0
2014-03-31,22:00:00,6.85,6.85,6.81,6.84,3300,0
2014-04-01,16:00:00,6.85,6.85,6.75,6.85,20600,0
2014-04-01,17:00:00,6.85,6.85,6.7,6.72,19308,0
2014-04-01,18:00:00,6.72,6.7499,6.64,6.74,10008,0
2014-04-01,19:00:00,6.74,6.74,6.68,6.74,10000,0
2014-04-01,20:00:00,6.74,6.74,6.61,6.61,2286,0
2014-04-01,21:00:00,6.62,6.645,6.51,6.645,15830,0
2014-04-01,22:00:00,6.68,6.75,6.62,6.75,13600,0
2014-04-02,16:00:00,6.75,6.96,6.75,6.96,10297,0
2014-04-02,17:00:00,6.95,6.95,6.896,6.93,5952,0
2014-04-02,18:00:00,6.95,6.99,6.95,6.98,10750,0
2014-04-02,19:00:00,6.99,6.99,6.98,6.98,2588,0
2014-04-02,20:00:00,7,7,6.96,6.99,1681,0
2014-04-02,21:00:00,6.96,6.96,6.91,6.91,200,0
