Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,1.78,1.79,1.75,1.78,100426,0
2014-02-10,17:00:00,1.77,1.78,1.74,1.74,148447,0
2014-02-10,18:00:00,1.75,1.77,1.74,1.765,82721,0
2014-02-10,19:00:00,1.76,1.79,1.76,1.775,81423,0
2014-02-10,20:00:00,1.77,1.78,1.77,1.77,38038,0
2014-02-10,21:00:00,1.77,1.775,1.76,1.76,57122,0
2014-02-10,22:00:00,1.76,1.77,1.76,1.77,295696,0
2014-02-11,16:00:00,1.76,1.785,1.76,1.77,74953,0
2014-02-11,17:00:00,1.77,1.8,1.77,1.79,121973,0
2014-02-11,18:00:00,1.785,1.82,1.78,1.8,82311,0
2014-02-11,19:00:00,1.81,1.81,1.8,1.81,14200,0
2014-02-11,20:00:00,1.81,1.86,1.8,1.84,212405,0
2014-02-11,21:00:00,1.84,1.85,1.82,1.84,164089,0
2014-02-11,22:00:00,1.8429,1.85,1.81,1.81,422974,0
2014-02-12,16:00:00,1.7901,1.86,1.79,1.82,54723,0
2014-02-12,17:00:00,1.83,1.85,1.82,1.845,72324,0
2014-02-12,18:00:00,1.849,1.85,1.82,1.82,94496,0
2014-02-12,19:00:00,1.8283,1.83,1.82,1.83,66446,0
2014-02-12,20:00:00,1.825,1.84,1.82,1.835,46226,0
2014-02-12,21:00:00,1.84,1.84,1.825,1.825,49884,0
2014-02-12,22:00:00,1.83,1.83,1.76,1.77,203476,0
2014-02-13,16:00:00,1.76,1.79,1.75,1.77,210894,0
2014-02-13,17:00:00,1.76,1.78,1.75,1.78,141715,0
2014-02-13,18:00:00,1.78,1.79,1.775,1.79,62334,0
2014-02-13,19:00:00,1.79,1.795,1.78,1.79,49050,0
2014-02-13,20:00:00,1.795,1.82,1.79,1.82,76628,0
2014-02-13,21:00:00,1.8199,1.82,1.8,1.81,51859,0
2014-02-13,22:00:00,1.805,1.85,1.8,1.84,718171,0
2014-02-14,16:00:00,1.86,1.87,1.82,1.84,164622,0
2014-02-14,17:00:00,1.84,1.91,1.83,1.885,490994,0
2014-02-14,18:00:00,1.885,1.91,1.86,1.875,370899,0
