Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-14,15:00:00,9.95,10.2,9.38,9.9,420678,0
2014-03-14,16:00:00,9.85,10.21,9.8,10.1,213096,0
2014-03-14,17:00:00,10.15,10.29,9.95,10.05,163207,0
2014-03-14,18:00:00,10.06,10.37,10.06,10.1,62709,0
2014-03-14,19:00:00,10.1,10.2399,10.01,10.195,52057,0
2014-03-14,20:00:00,10.21,10.38,10.05,10.1,43000,0
2014-03-14,21:00:00,10.1,10.2,10.09,10.2,103839,0
2014-03-17,15:00:00,10.49,10.64,10.45,10.5,17520,0
2014-03-17,16:00:00,10.499,10.5,10.28,10.28,18200,0
2014-03-17,17:00:00,10.3,10.45,10.1,10.1,35205,0
2014-03-17,18:00:00,10.125,10.29,9.51,10,51175,0
2014-03-17,19:00:00,9.76,10.17,9.7,10,27706,0
2014-03-17,20:00:00,10.04,10.05,9.91,9.91,39528,0
2014-03-17,21:00:00,9.92,10.29,9.91,10.1,58082,0
2014-03-18,15:00:00,9.84,10.1899,9.84,10.1899,750,0
2014-03-18,16:00:00,10.0999,10.0999,9.75,9.83,21900,0
2014-03-18,17:00:00,9.81,9.99,9.57,9.95,20041,0
2014-03-18,18:00:00,9.92,9.99,9.9,9.95,11500,0
2014-03-18,19:00:00,9.95,10.05,9.9,10,10500,0
2014-03-18,20:00:00,10,10.05,9.99,10,7990,0
2014-03-18,21:00:00,10,10.05,9.9808,10,28800,0
2014-03-19,15:00:00,9.95,9.95,9.95,9.95,200,0
2014-03-19,17:00:00,9.949,9.99,9.94,9.95,5848,0
2014-03-19,18:00:00,9.9,9.9,9.9,9.9,3000,0
2014-03-19,19:00:00,9.85,10,9.85,9.9935,5600,0
2014-03-19,20:00:00,10,10,9.8999,9.8999,7400,0
2014-03-19,21:00:00,9.84,10,9.75,10,10901,0
2014-03-20,15:00:00,10.0699,10.0699,10,10,1150,0
2014-03-20,16:00:00,9.921,10,9.921,10,2500,0
2014-03-20,17:00:00,10.05,10.05,9.96,9.99,9480,0
2014-03-20,18:00:00,9.99,10.1,9.85,10,33155,0
2014-03-20,19:00:00,10.0335,10.05,10,10.045,9500,0
2014-03-20,20:00:00,10.0315,10.0315,10.0315,10.0315,110,0
2014-03-20,21:00:00,10.03,10.06,9.9999,10,4790,0
2014-03-21,15:00:00,10,10,9.96,9.98,4400,0
2014-03-21,16:00:00,9.95,9.9501,9.89,9.91,8760,0
2014-03-21,17:00:00,9.91,9.93,9.9,9.91,2020,0
2014-03-21,18:00:00,9.91,9.9299,9.9,9.9,1600,0
2014-03-21,19:00:00,9.915,9.915,9.8,9.8,2900,0
2014-03-21,20:00:00,9.84,9.9,9.83,9.9,1300,0
2014-03-21,21:00:00,9.9,9.96,9.89,9.96,13112,0
2014-03-24,15:00:00,9.9,10,9.9,9.9615,7579,0
2014-03-24,16:00:00,9.9,9.9,9.9,9.9,1700,0
2014-03-24,17:00:00,9.73,9.75,9.7,9.7,2170,0
2014-03-24,18:00:00,9.7748,9.7748,9.669,9.74,3573,0
2014-03-24,19:00:00,9.6685,9.69,9.54,9.65,7308,0
2014-03-24,20:00:00,9.65,9.65,9.33,9.52,13500,0
2014-03-24,21:00:00,9.3856,9.7,9.3625,9.67,9150,0
2014-03-26,15:00:00,9.19,9.95,7.2,9.4,5275,0
2014-03-26,16:00:00,9,9,8.05,8.6,33700,0
2014-03-26,17:00:00,8.85,9,8.601,8.81,33500,0
2014-03-26,18:00:00,8.99,8.99,8.99,8.99,200,0
2014-03-26,19:00:00,8.83,8.86,8.61,8.81,2400,0
2014-03-26,20:00:00,8.76,8.895,8.76,8.8,5550,0
2014-03-26,21:00:00,8.8,8.99,8.58,8.6,41142,0
2014-03-27,15:00:00,8.59,8.79,8.5,8.6,7613,0
2014-03-27,16:00:00,8.695,8.75,8.095,8.5175,39300,0
2014-03-27,17:00:00,8.31,8.4725,8.18,8.26,3400,0
2014-03-27,18:00:00,8.31,8.495,8.3,8.3,1200,0
2014-03-27,19:00:00,8.27,8.68,8.26,8.64,22520,0
2014-03-27,20:00:00,8.641,8.65,8.6,8.64,3900,0
2014-03-27,21:00:00,8.63,8.64,8.298,8.298,4350,0
2014-03-28,15:00:00,8.26,9.01,7.78,8.39,7410,0
2014-03-28,16:00:00,8.45,8.64,8.39,8.4,9769,0
2014-03-28,17:00:00,8.43,8.7999,8.403,8.7999,1200,0
2014-03-28,18:00:00,8.625,8.625,8.4,8.41,2700,0
2014-03-28,19:00:00,8.42,8.5,8.41,8.49,5000,0
2014-03-28,20:00:00,8.467,8.49,8.4,8.455,1700,0
2014-03-28,21:00:00,8.5,8.5,8.4,8.4,21856,0
2014-03-31,16:00:00,8.23,8.57,8,8.05,20564,0
2014-03-31,17:00:00,8.046,8.71,8.03,8.38,68828,0
2014-03-31,18:00:00,8.37,8.48,8.25,8.47,39321,0
2014-03-31,19:00:00,8.47,8.47,8.26,8.27,4600,0
2014-03-31,20:00:00,8.27,8.475,8.26,8.405,11100,0
2014-03-31,21:00:00,8.25,8.5,8.125,8.49,5454,0
2014-03-31,22:00:00,8.31,8.5,8.3,8.3,10400,0
2014-04-01,16:00:00,8.51,8.51,8,8.2,16500,0
2014-04-01,17:00:00,8.18,8.55,8.18,8.5,54106,0
2014-04-01,18:00:00,8.26,8.65,8.25,8.43,15200,0
2014-04-01,19:00:00,8.44,8.7,8.42,8.45,9005,0
2014-04-01,20:00:00,8.45,8.85,8.42,8.53,22700,0
2014-04-01,21:00:00,8.58,8.99,8.37,8.69,12000,0
2014-04-01,22:00:00,8.7,8.99,8.26,8.59,73586,0
2014-04-02,16:00:00,8.55,8.6,8.335,8.6,2600,0
2014-04-02,17:00:00,8.55,8.75,8.4,8.64,39391,0
2014-04-02,18:00:00,8.59,8.59,8.39,8.5,11900,0
2014-04-02,19:00:00,8.49,8.669,8.48,8.55,7800,0
2014-04-02,20:00:00,8.67,8.67,8.47,8.5,2300,0
2014-04-02,21:00:00,8.68,9.05,8.51,8.71,4800,0
2014-04-02,22:00:00,8.98,9,8.75,8.75,12382,0
2014-04-03,16:00:00,8.5,8.6,8.435,8.54,8700,0
2014-04-03,17:00:00,8.5,8.53,8.4,8.45,9400,0
2014-04-03,18:00:00,8.45,8.56,8.4,8.43,4800,0
2014-04-03,19:00:00,8.55,8.95,8.4,8.45,13476,0
2014-04-03,20:00:00,8.45,8.45,8.35,8.36,1181,0
2014-04-03,21:00:00,8.33,8.405,8,8.1,18122,0
2014-04-03,22:00:00,8.055,8.68,8,8,29594,0
2014-04-04,16:00:00,7.93,8.5,7.93,8.01,2368,0
2014-04-04,17:00:00,8.01,8.46,7.5,7.6,46836,0
2014-04-04,18:00:00,7.82,7.82,7.21,7.41,24750,0
2014-04-04,19:00:00,7.41,7.6,7,7.18,43100,0
2014-04-04,20:00:00,7.15,7.3799,7.11,7.19,16260,0
2014-04-04,21:00:00,7.17,7.17,7.035,7.08,14800,0
2014-04-04,22:00:00,7.05,7.69,6.5,7.39,78082,0
2014-04-07,16:00:00,7.34,7.34,6.762,7.25,17016,0
2014-04-07,17:00:00,7.375,7.5,6.826,7.11,11738,0
2014-04-07,18:00:00,7.2,7.225,7.19,7.19,5100,0
2014-04-07,19:00:00,7.18,7.25,7.11,7.24,1600,0
2014-04-07,20:00:00,7.24,7.3,7.2,7.24,3400,0
2014-04-07,21:00:00,7.2,7.3,7.11,7.3,4912,0
2014-04-07,22:00:00,7.225,7.29,6.99,7.09,11869,0
2014-04-08,16:00:00,7,7.38,7,7,13845,0
2014-04-08,17:00:00,6.99,7,6.39,6.72,138485,0
2014-04-08,18:00:00,6.66,6.87,6.43,6.43,25240,0
2014-04-08,19:00:00,6.445,6.989,6.36,6.401,32410,0
2014-04-08,20:00:00,6.52,6.55,6.4501,6.4501,6300,0
2014-04-08,21:00:00,6.45,6.64,6.39,6.42,10600,0
2014-04-08,22:00:00,6.45,6.68,6.41,6.68,46577,0
2014-04-09,16:00:00,6.67,6.705,6.45,6.5,32231,0
2014-04-09,17:00:00,6.56,6.64,6.5,6.62,34612,0
2014-04-09,18:00:00,6.64,6.75,6.55,6.62,23500,0
2014-04-09,19:00:00,6.62,6.755,6.6,6.65,21981,0
2014-04-09,20:00:00,6.64,6.65,6.61,6.61,900,0
2014-04-09,21:00:00,6.64,6.65,6.604,6.604,1705,0
2014-04-09,22:00:00,6.64,6.78,6.54,6.6,84139,0
2014-04-10,16:00:00,6.52,6.79,6.5,6.6,24871,0
2014-04-10,17:00:00,6.61,6.86,6.575,6.73,12700,0
2014-04-10,18:00:00,6.73,6.73,6.6025,6.64,13400,0
2014-04-10,19:00:00,6.66,6.67,6.5,6.6101,12050,0
2014-04-10,20:00:00,6.61,6.61,6.61,6.61,500,0
2014-04-10,21:00:00,6.61,6.6102,6.59,6.59,2500,0
2014-04-10,22:00:00,6.59,6.63,6.45,6.5,37918,0
2014-04-11,16:00:00,6.48,6.92,6.43,6.61,16324,0
2014-04-11,17:00:00,6.78,6.88,6.56,6.65,28234,0
2014-04-11,18:00:00,6.65,6.67,6.5,6.542,4926,0
2014-04-11,19:00:00,6.55,6.6179,6.41,6.43,7037,0
2014-04-11,20:00:00,6.465,6.5,6.43,6.48,98500,0
2014-04-11,21:00:00,6.5,6.986,6.5,6.5575,7662,0
2014-04-11,22:00:00,6.6,7.04,6.52,6.63,25389,0
2014-04-14,16:00:00,6.4,7.0896,6.4,6.65,176833,0
2014-04-14,17:00:00,6.64,6.885,6.6,6.69,9234,0
2014-04-14,18:00:00,6.69,6.84,6.63,6.705,9591,0
2014-04-14,19:00:00,6.575,6.78,6.5701,6.73,600,0
2014-04-14,20:00:00,6.5801,6.7,6.5801,6.7,1200,0
2014-04-14,21:00:00,6.635,6.94,6.635,6.71,5000,0
2014-04-14,22:00:00,6.73,6.95,6.7,6.865,10700,0
2014-04-15,16:00:00,6.7,7.06,6.58,6.8,14100,0
2014-04-15,17:00:00,6.92,6.96,6.55,6.735,43621,0
2014-04-15,18:00:00,6.69,6.73,6.25,6.45,21346,0
2014-04-15,19:00:00,6.4,6.48,5.925,5.98,19389,0
2014-04-15,20:00:00,6,6,5.36,5.92,89846,0
2014-04-15,21:00:00,5.86,6.535,5.62,6.3,119195,0
2014-04-15,22:00:00,6.35,6.575,6.202,6.51,18843,0
2014-04-16,16:00:00,6.52,6.89,6.4,6.5,1654,0
2014-04-16,17:00:00,6.3,6.892,6.255,6.6,1500,0
2014-04-16,18:00:00,6.425,6.595,6.155,6.595,2100,0
2014-04-16,19:00:00,6.58,6.595,6.22,6.31,2920,0
2014-04-16,20:00:00,6.32,6.59,6.3,6.54,8480,0
2014-04-16,21:00:00,6.33,6.63,6.22,6.45,9350,0
2014-04-16,22:00:00,6.45,6.73,6.32,6.69,9853,0
2014-04-17,16:00:00,6.62,6.62,6.57,6.57,1900,0
2014-04-17,17:00:00,6.5,6.67,6.33,6.5,4300,0
2014-04-17,18:00:00,6.745,6.745,6.5,6.51,1200,0
2014-04-17,19:00:00,6.5,6.75,6.5,6.65,1400,0
2014-04-17,20:00:00,6.62,6.69,6.5,6.54,6866,0
2014-04-17,21:00:00,6.56,6.65,6.55,6.59,2200,0
2014-04-17,22:00:00,6.65,6.77,6.555,6.6,24255,0
2014-04-21,16:00:00,6.69,7.09,6.5,7.05,5400,0
