Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,15.91,15.95,15.87,15.9,24521,0
2014-02-10,17:00:00,15.87,15.95,15.8,15.85,53823,0
2014-02-10,18:00:00,15.85,15.86,15.72,15.82,52178,0
2014-02-10,19:00:00,15.82,15.86,15.79,15.83,36280,0
2014-02-10,20:00:00,15.83,15.86,15.795,15.86,36211,0
2014-02-10,21:00:00,15.86,15.89,15.84,15.85,44083,0
2014-02-10,22:00:00,15.85,15.9,15.83,15.89,152637,0
2014-02-11,16:00:00,15.86,16.065,15.61,15.87,28090,0
2014-02-11,17:00:00,15.86,15.88,15.65,15.7,132932,0
2014-02-11,18:00:00,15.71,15.73,15.645,15.69,127078,0
2014-02-11,19:00:00,15.68,15.71,15.6675,15.69,43352,0
2014-02-11,20:00:00,15.69,15.76,15.64,15.69,78573,0
2014-02-11,21:00:00,15.69,15.71,15.655,15.675,170336,0
2014-02-11,22:00:00,15.675,15.69,15.59,15.61,375029,0
2014-02-12,16:00:00,15.57,15.82,15.57,15.785,30736,0
2014-02-12,17:00:00,15.8,15.83,15.695,15.72,62972,0
2014-02-12,18:00:00,15.72,15.79,15.7,15.74,38241,0
2014-02-12,19:00:00,15.74,15.79,15.72,15.77,61590,0
2014-02-12,20:00:00,15.78,15.84,15.75,15.78,43547,0
2014-02-12,21:00:00,15.785,15.79,15.69,15.72,60405,0
2014-02-12,22:00:00,15.73,15.74,15.6901,15.73,166408,0
2014-02-13,16:00:00,15.6,15.88,15.6,15.71,12845,0
2014-02-13,17:00:00,15.74,15.82,15.71,15.82,26972,0
2014-02-13,18:00:00,15.82,15.85,15.8,15.85,24277,0
2014-02-13,19:00:00,15.83,15.84,15.8,15.8216,25740,0
2014-02-13,20:00:00,15.83,15.89,15.83,15.89,29226,0
2014-02-13,21:00:00,15.89,15.93,15.89,15.92,44037,0
2014-02-13,22:00:00,15.92,15.95,15.86,15.87,226190,0
2014-02-14,16:00:00,15.9,15.97,15.77,15.82,14848,0
2014-02-14,17:00:00,15.85,15.91,15.79,15.82,64557,0
2014-02-14,18:00:00,15.82,15.93,15.81,15.905,59507,0
2014-02-14,19:00:00,15.91,15.92,15.84,15.85,29260,0
2014-02-14,20:00:00,15.85,15.87,15.825,15.855,31084,0
2014-02-14,21:00:00,15.86,15.87,15.85,15.85,25638,0
2014-02-14,22:00:00,15.86,15.9,15.845,15.86,112517,0
2014-02-18,16:00:00,15.92,16.06,15.85,15.85,11760,0
2014-02-18,17:00:00,15.8228,15.92,15.8,15.909,48740,0
2014-02-18,18:00:00,15.905,15.91,15.87,15.905,74497,0
2014-02-18,19:00:00,15.905,15.92,15.88,15.905,73343,0
2014-02-18,20:00:00,15.905,15.99,15.89,15.905,118951,0
2014-02-18,21:00:00,15.905,15.99,15.89,15.98,101103,0
2014-02-18,22:00:00,15.98,16,15.94,15.98,444990,0
2014-02-19,16:00:00,15.28,16.085,15.28,15.92,63981,0
2014-02-19,17:00:00,15.94,16.17,15.93,16.15,94221,0
2014-02-19,18:00:00,16.16,16.23,16.1,16.155,114051,0
2014-02-19,19:00:00,16.16,16.2,16.08,16.13,99929,0
2014-02-19,20:00:00,16.11,16.18,16.09,16.14,95105,0
2014-02-19,21:00:00,16.14,16.24,16.13,16.24,149488,0
2014-02-19,22:00:00,16.23,16.26,16.185,16.25,419906,0
2014-02-20,16:00:00,16.27,16.448,16.25,16.28,34617,0
2014-02-20,17:00:00,16.28,16.52,16.25,16.49,91508,0
2014-02-20,18:00:00,16.47,16.59,16.45,16.57,70982,0
2014-02-20,19:00:00,16.56,16.68,16.55,16.67,75433,0
2014-02-20,20:00:00,16.66,16.76,16.66,16.74,60320,0
2014-02-20,21:00:00,16.73,16.86,16.7,16.86,102262,0
2014-02-20,22:00:00,16.86,16.87,16.72,16.79,410526,0
2014-02-21,16:00:00,16.91,16.98,16.58,16.58,68242,0
2014-02-21,17:00:00,16.62,16.69,16.51,16.61,89680,0
2014-02-21,18:00:00,16.62,16.63,16.59,16.6,27341,0
2014-02-21,19:00:00,16.61,16.69,16.61,16.67,28224,0
2014-02-21,20:00:00,16.65,16.68,16.625,16.66,31763,0
2014-02-21,21:00:00,16.66,16.6656,16.63,16.655,38047,0
2014-02-21,22:00:00,16.65,16.67,16.56,16.67,195651,0
2014-02-24,16:00:00,16.68,16.76,16.64,16.67,11300,0
2014-02-24,17:00:00,16.66,16.73,16.64,16.6699,43672,0
2014-02-24,18:00:00,16.67,16.83,16.63,16.815,48608,0
2014-02-24,19:00:00,16.82,17.02,16.81,17,95914,0
2014-02-24,20:00:00,17,17.03,16.97,17,53051,0
2014-02-24,21:00:00,17.01,17.06,16.995,17,75291,0
2014-02-24,22:00:00,17,17.04,16.95,16.97,380499,0
2014-02-25,16:00:00,16.97,17,16.9,16.98,24687,0
2014-02-25,17:00:00,16.97,17,16.89,16.9,39789,0
2014-02-25,18:00:00,16.9,16.97,16.85,16.97,57679,0
2014-02-25,19:00:00,16.96,17.03,16.92,17.01,81130,0
2014-02-25,20:00:00,17,17.03,16.91,16.915,76566,0
2014-02-25,21:00:00,16.915,16.94,16.83,16.87,44233,0
2014-02-25,22:00:00,16.86,16.88,16.775,16.82,94909,0
2014-02-26,16:00:00,17.04,17.04,16.8,16.91,13873,0
2014-02-26,17:00:00,16.93,17.03,16.87,17.0099,20191,0
2014-02-26,18:00:00,17,17.08,17,17.07,22473,0
2014-02-26,19:00:00,17.07,17.15,17.01,17.15,20400,0
2014-02-26,20:00:00,17.14,17.17,17.07,17.14,28026,0
2014-02-26,21:00:00,17.14,17.15,17.06,17.07,60330,0
2014-02-26,22:00:00,17.09,17.14,17.055,17.11,140683,0
2014-02-27,16:00:00,17.09,17.22,17.09,17.17,27479,0
2014-02-27,17:00:00,17.17,17.28,17.14,17.28,58090,0
2014-02-27,18:00:00,17.25,17.3,17.24,17.26,36304,0
2014-02-27,19:00:00,17.26,17.3,17.25,17.25,71094,0
2014-02-27,20:00:00,17.25,17.3001,17.25,17.295,26130,0
2014-02-27,21:00:00,17.3,17.33,17.27,17.31,140240,0
2014-02-27,22:00:00,17.31,17.36,17.29,17.36,108165,0
2014-02-28,16:00:00,17.43,17.47,17.33,17.33,8893,0
2014-02-28,17:00:00,17.33,17.47,17.33,17.4,65377,0
2014-02-28,18:00:00,17.41,17.47,17.39,17.4401,24845,0
2014-02-28,19:00:00,17.45,17.53,17.41,17.5101,33518,0
2014-02-28,20:00:00,17.51,17.57,17.51,17.54,46467,0
2014-02-28,21:00:00,17.53,17.54,17.395,17.42,70495,0
2014-02-28,22:00:00,17.41,17.46,17.375,17.41,306251,0
2014-03-03,16:00:00,16.92,17.29,16.82,17.24,20200,0
2014-03-03,17:00:00,17.26,17.28,17.2,17.23,57416,0
2014-03-03,18:00:00,17.23,17.23,17.07,17.07,23265,0
2014-03-03,19:00:00,17.07,17.21,17.03,17.21,16304,0
2014-03-03,20:00:00,17.21,17.29,17.21,17.23,23723,0
2014-03-03,21:00:00,17.23,17.29,17.21,17.24,24910,0
2014-03-03,22:00:00,17.245,17.25,17.13,17.14,113496,0
2014-03-04,16:00:00,17.39,17.7,17.385,17.66,40104,0
2014-03-04,17:00:00,17.66,17.82,17.57,17.79,79333,0
2014-03-04,18:00:00,17.78,17.82,17.67,17.75,63694,0
2014-03-04,19:00:00,17.76,17.89,17.76,17.85,53005,0
2014-03-04,20:00:00,17.84,17.86,17.75,17.77,49668,0
2014-03-04,21:00:00,17.76,17.79,17.705,17.76,45576,0
2014-03-04,22:00:00,17.76,17.83,17.73,17.75,357550,0
2014-03-05,16:00:00,17.66,17.66,17.47,17.62,20768,0
2014-03-05,17:00:00,17.64,17.7,17.57,17.62,40795,0
2014-03-05,18:00:00,17.61,17.63,17.53,17.57,23842,0
2014-03-05,19:00:00,17.57,17.585,17.52,17.57,28438,0
2014-03-05,20:00:00,17.57,17.58,17.465,17.47,27497,0
2014-03-05,21:00:00,17.47,17.49,17.46,17.48,28159,0
2014-03-05,22:00:00,17.48,17.59,17.46,17.58,175647,0
2014-03-06,16:00:00,17.55,17.63,17.39,17.52,47957,0
2014-03-06,17:00:00,17.55,17.55,17.41,17.412,28312,0
2014-03-06,18:00:00,17.42,17.52,17.415,17.5,19517,0
2014-03-06,19:00:00,17.51,17.53,17.48,17.53,19882,0
2014-03-06,20:00:00,17.52,17.55,17.41,17.41,58523,0
2014-03-06,21:00:00,17.4,17.55,17.4,17.53,40220,0
