Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,0.06,0.07,0.06,0.06,36810,0
2014-02-10,18:00:00,0.06,0.06,0.06,0.06,2040,0
2014-02-10,19:00:00,0.06,0.06,0.06,0.06,20000,0
2014-02-10,20:00:00,0.06,0.06,0.06,0.06,49000,0
2014-02-10,21:00:00,0.06,0.06,0.06,0.06,33077,0
2014-02-11,16:00:00,0.06,0.06,0.06,0.06,1120,0
2014-02-11,17:00:00,0.06,0.07,0.06,0.07,9345,0
2014-02-11,18:00:00,0.07,0.07,0.07,0.07,700,0
2014-02-11,19:00:00,0.06,0.06,0.06,0.06,301,0
2014-02-12,16:00:00,0.06,0.07,0.06,0.07,22249,0
2014-02-12,17:00:00,0.07,0.07,0.07,0.07,5495,0
2014-02-12,18:00:00,0.06,0.06,0.06,0.06,13,0
2014-02-12,19:00:00,0.06,0.06,0.06,0.06,1565,0
2014-02-12,20:00:00,0.06,0.06,0.05,0.05,276010,0
2014-02-12,21:00:00,0.05,0.05,0.05,0.05,30000,0
2014-02-12,22:00:00,0.05,0.05,0.03,0.03,333905,0
2014-02-13,20:00:00,0.05,0.05,0.04,0.05,11740,0
2014-02-13,21:00:00,0.05,0.05,0.05,0.05,5400,0
2014-02-13,22:00:00,0.05,0.05,0.05,0.05,1010,0
2014-02-14,16:00:00,0.04,0.04,0.04,0.04,1500,0
2014-02-14,17:00:00,0.04,0.04,0.04,0.04,5000,0
2014-02-14,18:00:00,0.03,0.03,0.03,0.03,8900,0
2014-02-14,19:00:00,0.03,0.03,0.03,0.03,20000,0
2014-02-14,20:00:00,0.04,0.04,0.02,0.02,23500,0
2014-02-14,21:00:00,0.0202,0.0202,0.0202,0.0202,35000,0
2014-02-14,22:00:00,0.0202,0.035,0.02,0.035,36000,0
2014-02-18,16:00:00,0.025,0.025,0.025,0.025,25000,0
2014-02-18,17:00:00,0.025,0.025,0.025,0.025,71600,0
2014-02-18,19:00:00,0.02,0.03,0.02,0.03,39200,0
2014-02-18,20:00:00,0.025,0.025,0.025,0.025,3505,0
2014-02-18,21:00:00,0.025,0.025,0.02,0.02,25000,0
2014-02-19,17:00:00,0.0295,0.0295,0.0295,0.0295,7500,0
2014-02-19,19:00:00,0.0334,0.0334,0.0334,0.0334,6000,0
2014-02-20,17:00:00,0.025,0.0298,0.0195,0.0298,44171,0
2014-02-20,18:00:00,0.029,0.029,0.02,0.02,174750,0
2014-02-20,19:00:00,0.0187,0.019,0.0187,0.019,63000,0
2014-02-20,20:00:00,0.0191,0.0191,0.0191,0.0191,7800,0
2014-02-20,21:00:00,0.025,0.025,0.025,0.025,21200,0
2014-02-20,22:00:00,0.025,0.025,0.0191,0.0191,26764,0
2014-02-21,16:00:00,0.015,0.015,0.015,0.015,30000,0
2014-02-21,17:00:00,0.0151,0.02,0.0151,0.02,97021,0
2014-02-21,18:00:00,0.0225,0.0225,0.02,0.02,308227,0
2014-02-21,19:00:00,0.02,0.02,0.02,0.02,31160,0
2014-02-21,21:00:00,0.0229,0.0229,0.0229,0.0229,19000,0
2014-02-21,22:00:00,0.02,0.0229,0.02,0.0229,5401,0
2014-02-24,16:00:00,0.02,0.02,0.02,0.02,47337,0
2014-02-24,17:00:00,0.02,0.02,0.02,0.02,178600,0
2014-02-24,18:00:00,0.02,0.0265,0.02,0.0259,20234,0
2014-02-24,19:00:00,0.0165,0.0165,0.0165,0.0165,3900,0
2014-02-24,22:00:00,0.0265,0.0265,0.0265,0.0265,3000,0
2014-02-25,16:00:00,0.0265,0.0265,0.0265,0.0265,10000,0
2014-02-25,20:00:00,0.0201,0.0201,0.0201,0.0201,9650,0
2014-02-25,21:00:00,0.0201,0.0201,0.0201,0.0201,2166,0
2014-02-26,16:00:00,0.0202,0.0202,0.0202,0.0202,650,0
2014-02-26,17:00:00,0.0203,0.0203,0.0203,0.0203,70000,0
2014-02-26,18:00:00,0.0202,0.0202,0.0173,0.0198,149305,0
2014-02-26,19:00:00,0.0184,0.0184,0.0183,0.0183,52000,0
2014-02-26,20:00:00,0.017,0.017,0.016,0.0168,99188,0
2014-02-26,22:00:00,0.0167,0.0167,0.016,0.0167,61772,0
2014-02-27,17:00:00,0.0172,0.0172,0.017,0.017,60000,0
2014-02-27,18:00:00,0.017,0.017,0.017,0.017,39800,0
2014-02-27,19:00:00,0.017,0.017,0.015,0.015,35098,0
2014-02-27,20:00:00,0.016,0.017,0.016,0.016,36000,0
2014-02-27,21:00:00,0.016,0.016,0.016,0.016,5000,0
2014-02-27,22:00:00,0.016,0.016,0.016,0.016,13000,0
2014-02-28,16:00:00,0.015,0.016,0.015,0.016,3100,0
2014-02-28,17:00:00,0.015,0.015,0.015,0.015,10000,0
2014-02-28,18:00:00,0.015,0.015,0.014,0.014,57755,0
2014-02-28,19:00:00,0.014,0.014,0.014,0.014,477600,0
2014-02-28,20:00:00,0.013,0.0139,0.013,0.0139,121457,0
2014-02-28,21:00:00,0.0139,0.014,0.013,0.014,54205,0
2014-02-28,22:00:00,0.014,0.014,0.0134,0.0134,215000,0
2014-03-03,17:00:00,0.013,0.013,0.013,0.013,9301,0
2014-03-03,18:00:00,0.013,0.013,0.013,0.013,5214,0
2014-03-03,19:00:00,0.013,0.013,0.0123,0.0123,140000,0
2014-03-03,21:00:00,0.0122,0.0122,0.0122,0.0122,70000,0
2014-03-03,22:00:00,0.013,0.013,0.013,0.013,10000,0
2014-03-04,16:00:00,0.012,0.012,0.012,0.012,124050,0
2014-03-04,17:00:00,0.012,0.012,0.012,0.012,30000,0
2014-03-04,18:00:00,0.012,0.012,0.012,0.012,136756,0
2014-03-04,19:00:00,0.013,0.013,0.012,0.012,30000,0
2014-03-04,20:00:00,0.013,0.013,0.013,0.013,200000,0
2014-03-04,22:00:00,0.013,0.013,0.0121,0.0121,220000,0
2014-03-05,16:00:00,0.012,0.013,0.012,0.013,211000,0
2014-03-05,17:00:00,0.012,0.013,0.012,0.013,150000,0
2014-03-05,21:00:00,0.014,0.014,0.0126,0.0126,240000,0
2014-03-05,22:00:00,0.0126,0.013,0.0126,0.013,15500,0
2014-03-06,16:00:00,0.013,0.013,0.013,0.013,10000,0
2014-03-06,17:00:00,0.013,0.013,0.0112,0.013,400790,0
2014-03-06,20:00:00,0.013,0.013,0.013,0.013,109170,0
2014-03-06,22:00:00,0.013,0.0131,0.013,0.0131,51657,0
2014-03-07,16:00:00,0.0131,0.0131,0.0131,0.0131,27400,0
2014-03-07,18:00:00,0.017,0.017,0.0131,0.017,11181,0
2014-03-07,20:00:00,0.017,0.017,0.017,0.017,753,0
2014-03-07,21:00:00,0.017,0.017,0.017,0.017,4000,0
2014-03-07,22:00:00,0.017,0.017,0.017,0.017,10000,0
2014-03-10,15:00:00,0.013,0.013,0.013,0.013,129749,0
2014-03-10,16:00:00,0.013,0.013,0.013,0.013,41788,0
2014-03-10,17:00:00,0.0111,0.0112,0.01,0.01,325291,0
2014-03-10,18:00:00,0.0095,0.01,0.0095,0.01,109130,0
2014-03-10,19:00:00,0.01,0.01,0.01,0.01,57513,0
2014-03-10,20:00:00,0.0095,0.0095,0.0095,0.0095,12000,0
2014-03-10,21:00:00,0.0084,0.0084,0.0076,0.0076,300549,0
2014-03-11,16:00:00,0.01,0.01,0.01,0.01,228477,0
2014-03-11,17:00:00,0.0105,0.0108,0.0105,0.0105,43837,0
2014-03-11,18:00:00,0.0105,0.011,0.01,0.011,136526,0
2014-03-11,19:00:00,0.0114,0.0114,0.011,0.011,270000,0
2014-03-11,21:00:00,0.011,0.0199,0.011,0.0199,414085,0
2014-03-12,15:00:00,0.02,0.02,0.0198,0.0198,110800,0
2014-03-12,16:00:00,0.013,0.0194,0.013,0.0194,189200,0
2014-03-12,17:00:00,0.0193,0.0193,0.0133,0.0133,7860,0
2014-03-12,18:00:00,0.019,0.019,0.019,0.019,22000,0
