Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,23.31,23.31,23.07,23.07,3845,0
2014-02-10,17:00:00,22.99,23.07,22.64,22.83,14164,0
2014-02-10,18:00:00,22.86,22.98,22.71,22.92,29732,0
2014-02-10,19:00:00,22.92,23.06,22.91,22.995,17156,0
2014-02-10,20:00:00,23.02,23.02,22.92,22.93,8204,0
2014-02-10,21:00:00,22.88,23.42,22.88,23.23,17936,0
2014-02-10,22:00:00,23.2,23.39,22.98,23.32,49536,0
2014-02-11,16:00:00,23.1,23.33,23.09,23.09,1380,0
2014-02-11,17:00:00,23.33,23.4,23.23,23.23,8014,0
2014-02-11,18:00:00,23.26,23.58,23.26,23.58,4583,0
2014-02-11,19:00:00,23.66,23.66,23.51,23.59,6046,0
2014-02-11,20:00:00,23.65,23.72,23.63,23.72,900,0
2014-02-11,21:00:00,23.8,23.8,23.6,23.68,8157,0
2014-02-11,22:00:00,23.67,23.87,23.52,23.71,39386,0
2014-02-12,16:00:00,23.66,23.915,23.59,23.88,5016,0
2014-02-12,17:00:00,23.91,23.95,23.52,23.52,4199,0
2014-02-12,18:00:00,23.55,23.55,23.2951,23.39,9800,0
2014-02-12,19:00:00,23.36,23.41,23.32,23.35,3050,0
2014-02-12,20:00:00,23.365,23.7,23.2901,23.57,33470,0
2014-02-12,21:00:00,23.55,23.57,23.3101,23.3101,9394,0
2014-02-12,22:00:00,23.31,23.51,23.29,23.47,17414,0
2014-02-13,16:00:00,23.31,23.37,23.0901,23.37,3304,0
2014-02-13,17:00:00,23.31,23.38,23.1301,23.16,10200,0
2014-02-13,18:00:00,23.18,23.21,22.9901,23.21,7700,0
2014-02-13,19:00:00,23.151,23.23,23.0636,23.2,4000,0
2014-02-13,20:00:00,23.15,23.15,23.05,23.105,24700,0
2014-02-13,21:00:00,23.105,23.17,23.08,23.12,26196,0
2014-02-13,22:00:00,23.17,23.36,23.0801,23.27,35820,0
2014-02-14,16:00:00,23.27,23.27,23.07,23.19,12065,0
2014-02-14,17:00:00,23.2,23.348,22.9042,23.19,5180,0
2014-02-14,18:00:00,23.17,23.44,23.08,23.44,3010,0
2014-02-14,19:00:00,23.36,23.42,23.27,23.31,1500,0
2014-02-14,20:00:00,23.38,23.42,23.35,23.35,1300,0
2014-02-14,21:00:00,23.35,23.39,23.28,23.28,2100,0
2014-02-14,22:00:00,23.28,23.39,23.22,23.3,10464,0
2014-02-18,16:00:00,23.56,24,23.3301,23.4401,10699,0
2014-02-18,17:00:00,23.46,23.46,23.28,23.43,3400,0
2014-02-18,18:00:00,23.43,23.69,23.359,23.63,5406,0
2014-02-18,19:00:00,23.5301,23.68,23.4782,23.52,4700,0
2014-02-18,20:00:00,23.43,23.52,23.42,23.44,10668,0
2014-02-18,21:00:00,23.42,23.44,23.3758,23.3758,2800,0
2014-02-18,22:00:00,23.43,23.44,23.35,23.44,65771,0
2014-02-19,16:00:00,23.4,23.49,23.32,23.47,4900,0
2014-02-19,17:00:00,23.412,23.523,23.412,23.52,20572,0
2014-02-19,18:00:00,23.32,23.38,23.14,23.14,3712,0
2014-02-19,19:00:00,23.02,23.02,22.83,22.95,9661,0
2014-02-19,20:00:00,22.89,23.12,22.89,22.96,5000,0
2014-02-19,21:00:00,22.91,22.91,22.78,22.78,5200,0
2014-02-19,22:00:00,22.66,22.72,22.53,22.57,28586,0
2014-02-20,16:00:00,22.84,22.87,22.66,22.66,4655,0
2014-02-20,17:00:00,22.6,23.08,22.6,23.07,6235,0
2014-02-20,18:00:00,23.04,23.06,22.9,22.93,4300,0
2014-02-20,19:00:00,22.9,23.08,22.9,23.02,31700,0
2014-02-20,20:00:00,23.01,23.09,23,23.035,38000,0
2014-02-20,21:00:00,22.99,23.14,22.97,23.14,3772,0
2014-02-20,22:00:00,23.2,23.31,23.05,23.12,29179,0
2014-02-21,16:00:00,23.22,23.48,23.22,23.48,33032,0
2014-02-21,17:00:00,23.28,23.39,23.11,23.39,4761,0
2014-02-21,18:00:00,23.44,23.62,23.44,23.62,2800,0
2014-02-21,19:00:00,23.61,23.618,23.34,23.52,5600,0
2014-02-21,20:00:00,23.516,23.54,23.346,23.446,5600,0
2014-02-21,21:00:00,23.44,23.488,23.3001,23.47,9340,0
2014-02-21,22:00:00,23.48,23.51,23.25,23.34,18130,0
2014-02-24,16:00:00,23.29,23.3,23.29,23.3,1300,0
2014-02-24,17:00:00,23.44,23.46,23.44,23.46,1300,0
2014-02-24,18:00:00,23.44,23.79,23.44,23.76,4007,0
2014-02-24,19:00:00,23.79,23.88,23.78,23.87,1800,0
2014-02-24,20:00:00,23.86,23.87,23.765,23.765,2300,0
2014-02-24,21:00:00,23.83,23.98,23.74,23.74,9600,0
2014-02-24,22:00:00,23.76,23.85,23.62,23.63,25968,0
2014-02-25,18:00:00,23.54,23.658,23.54,23.56,3200,0
2014-02-25,19:00:00,23.5,23.5,23.465,23.465,2200,0
2014-02-25,20:00:00,23.46,23.5,23.44,23.44,2800,0
2014-02-25,21:00:00,23.43,23.43,23.38,23.38,200,0
2014-02-25,22:00:00,23.36,23.47,23.23,23.38,10451,0
2014-02-26,16:00:00,23.47,23.49,23.38,23.38,740,0
2014-02-26,17:00:00,23.39,23.5199,23.39,23.47,5700,0
2014-02-26,18:00:00,23.57,23.65,23.37,23.46,4400,0
2014-02-26,19:00:00,23.45,23.53,23.38,23.44,3300,0
2014-02-26,20:00:00,23.4935,23.57,23.41,23.57,1704,0
2014-02-26,21:00:00,23.53,23.62,23.42,23.46,4309,0
2014-02-26,22:00:00,23.5199,23.61,23.45,23.58,15073,0
2014-02-27,16:00:00,23.55,23.58,23.32,23.32,1833,0
2014-02-27,17:00:00,23.45,23.45,23.4,23.4,600,0
2014-02-27,18:00:00,23.42,23.45,23.42,23.45,300,0
2014-02-27,19:00:00,23.57,23.64,23.47,23.62,6075,0
2014-02-27,20:00:00,23.5,23.67,23.4901,23.6,14831,0
2014-02-27,21:00:00,23.6,23.6,23.48,23.5,4928,0
2014-02-27,22:00:00,23.5,23.68,23.49,23.6,15822,0
2014-02-28,16:00:00,23.62,23.8,23.62,23.7,1600,0
2014-02-28,17:00:00,23.8,23.98,23.79,23.98,3900,0
2014-02-28,18:00:00,23.96,23.96,23.93,23.93,500,0
2014-02-28,19:00:00,23.92,23.98,23.87,23.98,3782,0
2014-02-28,20:00:00,23.98,24.16,23.95,24.11,2562,0
2014-02-28,21:00:00,24.01,24.02,23.95,23.98,1700,0
2014-02-28,22:00:00,23.97,23.97,23.67,23.73,32953,0
2014-03-03,16:00:00,23.37,23.4,23.24,23.24,1817,0
