Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,58.9123,59.2113,58.1248,58.5733,8980,0
2014-02-10,17:00:00,58.693,58.693,58.3042,58.4238,10857,0
2014-02-10,18:00:00,58.4836,58.6232,58.4737,58.5534,10999,0
2014-02-10,19:00:00,58.5335,58.7926,58.5335,58.5933,6992,0
2014-02-10,20:00:00,58.6132,58.9422,58.6132,58.8026,5100,0
2014-02-10,21:00:00,58.8425,59.1216,58.8026,58.8724,6850,0
2014-02-10,22:00:00,58.8126,59.2811,58.7926,59.0817,15980,0
2014-02-11,16:00:00,58.7229,59.7017,58.7229,59.1814,2000,0
2014-02-11,17:00:00,59.2711,59.291,59.1615,59.2063,5740,0
2014-02-11,18:00:00,59.1634,59.5004,59.1634,59.5004,6701,0
2014-02-11,19:00:00,59.7296,59.8194,59.5402,59.8094,3842,0
2014-02-11,20:00:00,59.9978,60.1384,59.92,59.949,1200,0
2014-02-11,21:00:00,60.1683,60.1683,59.7635,59.8692,2400,0
2014-02-11,22:00:00,59.9091,59.9131,59.4705,59.62,28512,0
2014-02-12,16:00:00,59.63,60.75,59.63,60.62,4994,0
2014-02-12,17:00:00,60.75,60.86,60.38,60.61,18156,0
2014-02-12,18:00:00,60.58,60.61,60.26,60.51,12799,0
2014-02-12,19:00:00,60.55,60.59,60.26,60.46,8600,0
2014-02-12,20:00:00,60.54,60.6,60.24,60.28,7555,0
2014-02-12,21:00:00,60.26,60.35,60.06,60.06,7800,0
2014-02-12,22:00:00,60.07,60.17,59.8,59.9,27959,0
2014-02-13,16:00:00,59.42,59.805,59.23,59.39,11344,0
2014-02-13,17:00:00,59.39,59.39,58.67,58.71,18199,0
2014-02-13,18:00:00,59.12,59.4,59,59.295,5900,0
2014-02-13,19:00:00,59.2,59.39,59.05,59.24,4700,0
2014-02-13,20:00:00,59.27,59.5,59.13,59.33,13057,0
2014-02-13,21:00:00,59.2,59.44,59.17,59.22,17631,0
2014-02-13,22:00:00,59.22,59.51,59,59.09,57059,0
2014-02-14,16:00:00,59.65,59.65,58.75,58.84,10251,0
2014-02-14,17:00:00,58.75,59.23,58.73,58.91,3500,0
2014-02-14,18:00:00,58.88,58.99,58.62,58.99,2408,0
2014-02-14,19:00:00,58.96,59.23,58.87,58.94,10919,0
2014-02-14,20:00:00,59.11,59.11,59.11,59.11,500,0
2014-02-14,21:00:00,59.16,59.39,59.03,59.05,10705,0
2014-02-14,22:00:00,59.29,59.4,59.01,59.39,8260,0
2014-02-18,16:00:00,59.5,59.59,58.68,59.3636,3408,0
2014-02-18,17:00:00,59.28,60.23,59.28,60.12,4401,0
2014-02-18,18:00:00,60.15,60.66,60,60.27,13400,0
2014-02-18,19:00:00,60.52,60.56,60.3,60.39,1700,0
2014-02-18,20:00:00,60.54,60.54,60.27,60.27,2035,0
2014-02-18,21:00:00,60.45,60.45,60.25,60.39,6144,0
2014-02-18,22:00:00,60.45,60.69,60.25,60.52,26335,0
2014-02-19,16:00:00,60.24,60.6171,60,60.13,4072,0
2014-02-19,17:00:00,60.15,60.25,60,60.14,5334,0
2014-02-19,18:00:00,60.3599,60.3599,59.91,59.91,8121,0
2014-02-19,19:00:00,59.9,59.99,59.5,59.55,19494,0
2014-02-19,20:00:00,59.56,59.7899,59.2,59.2,12168,0
2014-02-19,21:00:00,59.2,59.32,58.92,59.14,14400,0
2014-02-19,22:00:00,58.84,58.95,58.4,58.55,26649,0
2014-02-20,16:00:00,58.24,59.524,58.24,58.46,3800,0
2014-02-20,17:00:00,58.5,59.43,58.02,59.43,4452,0
2014-02-20,18:00:00,59.45,59.7,58.85,58.98,12696,0
2014-02-20,19:00:00,59.03,59.37,58.94,59.06,6400,0
2014-02-20,20:00:00,59,59.148,58.8,58.95,7000,0
2014-02-20,21:00:00,58.87,59.12,58.67,59.03,11319,0
2014-02-20,22:00:00,59.14,59.2,58.73,58.74,28629,0
2014-02-21,16:00:00,61.21,62.596,59.96,60.73,17964,0
2014-02-21,17:00:00,60.8099,60.8099,59.65,60.02,7566,0
2014-02-21,18:00:00,60.07,60.39,60.07,60.3,13400,0
2014-02-21,19:00:00,60.31,60.39,60.24,60.39,5902,0
2014-02-21,20:00:00,60.36,60.42,60.3,60.41,6100,0
2014-02-21,21:00:00,60.41,60.76,60.12,60.49,12666,0
2014-02-21,22:00:00,60.5,60.82,60.21,60.47,39451,0
2014-02-24,16:00:00,60.66,61.6821,60.66,61.26,10165,0
2014-02-24,17:00:00,61.665,61.72,61.16,61.63,9445,0
2014-02-24,18:00:00,61.65,62,61.18,61.96,9104,0
2014-02-24,19:00:00,61.67,62,61.67,61.74,5100,0
2014-02-24,20:00:00,61.73,61.91,61.22,61.22,6020,0
2014-02-24,21:00:00,61.03,61.59,61.03,61.57,5670,0
2014-02-24,22:00:00,61.2275,61.58,61.03,61.08,50639,0
2014-02-25,16:00:00,60.68,61.03,60.59,60.95,4300,0
2014-02-25,17:00:00,60.5875,60.75,60.15,60.16,28899,0
2014-02-25,18:00:00,60.2925,61.1,60.27,60.56,5300,0
2014-02-25,19:00:00,60.45,60.64,60.45,60.51,3928,0
2014-02-25,20:00:00,60.81,60.81,60.5,60.54,3486,0
2014-02-25,21:00:00,60.5,60.58,60.5,60.525,7299,0
2014-02-25,22:00:00,60.34,60.39,59.9,60.07,35659,0
2014-02-26,16:00:00,60.31,60.8,59.9401,60.3,4020,0
2014-02-26,17:00:00,60.44,61.35,60.44,61.16,5000,0
2014-02-26,18:00:00,60.8765,61.08,60.83,60.96,2990,0
2014-02-26,19:00:00,60.86,61.7333,60.86,61.685,7851,0
2014-02-26,20:00:00,61.62,61.83,61.49,61.6,3828,0
2014-02-26,21:00:00,61.77,61.99,61.21,61.39,8500,0
2014-02-26,22:00:00,61.55,61.98,61.3925,61.9,30817,0
2014-02-27,16:00:00,61.85,61.85,61.046,61.76,5201,0
2014-02-27,17:00:00,61.578,61.81,61.5,61.75,11251,0
2014-02-27,18:00:00,61.67,61.99,61.67,61.7583,6152,0
2014-02-27,19:00:00,61.82,61.82,61.7,61.781,7187,0
2014-02-27,20:00:00,61.751,62,61.75,61.968,14185,0
2014-02-27,21:00:00,61.81,61.96,61.79,61.96,9436,0
2014-02-27,22:00:00,61.874,62.19,61.86,62.16,56988,0
2014-02-28,16:00:00,61.708,62.2,61.708,62,4300,0
2014-02-28,17:00:00,62,62.32,61.71,62.0725,58351,0
2014-02-28,18:00:00,62.04,62.1,62.04,62.05,6400,0
2014-02-28,19:00:00,62.01,62.01,61.85,61.85,9763,0
2014-02-28,20:00:00,61.84,62.05,61.84,61.97,11971,0
2014-02-28,21:00:00,61.77,62,61.77,61.99,21476,0
2014-02-28,22:00:00,61.81,61.81,60.96,61.24,37664,0
2014-03-03,16:00:00,61,61.6,60.794,60.86,5800,0
2014-03-03,17:00:00,60.956,61.16,60.535,60.535,9126,0
2014-03-03,18:00:00,60.51,60.86,60.26,60.41,16723,0
2014-03-03,19:00:00,60.4,60.57,60.32,60.46,7600,0
2014-03-03,20:00:00,60.57,60.578,60.31,60.35,6900,0
