Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,13.4264,13.4264,13.4264,13.4264,700,0
2014-02-11,22:00:00,13.53,13.7,13.4,13.4501,1750,0
2014-02-12,16:00:00,13.41,13.41,13.41,13.41,476,0
2014-02-12,21:00:00,13.53,13.605,13.505,13.55,3400,0
2014-02-13,19:00:00,13.55,13.55,13.55,13.55,820,0
2014-02-18,16:00:00,13.42,13.42,13.25,13.25,2473,0
2014-02-18,17:00:00,13.2865,13.34,13.2865,13.34,696,0
2014-02-18,18:00:00,13.35,13.35,13.35,13.35,400,0
2014-02-18,19:00:00,13.38,13.38,13.38,13.38,200,0
2014-02-18,20:00:00,13.38,13.38,13.368,13.368,300,0
2014-02-18,21:00:00,13.4,13.41,13.4,13.4,944,0
2014-02-18,22:00:00,13.4,13.4,13.4,13.4,200,0
2014-02-20,16:00:00,13.3,13.3,13.3,13.3,2900,0
2014-02-20,17:00:00,13.35,13.36,13.35,13.36,1000,0
2014-02-20,19:00:00,13.45,13.45,13.42,13.42,400,0
2014-02-20,20:00:00,13.5,13.5,13.5,13.5,400,0
2014-02-20,22:00:00,13.6,13.6,13.6,13.6,500,0
2014-02-21,17:00:00,13.65,13.65,13.65,13.65,3303,0
2014-02-24,18:00:00,13.43,13.43,13.4101,13.4101,4400,0
2014-02-24,20:00:00,13.63,13.9,13.6,13.9,1800,0
2014-02-25,19:00:00,13.89,13.89,13.89,13.89,400,0
2014-02-25,22:00:00,13.5975,13.5975,13.57,13.57,1842,0
2014-02-26,22:00:00,13.7,13.7,13.69,13.69,500,0
2014-02-27,16:00:00,13.739,13.74,13.739,13.74,510,0
2014-03-03,22:00:00,13.37,13.67,13.37,13.67,500,0
2014-03-04,22:00:00,13.66,13.66,13.66,13.66,100,0
2014-03-05,22:00:00,13.51,13.51,13.51,13.51,500,0
2014-03-06,20:00:00,13.52,13.75,13.5101,13.75,2300,0
2014-03-06,22:00:00,13.666,13.666,13.666,13.666,250,0
