Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,12.3131,12.44,12.3,12.38,8110,0
2014-02-10,17:00:00,12.43,12.43,12.245,12.27,54043,0
2014-02-10,18:00:00,12.27,12.35,12.24,12.33,15952,0
2014-02-10,19:00:00,12.33,12.4,12.285,12.35,44237,0
2014-02-10,20:00:00,12.333,12.41,12.31,12.37,30774,0
2014-02-10,21:00:00,12.38,12.42,12.31,12.31,26909,0
2014-02-10,22:00:00,12.32,12.37,12.315,12.37,107108,0
2014-02-11,16:00:00,12.48,12.48,12.37,12.41,19700,0
2014-02-11,17:00:00,12.39,12.47,12.27,12.27,33399,0
2014-02-11,18:00:00,12.3,12.4,12.28,12.39,51717,0
2014-02-11,19:00:00,12.38,12.42,12.38,12.39,21263,0
2014-02-11,20:00:00,12.39,12.43,12.38,12.41,25401,0
2014-02-11,21:00:00,12.4101,12.44,12.37,12.38,40305,0
2014-02-11,22:00:00,12.375,12.42,12.35,12.4,119809,0
2014-02-12,16:00:00,12.43,12.48,12.33,12.34,36131,0
2014-02-12,17:00:00,12.34,12.34,12.2,12.26,78360,0
2014-02-12,18:00:00,12.26,12.28,12.18,12.2,66008,0
2014-02-12,19:00:00,12.19,12.21,12.15,12.15,42376,0
2014-02-12,20:00:00,12.15,12.16,12.05,12.12,63250,0
2014-02-12,21:00:00,12.11,12.23,12.08,12.21,83790,0
2014-02-12,22:00:00,12.23,12.27,12.175,12.2,476795,0
2014-02-13,16:00:00,12.05,12.27,12.04,12.18,43365,0
2014-02-13,17:00:00,12.13,12.46,12.08,12.44,56091,0
2014-02-13,18:00:00,12.45,12.6,12.4,12.45,64235,0
2014-02-13,19:00:00,12.44,12.44,12.34,12.395,20000,0
2014-02-13,20:00:00,12.39,12.48,12.39,12.48,29384,0
2014-02-13,21:00:00,12.485,12.5,12.405,12.42,30300,0
2014-02-13,22:00:00,12.42,12.47,12.405,12.445,135831,0
2014-02-14,16:00:00,12.55,12.58,12.37,12.53,13322,0
2014-02-14,17:00:00,12.52,12.61,12.42,12.46,78924,0
2014-02-14,18:00:00,12.44,12.62,12.37,12.62,152116,0
2014-02-14,19:00:00,12.62,12.63,12.38,12.42,24084,0
2014-02-14,20:00:00,12.43,12.43,12.32,12.33,25279,0
2014-02-14,21:00:00,12.32,12.515,12.3,12.5,49105,0
2014-02-14,22:00:00,12.495,12.63,12.495,12.58,242694,0
2014-02-18,16:00:00,12.302,12.54,12.3,12.44,49865,0
2014-02-18,17:00:00,12.44,12.54,12.405,12.495,89638,0
2014-02-18,18:00:00,12.5,12.53,12.33,12.33,119751,0
2014-02-18,19:00:00,12.35,12.445,12.27,12.37,63470,0
2014-02-18,20:00:00,12.37,12.41,12.35,12.4,52617,0
2014-02-18,21:00:00,12.41,12.46,12.37,12.45,44062,0
2014-02-18,22:00:00,12.45,12.48,12.33,12.37,153523,0
2014-02-19,16:00:00,12.47,12.485,12.2,12.2,27252,0
2014-02-19,17:00:00,12.21,12.24,12.05,12.08,106809,0
2014-02-19,18:00:00,12.08,12.13,12.01,12.1,104533,0
2014-02-19,19:00:00,12.12,12.22,12.078,12.09,66885,0
2014-02-19,20:00:00,12.09,12.12,12.04,12.045,30728,0
2014-02-19,21:00:00,12.06,12.14,12,12.01,70876,0
2014-02-19,22:00:00,12.01,12.06,11.98,12,146016,0
2014-02-20,16:00:00,12.02,12.12,11.901,12.11,46337,0
2014-02-20,17:00:00,12.11,12.22,12.0645,12.16,94366,0
2014-02-20,18:00:00,12.17,12.17,12.05,12.12,47580,0
2014-02-20,19:00:00,12.11,12.15,12.08,12.1,36045,0
2014-02-20,20:00:00,12.085,12.13,12.03,12.09,32470,0
2014-02-20,21:00:00,12.1,12.12,12.05,12.09,42387,0
2014-02-20,22:00:00,12.08,12.116,12.06,12.08,85647,0
2014-02-21,16:00:00,12.15,12.15,12.06,12.09,41907,0
2014-02-21,17:00:00,12.08,12.08,11.99,12.02,31589,0
2014-02-21,18:00:00,12.04,12.04,11.98,12.01,34815,0
2014-02-21,19:00:00,12.02,12.07,12.01,12.0199,22640,0
2014-02-21,20:00:00,12.02,12.09,12.015,12.025,27846,0
2014-02-21,21:00:00,12.02,12.06,12,12.05,24782,0
2014-02-21,22:00:00,12.04,12.08,12.01,12.06,109089,0
2014-02-24,16:00:00,12.07,12.17,12.01,12.05,23870,0
2014-02-24,17:00:00,12.05,12.14,12.01,12.12,63527,0
2014-02-24,18:00:00,12.12,12.12,12.01,12.08,91499,0
2014-02-24,19:00:00,12.08,12.11,12.01,12.04,79277,0
2014-02-24,20:00:00,12.05,12.07,12.02,12.04,12200,0
2014-02-24,21:00:00,12.03,12.09,12.03,12.08,50408,0
2014-02-24,22:00:00,12.06,12.07,12,12.02,125517,0
2014-02-25,16:00:00,12.07,12.1,11.989,12.05,60853,0
2014-02-25,17:00:00,12.05,12.1,12.04,12.04,134774,0
2014-02-25,18:00:00,12.04,12.07,12,12.07,43651,0
2014-02-25,19:00:00,12.06,12.1,12.04,12.08,36573,0
2014-02-25,20:00:00,12.07,12.33,12.07,12.28,124105,0
2014-02-25,21:00:00,12.26,12.2601,12.15,12.1599,30329,0
2014-02-25,22:00:00,12.15,12.15,12.045,12.1,101600,0
2014-02-26,16:00:00,12.16,12.16,12.09,12.09,12778,0
2014-02-26,17:00:00,12.08,12.36,12.08,12.32,64425,0
2014-02-26,18:00:00,12.29,12.45,12.25,12.38,53131,0
2014-02-26,19:00:00,12.4,12.555,12.37,12.52,72802,0
2014-02-26,20:00:00,12.535,12.5499,12.39,12.3901,38030,0
2014-02-26,21:00:00,12.4,12.45,12.18,12.18,60443,0
2014-02-26,22:00:00,12.19,12.19,12.05,12.12,108486,0
2014-02-27,16:00:00,12.05,12.18,12.04,12.12,31076,0
2014-02-27,17:00:00,12.08,12.29,12,12.23,114221,0
2014-02-27,18:00:00,12.22,12.33,12.21,12.28,25456,0
2014-02-27,19:00:00,12.27,12.52,12.25,12.47,53732,0
2014-02-27,20:00:00,12.45,12.47,12.39,12.4,30520,0
2014-02-27,21:00:00,12.3901,12.41,12.28,12.33,47661,0
2014-02-27,22:00:00,12.33,12.4,12.31,12.38,106008,0
2014-02-28,16:00:00,12.47,12.51,12.41,12.46,6107,0
2014-02-28,17:00:00,12.46,12.46,12.25,12.3,48371,0
2014-02-28,18:00:00,12.3,12.38,12.25,12.31,24963,0
2014-02-28,19:00:00,12.33,12.37,12.29,12.34,26493,0
2014-02-28,20:00:00,12.37,12.49,12.31,12.4,32412,0
2014-02-28,21:00:00,12.41,12.53,12.3148,12.3148,63033,0
2014-02-28,22:00:00,12.32,12.37,12.26,12.31,108151,0
2014-03-03,16:00:00,12.28,12.28,12.12,12.14,22072,0
2014-03-03,17:00:00,12.13,12.195,11.99,12.19,42342,0
2014-03-03,18:00:00,12.17,12.185,12,12.03,18140,0
2014-03-03,19:00:00,12,12.13,12,12.1,63008,0
2014-03-03,20:00:00,12.09,12.23,12.05,12.22,49229,0
2014-03-03,21:00:00,12.22,12.23,12.06,12.08,30199,0
2014-03-03,22:00:00,12.07,12.11,12.02,12.11,151818,0
2014-03-04,16:00:00,12.21,12.66,12.15,12.62,54998,0
2014-03-04,17:00:00,12.67,12.84,12.64,12.74,79601,0
2014-03-04,18:00:00,12.73,12.75,12.63,12.67,98963,0
2014-03-04,19:00:00,12.67,12.79,12.62,12.75,74480,0
2014-03-04,20:00:00,12.75,12.83,12.72,12.76,75770,0
2014-03-04,21:00:00,12.76,12.78,12.62,12.67,60626,0
2014-03-04,22:00:00,12.68,12.68,12.55,12.59,217312,0
2014-03-05,16:00:00,12.58,12.61,12.52,12.58,23930,0
2014-03-05,17:00:00,12.58,12.7,12.49,12.62,56625,0
2014-03-05,18:00:00,12.63,12.704,12.62,12.7,21416,0
2014-03-05,19:00:00,12.695,12.77,12.68,12.75,29351,0
2014-03-05,20:00:00,12.76,12.82,12.73,12.79,35380,0
2014-03-05,21:00:00,12.79,12.87,12.771,12.84,32359,0
2014-03-05,22:00:00,12.83,12.88,12.81,12.87,137568,0
2014-03-06,16:00:00,12.91,12.98,12.82,12.84,37755,0
2014-03-06,17:00:00,12.835,12.87,12.59,12.66,106824,0
2014-03-06,18:00:00,12.66,12.71,12.63,12.6803,44152,0
2014-03-06,19:00:00,12.68,12.69,12.62,12.67,25202,0
2014-03-06,20:00:00,12.67,12.7,12.62,12.69,39589,0
2014-03-06,21:00:00,12.69,12.71,12.65,12.7,51914,0
2014-03-06,22:00:00,12.7,12.77,12.67,12.77,201794,0
2014-03-07,16:00:00,12.72,12.75,12.43,12.53,27012,0
2014-03-07,17:00:00,12.5,12.64,12.48,12.51,46925,0
2014-03-07,18:00:00,12.4999,12.54,12.46,12.49,32400,0
2014-03-07,19:00:00,12.47,12.5599,12.45,12.54,16009,0
2014-03-07,20:00:00,12.5499,12.58,12.54,12.56,20051,0
2014-03-07,21:00:00,12.56,12.58,12.52,12.55,21851,0
2014-03-07,22:00:00,12.55,12.61,12.53,12.61,77205,0
2014-03-10,15:00:00,12.44,12.53,12.39,12.4001,10120,0
2014-03-10,16:00:00,12.4,12.43,12.2,12.2,58160,0
2014-03-10,17:00:00,12.19,12.36,12.17,12.21,24233,0
2014-03-10,18:00:00,12.23,12.34,12.23,12.31,21550,0
2014-03-10,19:00:00,12.31,12.33,12.28,12.3,22280,0
2014-03-10,20:00:00,12.295,12.31,12.26,12.3,25086,0
2014-03-10,21:00:00,12.3,12.3,12.23,12.28,84348,0
2014-03-11,15:00:00,12.28,12.42,12.17,12.23,35256,0
2014-03-11,16:00:00,12.23,12.55,12.09,12.53,102301,0
2014-03-11,17:00:00,12.53,12.54,12.4,12.4,74325,0
2014-03-11,18:00:00,12.37,12.4,12.3,12.34,20500,0
2014-03-11,19:00:00,12.34,12.39,12.3,12.3,22624,0
2014-03-11,20:00:00,12.3,12.33,12.17,12.25,39137,0
2014-03-11,21:00:00,12.23,12.3,12.2,12.27,170408,0
2014-03-12,15:00:00,12.23,12.27,12.2,12.23,13640,0
2014-03-12,16:00:00,12.215,12.33,12.2075,12.29,38733,0
2014-03-12,17:00:00,12.29,12.36,12.25,12.34,17868,0
2014-03-12,18:00:00,12.325,12.34,12.29,12.32,18315,0
2014-03-12,19:00:00,12.32,12.38,12.27,12.38,20656,0
