Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-26,16:00:00,39.4,40.2,39.4,39.9946,7113,0
2014-03-26,18:00:00,39,39.02,39,39.02,2500,0
2014-03-26,19:00:00,38.8,38.92,38.5,38.5,2116,0
2014-03-26,20:00:00,38.25,38.25,38.03,38.0301,450,0
2014-03-26,21:00:00,38.03,38.03,37.33,37.35,3738,0
2014-03-27,16:00:00,37.69,37.75,37.69,37.75,300,0
2014-03-27,17:00:00,37.54,37.54,37,37,1429,0
2014-03-27,18:00:00,36.5,36.5,36.25,36.42,2000,0
2014-03-27,19:00:00,36.39,36.39,36.38,36.38,200,0
2014-03-27,20:00:00,36.99,37.28,36.98,37.28,1300,0
2014-03-27,21:00:00,37.6175,37.6175,37.24,37.24,200,0
2014-03-28,16:00:00,38.92,38.92,38.59,38.59,700,0
2014-03-28,17:00:00,38.8,38.8,38.8,38.8,200,0
2014-03-28,18:00:00,38.6401,38.6401,38.6401,38.6401,100,0
2014-03-28,19:00:00,38.59,38.59,38.59,38.59,200,0
2014-03-28,21:00:00,37.99,37.99,37.9899,37.9899,400,0
2014-03-31,20:00:00,38.62,38.62,38.62,38.62,1050,0
2014-03-31,22:00:00,39.31,39.35,39.31,39.35,400,0
2014-04-01,18:00:00,39.45,39.45,39.2,39.2,770,0
2014-04-01,19:00:00,39.21,39.21,39.21,39.21,100,0
2014-04-02,19:00:00,41.39,41.39,40.9,40.9,1280,0
2014-04-02,20:00:00,40,40,39.73,39.73,500,0
2014-04-02,21:00:00,39.97,40.37,39.54,39.54,1317,0
2014-04-02,22:00:00,40.47,40.47,40.36,40.36,200,0
2014-04-03,16:00:00,40.32,40.32,40.32,40.32,200,0
2014-04-03,17:00:00,39.82,39.82,39.82,39.82,200,0
2014-04-03,18:00:00,40.38,40.38,40.38,40.38,1000,0
2014-04-03,20:00:00,39.93,40.09,39.52,40.01,12317,0
2014-04-03,21:00:00,40.05,40.44,40.05,40.42,4899,0
2014-04-03,22:00:00,40.3699,40.77,40.3699,40.77,6624,0
2014-04-04,17:00:00,40.8,41,40.76,41,5932,0
2014-04-04,18:00:00,40.87,40.87,40.65,40.65,768,0
2014-04-04,19:00:00,40.6,40.7,40.54,40.54,600,0
2014-04-04,20:00:00,40.6,40.91,40.54,40.89,6840,0
2014-04-04,21:00:00,40.79,41.08,40.69,40.69,3600,0
2014-04-04,22:00:00,40.73,40.83,40.4,40.72,11583,0
