Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,16.629,16.678,16.501,16.604,18261,0
2014-02-10,17:00:00,16.56,16.648,16.55,16.599,54081,0
2014-02-10,18:00:00,16.594,16.658,16.471,16.629,91408,0
2014-02-10,19:00:00,16.619,16.648,16.589,16.617,23345,0
2014-02-10,20:00:00,16.619,16.992,16.609,16.992,124311,0
2014-02-10,21:00:00,16.976,16.976,16.697,16.727,30811,0
2014-02-10,22:00:00,16.659,16.756,16.659,16.697,81872,0
2014-02-11,16:00:00,16.697,16.761,16.55,16.619,40207,0
2014-02-11,17:00:00,16.599,16.638,16.403,16.452,57214,0
2014-02-11,18:00:00,16.452,16.491,16.393,16.452,50782,0
2014-02-11,19:00:00,16.471,16.501,16.442,16.477,36779,0
2014-02-11,20:00:00,16.491,16.539,16.422,16.432,31474,0
2014-02-11,21:00:00,16.432,16.47,16.403,16.442,33178,0
2014-02-11,22:00:00,16.422,16.442,16.285,16.354,136280,0
2014-02-12,16:00:00,16.393,16.687,16.354,16.501,26608,0
2014-02-12,17:00:00,16.491,16.609,16.373,16.51,49303,0
2014-02-12,18:00:00,16.471,16.569,16.413,16.452,30870,0
2014-02-12,19:00:00,16.462,16.481,16.413,16.442,17027,0
2014-02-12,20:00:00,16.422,16.452,16.314,16.314,27253,0
2014-02-12,21:00:00,16.359,16.452,16.334,16.422,71103,0
2014-02-12,22:00:00,16.452,16.55,16.422,16.521,73005,0
2014-02-13,16:00:00,16.558,16.573,16.449,16.568,24322,0
2014-02-13,17:00:00,16.597,16.667,16.508,16.577,50098,0
2014-02-13,18:00:00,16.577,16.746,16.558,16.706,38264,0
2014-02-13,19:00:00,16.677,16.736,16.647,16.708,35881,0
2014-02-13,20:00:00,16.726,16.786,16.637,16.647,29269,0
2014-02-13,21:00:00,16.657,16.657,16.449,16.498,43776,0
2014-02-13,22:00:00,16.494,16.587,16.409,16.577,58237,0
2014-02-14,16:00:00,16.637,16.74,16.449,16.449,20992,0
2014-02-14,17:00:00,16.449,16.528,16.29,16.324,37736,0
2014-02-14,18:00:00,16.32,16.597,16.32,16.568,36484,0
2014-02-14,19:00:00,16.568,16.706,16.518,16.706,31038,0
2014-02-14,20:00:00,16.726,16.776,16.706,16.776,27342,0
2014-02-14,21:00:00,16.775,16.815,16.758,16.805,51221,0
2014-02-14,22:00:00,16.805,16.944,16.786,16.914,166836,0
2014-02-18,16:00:00,17.021,17.021,16.825,16.885,52915,0
2014-02-18,17:00:00,16.943,16.944,16.696,16.756,61793,0
2014-02-18,18:00:00,16.764,16.815,16.568,16.587,61260,0
2014-02-18,19:00:00,16.607,16.679,16.558,16.667,18663,0
2014-02-18,20:00:00,16.67,16.677,16.538,16.558,29324,0
2014-02-18,21:00:00,16.597,16.617,16.54,16.587,13684,0
2014-02-18,22:00:00,16.576,16.706,16.528,16.577,90725,0
2014-02-19,16:00:00,16.518,16.577,16.498,16.498,56082,0
2014-02-19,17:00:00,16.518,16.587,16.473,16.538,65231,0
2014-02-19,18:00:00,16.558,16.558,16.389,16.468,55648,0
2014-02-19,19:00:00,16.449,16.449,16.271,16.305,44016,0
2014-02-19,20:00:00,16.305,16.406,16.305,16.379,9246,0
2014-02-19,21:00:00,16.369,16.399,16.33,16.33,6762,0
2014-02-19,22:00:00,16.34,16.359,16.122,16.26,99699,0
2014-02-20,16:00:00,16.107,16.35,16.107,16.31,39331,0
2014-02-20,17:00:00,16.29,16.3,16.161,16.3,38287,0
2014-02-20,18:00:00,16.241,16.31,16.141,16.201,53299,0
2014-02-20,19:00:00,16.201,16.211,16.151,16.211,15347,0
2014-02-20,20:00:00,16.231,16.25,16.181,16.241,7756,0
2014-02-20,21:00:00,16.231,16.35,16.217,16.342,31891,0
2014-02-20,22:00:00,16.31,16.478,16.27,16.459,60982,0
2014-02-21,16:00:00,16.478,16.637,16.409,16.508,48776,0
2014-02-21,17:00:00,16.523,16.587,16.32,16.35,39736,0
2014-02-21,18:00:00,16.35,16.35,16.28,16.29,95900,0
2014-02-21,19:00:00,16.28,16.369,16.231,16.26,62808,0
2014-02-21,20:00:00,16.27,16.29,16.204,16.204,25635,0
2014-02-21,21:00:00,16.221,16.249,16.168,16.198,23050,0
2014-02-21,22:00:00,16.201,16.221,16.151,16.201,56684,0
2014-02-24,16:00:00,16.379,16.439,16.25,16.379,41975,0
2014-02-24,17:00:00,16.369,16.528,16.31,16.429,92260,0
2014-02-24,18:00:00,16.419,16.478,16.35,16.399,26912,0
2014-02-24,19:00:00,16.359,16.369,16.3,16.3,14357,0
2014-02-24,20:00:00,16.31,16.34,16.31,16.31,7771,0
2014-02-24,21:00:00,16.31,16.409,16.31,16.389,19083,0
2014-02-24,22:00:00,16.369,16.389,16.28,16.28,75367,0
2014-02-25,16:00:00,16.32,16.34,16.211,16.32,39211,0
2014-02-25,17:00:00,16.33,16.508,16.25,16.305,47083,0
2014-02-25,18:00:00,16.3,16.429,16.231,16.369,59466,0
2014-02-25,19:00:00,16.35,16.379,16.31,16.35,22844,0
2014-02-25,20:00:00,16.35,16.35,16.201,16.231,14001,0
2014-02-25,21:00:00,16.211,16.35,16.211,16.35,22856,0
2014-02-25,22:00:00,16.3,16.369,16.26,16.359,28777,0
2014-02-26,16:00:00,16.488,16.804,16.4,16.746,40869,0
2014-02-26,17:00:00,16.746,16.845,16.677,16.795,72478,0
2014-02-26,18:00:00,16.786,16.825,16.726,16.747,45008,0
2014-02-26,19:00:00,16.736,16.835,16.736,16.786,53905,0
2014-02-26,20:00:00,16.786,16.795,16.528,16.627,70538,0
2014-02-26,21:00:00,16.637,16.746,16.637,16.716,19662,0
2014-02-26,22:00:00,16.736,16.805,16.696,16.795,71327,0
2014-02-27,16:00:00,16.924,17.241,16.875,16.995,97302,0
2014-02-27,17:00:00,17.033,17.033,16.647,16.786,68072,0
2014-02-27,18:00:00,16.795,16.805,16.468,16.637,46059,0
2014-02-27,19:00:00,16.677,16.795,16.617,16.686,25228,0
2014-02-27,20:00:00,16.657,16.766,16.617,16.726,7505,0
2014-02-27,21:00:00,16.776,16.954,16.726,16.944,56558,0
2014-02-27,22:00:00,16.904,16.984,16.875,16.924,86530,0
2014-02-28,16:00:00,17.033,17.033,16.696,16.716,38604,0
2014-02-28,17:00:00,16.706,16.766,16.566,16.566,36414,0
2014-02-28,18:00:00,16.558,16.756,16.479,16.716,43488,0
2014-02-28,19:00:00,16.696,16.736,16.627,16.627,15309,0
2014-02-28,20:00:00,16.607,16.686,16.597,16.597,10659,0
2014-02-28,21:00:00,16.568,16.676,16.538,16.635,17539,0
2014-02-28,22:00:00,16.647,16.647,16.35,16.538,112431,0
2014-03-03,16:00:00,16.498,16.498,16.172,16.28,17134,0
2014-03-03,17:00:00,16.31,16.508,16.29,16.498,41124,0
2014-03-03,18:00:00,16.488,16.498,16.26,16.29,13826,0
2014-03-03,19:00:00,16.3,16.468,16.231,16.419,12331,0
2014-03-03,20:00:00,16.459,16.488,16.29,16.409,37325,0
2014-03-03,21:00:00,16.389,16.518,16.379,16.439,25044,0
2014-03-03,22:00:00,16.458,16.548,16.369,16.518,54393,0
2014-03-04,16:00:00,17.013,17.588,16.657,17.192,263033,0
2014-03-04,17:00:00,17.207,17.34,17.004,17.122,114516,0
2014-03-04,18:00:00,17.161,17.162,16.964,17.063,63444,0
2014-03-04,19:00:00,17.053,17.202,16.964,17.152,56514,0
2014-03-04,20:00:00,17.103,17.291,17.103,17.222,54689,0
2014-03-04,21:00:00,17.236,17.276,17.162,17.231,45677,0
2014-03-04,22:00:00,17.231,17.291,17.192,17.222,230856,0
2014-03-05,16:00:00,17.261,17.39,17.222,17.291,42972,0
2014-03-05,17:00:00,17.271,17.316,17.023,17.113,103620,0
2014-03-05,18:00:00,17.162,17.192,17.064,17.182,43271,0
2014-03-05,19:00:00,17.182,17.241,17.122,17.212,26627,0
2014-03-05,20:00:00,17.212,17.231,17.073,17.137,16146,0
2014-03-05,21:00:00,17.132,17.152,16.994,17.023,23918,0
2014-03-05,22:00:00,17.073,17.142,17.033,17.103,50291,0
2014-03-06,16:00:00,17.063,17.103,16.855,16.904,34493,0
2014-03-06,17:00:00,16.885,17.043,16.885,16.914,53238,0
2014-03-06,18:00:00,16.924,16.964,16.885,16.904,28064,0
2014-03-06,19:00:00,16.914,16.914,16.805,16.815,27880,0
2014-03-06,20:00:00,16.805,16.845,16.696,16.696,22505,0
