Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,20:00:00,24.849,24.849,24.848,24.848,653,0
2014-02-11,19:00:00,24.923,24.923,24.923,24.923,494,0
2014-02-12,16:00:00,24.818,24.818,24.818,24.818,227,0
2014-02-12,17:00:00,24.853,24.927,24.853,24.927,1229,0
2014-02-14,20:00:00,24.917,24.917,24.917,24.917,407,0
2014-02-14,21:00:00,24.868,24.868,24.868,24.868,814,0
2014-02-14,22:00:00,24.887,24.887,24.858,24.858,407,0
2014-02-18,21:00:00,24.907,24.907,24.907,24.907,203,0
2014-02-19,21:00:00,24.907,24.907,24.907,24.907,401,0
2014-02-20,16:00:00,24.858,24.858,24.848,24.858,1221,0
2014-02-20,17:00:00,24.858,24.858,24.856,24.858,2238,0
2014-02-21,19:00:00,24.945,24.945,24.945,24.945,203,0
2014-02-24,17:00:00,24.839,24.926,24.839,24.926,319,0
2014-02-24,18:00:00,24.912,24.912,24.881,24.881,1353,0
2014-02-24,21:00:00,24.946,25.015,24.946,25.015,1170,0
2014-02-25,20:00:00,24.877,24.877,24.877,24.877,102,0
2014-02-26,18:00:00,25.015,25.095,25.015,25.095,541,0
2014-02-27,22:00:00,25.094,25.094,25.094,25.094,212,0
2014-02-28,19:00:00,25.045,25.045,25.045,25.045,407,0
2014-03-03,21:00:00,25.094,25.094,25.094,25.094,203,0
2014-03-03,22:00:00,25.133,25.133,25.133,25.133,1221,0
2014-03-04,17:00:00,24.946,24.946,24.946,24.946,509,0
2014-03-04,19:00:00,25.015,25.015,25.015,25.015,142,0
2014-03-04,20:00:00,25.134,25.143,25.13,25.143,763,0
2014-03-05,22:00:00,25.674,25.674,25.674,25.674,468,0
2014-03-06,20:00:00,25.704,25.704,25.703,25.703,916,0
2014-03-06,21:00:00,25.73,25.733,25.703,25.704,1882,0
2014-03-07,20:00:00,25.703,25.703,25.703,25.703,509,0
2014-03-11,18:00:00,25.094,25.094,25.064,25.064,1017,0
2014-03-11,19:00:00,25.338,25.339,25.338,25.339,305,0
2014-03-11,21:00:00,25.074,25.094,25.074,25.074,890,0
2014-03-13,18:00:00,25.026,25.092,25.026,25.092,3052,0
2014-03-13,19:00:00,25.31,25.31,25.31,25.31,531,0
2014-03-13,20:00:00,25.326,25.326,25.326,25.326,118,0
2014-03-14,18:00:00,25.036,25.1,25.035,25.067,1628,0
2014-03-19,19:00:00,25.104,25.104,25.104,25.104,509,0
2014-03-19,20:00:00,25.055,25.055,25.055,25.055,203,0
2014-03-20,21:00:00,25.143,25.143,25.143,25.143,305,0
2014-03-21,17:00:00,25.055,25.055,25.054,25.054,763,0
2014-03-21,19:00:00,25.064,25.064,25.015,25.015,3439,0
2014-03-24,15:00:00,25.028,25.028,25.028,25.028,509,0
2014-03-24,16:00:00,25.025,25.025,25.025,25.025,256,0
2014-03-24,19:00:00,25.237,25.237,25.237,25.237,422,0
2014-03-25,20:00:00,25.261,25.261,25.261,25.261,248,0
2014-03-26,16:00:00,25.113,25.113,25.113,25.113,1145,0
2014-03-26,20:00:00,25.084,25.195,25.084,25.195,407,0
2014-03-26,21:00:00,25.163,25.163,25.163,25.163,102,0
2014-03-27,15:00:00,25.31,25.31,25.31,25.31,200,0
2014-03-27,16:00:00,25.34,25.34,25.07,25.07,1000,0
2014-03-27,17:00:00,25.34,25.6,25.15,25.44,18700,0
2014-03-27,19:00:00,25.23,25.25,25.23,25.25,1600,0
2014-03-27,20:00:00,25.28,25.38,25.2499,25.37,4700,0
2014-03-27,21:00:00,25.37,25.6,25.33,25.33,17800,0
2014-03-28,15:00:00,25.24,25.25,25.24,25.25,1431,0
2014-03-28,16:00:00,25.4,25.4,25.4,25.4,600,0
2014-03-28,17:00:00,25.25,25.36,25.25,25.3,6400,0
2014-03-28,18:00:00,25.3,25.5701,25.3,25.32,17190,0
2014-03-28,20:00:00,25.25,25.25,25.25,25.25,500,0
2014-03-28,21:00:00,25.34,25.34,25.27,25.27,1200,0
2014-03-31,16:00:00,25.3,25.3,25.3,25.3,600,0
2014-03-31,17:00:00,25.3,25.3,25.3,25.3,400,0
2014-03-31,18:00:00,25.32,25.4,25.3,25.4,3900,0
2014-03-31,20:00:00,25.37,25.54,25.35,25.37,16702,0
2014-03-31,21:00:00,25.37,25.37,25.36,25.36,900,0
2014-04-01,16:00:00,25.32,25.32,25.32,25.32,670,0
2014-04-01,20:00:00,25.35,25.35,25.35,25.35,300,0
2014-04-01,22:00:00,25.31,25.35,25.29,25.29,1500,0
2014-04-02,19:00:00,25.2701,25.28,25.25,25.26,3837,0
2014-04-03,18:00:00,25.22,25.22,25.22,25.22,300,0
2014-04-04,19:00:00,25.24,25.278,25.22,25.22,800,0
2014-04-04,21:00:00,25.25,25.25,25.25,25.25,2500,0
2014-04-08,17:00:00,25.21,25.21,25.21,25.21,1000,0
2014-04-08,18:00:00,25.22,25.224,25.21,25.21,700,0
2014-04-08,19:00:00,25.2,25.3599,25.2,25.3599,637,0
2014-04-08,22:00:00,25.2004,25.2004,25.2,25.2,400,0
2014-04-09,16:00:00,25.37,25.37,25.37,25.37,300,0
2014-04-11,18:00:00,25.22,25.22,25.2016,25.2016,600,0
2014-04-11,19:00:00,25.2,25.26,23.5704,24.91,21790,0
2014-04-11,20:00:00,25.01,25.09,24.91,25.09,2400,0
2014-04-11,21:00:00,24.9814,24.9814,24.9814,24.9814,270,0
2014-04-11,22:00:00,24.9933,25.14,24.9933,25.14,585,0
2014-04-14,16:00:00,25.0034,25.0034,25.0034,25.0034,468,0
2014-04-14,19:00:00,25.29,25.33,25.2,25.2499,7820,0
2014-04-14,20:00:00,25.28,25.28,25.28,25.28,100,0
2014-04-14,21:00:00,25.25,25.46,25.25,25.25,8762,0
2014-04-14,22:00:00,25.24,25.4,25.19,25.376,9586,0
2014-04-15,19:00:00,25.39,25.4,25.3899,25.4,1458,0
2014-04-15,20:00:00,25.4,25.4,25.4,25.4,1370,0
2014-04-15,21:00:00,25.54,25.73,25.54,25.7,1600,0
2014-04-15,22:00:00,25.68,25.68,25.68,25.68,700,0
2014-04-16,21:00:00,25.45,26.05,25.45,25.77,11060,0
2014-04-17,17:00:00,25.65,25.75,25.65,25.75,1029,0
2014-04-22,20:00:00,25.7,25.9,25.41,25.7501,2600,0
2014-04-22,21:00:00,25.602,25.602,25.602,25.602,200,0
2014-04-22,22:00:00,25.41,25.8,25.41,25.8,700,0
2014-04-24,17:00:00,25.401,25.401,25.401,25.401,150,0
2014-04-24,19:00:00,25.664,25.664,25.664,25.664,250,0
2014-04-24,21:00:00,25.5,25.62,25.5,25.62,800,0
2014-04-25,19:00:00,25.401,25.401,25.401,25.401,200,0
2014-05-01,21:00:00,25.511,25.62,25.511,25.62,400,0
2014-05-02,18:00:00,25.6999,25.86,25.6999,25.81,7600,0
2014-05-02,19:00:00,25.51,25.51,25.51,25.51,1034,0
2014-05-07,19:00:00,25.51,25.51,25.51,25.51,400,0
