Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-23,16:00:00,9.05,9.11,9.05,9.11,8450,0
2014-04-23,17:00:00,9.1,9.19,9.07,9.16,440471,0
2014-04-23,18:00:00,9.16,9.18,9.14,9.15,1444607,0
2014-04-23,19:00:00,9.17,9.18,9.15,9.17,386351,0
2014-04-23,20:00:00,9.17,9.18,9.15,9.17,193685,0
2014-04-23,21:00:00,9.17,9.22,9.13,9.13,1418027,0
2014-04-23,22:00:00,9.13,9.15,9.015,9.05,438103,0
2014-04-24,16:00:00,9,9.07,9,9,36500,0
2014-04-24,17:00:00,9,9.02,8.99,9,348905,0
2014-04-24,18:00:00,9,9,8.99,8.995,24644,0
2014-04-24,19:00:00,8.995,9,8.9575,8.97,23729,0
2014-04-24,20:00:00,8.95,9.018,8.95,9,337902,0
2014-04-24,21:00:00,8.99,9.01,8.93,8.98,237131,0
2014-04-24,22:00:00,8.98,9.02,8.95,9,284909,0
2014-04-25,16:00:00,8.9,9.14,8.9,9.14,114000,0
2014-04-25,17:00:00,9.11,9.18,9.01,9.01,31787,0
2014-04-25,18:00:00,9,9.22,8.9625,9.09,475474,0
2014-04-25,19:00:00,9.09,9.17,9.08,9.08,341472,0
2014-04-25,20:00:00,9.09,9.11,8.9,8.98,334776,0
2014-04-25,21:00:00,8.97,9.315,8.95,9.15,255054,0
2014-04-25,22:00:00,9.15,9.18,8.95,9.11,457574,0
2014-04-28,16:00:00,9.04,9.23,8.9775,9.23,26650,0
2014-04-28,17:00:00,9.22,9.42,9.01,9.315,385742,0
2014-04-28,18:00:00,9.315,9.35,9.25,9.27,202002,0
2014-04-28,19:00:00,9.27,9.41,9.23,9.41,199032,0
2014-04-28,20:00:00,9.41,9.41,9.25,9.3,149381,0
2014-04-28,21:00:00,9.3,9.33,9.24,9.24,642642,0
2014-04-28,22:00:00,9.24,9.26,9.175,9.21,850461,0
2014-04-29,16:00:00,9.27,9.33,9.25,9.26,141961,0
2014-04-29,17:00:00,9.26,9.32,9.19,9.215,207569,0
2014-04-29,18:00:00,9.21,9.22,9.08,9.11,482335,0
2014-04-29,19:00:00,9.1,9.25,9.1,9.2,202112,0
2014-04-29,20:00:00,9.19,9.21,9.12,9.12,239059,0
2014-04-29,21:00:00,9.12,9.18,9.1,9.14,511281,0
2014-04-29,22:00:00,9.14,9.2,9.1,9.1,215673,0
2014-04-30,16:00:00,9.15,9.31,9.1,9.23,94954,0
2014-04-30,17:00:00,9.23,9.25,9.08,9.23,268091,0
2014-04-30,18:00:00,9.23,9.29,9.17,9.26,954380,0
2014-04-30,19:00:00,9.26,9.26,9.22,9.24,1538202,0
2014-04-30,20:00:00,9.24,9.3,9.22,9.28,403490,0
2014-04-30,21:00:00,9.28,9.37,9.2,9.35,1260591,0
2014-04-30,22:00:00,9.35,9.38,9.19,9.26,21389921,0
