Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,71.47,72.465,71.009,72.218,615419,0
2014-02-10,17:00:00,72.208,72.308,71.759,71.909,492576,0
2014-02-10,18:00:00,71.909,71.949,71.55,71.67,389306,0
2014-02-10,19:00:00,71.66,71.779,71.5,71.65,209269,0
2014-02-10,20:00:00,71.65,71.75,71.491,71.59,195121,0
2014-02-10,21:00:00,71.595,71.909,71.59,71.69,282932,0
2014-02-10,22:00:00,71.695,71.779,71.42,71.48,788651,0
2014-02-11,16:00:00,71.799,72.428,71.72,72.158,477404,0
2014-02-11,17:00:00,72.158,72.278,71.809,71.939,654076,0
2014-02-11,18:00:00,71.919,72.089,71.72,72.037,453129,0
2014-02-11,19:00:00,72.034,72.178,71.929,72.128,441409,0
2014-02-11,20:00:00,72.119,72.597,72.119,72.507,692305,0
2014-02-11,21:00:00,72.507,72.697,72.498,72.6,909140,0
2014-02-11,22:00:00,72.597,72.677,72.049,72.099,1813377,0
2014-02-12,16:00:00,72.278,72.647,71.979,72.378,413690,0
2014-02-12,17:00:00,72.418,72.507,71.989,71.989,547652,0
2014-02-12,18:00:00,71.979,72.338,71.929,72.119,425885,0
2014-02-12,19:00:00,72.119,72.388,72.044,72.188,289657,0
2014-02-12,20:00:00,72.198,72.338,72.138,72.188,612236,0
2014-02-12,21:00:00,72.188,72.238,71.919,71.949,400100,0
2014-02-12,22:00:00,71.949,72.009,71.829,71.889,872568,0
2014-02-13,16:00:00,71.41,73.535,71.261,73.146,946230,0
2014-02-13,17:00:00,73.146,74.801,72.906,74.582,1424754,0
2014-02-13,18:00:00,74.602,74.672,73.984,74.013,787891,0
2014-02-13,19:00:00,74.013,74.183,73.744,74.143,454141,0
2014-02-13,20:00:00,74.148,74.547,74.148,74.412,503888,0
2014-02-13,21:00:00,74.402,74.507,74.273,74.363,557572,0
2014-02-13,22:00:00,74.353,74.378,74.033,74.203,1242165,0
2014-02-14,16:00:00,74.243,74.801,74.163,74.342,567112,0
2014-02-14,17:00:00,74.343,74.552,73.864,74.073,479263,0
2014-02-14,18:00:00,74.063,74.585,73.884,74.313,500020,0
2014-02-14,19:00:00,74.303,74.417,74.113,74.263,365929,0
2014-02-14,20:00:00,74.253,74.532,74.233,74.402,278642,0
2014-02-14,21:00:00,74.406,74.752,74.363,74.582,417339,0
2014-02-14,22:00:00,74.572,74.622,74.303,74.392,652169,0
2014-02-18,16:00:00,74.392,74.781,74.064,74.153,379572,0
2014-02-18,17:00:00,74.153,74.273,73.684,74.193,1121107,0
2014-02-18,18:00:00,74.158,74.811,74.143,74.692,521610,0
2014-02-18,19:00:00,74.662,74.752,74.527,74.722,249734,0
2014-02-18,20:00:00,74.732,74.781,74.492,74.552,223221,0
2014-02-18,21:00:00,74.542,74.622,74.392,74.522,253664,0
2014-02-18,22:00:00,74.522,74.612,74.363,74.392,1285181,0
2014-02-19,16:00:00,74.323,74.472,73.784,74.113,409464,0
2014-02-19,17:00:00,74.103,75.091,73.944,74.682,1037057,0
2014-02-19,18:00:00,74.672,75.24,74.662,75.031,375681,0
2014-02-19,19:00:00,75.011,75.011,74.582,74.652,374822,0
2014-02-19,20:00:00,74.662,75.031,74.632,74.901,371155,0
2014-02-19,21:00:00,74.891,75.131,74.771,74.941,308942,0
2014-02-19,22:00:00,74.911,74.931,74.253,74.333,944882,0
2014-02-20,16:00:00,74.113,74.702,73.834,73.914,444688,0
2014-02-20,17:00:00,73.904,74.153,73.694,74.06,674918,0
2014-02-20,18:00:00,74.073,74.412,74.043,74.412,314231,0
2014-02-20,19:00:00,74.422,74.742,74.338,74.592,251293,0
2014-02-20,20:00:00,74.602,74.682,74.512,74.597,197556,0
2014-02-20,21:00:00,74.597,75.021,74.512,74.921,476942,0
2014-02-20,22:00:00,74.931,75.3,74.911,75.111,913344,0
2014-02-21,16:00:00,75.3,75.4,74.642,74.722,483377,0
2014-02-21,17:00:00,74.742,75.18,74.702,75.13,355051,0
2014-02-21,18:00:00,75.121,75.121,74.802,75.051,453687,0
2014-02-21,19:00:00,75.056,75.121,74.752,74.752,258469,0
2014-02-21,20:00:00,74.762,74.961,74.662,74.846,299004,0
2014-02-21,21:00:00,74.821,74.871,73.964,74.333,620449,0
2014-02-21,22:00:00,74.333,74.702,74.328,74.602,734819,0
2014-02-24,16:00:00,74.786,75.699,74.732,75.325,695546,0
2014-02-24,17:00:00,75.34,75.819,75.32,75.749,732098,0
2014-02-24,18:00:00,75.749,76.058,75.689,76.023,610243,0
2014-02-24,19:00:00,76.028,76.268,75.829,75.829,258743,0
2014-02-24,20:00:00,75.829,75.908,75.779,75.819,203745,0
2014-02-24,21:00:00,75.809,75.998,75.679,75.699,404687,0
2014-02-24,22:00:00,75.699,75.923,75.589,75.609,1516846,0
2014-02-25,16:00:00,75.27,75.549,74.921,75.25,472896,0
2014-02-25,17:00:00,75.23,75.734,75.096,75.549,524836,0
2014-02-25,18:00:00,75.539,76.257,75.43,76.088,411237,0
2014-02-25,19:00:00,76.068,76.198,75.759,75.859,426551,0
2014-02-25,20:00:00,75.879,75.998,75.68,75.829,170968,0
2014-02-25,21:00:00,75.829,75.859,75.599,75.759,307363,0
2014-02-25,22:00:00,75.759,75.764,75.43,75.649,833486,0
2014-02-26,16:00:00,75.704,76.327,75.619,75.819,252028,0
2014-02-26,17:00:00,75.849,76.617,75.789,76.477,767726,0
2014-02-26,18:00:00,76.464,76.766,76.452,76.716,327048,0
2014-02-26,19:00:00,76.716,76.796,76.547,76.766,260496,0
2014-02-26,20:00:00,76.756,76.786,76.397,76.402,264439,0
