Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,10.519,10.539,10.39,10.51,87262,0
2014-02-10,17:00:00,10.51,10.519,10.46,10.49,141474,0
2014-02-10,18:00:00,10.488,10.49,10.43,10.46,178186,0
2014-02-10,19:00:00,10.46,10.49,10.44,10.44,91844,0
2014-02-10,20:00:00,10.44,10.44,10.4,10.42,124321,0
2014-02-10,21:00:00,10.41,10.5,10.41,10.475,224160,0
2014-02-10,22:00:00,10.47,10.549,10.47,10.539,271335,0
2014-02-11,16:00:00,10.559,10.648,10.539,10.589,127311,0
2014-02-11,17:00:00,10.589,10.668,10.574,10.599,179956,0
2014-02-11,18:00:00,10.599,10.688,10.579,10.688,179031,0
2014-02-11,19:00:00,10.688,10.738,10.678,10.738,187825,0
2014-02-11,20:00:00,10.738,10.777,10.738,10.768,109797,0
2014-02-11,21:00:00,10.768,10.768,10.728,10.748,313788,0
2014-02-11,22:00:00,10.748,10.768,10.698,10.708,384380,0
2014-02-12,16:00:00,10.679,10.916,10.679,10.867,90524,0
2014-02-12,17:00:00,10.877,10.946,10.802,10.817,175149,0
2014-02-12,18:00:00,10.812,10.817,10.688,10.718,75093,0
2014-02-12,19:00:00,10.718,10.777,10.708,10.763,109755,0
2014-02-12,20:00:00,10.758,10.787,10.738,10.738,71353,0
2014-02-12,21:00:00,10.738,10.768,10.658,10.658,160176,0
2014-02-12,22:00:00,10.663,10.688,10.639,10.678,283407,0
2014-02-13,16:00:00,10.609,10.678,10.559,10.579,70722,0
2014-02-13,17:00:00,10.589,10.639,10.549,10.569,116921,0
2014-02-13,18:00:00,10.569,10.629,10.569,10.609,48049,0
2014-02-13,19:00:00,10.599,10.629,10.599,10.609,57277,0
2014-02-13,20:00:00,10.61,10.648,10.609,10.648,71449,0
2014-02-13,21:00:00,10.658,10.708,10.639,10.698,92956,0
2014-02-13,22:00:00,10.698,10.718,10.668,10.718,361906,0
2014-02-14,16:00:00,10.718,10.738,10.629,10.738,61003,0
2014-02-14,17:00:00,10.738,10.758,10.668,10.678,98183,0
2014-02-14,18:00:00,10.668,10.748,10.648,10.727,72305,0
2014-02-14,19:00:00,10.718,10.738,10.708,10.738,33611,0
2014-02-14,20:00:00,10.738,10.758,10.718,10.738,32420,0
2014-02-14,21:00:00,10.748,10.758,10.738,10.738,35607,0
2014-02-14,22:00:00,10.738,10.748,10.688,10.698,282053,0
2014-02-18,16:00:00,10.708,10.827,10.698,10.703,35578,0
2014-02-18,17:00:00,10.698,10.738,10.639,10.738,119867,0
2014-02-18,18:00:00,10.738,10.817,10.708,10.775,107515,0
2014-02-18,19:00:00,10.774,10.777,10.728,10.738,199548,0
2014-02-18,20:00:00,10.737,10.758,10.718,10.728,89986,0
2014-02-18,21:00:00,10.738,10.738,10.698,10.708,49672,0
2014-02-18,22:00:00,10.698,10.738,10.688,10.718,371886,0
2014-02-19,16:00:00,10.648,10.718,10.609,10.708,88970,0
2014-02-19,17:00:00,10.718,10.847,10.688,10.797,305369,0
2014-02-19,18:00:00,10.797,10.797,10.708,10.708,139799,0
2014-02-19,19:00:00,10.708,10.738,10.569,10.599,303739,0
2014-02-19,20:00:00,10.608,10.678,10.589,10.619,402009,0
2014-02-19,21:00:00,10.619,10.639,10.569,10.589,229390,0
2014-02-19,22:00:00,10.589,10.589,10.405,10.43,1072907,0
2014-02-20,16:00:00,10.44,10.559,10.341,10.341,95290,0
2014-02-20,17:00:00,10.341,10.46,10.306,10.44,294052,0
2014-02-20,18:00:00,10.45,10.5,10.385,10.42,218579,0
2014-02-20,19:00:00,10.42,10.46,10.41,10.45,95571,0
2014-02-20,20:00:00,10.45,10.465,10.41,10.42,123717,0
2014-02-20,21:00:00,10.42,10.43,10.39,10.4,104227,0
