Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-03,17:00:00,9.86,10.65,9.75,10.4,5322312,0
2014-04-03,18:00:00,10.4,10.8,10.03,10.25,3482489,0
2014-04-03,19:00:00,10.25,10.33,9.84,10.12,1282611,0
2014-04-03,20:00:00,10.13,10.2,10.08,10.16,268587,0
2014-04-03,21:00:00,10.16,10.17,9.55,9.68,895390,0
2014-04-03,22:00:00,9.68,9.69,9.05,9.06,1128844,0
2014-04-04,16:00:00,9.11,9.35,9.11,9.2521,298324,0
2014-04-04,17:00:00,9.25,9.38,9.13,9.2,344358,0
2014-04-04,18:00:00,9.22,9.22,9.02,9.02,252741,0
2014-04-04,19:00:00,9.03,9.0398,8.73,8.77,473370,0
2014-04-04,20:00:00,8.77,9.01,8.77,8.95,100646,0
2014-04-04,21:00:00,8.92,8.98,8.87,8.92,48432,0
2014-04-04,22:00:00,8.97,9.34,8.88,9.3,143733,0
2014-04-07,16:00:00,8.91,8.9501,8.55,8.8499,172745,0
2014-04-07,17:00:00,8.84,8.85,8,8.1,585241,0
2014-04-07,18:00:00,8.09,8.15,7.99,8.005,266465,0
2014-04-07,19:00:00,8.01,8.14,8.01,8.02,131429,0
2014-04-07,20:00:00,8.02,8.02,8,8.005,210637,0
2014-04-07,21:00:00,8.0001,8.0563,8,8,272185,0
2014-04-07,22:00:00,8,8.15,8,8.06,359459,0
2014-04-08,16:00:00,8.12,8.6035,8.12,8.26,145739,0
2014-04-08,17:00:00,8.26,8.29,8.06,8.21,169764,0
2014-04-08,18:00:00,8.21,8.26,8.15,8.15,143623,0
2014-04-08,19:00:00,8.15,8.25,8.15,8.21,116196,0
2014-04-08,20:00:00,8.21,8.21,8.16,8.2,73867,0
2014-04-08,21:00:00,8.2,8.27,8.19,8.22,89003,0
2014-04-08,22:00:00,8.225,8.53,8.225,8.5,210965,0
2014-04-09,16:00:00,8.47,8.65,8.2,8.4,86593,0
2014-04-09,17:00:00,8.42,8.66,8.32,8.49,199098,0
2014-04-09,18:00:00,8.5,8.54,8.3,8.45,111412,0
2014-04-09,19:00:00,8.45,8.5,8.2,8.29,112128,0
2014-04-09,20:00:00,8.25,8.57,8.24,8.45,71663,0
2014-04-09,21:00:00,8.46,8.64,8.36,8.6,92058,0
2014-04-09,22:00:00,8.6099,8.61,8.35,8.35,91554,0
2014-04-10,16:00:00,8.3,8.4288,8.06,8.2099,57341,0
2014-04-10,17:00:00,8.1263,8.1795,7.99,8,336082,0
2014-04-10,18:00:00,8,8.01,7.75,7.8,377499,0
2014-04-10,19:00:00,7.8001,7.8001,7.75,7.75,85368,0
2014-04-10,20:00:00,7.7501,7.7599,7.57,7.69,90430,0
2014-04-10,21:00:00,7.662,7.69,7.56,7.6,122865,0
2014-04-10,22:00:00,7.6,7.74,7.55,7.55,210762,0
2014-04-11,16:00:00,7.51,7.8,7.51,7.75,37100,0
2014-04-11,17:00:00,7.65,7.73,7.5,7.59,152593,0
2014-04-11,18:00:00,7.6,8.09,7.58,8,109224,0
2014-04-11,19:00:00,7.955,8.0001,7.88,7.88,101762,0
2014-04-11,20:00:00,7.885,7.9,7.7,7.83,94188,0
2014-04-11,21:00:00,7.83,7.8825,7.62,7.7,51800,0
2014-04-11,22:00:00,7.685,7.7025,7.6,7.6,106085,0
2014-04-14,16:00:00,7.8,7.98,7.8,7.98,62808,0
2014-04-14,17:00:00,7.93,7.97,7.81,7.88,84416,0
2014-04-14,18:00:00,7.87,7.87,7.6,7.63,45930,0
2014-04-14,19:00:00,7.65,7.65,7.5,7.5,56819,0
2014-04-14,20:00:00,7.5,7.55,7.5,7.5,60003,0
2014-04-14,21:00:00,7.5,7.58,7.5,7.5,97425,0
2014-04-14,22:00:00,7.5,7.55,7.28,7.5,337398,0
2014-04-15,16:00:00,7.5,7.53,7.49,7.53,14400,0
2014-04-15,17:00:00,7.57,7.57,7.33,7.34,59832,0
2014-04-15,18:00:00,7.33,7.33,7.1,7.1,108993,0
2014-04-15,19:00:00,7.1,7.15,7.01,7.02,88300,0
2014-04-15,20:00:00,7.02,7.14,7.01,7.09,73075,0
2014-04-15,21:00:00,7.08,7.11,7.02,7.05,43900,0
2014-04-15,22:00:00,7.05,7.18,7.01,7.06,108422,0
2014-04-16,16:00:00,7.19,7.24,7,7.03,27045,0
2014-04-16,17:00:00,7.065,7.1,7,7.01,87137,0
2014-04-16,18:00:00,7.0101,7.08,7,7.025,26770,0
2014-04-16,19:00:00,7.025,7.025,7,7,51048,0
2014-04-16,20:00:00,7.0025,7.0099,6.74,6.96,411119,0
2014-04-16,21:00:00,6.94,6.95,6.9,6.93,18265,0
2014-04-16,22:00:00,6.93,7.09,6.91,6.93,135082,0
2014-04-17,16:00:00,6.9,7,6.69,6.7201,58621,0
2014-04-17,17:00:00,6.7201,6.84,6.54,6.7,295973,0
2014-04-17,18:00:00,6.7001,6.87,6.6,6.84,183607,0
2014-04-17,19:00:00,6.84,6.92,6.75,6.76,98672,0
2014-04-17,20:00:00,6.765,6.92,6.765,6.86,132775,0
2014-04-17,21:00:00,6.855,6.87,6.74,6.75,121300,0
2014-04-17,22:00:00,6.77,6.82,6.68,6.77,160030,0
2014-04-21,16:00:00,6.899,7.16,6.81,6.87,78159,0
2014-04-21,17:00:00,6.84,7.02,6.8277,6.945,330208,0
2014-04-21,18:00:00,6.95,7.0699,6.9,7.04,383027,0
2014-04-21,19:00:00,7.045,7.58,7.01,7.48,229956,0
2014-04-21,20:00:00,7.46,7.87,7.41,7.75,344939,0
2014-04-21,21:00:00,7.731,7.8699,7.71,7.75,37230,0
2014-04-21,22:00:00,7.8399,7.8399,7.71,7.8,50115,0
2014-04-22,16:00:00,7.95,7.96,7.67,7.81,102641,0
2014-04-22,17:00:00,7.82,8,7.77,7.7999,247683,0
2014-04-22,18:00:00,7.8,8.02,7.8,7.95,172607,0
2014-04-22,19:00:00,7.98,8.28,7.96,8.03,161225,0
2014-04-22,20:00:00,8.03,8.34,8.03,8.29,138672,0
2014-04-22,21:00:00,8.26,8.49,8.12,8.19,94959,0
2014-04-22,22:00:00,8.19,8.33,7.99,8.32,123005,0
2014-04-23,16:00:00,8.32,8.48,8.07,8.27,49342,0
2014-04-23,17:00:00,8.31,8.45,8.12,8.17,145940,0
2014-04-23,18:00:00,8.14,8.34,7.99,8.285,147235,0
2014-04-23,19:00:00,8.285,8.48,8.27,8.48,47849,0
2014-04-23,20:00:00,8.48,8.88,8.45,8.74,273820,0
2014-04-23,21:00:00,8.74,9,8.74,8.85,286516,0
2014-04-23,22:00:00,8.85,9.08,8.8,9,340261,0
2014-04-24,16:00:00,9.14,9.31,8.58,8.85,87307,0
