Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,34.45,34.71,34.35,34.35,7044,0
2014-02-10,17:00:00,34.43,34.43,33.44,33.685,4843,0
2014-02-10,18:00:00,33.655,34.35,33.63,34.35,8656,0
2014-02-10,19:00:00,34.44,34.92,34.335,34.8,14327,0
2014-02-10,20:00:00,34.86,35.15,34.86,35.08,8332,0
2014-02-10,21:00:00,35.085,35.66,35.085,35.2201,15900,0
2014-02-10,22:00:00,35.0001,35.18,34.52,34.69,13058,0
2014-02-11,16:00:00,35.02,35.97,35.02,35.53,4700,0
2014-02-11,17:00:00,35.42,35.85,35.37,35.53,6725,0
2014-02-11,18:00:00,35.56,36,35.56,36,4978,0
2014-02-11,19:00:00,36.17,36.42,35.99,36.23,4200,0
2014-02-11,20:00:00,36.29,36.29,35.781,36.01,6325,0
2014-02-11,21:00:00,36.13,36.22,35.94,36.22,2000,0
2014-02-11,22:00:00,36.2,36.22,36.03,36.06,16047,0
2014-02-12,16:00:00,36.71,36.71,36.41,36.41,800,0
2014-02-12,17:00:00,36.4402,36.46,36.34,36.34,1122,0
2014-02-12,18:00:00,36.34,36.53,36.26,36.36,3378,0
2014-02-12,19:00:00,36.39,36.82,36.38,36.66,11178,0
2014-02-12,20:00:00,36.8,36.83,36.59,36.6,1700,0
2014-02-12,21:00:00,36.62,36.9299,36.46,36.46,8700,0
2014-02-12,22:00:00,36.47,36.98,36.376,36.59,12164,0
2014-02-13,16:00:00,36.5,36.82,36.5,36.82,1945,0
2014-02-13,17:00:00,36.82,37.44,36.82,37.43,3200,0
2014-02-13,18:00:00,37.36,37.67,37.28,37.4025,3500,0
2014-02-13,19:00:00,37.365,37.83,37.071,37.78,13932,0
2014-02-13,20:00:00,37.48,38.23,37.475,38.19,9040,0
2014-02-13,21:00:00,38.15,38.35,38.13,38.15,2500,0
2014-02-13,22:00:00,37.94,37.98,37.52,37.62,15587,0
2014-02-14,16:00:00,38.18,38.18,37.49,37.92,1520,0
2014-02-14,17:00:00,37.81,37.99,37.78,37.86,900,0
2014-02-14,18:00:00,38,38,37.99,37.99,900,0
2014-02-14,19:00:00,38,38.01,37.461,37.76,3900,0
2014-02-14,20:00:00,37.86,37.93,37.72,37.75,2000,0
2014-02-14,21:00:00,37.8,38.27,37.7,38.27,1500,0
2014-02-14,22:00:00,38,38.04,37.77,37.97,6910,0
2014-02-18,16:00:00,37.79,37.82,37.42,37.77,5915,0
2014-02-18,17:00:00,37.25,37.76,36.96,37.6,9640,0
2014-02-18,18:00:00,37.63,37.91,37.63,37.76,4600,0
2014-02-18,19:00:00,37.78,37.94,37.78,37.86,2200,0
2014-02-18,20:00:00,37.79,37.83,37.39,37.39,11400,0
2014-02-18,21:00:00,37.34,37.72,37.34,37.705,5626,0
2014-02-18,22:00:00,37.59,37.64,36.88,37.06,8028,0
2014-02-19,16:00:00,36.66,36.66,36.66,36.66,1400,0
2014-02-19,17:00:00,36.511,37.16,36.511,37.08,4903,0
2014-02-19,18:00:00,37.21,37.235,37.17,37.17,1920,0
2014-02-19,19:00:00,37.04,37.04,36.66,36.66,700,0
2014-02-19,20:00:00,36.64,36.64,36.151,36.22,2352,0
2014-02-19,21:00:00,36.14,36.9,36.11,36.5001,6864,0
2014-02-19,22:00:00,36.65,36.86,36.26,36.48,11314,0
2014-02-20,16:00:00,36.39,36.39,36.22,36.22,1220,0
2014-02-20,17:00:00,36.28,37.24,36.1,36.93,14071,0
2014-02-20,19:00:00,36.701,36.93,36.701,36.84,2175,0
2014-02-20,20:00:00,36.6725,36.8,36.66,36.67,2570,0
2014-02-20,21:00:00,36.8,36.8,36.8,36.8,15922,0
2014-02-20,22:00:00,36.84,36.84,36.75,36.79,17655,0
2014-02-21,16:00:00,37.04,37.04,37.04,37.04,4828,0
2014-02-21,17:00:00,37,37.13,37,37.13,1700,0
2014-02-21,18:00:00,36.98,36.98,36.811,36.839,1200,0
2014-02-21,19:00:00,36.8022,37.09,36.8022,36.88,4200,0
2014-02-21,21:00:00,36.97,36.97,36.97,36.97,1000,0
2014-02-21,22:00:00,37.16,37.16,36.57,36.75,11659,0
2014-02-24,16:00:00,36.35,36.91,36.34,36.49,2400,0
2014-02-24,17:00:00,36.4325,36.92,36.4325,36.9,3200,0
2014-02-24,18:00:00,36.94,37.29,36.77,36.99,6500,0
2014-02-24,19:00:00,36.98,36.98,36.98,36.98,2900,0
2014-02-24,20:00:00,37.27,37.27,37,37,1700,0
2014-02-24,21:00:00,37,37.475,37,37.39,3000,0
2014-02-24,22:00:00,37.22,37.4,36.82,37.05,10768,0
2014-02-25,16:00:00,37.17,37.2,37.1,37.1,4900,0
2014-02-25,17:00:00,37.12,37.24,37,37.05,3700,0
2014-02-25,18:00:00,37.23,37.45,37.185,37.45,3900,0
2014-02-25,19:00:00,37.49,37.49,37.37,37.37,1000,0
2014-02-25,20:00:00,37.49,37.49,37.49,37.49,900,0
2014-02-25,21:00:00,37.1,37.15,36.85,37.15,4207,0
2014-02-25,22:00:00,37.068,37.13,36.94,37.1,5886,0
2014-02-26,16:00:00,37.11,37.32,36.94,37.02,1300,0
2014-02-26,17:00:00,36.95,37.79,36.95,37.79,1271,0
2014-02-26,18:00:00,37.62,37.67,37.58,37.67,900,0
2014-02-26,19:00:00,37.67,37.67,37.49,37.56,2100,0
2014-02-26,20:00:00,37.6,37.85,37.5,37.5,1750,0
2014-02-26,21:00:00,37.5,37.82,37.5,37.82,4200,0
2014-02-26,22:00:00,37.75,38.17,37.6,38.08,7953,0
2014-02-27,16:00:00,37.78,38.33,37.564,38.33,2560,0
2014-02-27,17:00:00,37.5315,37.5315,37.075,37.2,5927,0
2014-02-27,18:00:00,37.45,37.45,37.45,37.45,400,0
2014-02-27,19:00:00,37.5,37.74,37.5,37.74,4000,0
2014-02-27,21:00:00,37.68,37.77,37.67,37.77,3200,0
2014-02-27,22:00:00,37.68,37.9,37.51,37.9,12072,0
2014-02-28,16:00:00,38.25,38.25,37.86,37.86,2100,0
2014-02-28,17:00:00,38.2,38.39,38.2,38.39,1500,0
2014-02-28,18:00:00,38.41,38.41,38.38,38.38,600,0
2014-02-28,19:00:00,38.36,38.36,38.0902,38.29,12125,0
2014-02-28,20:00:00,38.07,38.1,37.8402,38.1,7600,0
2014-02-28,21:00:00,38.21,38.21,38.12,38.12,5000,0
2014-02-28,22:00:00,37.98,38.31,37.96,38.08,21603,0
2014-03-03,16:00:00,37.21,37.46,36.761,37.06,4004,0
2014-03-03,17:00:00,37.07,37.14,37.07,37.14,600,0
2014-03-03,18:00:00,37.129,37.129,36.67,36.67,2747,0
2014-03-03,19:00:00,36.66,36.744,36.58,36.58,2100,0
2014-03-03,20:00:00,36.85,37.08,36.85,36.88,2600,0
2014-03-03,21:00:00,36.97,37.1,36.69,36.92,5800,0
2014-03-03,22:00:00,37.0101,37.29,36.99,37.29,8700,0
2014-03-04,16:00:00,37.69,38.46,37.6,38.38,12755,0
2014-03-04,17:00:00,38.315,39.01,38.23,38.8,9108,0
2014-03-04,18:00:00,38.705,39.99,38.705,39.99,3200,0
2014-03-04,19:00:00,39.68,39.81,38.99,39.09,17190,0
2014-03-04,20:00:00,39.1055,39.24,38.291,38.291,7523,0
2014-03-04,21:00:00,38.191,38.2,38,38.09,6947,0
2014-03-04,22:00:00,37.77,38.56,37.77,38.44,26900,0
2014-03-05,16:00:00,38.5,38.83,38.5,38.72,2804,0
2014-03-05,17:00:00,39.38,39.7851,38.6705,39.28,6470,0
2014-03-05,18:00:00,39.33,39.67,39.23,39.3,3780,0
2014-03-05,19:00:00,39.26,39.35,39.25,39.26,1500,0
2014-03-05,20:00:00,39.24,39.35,39.1275,39.18,9600,0
2014-03-05,21:00:00,39.19,39.19,39.19,39.19,1600,0
2014-03-05,22:00:00,39.13,39.13,38.84,39.03,20440,0
2014-03-06,16:00:00,39.31,39.33,38.97,39.33,1525,0
2014-03-06,17:00:00,39.14,39.14,39.0145,39.0145,1300,0
2014-03-06,18:00:00,39.13,39.13,39.13,39.13,400,0
2014-03-06,19:00:00,39.0113,39.0113,39,39,958,0
2014-03-06,20:00:00,39.08,39.08,38.44,38.44,2902,0
2014-03-06,21:00:00,38.57,38.57,38.109,38.109,1700,0
2014-03-06,22:00:00,38.23,38.52,38.23,38.27,1884,0
2014-03-07,16:00:00,39.15,39.15,38.61,38.61,3200,0
2014-03-07,19:00:00,38.86,39,38.63,38.63,2200,0
2014-03-07,20:00:00,38.56,38.61,38.49,38.5,1500,0
