Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,84.05,84.76,82.37,83.67,414922,0
2014-02-10,17:00:00,83.82,84.19,83.3,83.43,539619,0
2014-02-10,18:00:00,83.45,83.75,83.2,83.67,358826,0
2014-02-10,19:00:00,83.64,83.67,83.21,83.26,290198,0
2014-02-10,20:00:00,83.22,83.3,83.0521,83.25,215470,0
2014-02-10,21:00:00,83.27,84.03,83.27,83.9417,269603,0
2014-02-10,22:00:00,83.93,84.11,83.69,84.05,573909,0
2014-02-11,16:00:00,85.19,85.19,83.574,83.9623,289219,0
2014-02-11,17:00:00,84,84.06,83.19,83.53,235967,0
2014-02-11,18:00:00,83.64,83.69,83.1,83.41,201201,0
2014-02-11,19:00:00,83.36,83.76,83.0575,83.69,232993,0
2014-02-11,20:00:00,83.75,83.96,83.375,83.8399,362463,0
2014-02-11,21:00:00,83.8,84.09,83.76,84,330130,0
2014-02-11,22:00:00,83.98,84.6,83.86,84.2,97629262,0
2014-02-12,16:00:00,87.97,91.49,87.6,90.44,3853154,0
2014-02-12,17:00:00,90.38,90.4993,89.11,90.423,1525491,0
2014-02-12,18:00:00,90.41,91.36,89.9,91,1134319,0
2014-02-12,19:00:00,91,91.98,90.5,90.7,887312,0
2014-02-12,20:00:00,90.78,92.43,90.68,92.181,716276,0
2014-02-12,21:00:00,92.24,93.13,91.42,91.51,986756,0
2014-02-12,22:00:00,91.47,91.5215,89.85,90.27,1596013,0
2014-02-13,16:00:00,89.28,92.239,88.72,92.01,494181,0
2014-02-13,17:00:00,92.02,92.47,90.62,91.01,504854,0
2014-02-13,18:00:00,91.01,91.51,90.84,91.31,331667,0
2014-02-13,19:00:00,91.32,91.41,90.75,91.13,272451,0
2014-02-13,20:00:00,91.0772,92.35,90.93,91.87,468578,0
2014-02-13,21:00:00,91.87,92.3075,91.6,92.211,469466,0
2014-02-13,22:00:00,92.23,92.31,91.88,92.31,741456,0
2014-02-14,16:00:00,91.94,92.26,91.19,91.84,187090,0
2014-02-14,17:00:00,91.94,92.29,91.5,91.51,347319,0
2014-02-14,18:00:00,91.51,91.93,90.94,91.62,359661,0
2014-02-14,19:00:00,91.67,91.71,91.23,91.45,303881,0
2014-02-14,20:00:00,91.48,91.605,91.4,91.49,177920,0
2014-02-14,21:00:00,91.5,91.55,91.35,91.38,222591,0
2014-02-14,22:00:00,91.39,91.622,91.16,91.25,954587,0
2014-02-18,16:00:00,91.17,91.55,90.56,91,184033,0
2014-02-18,17:00:00,90.88,92.1,90.62,91.74,523782,0
2014-02-18,18:00:00,91.815,91.99,91.59,91.905,240427,0
2014-02-18,19:00:00,91.95,92.69,91.85,92.595,209279,0
2014-02-18,20:00:00,92.63,92.68,91.97,92.39,176374,0
2014-02-18,21:00:00,92.46,93.76,92.43,93.76,390083,0
