Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,18.82,18.89,18.722,18.82,9846,0
2014-02-10,17:00:00,18.84,18.96,18.67,18.93,26886,0
2014-02-10,18:00:00,18.94,19.06,18.71,19,31009,0
2014-02-10,19:00:00,19,19.206,19,19.1,12664,0
2014-02-10,20:00:00,19.07,19.32,19.07,19.32,13308,0
2014-02-10,21:00:00,19.31,19.38,19.28,19.3,22913,0
2014-02-10,22:00:00,19.3,19.46,19.29,19.44,63706,0
2014-02-11,16:00:00,19.43,19.54,19.43,19.5,11774,0
2014-02-11,17:00:00,19.495,19.53,19.27,19.4,26630,0
2014-02-11,18:00:00,19.5,19.5,19.34,19.34,19170,0
2014-02-11,19:00:00,19.375,19.5,19.28,19.42,49812,0
2014-02-11,20:00:00,19.48,19.52,19.39,19.46,38850,0
2014-02-11,21:00:00,19.4,19.4,19.24,19.315,10420,0
2014-02-11,22:00:00,19.35,19.55,19.27,19.55,64845,0
2014-02-12,16:00:00,19.51,19.75,19.51,19.75,8855,0
2014-02-12,17:00:00,19.72,19.72,19.46,19.46,10400,0
2014-02-12,18:00:00,19.57,19.61,19.33,19.41,10240,0
2014-02-12,19:00:00,19.38,19.67,19.38,19.66,16107,0
2014-02-12,20:00:00,19.66,19.75,19.63,19.73,14998,0
2014-02-12,21:00:00,19.73,19.75,19.63,19.75,24347,0
2014-02-12,22:00:00,19.71,19.75,19.63,19.73,58088,0
2014-02-13,16:00:00,19.65,19.75,19.56,19.66,7830,0
2014-02-13,17:00:00,19.66,19.74,19.5,19.61,7100,0
2014-02-13,18:00:00,19.56,19.73,19.5,19.73,14703,0
2014-02-13,19:00:00,19.68,19.75,19.64,19.7,17070,0
2014-02-13,20:00:00,19.73,20.07,19.68,20.03,18575,0
2014-02-13,21:00:00,20.02,20.11,19.98,20.09,12804,0
2014-02-13,22:00:00,20.05,20.102,19.75,19.88,108574,0
2014-02-14,16:00:00,19.91,20.02,19.49,19.6,14509,0
2014-02-14,17:00:00,19.6,19.62,19.49,19.57,23100,0
2014-02-14,18:00:00,19.57,19.57,19.39,19.42,10100,0
2014-02-14,19:00:00,19.43,19.54,19.39,19.54,8400,0
2014-02-14,20:00:00,19.52,19.6,19.52,19.56,5700,0
2014-02-14,21:00:00,19.55,19.55,19.41,19.485,13200,0
2014-02-14,22:00:00,19.48,19.496,19.37,19.45,52448,0
2014-02-18,16:00:00,19.46,19.55,19.21,19.21,23797,0
2014-02-18,17:00:00,19.2,19.25,19.06,19.18,62606,0
2014-02-18,18:00:00,19.19,19.28,19.04,19.05,52472,0
2014-02-18,19:00:00,19.05,19.16,19.05,19.1,30037,0
2014-02-18,20:00:00,19.1,19.19,19.09,19.18,21608,0
2014-02-18,21:00:00,19.19,19.39,19.19,19.32,18178,0
2014-02-18,22:00:00,19.31,19.38,19.29,19.34,86701,0
2014-02-19,16:00:00,19.43,19.44,19.415,19.415,1100,0
2014-02-19,17:00:00,19.44,19.54,19.33,19.47,28421,0
2014-02-19,18:00:00,19.5,19.64,19.17,19.19,49330,0
2014-02-19,19:00:00,19.18,19.26,19.11,19.23,36859,0
2014-02-19,20:00:00,19.22,19.36,19.2,19.32,19819,0
2014-02-19,21:00:00,19.35,19.408,19.266,19.28,10936,0
2014-02-19,22:00:00,19.27,19.3,19.19,19.28,53265,0
2014-02-20,16:00:00,19.3,19.445,19.3,19.38,7270,0
2014-02-20,17:00:00,19.38,19.67,19.365,19.61,30172,0
2014-02-20,18:00:00,19.54,19.67,19.48,19.65,197690,0
2014-02-20,19:00:00,19.67,19.72,19.535,19.56,95703,0
2014-02-20,20:00:00,19.58,19.65,19.5,19.65,43591,0
2014-02-20,21:00:00,19.64,19.87,19.42,19.47,47991,0
2014-02-20,22:00:00,19.39,19.67,19.285,19.33,113660,0
2014-02-21,16:00:00,19.42,20.66,19.42,20.1,263388,0
