Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,5.729,5.729,5.386,5.58,2400,0
2014-02-10,17:00:00,5.629,5.75,5.61,5.75,3324,0
2014-02-10,18:00:00,5.71,5.74,5.64,5.6539,6027,0
2014-02-10,19:00:00,5.75,5.75,5.71,5.71,200,0
2014-02-10,20:00:00,5.71,5.71,5.71,5.71,300,0
2014-02-10,21:00:00,5.74,5.9499,5.641,5.92,41698,0
2014-02-10,22:00:00,5.88,5.9,5.8201,5.89,5000,0
2014-02-11,16:00:00,5.81,5.81,5.7002,5.7002,7000,0
2014-02-11,17:00:00,5.7,5.879,5.68,5.86,13960,0
2014-02-11,18:00:00,5.85,5.85,5.83,5.83,7976,0
2014-02-11,19:00:00,5.8399,5.8399,5.72,5.73,10627,0
2014-02-11,20:00:00,5.72,5.78,5.68,5.75,4405,0
2014-02-11,21:00:00,5.75,5.75,5.57,5.669,15027,0
2014-02-11,22:00:00,5.59,6,5.55,5.95,25540,0
2014-02-12,16:00:00,5.95,6.05,5.95,6.05,6701,0
2014-02-12,17:00:00,6.072,6.28,6.0664,6.23,21346,0
2014-02-12,18:00:00,6.25,6.3,6.2,6.2,15560,0
2014-02-12,19:00:00,6.22,6.3,6.2,6.2499,11126,0
2014-02-12,20:00:00,6.23,6.28,6.22,6.28,8230,0
2014-02-12,21:00:00,6.29,6.39,6.261,6.3401,26895,0
2014-02-12,22:00:00,6.34,6.55,6.3,6.48,92745,0
2014-02-13,16:00:00,6.25,6.3599,6.25,6.3599,4397,0
2014-02-13,17:00:00,6.36,6.4599,6.35,6.35,24472,0
2014-02-13,18:00:00,6.38,6.43,6.366,6.4001,16650,0
2014-02-13,19:00:00,6.4,6.42,6.37,6.4,40714,0
2014-02-13,20:00:00,6.404,6.46,6.39,6.4,9396,0
2014-02-13,21:00:00,6.39,6.45,6.35,6.3503,14353,0
2014-02-13,22:00:00,6.35,6.46,6.35,6.431,22248,0
2014-02-14,17:00:00,6.5,6.5,6.335,6.45,10700,0
2014-02-14,18:00:00,6.4586,6.495,6.43,6.44,8250,0
2014-02-14,19:00:00,6.44,6.46,6.4,6.46,6218,0
2014-02-14,20:00:00,6.46,6.49,6.45,6.49,7100,0
2014-02-14,21:00:00,6.49,6.5,6.46,6.48,5400,0
2014-02-14,22:00:00,6.48,6.6,6.48,6.55,19774,0
2014-02-18,16:00:00,6.55,6.6,6.4501,6.5699,5575,0
2014-02-18,17:00:00,6.58,6.6,6.5001,6.59,4400,0
2014-02-18,18:00:00,6.5801,6.6,6.5801,6.595,3300,0
2014-02-18,19:00:00,6.6,6.6,6.45,6.56,16900,0
2014-02-18,20:00:00,6.59,6.6,6.5604,6.5604,7307,0
2014-02-18,21:00:00,6.6,6.65,6.49,6.49,19502,0
2014-02-18,22:00:00,6.54,6.64,6.4908,6.5232,7600,0
2014-02-19,16:00:00,6.62,6.7,6.55,6.7,15612,0
2014-02-19,17:00:00,6.7499,6.9,6.7499,6.8,30241,0
2014-02-19,18:00:00,6.8,6.8,6.75,6.75,12691,0
2014-02-19,19:00:00,6.73,6.79,6.73,6.78,17343,0
2014-02-19,20:00:00,6.7786,6.79,6.73,6.79,21654,0
2014-02-19,21:00:00,6.78,6.8,6.77,6.79,14053,0
2014-02-19,22:00:00,6.8,6.8,6.73,6.74,24299,0
2014-02-20,17:00:00,6.7101,6.7101,6.7101,6.7101,400,0
2014-02-20,18:00:00,6.65,6.69,6.61,6.68,5452,0
2014-02-20,19:00:00,6.636,6.68,6.6301,6.68,6438,0
2014-02-20,20:00:00,6.66,6.68,6.62,6.68,11775,0
2014-02-20,21:00:00,6.68,6.68,6.64,6.66,13641,0
2014-02-20,22:00:00,6.68,6.68,6.5508,6.65,24253,0
2014-02-21,17:00:00,6.62,6.67,6.55,6.55,8787,0
2014-02-21,18:00:00,6.5499,6.6275,6.5001,6.6,6177,0
2014-02-21,19:00:00,6.5303,6.63,6.5303,6.63,2351,0
2014-02-21,20:00:00,6.63,6.67,6.585,6.67,3700,0
2014-02-21,21:00:00,6.67,6.75,6.65,6.74,13799,0
2014-02-21,22:00:00,6.72,6.75,6.72,6.75,8022,0
2014-02-24,16:00:00,6.7,6.7,6.6001,6.6001,1566,0
2014-02-24,17:00:00,6.68,6.694,6.52,6.58,3862,0
2014-02-24,18:00:00,6.57,6.63,6.57,6.6055,1880,0
2014-02-24,19:00:00,6.66,6.67,6.6,6.67,12286,0
2014-02-24,20:00:00,6.61,6.6275,6.35,6.35,33578,0
2014-02-24,21:00:00,6.33,6.48,6.2001,6.46,20342,0
2014-02-24,22:00:00,6.44,6.49,6.425,6.47,11264,0
2014-02-25,16:00:00,6.4401,6.4406,6.44,6.44,11659,0
2014-02-25,17:00:00,6.41,6.5,6.39,6.5,2100,0
2014-02-25,18:00:00,6.5,6.5,6.3,6.38,5980,0
2014-02-25,19:00:00,6.35,6.409,6.22,6.4,16525,0
2014-02-25,20:00:00,6.281,6.29,6.28,6.28,1600,0
2014-02-25,21:00:00,6.28,6.31,6.25,6.31,2900,0
2014-02-25,22:00:00,6.29,6.34,6.2,6.22,7648,0
2014-02-26,16:00:00,6.19,6.22,6.18,6.22,2480,0
2014-02-26,17:00:00,6.33,6.33,6.27,6.27,700,0
2014-02-26,18:00:00,6.26,6.389,6.26,6.34,2064,0
2014-02-26,19:00:00,6.3321,6.39,6.27,6.31,9396,0
2014-02-26,20:00:00,6.3,6.3,6.15,6.21,12415,0
2014-02-26,21:00:00,6.2,6.21,6.16,6.16,1700,0
2014-02-26,22:00:00,6.16,6.23,6.16,6.2,2434,0
2014-02-27,16:00:00,6.26,6.26,6.11,6.11,6110,0
2014-02-27,17:00:00,6.1791,6.18,6.09,6.156,25684,0
2014-02-27,18:00:00,6.17,6.36,6.12,6.36,36742,0
2014-02-27,19:00:00,6.3,6.4,6.3,6.4,12838,0
