Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,27.92,27.92,27.92,27.92,144,0
2014-02-10,17:00:00,27.9,28.05,27.79,27.91,2800,0
2014-02-10,18:00:00,28.3345,28.3345,28.3345,28.3345,1440,0
2014-02-10,22:00:00,27.81,27.81,27.81,27.81,100,0
2014-02-11,16:00:00,27.81,27.81,27.81,27.81,135,0
2014-02-11,17:00:00,27.91,27.91,27.7,27.808,1700,0
2014-02-11,20:00:00,27.87,27.91,27.87,27.91,600,0
2014-02-11,22:00:00,27.95,27.95,27.8036,27.8036,400,0
2014-02-12,16:00:00,27.81,27.81,27.81,27.81,500,0
2014-02-12,18:00:00,27.5001,27.9521,27.5001,27.95,3500,0
2014-02-12,21:00:00,27.9,27.9,27.9,27.9,300,0
2014-02-14,18:00:00,28.2375,28.333,27.8972,27.9,1816,0
2014-02-14,22:00:00,28.2899,28.2899,28.18,28.18,942,0
2014-02-18,16:00:00,27.55,27.55,27.517,27.517,515,0
2014-02-18,17:00:00,27.55,27.92,27.55,27.92,2600,0
2014-02-18,18:00:00,27.964,27.964,27.6,27.6,1322,0
2014-02-18,19:00:00,27.8,27.9,27.8,27.9,900,0
2014-02-18,21:00:00,28.22,28.27,28,28.27,1934,0
2014-02-18,22:00:00,28.14,28.2,27.85,28.2,9720,0
2014-02-19,18:00:00,27.97,28.18,27.97,28.18,1800,0
2014-02-19,20:00:00,28.17,28.17,28.17,28.17,900,0
2014-02-19,22:00:00,28.15,28.15,28.15,28.15,200,0
2014-02-20,18:00:00,27.78,27.78,27.78,27.78,800,0
2014-02-20,21:00:00,27.6601,28.36,27.6601,28.36,616,0
2014-02-21,18:00:00,28.36,28.36,28.36,28.36,200,0
2014-02-21,19:00:00,28.02,28.3,28.02,28.3,500,0
2014-02-21,21:00:00,28.3,28.3,28.3,28.3,200,0
2014-02-21,22:00:00,28.3,28.3,28.3,28.3,398,0
2014-02-24,19:00:00,28.36,28.36,28.36,28.36,194,0
2014-02-24,20:00:00,28,28,28,28,397,0
2014-02-24,21:00:00,27.86,27.86,27.86,27.86,335,0
2014-02-24,22:00:00,27.946,27.99,27.946,27.99,700,0
2014-02-25,18:00:00,27.885,27.885,27.885,27.885,152,0
2014-02-25,19:00:00,27.8,27.8,27.8,27.8,500,0
2014-02-25,21:00:00,27.85,27.85,27.85,27.85,110,0
2014-02-26,18:00:00,27.841,27.841,27.84,27.84,600,0
2014-02-27,16:00:00,28.31,28.36,28.31,28.36,1913,0
2014-02-27,21:00:00,28.35,28.35,28.35,28.35,100,0
2014-02-28,19:00:00,28.3,28.3,28.3,28.3,600,0
2014-02-28,20:00:00,27.861,27.861,27.86,27.86,600,0
2014-02-28,22:00:00,27.86,27.86,27.86,27.86,900,0
2014-03-03,17:00:00,28.49,28.49,28.44,28.44,2300,0
2014-03-03,19:00:00,28.49,28.5,28.39,28.5,1151,0
2014-03-03,22:00:00,28.48,28.48,28.48,28.48,100,0
2014-03-04,18:00:00,28,28,28,28,300,0
2014-03-04,19:00:00,28.001,28.001,28.001,28.001,200,0
2014-03-04,20:00:00,28.0001,28.0001,28,28,800,0
2014-03-04,22:00:00,28.1,28.1,28.05,28.05,300,0
2014-03-05,18:00:00,28.46,28.46,28.46,28.46,1756,0
2014-03-05,20:00:00,28.43,28.48,28.38,28.381,2978,0
2014-03-06,16:00:00,28.2499,28.25,28.2499,28.25,600,0
2014-03-06,18:00:00,28.25,28.25,28.25,28.25,1200,0
2014-03-06,21:00:00,28.47,28.47,28.47,28.47,300,0
2014-03-07,17:00:00,28.001,28.001,28.001,28.001,600,0
