Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,9.34,9.3682,9.22,9.26,41466,0
2014-02-10,17:00:00,9.2672,9.4679,9.26,9.42,46972,0
2014-02-10,18:00:00,9.39,9.57,9.39,9.5501,20506,0
2014-02-10,19:00:00,9.57,9.58,9.5,9.54,23995,0
2014-02-10,20:00:00,9.54,9.65,9.54,9.55,18306,0
2014-02-10,21:00:00,9.55,9.56,9.48,9.5,20719,0
2014-02-10,22:00:00,9.49,9.55,9.4,9.47,32496,0
2014-02-11,16:00:00,9.44,9.5,9.4,9.43,8225,0
2014-02-11,17:00:00,9.44,9.6,9.3,9.305,62014,0
2014-02-11,18:00:00,9.34,9.34,9.19,9.2575,40042,0
2014-02-11,19:00:00,9.3,9.5199,9.3,9.45,11847,0
2014-02-11,20:00:00,9.44,9.4875,9.35,9.42,23053,0
2014-02-11,21:00:00,9.41,9.46,9.37,9.38,10425,0
2014-02-11,22:00:00,9.39,9.43,9.34,9.37,46217,0
2014-02-12,16:00:00,9.34,9.49,9.34,9.42,10092,0
2014-02-12,17:00:00,9.43,9.5,9.36,9.4201,29041,0
2014-02-12,18:00:00,9.43,9.47,9.34,9.47,25033,0
2014-02-12,19:00:00,9.48,9.49,9.43,9.43,9606,0
2014-02-12,20:00:00,9.46,9.57,9.4401,9.57,15699,0
2014-02-12,21:00:00,9.58,9.7,9.57,9.65,39077,0
2014-02-12,22:00:00,9.64,9.65,9.5,9.55,49561,0
2014-02-13,16:00:00,9.44,9.7,9.44,9.7,13107,0
2014-02-13,17:00:00,9.6755,9.75,9.62,9.74,27979,0
2014-02-13,18:00:00,9.73,9.9,9.71,9.8701,45427,0
2014-02-13,19:00:00,9.8795,10.08,9.8,10.03,87870,0
2014-02-13,20:00:00,10.03,10.24,10.02,10.16,147517,0
2014-02-13,21:00:00,10.16,10.18,10.02,10.05,51288,0
2014-02-13,22:00:00,10.07,10.15,10.07,10.15,120214,0
2014-02-14,16:00:00,10.2,10.398,10.16,10.3001,42200,0
2014-02-14,17:00:00,10.31,10.65,10.27,10.63,109501,0
2014-02-14,18:00:00,10.67,10.7445,10.62,10.68,70686,0
2014-02-14,19:00:00,10.67,10.68,10.5,10.62,64065,0
2014-02-14,20:00:00,10.65,10.65,10.53,10.55,22536,0
2014-02-14,21:00:00,10.56,10.61,10.38,10.43,39257,0
2014-02-14,22:00:00,10.44,10.45,10.15,10.26,82122,0
2014-02-18,16:00:00,10.49,10.53,10.27,10.32,47449,0
2014-02-18,17:00:00,10.32,10.57,10.288,10.55,63764,0
2014-02-18,18:00:00,10.56,10.7,10.56,10.6701,53186,0
2014-02-18,19:00:00,10.671,10.82,10.65,10.7,91083,0
2014-02-18,20:00:00,10.7,10.71,10.58,10.622,27118,0
2014-02-18,21:00:00,10.6,10.6,10.42,10.42,37871,0
2014-02-18,22:00:00,10.45,10.45,10.26,10.3,256801,0
2014-02-19,16:00:00,10.37,10.54,10.37,10.49,19410,0
2014-02-19,17:00:00,10.48,10.485,10.31,10.35,38600,0
2014-02-19,18:00:00,10.35,10.45,10.26,10.29,45811,0
2014-02-19,19:00:00,10.28,10.33,10.02,10.1804,54321,0
2014-02-19,20:00:00,10.19,10.34,10.18,10.28,13958,0
2014-02-19,21:00:00,10.31,10.44,10.27,10.3,20893,0
2014-02-19,22:00:00,10.3003,10.45,10.2003,10.29,47153,0
2014-02-20,16:00:00,10.25,10.58,10.14,10.29,11312,0
2014-02-20,17:00:00,10.2101,10.32,10.17,10.24,55251,0
2014-02-20,18:00:00,10.25,10.28,10.24,10.27,9979,0
2014-02-20,19:00:00,10.27,10.28,10.21,10.25,18330,0
2014-02-20,20:00:00,10.25,10.25,10.21,10.21,15797,0
2014-02-20,21:00:00,10.2301,10.25,10.19,10.21,19520,0
2014-02-20,22:00:00,10.24,10.48,10.24,10.39,95355,0
2014-02-21,16:00:00,10.38,10.55,10.38,10.51,15410,0
2014-02-21,17:00:00,10.53,10.56,10.32,10.39,34890,0
2014-02-21,18:00:00,10.36,10.3899,9.66,9.994,180167,0
2014-02-21,19:00:00,10,10.0215,9.99,9.99,29342,0
2014-02-21,20:00:00,9.99,10.039,9.98,10.02,19784,0
2014-02-21,21:00:00,10.01,10.05,9.98,10.0153,24803,0
2014-02-21,22:00:00,10.01,10.1,9.97,9.99,147301,0
2014-02-24,16:00:00,9.96,10.21,9.8,10.11,48306,0
2014-02-24,17:00:00,10.1,10.48,10.1,10.45,50285,0
2014-02-24,18:00:00,10.42,10.4255,10.281,10.39,42212,0
