Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,37.94,38.02,37.32,37.32,92323,0
2014-02-10,17:00:00,37.44,37.54,37.18,37.43,64719,0
2014-02-10,18:00:00,37.47,38.03,37.36,38.02,105847,0
2014-02-10,19:00:00,38.02,38.15,37.98,38.13,44727,0
2014-02-10,20:00:00,38.11,38.11,37.99,38,30937,0
2014-02-10,21:00:00,37.99,38.09,37.81,37.81,55083,0
2014-02-10,22:00:00,37.81,37.83,37.61,37.67,124527,0
2014-02-11,16:00:00,37.41,38.1,37.41,37.97,35628,0
2014-02-11,17:00:00,37.95,38.36,37.9,38.35,129783,0
2014-02-11,18:00:00,38.35,38.69,38.35,38.67,113175,0
2014-02-11,19:00:00,38.7245,38.76,38.64,38.71,36811,0
2014-02-11,20:00:00,38.72,38.83,38.58,38.61,49259,0
2014-02-11,21:00:00,38.62,38.81,38.57,38.73,39814,0
2014-02-11,22:00:00,38.75,38.75,38.53,38.6,263495,0
2014-02-12,16:00:00,39.47,40,39.1,39.24,165528,0
2014-02-12,17:00:00,39.24,39.55,39.21,39.22,130281,0
2014-02-12,18:00:00,39.19,39.73,38.81,39.73,178745,0
2014-02-12,19:00:00,39.74,39.87,39.53,39.76,125314,0
2014-02-12,20:00:00,39.765,39.81,39.51,39.54,69786,0
2014-02-12,21:00:00,39.53,39.59,39.47,39.49,103657,0
2014-02-12,22:00:00,39.5,39.81,39.41,39.77,247078,0
2014-02-13,16:00:00,39.5,39.8,39.11,39.75,33544,0
2014-02-13,17:00:00,39.82,40.08,39.72,39.99,61213,0
2014-02-13,18:00:00,39.99,40.1624,39.88,40.11,52774,0
2014-02-13,19:00:00,40.08,40.27,40.08,40.18,88404,0
2014-02-13,20:00:00,40.2,40.69,40.2,40.655,138255,0
2014-02-13,21:00:00,40.64,40.67,40.42,40.56,72135,0
2014-02-13,22:00:00,40.55,40.75,40.46,40.75,223110,0
2014-02-14,16:00:00,40.66,40.68,39.63,39.825,53515,0
2014-02-14,17:00:00,39.8,40.01,39.25,39.28,105820,0
2014-02-14,18:00:00,39.29,39.79,39.24,39.66,30512,0
2014-02-14,19:00:00,39.67,40.04,39.52,40,60953,0
2014-02-14,20:00:00,39.95,40.11,39.91,39.99,65241,0
2014-02-14,21:00:00,39.99,40,39.89,39.93,32993,0
2014-02-14,22:00:00,39.95,39.95,39.74,39.83,142681,0
2014-02-18,16:00:00,40.51,41.12,40.05,40.8,195761,0
2014-02-18,17:00:00,40.84,41.24,40.7,40.76,114340,0
2014-02-18,18:00:00,40.75,41.36,40.75,41.19,95537,0
2014-02-18,19:00:00,41.15,41.305,41,41,52797,0
2014-02-18,20:00:00,41.02,41.06,40.8866,41.06,46063,0
2014-02-18,21:00:00,41.05,41.13,41.015,41.03,40107,0
2014-02-18,22:00:00,41.03,41.36,41,41.13,290063,0
2014-02-19,16:00:00,40.97,41.32,40.89,41.14,23165,0
2014-02-19,17:00:00,41.17,41.19,40.84,40.92,77661,0
2014-02-19,18:00:00,40.9,40.91,40.4975,40.53,30469,0
2014-02-19,19:00:00,40.45,40.55,40.29,40.45,53378,0
2014-02-19,20:00:00,40.44,40.76,40.44,40.7,61457,0
2014-02-19,21:00:00,40.72,40.87,40.66,40.69,44001,0
2014-02-19,22:00:00,40.69,40.71,40.55,40.58,320831,0
2014-02-20,16:00:00,41.7,42.2,39.708,41.24,312749,0
2014-02-20,17:00:00,41.21,41.29,40.34,40.57,161115,0
2014-02-20,18:00:00,40.57,40.98,40.39,40.82,110785,0
2014-02-20,19:00:00,40.82,40.87,40.5699,40.74,101064,0
2014-02-20,20:00:00,40.74,40.83,40.4,40.51,106245,0
2014-02-20,21:00:00,40.51,40.52,39.78,39.85,218156,0
2014-02-20,22:00:00,39.86,40.23,39.3408,40.21,362673,0
2014-02-21,16:00:00,40.07,40.1923,39.32,40.0525,103359,0
2014-02-21,17:00:00,40.0325,40.0794,39.765,40,101991,0
2014-02-21,18:00:00,39.99,40.05,39.59,39.99,166913,0
2014-02-21,19:00:00,39.96,40.003,39.7,39.8,64619,0
2014-02-21,20:00:00,39.8,39.85,39.57,39.58,89672,0
2014-02-21,21:00:00,39.58,39.66,39.23,39.23,164818,0
2014-02-21,22:00:00,39.23,39.42,39.145,39.26,233185,0
2014-02-24,16:00:00,39.43,40.61,39.43,40.5,119837,0
2014-02-24,17:00:00,40.5,40.8,40.34,40.64,124876,0
2014-02-24,18:00:00,40.63,40.81,40.59,40.76,49858,0
2014-02-24,19:00:00,40.76,40.81,40.41,40.46,55484,0
2014-02-24,20:00:00,40.43,40.55,40.39,40.39,23851,0
2014-02-24,21:00:00,40.39,40.43,40.25,40.26,70620,0
2014-02-24,22:00:00,40.24,40.68,40.14,40.64,258005,0
2014-02-25,16:00:00,40.4,40.62,39.73,39.79,50763,0
2014-02-25,17:00:00,39.755,40.09,39.02,39.19,368910,0
2014-02-25,18:00:00,39.16,39.49,39.11,39.31,92618,0
2014-02-25,19:00:00,39.31,39.48,39.285,39.46,67833,0
2014-02-25,20:00:00,39.47,39.55,39.38,39.53,56872,0
2014-02-25,21:00:00,39.53,39.59,39.4,39.5,43458,0
2014-02-25,22:00:00,39.5,39.59,39.47,39.58,150627,0
2014-02-26,16:00:00,39.36,40.18,39.36,39.84,28781,0
2014-02-26,17:00:00,39.89,40.56,39.89,40.31,59781,0
2014-02-26,18:00:00,40.36,40.76,40.36,40.7,79228,0
2014-02-26,19:00:00,40.69,40.86,40.66,40.71,27718,0
2014-02-26,20:00:00,40.68,40.68,40.49,40.49,32099,0
2014-02-26,21:00:00,40.52,40.59,40.21,40.23,30083,0
2014-02-26,22:00:00,40.24,40.57,40.22,40.55,141380,0
2014-02-27,16:00:00,40.45,40.786,40.14,40.39,256699,0
2014-02-27,17:00:00,40.39,40.42,40.13,40.2,54662,0
2014-02-27,18:00:00,40.23,40.23,39.74,39.74,85787,0
2014-02-27,19:00:00,39.73,40.02,39.7,39.82,54631,0
2014-02-27,20:00:00,39.81,39.93,39.64,39.64,100837,0
2014-02-27,21:00:00,39.63,39.66,39.35,39.38,109484,0
2014-02-27,22:00:00,39.37,39.54,39.15,39.37,245287,0
2014-02-28,16:00:00,39.45,39.64,39.27,39.35,11360,0
2014-02-28,17:00:00,39.34,40.03,39.34,39.91,57001,0
2014-02-28,18:00:00,39.91,39.91,39.73,39.78,35397,0
2014-02-28,19:00:00,39.77,39.82,39.53,39.68,67110,0
2014-02-28,20:00:00,39.68,39.8,39.66,39.785,31692,0
2014-02-28,21:00:00,39.77,39.89,39.64,39.67,46051,0
2014-02-28,22:00:00,39.68,39.685,39.43,39.55,227871,0
2014-03-03,16:00:00,39.083,39.71,39.025,39.58,28962,0
2014-03-03,17:00:00,39.65,39.72,39.11,39.36,54042,0
2014-03-03,18:00:00,39.35,39.55,39.09,39.21,116682,0
2014-03-03,19:00:00,39.21,39.48,39.17,39.43,32067,0
2014-03-03,20:00:00,39.42,39.5,39.36,39.4,49789,0
2014-03-03,21:00:00,39.42,39.44,39.27,39.37,49365,0
2014-03-03,22:00:00,39.38,39.38,39.12,39.2,107663,0
2014-03-04,16:00:00,39.33,40.26,39.33,40.25,49963,0
2014-03-04,17:00:00,40.25,40.3,39.98,40.15,77624,0
2014-03-04,18:00:00,40.18,40.19,39.9,39.95,53870,0
2014-03-04,19:00:00,39.95,40.04,39.76,40,42591,0
2014-03-04,20:00:00,40.02,40.09,39.89,39.89,31656,0
2014-03-04,21:00:00,39.86,39.9,39.78,39.82,55281,0
2014-03-04,22:00:00,39.81,39.86,39.57,39.61,163315,0
2014-03-05,16:00:00,39.61,39.91,39.3,39.32,22340,0
2014-03-05,17:00:00,39.38,39.54,39.35,39.46,77035,0
2014-03-05,18:00:00,39.46,39.48,39.25,39.39,97607,0
2014-03-05,19:00:00,39.39,39.42,39.29,39.37,118393,0
2014-03-05,20:00:00,39.36,39.38,39.02,39.05,31521,0
2014-03-05,21:00:00,39.05,39.08,38.97,39.08,95277,0
2014-03-05,22:00:00,39.12,39.46,39.03,39.43,197927,0
2014-03-06,16:00:00,39.44,39.86,39.24,39.68,23102,0
2014-03-06,17:00:00,39.61,40.07,39.59,40.03,72648,0
2014-03-06,18:00:00,40.05,40.33,39.97,40.33,33896,0
2014-03-06,19:00:00,40.33,40.45,40.3,40.31,22953,0
2014-03-06,20:00:00,40.34,40.41,40.28,40.32,46517,0
2014-03-06,21:00:00,40.31,40.42,40.3,40.32,31031,0
2014-03-06,22:00:00,40.32,40.46,40.32,40.35,74932,0
2014-03-07,16:00:00,40.33,40.75,40.33,40.572,57100,0
2014-03-07,17:00:00,40.58,40.78,40.48,40.51,52816,0
2014-03-07,18:00:00,40.5,40.7,40.38,40.65,35112,0
2014-03-07,19:00:00,40.68,40.68,40.4601,40.49,19609,0
2014-03-07,20:00:00,40.46,40.57,40.45,40.56,25974,0
2014-03-07,21:00:00,40.54,40.62,40.48,40.52,28782,0
2014-03-07,22:00:00,40.52,40.57,40.36,40.53,77438,0
2014-03-10,15:00:00,42.2,44.35,41.87,44.01,458780,0
2014-03-10,16:00:00,44.05,44.12,43.1,43.9,293608,0
2014-03-10,17:00:00,43.86,44.29,43.8,43.85,184605,0
2014-03-10,18:00:00,43.9,44.05,43.856,44.05,138666,0
2014-03-10,19:00:00,44.0499,44.34,43.89,44.17,143221,0
2014-03-10,20:00:00,44.15,44.25,43.35,43.46,156518,0
2014-03-10,21:00:00,43.445,43.9,43.26,43.3,427724,0
2014-03-11,15:00:00,43.59,44.24,43.45,43.91,108393,0
2014-03-11,16:00:00,43.9075,44.1541,43.415,43.46,199214,0
2014-03-11,17:00:00,43.4691,43.61,42.97,43.01,267780,0
2014-03-11,18:00:00,43.03,43.09,42.492,42.8,128640,0
2014-03-11,19:00:00,42.79,42.91,42.69,42.86,47542,0
2014-03-11,20:00:00,42.86,42.96,42.72,42.8,103411,0
2014-03-11,21:00:00,42.8,43.07,42.79,43.07,194682,0
2014-03-12,15:00:00,42.88,43.04,42.65,43,81534,0
2014-03-12,16:00:00,42.965,43.34,42.965,43.25,106885,0
2014-03-12,17:00:00,43.25,43.26,42.65,42.72,156706,0
2014-03-12,18:00:00,42.72,43.38,42.68,42.92,208101,0
