Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,60.889,60.889,60.883,60.883,2101,0
2014-02-10,17:00:00,60.898,60.923,60.898,60.923,3139,0
2014-02-10,18:00:00,60.898,60.923,60.894,60.923,8065,0
2014-02-10,19:00:00,60.919,60.923,60.893,60.923,7452,0
2014-02-10,20:00:00,60.923,60.923,60.893,60.921,4553,0
2014-02-10,21:00:00,60.921,60.921,60.873,60.885,88104,0
2014-02-10,22:00:00,60.885,60.893,60.883,60.883,3122,0
2014-02-11,16:00:00,60.853,60.853,60.853,60.853,600,0
2014-02-11,17:00:00,60.873,60.873,60.853,60.865,7912,0
2014-02-11,18:00:00,60.863,60.873,60.843,60.843,32842,0
2014-02-11,19:00:00,60.843,60.873,60.843,60.845,3577,0
2014-02-11,20:00:00,60.843,60.863,60.833,60.853,117099,0
2014-02-11,21:00:00,60.853,60.863,60.853,60.853,6588,0
2014-02-11,22:00:00,60.853,60.863,60.843,60.863,5660,0
2014-02-12,16:00:00,60.873,60.873,60.873,60.873,1760,0
2014-02-12,17:00:00,60.863,60.863,60.833,60.833,3380,0
2014-02-12,18:00:00,60.833,60.84,60.829,60.84,2223,0
2014-02-12,19:00:00,60.833,60.853,60.833,60.843,1177,0
2014-02-12,20:00:00,60.85,60.853,60.833,60.843,56910,0
2014-02-12,21:00:00,60.84,60.843,60.84,60.843,4634,0
2014-02-12,22:00:00,60.833,60.843,60.833,60.839,2468,0
2014-02-13,16:00:00,60.853,60.863,60.853,60.863,2039,0
2014-02-13,17:00:00,60.853,60.853,60.853,60.853,7884,0
2014-02-13,18:00:00,60.873,60.873,60.87,60.873,1567,0
2014-02-13,19:00:00,60.863,60.863,60.853,60.853,75396,0
2014-02-13,20:00:00,60.853,60.853,60.843,60.843,54782,0
2014-02-13,21:00:00,60.853,60.853,60.853,60.853,4001,0
2014-02-13,22:00:00,60.853,60.873,60.853,60.873,6564,0
2014-02-14,16:00:00,60.883,60.883,60.859,60.883,5346,0
2014-02-14,17:00:00,60.883,60.883,60.833,60.873,42024,0
2014-02-14,18:00:00,60.873,60.883,60.843,60.873,9373,0
2014-02-14,19:00:00,60.863,60.873,60.843,60.873,48503,0
2014-02-14,20:00:00,60.873,60.883,60.873,60.873,14930,0
2014-02-14,21:00:00,60.873,60.883,60.87,60.878,24645,0
2014-02-14,22:00:00,60.883,60.883,60.854,60.883,9420,0
2014-02-18,16:00:00,60.893,60.893,60.893,60.893,13357,0
2014-02-18,17:00:00,60.903,60.903,60.893,60.898,2652,0
2014-02-18,18:00:00,60.873,60.903,60.873,60.903,6114,0
2014-02-18,19:00:00,60.903,60.903,60.883,60.903,63648,0
2014-02-18,20:00:00,60.903,60.903,60.893,60.903,6316,0
2014-02-18,21:00:00,60.903,60.903,60.883,60.901,30482,0
2014-02-18,22:00:00,60.893,60.903,60.873,60.903,24205,0
2014-02-19,16:00:00,60.883,60.909,60.883,60.883,1322,0
2014-02-19,17:00:00,60.913,60.913,60.883,60.884,29884,0
2014-02-19,18:00:00,60.903,60.903,60.883,60.903,71934,0
2014-02-19,19:00:00,60.883,60.903,60.883,60.903,83320,0
2014-02-19,21:00:00,60.902,60.902,60.885,60.893,18234,0
2014-02-19,22:00:00,60.883,60.893,60.863,60.893,13497,0
2014-02-20,16:00:00,60.893,60.895,60.893,60.895,1742,0
2014-02-20,17:00:00,60.883,60.883,60.843,60.843,11403,0
2014-02-20,18:00:00,60.883,60.883,60.869,60.874,7948,0
2014-02-20,19:00:00,60.873,60.883,60.853,60.882,7099,0
2014-02-20,20:00:00,60.893,60.893,60.873,60.873,3644,0
2014-02-20,21:00:00,60.883,60.893,60.863,60.883,15327,0
2014-02-20,22:00:00,60.888,60.898,60.873,60.873,2274,0
2014-02-21,16:00:00,60.873,60.903,60.873,60.903,940,0
2014-02-21,17:00:00,60.893,60.913,60.893,60.913,1750,0
2014-02-21,18:00:00,60.913,60.913,60.9,60.903,4582,0
2014-02-21,19:00:00,60.913,60.913,60.883,60.883,7153,0
2014-02-21,20:00:00,60.895,60.903,60.883,60.883,9456,0
2014-02-21,21:00:00,60.912,60.913,60.903,60.903,7831,0
2014-02-21,22:00:00,60.903,60.923,60.883,60.883,2542,0
2014-02-24,16:00:00,60.893,60.893,60.888,60.888,7734,0
2014-02-24,17:00:00,60.883,60.886,60.883,60.884,6421,0
2014-02-24,18:00:00,60.888,60.891,60.888,60.891,500,0
2014-02-24,19:00:00,60.891,60.891,60.833,60.873,84730,0
2014-02-24,20:00:00,60.86,60.873,60.843,60.873,3451,0
2014-02-24,21:00:00,60.873,60.873,60.867,60.868,4452,0
2014-02-24,22:00:00,60.868,60.873,60.843,60.873,4934,0
2014-02-25,16:00:00,60.893,60.903,60.863,60.863,5622,0
2014-02-25,17:00:00,60.888,60.888,60.883,60.885,1754,0
2014-02-25,18:00:00,60.896,60.896,60.873,60.873,1574,0
2014-02-25,19:00:00,60.903,60.903,60.903,60.903,4879,0
2014-02-25,20:00:00,60.903,60.903,60.893,60.903,21666,0
2014-02-25,21:00:00,60.903,60.903,60.897,60.903,3288,0
2014-02-25,22:00:00,60.894,60.894,60.893,60.893,2337,0
2014-02-26,16:00:00,60.903,60.913,60.893,60.913,3202,0
2014-02-26,17:00:00,60.908,60.913,60.893,60.903,16439,0
2014-02-26,18:00:00,60.903,60.913,60.888,60.908,7062,0
2014-02-26,19:00:00,60.908,60.908,60.883,60.903,5329,0
2014-02-26,20:00:00,60.918,60.923,60.901,60.913,6319,0
2014-02-26,21:00:00,60.918,60.923,60.9,60.923,21576,0
2014-02-26,22:00:00,60.923,60.923,60.893,60.913,8894,0
2014-02-27,16:00:00,60.933,60.942,60.933,60.942,1935,0
2014-02-27,17:00:00,60.913,60.943,60.913,60.913,10398,0
2014-02-27,18:00:00,60.931,60.931,60.931,60.931,600,0
2014-02-27,19:00:00,60.933,60.943,60.928,60.943,3713,0
2014-02-27,20:00:00,60.938,60.943,60.933,60.943,8583,0
2014-02-27,21:00:00,60.936,60.936,60.936,60.936,513,0
2014-02-27,22:00:00,60.927,60.949,60.913,60.949,8809,0
2014-02-28,16:00:00,60.913,60.913,60.903,60.908,498,0
2014-02-28,17:00:00,60.903,60.913,60.893,60.913,1388,0
