Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,48.66,48.902,47.711,48.041,16556,0
2014-02-10,17:00:00,47.801,48.56,47.721,47.771,25300,0
2014-02-10,18:00:00,47.661,47.981,47.541,47.731,13408,0
2014-02-10,19:00:00,47.861,47.981,47.671,47.751,9129,0
2014-02-10,20:00:00,47.681,47.841,47.441,47.591,12161,0
2014-02-10,21:00:00,47.861,47.893,47.801,47.801,6441,0
2014-02-10,22:00:00,47.921,48.281,47.831,48.181,28950,0
2014-02-11,16:00:00,48.331,48.331,47.561,47.691,2727,0
2014-02-11,17:00:00,47.901,48.231,47.901,48.001,7565,0
2014-02-11,18:00:00,48.011,48.845,48.001,48.777,7804,0
2014-02-11,19:00:00,48.64,48.78,48.54,48.58,4602,0
2014-02-11,20:00:00,48.69,48.94,48.66,48.78,8704,0
2014-02-11,21:00:00,48.91,49.27,48.82,49.07,7059,0
2014-02-11,22:00:00,48.97,49.22,48.68,49.05,29001,0
2014-02-12,16:00:00,49.21,49.73,49.06,49.6,6261,0
2014-02-12,17:00:00,49.58,49.67,49.22,49.42,17657,0
2014-02-12,18:00:00,49.4,49.42,48.99,49.01,5780,0
2014-02-12,19:00:00,49.19,49.51,49.16,49.32,4048,0
2014-02-12,20:00:00,49.44,49.44,49.27,49.27,1801,0
2014-02-12,21:00:00,49.23,49.31,49.08,49.27,3101,0
2014-02-12,22:00:00,49.16,49.38,49.03,49.36,25027,0
2014-02-13,16:00:00,49.53,49.875,49.198,49.45,23509,0
2014-02-13,17:00:00,49.45,50.05,49.33,49.77,49542,0
2014-02-13,18:00:00,49.94,50.15,49.72,49.79,111331,0
2014-02-13,19:00:00,49.75,50.02,49.65,49.78,6112,0
2014-02-13,20:00:00,49.78,49.86,49.7,49.76,8115,0
2014-02-13,21:00:00,49.76,49.98,49.66,49.75,7411,0
2014-02-13,22:00:00,49.74,50.39,49.72,50.16,156454,0
2014-02-14,16:00:00,50.55,50.59,50.04,50.13,7203,0
2014-02-14,17:00:00,50.21,50.63,50.14,50.44,13101,0
2014-02-14,18:00:00,50.54,51.249,50.54,51.239,8812,0
2014-02-14,19:00:00,51.219,51.719,50.979,51.459,12494,0
2014-02-14,20:00:00,51.399,51.569,51.289,51.499,3672,0
2014-02-14,21:00:00,51.499,51.499,51.389,51.389,1200,0
2014-02-14,22:00:00,51.459,51.589,50.76,51.369,28890,0
2014-02-18,16:00:00,52.285,52.285,51.359,51.564,17409,0
2014-02-18,17:00:00,51.534,51.679,50.4,50.705,65243,0
2014-02-18,18:00:00,50.58,51.279,50.58,50.84,18315,0
2014-02-18,19:00:00,51.129,51.219,50.73,50.989,3101,0
2014-02-18,20:00:00,50.989,51.039,50.8,51.009,6279,0
2014-02-18,21:00:00,50.826,51.467,50.82,51.467,8650,0
2014-02-18,22:00:00,51.279,51.329,50.979,51.219,121703,0
2014-02-19,16:00:00,50.78,51.379,50.66,51.379,5352,0
2014-02-19,17:00:00,51.419,51.559,50.919,50.919,5920,0
2014-02-19,18:00:00,50.959,51.365,50.959,50.959,16028,0
2014-02-19,19:00:00,51.119,51.119,50.48,50.64,12741,0
2014-02-19,20:00:00,50.63,50.798,50.63,50.74,7696,0
2014-02-19,21:00:00,50.74,50.979,50.49,50.49,12167,0
2014-02-19,22:00:00,50.5,50.85,50.49,50.59,61153,0
