Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,0.075,0.08,0.075,0.08,95000,0
2014-02-10,19:00:00,0.08,0.08,0.08,0.08,100500,0
2014-02-10,20:00:00,0.075,0.08,0.075,0.08,40000,0
2014-02-11,16:00:00,0.08,0.08,0.08,0.08,1000,0
2014-02-11,17:00:00,0.0708,0.0708,0.0708,0.0708,2000,0
2014-02-11,22:00:00,0.0708,0.0708,0.0708,0.0708,2000,0
2014-02-12,18:00:00,0.08,0.08,0.08,0.08,100000,0
2014-02-12,19:00:00,0.085,0.085,0.085,0.085,11000,0
2014-02-13,20:00:00,0.08,0.08,0.08,0.08,12625,0
2014-02-14,17:00:00,0.0707,0.0707,0.0707,0.0707,25000,0
2014-02-14,18:00:00,0.0707,0.0707,0.0699,0.07,35475,0
2014-02-14,19:00:00,0.071,0.071,0.071,0.071,20500,0
2014-02-18,18:00:00,0.0798,0.08,0.0798,0.08,200000,0
2014-02-18,19:00:00,0.08,0.08,0.08,0.08,15000,0
2014-02-19,16:00:00,0.08,0.08,0.08,0.08,1000,0
2014-02-19,18:00:00,0.08,0.085,0.08,0.085,72900,0
2014-02-19,19:00:00,0.085,0.085,0.085,0.085,1000,0
2014-02-19,20:00:00,0.085,0.085,0.085,0.085,2350,0
2014-02-19,22:00:00,0.085,0.085,0.085,0.085,1000,0
2014-02-20,16:00:00,0.0721,0.09,0.0721,0.09,3500,0
2014-02-20,17:00:00,0.0721,0.0721,0.0721,0.0721,1000,0
2014-02-20,18:00:00,0.09,0.09,0.09,0.09,93150,0
2014-02-20,19:00:00,0.09,0.09,0.09,0.09,8350,0
2014-02-20,20:00:00,0.09,0.09,0.09,0.09,500,0
2014-02-21,16:00:00,0.0944,0.0944,0.0944,0.0944,10000,0
2014-02-21,18:00:00,0.095,0.095,0.095,0.095,2700,0
2014-02-24,16:00:00,0.09,0.09,0.09,0.09,7100,0
2014-02-24,17:00:00,0.09,0.11,0.09,0.1,73925,0
2014-02-24,18:00:00,0.1,0.1,0.1,0.1,23000,0
2014-02-24,20:00:00,0.1,0.1,0.1,0.1,2000,0
2014-02-24,22:00:00,0.1,0.1,0.1,0.1,700,0
2014-02-25,16:00:00,0.11,0.11,0.11,0.11,20000,0
2014-02-25,17:00:00,0.105,0.11,0.105,0.11,22000,0
2014-02-25,19:00:00,0.105,0.105,0.105,0.105,5000,0
2014-02-26,16:00:00,0.105,0.105,0.1,0.1,10000,0
2014-02-26,19:00:00,0.093,0.1,0.093,0.1,22000,0
2014-02-26,22:00:00,0.0901,0.0901,0.0901,0.0901,13000,0
2014-02-27,18:00:00,0.0901,0.0901,0.08,0.08,55000,0
2014-02-27,19:00:00,0.0899,0.09,0.0899,0.09,52625,0
2014-02-27,21:00:00,0.0904,0.0904,0.09,0.09,6000,0
2014-02-28,16:00:00,0.075,0.08,0.075,0.08,10000,0
2014-02-28,20:00:00,0.0701,0.0701,0.0701,0.0701,13661,0
2014-02-28,22:00:00,0.072,0.072,0.072,0.072,5000,0
2014-03-03,17:00:00,0.0661,0.0661,0.0661,0.0661,2000,0
2014-03-03,19:00:00,0.0999,0.0999,0.0999,0.0999,500,0
2014-03-03,20:00:00,0.1,0.1,0.1,0.1,700,0
2014-03-04,16:00:00,0.1,0.1,0.1,0.1,3000,0
2014-03-04,17:00:00,0.08,0.08,0.0752,0.0752,23000,0
2014-03-04,22:00:00,0.09,0.1,0.08,0.1,20000,0
2014-03-05,18:00:00,0.0808,0.0808,0.0616,0.0616,10000,0
2014-03-05,19:00:00,0.0701,0.0701,0.0701,0.0701,8600,0
2014-03-06,17:00:00,0.08,0.08,0.08,0.08,1000,0
2014-03-06,18:00:00,0.08,0.08,0.08,0.08,2600,0
2014-03-06,19:00:00,0.08,0.08,0.08,0.08,500,0
2014-03-06,21:00:00,0.08,0.09,0.08,0.09,5000,0
2014-03-07,18:00:00,0.09,0.1,0.09,0.1,67100,0
2014-03-07,19:00:00,0.105,0.11,0.1,0.1,71250,0
2014-03-10,16:00:00,0.11,0.12,0.1,0.12,81500,0
2014-03-10,17:00:00,0.12,0.14,0.115,0.14,339861,0
2014-03-10,18:00:00,0.122,0.122,0.122,0.122,51450,0
2014-03-10,19:00:00,0.13,0.1325,0.1275,0.1275,143500,0
2014-03-10,21:00:00,0.1255,0.13,0.125,0.13,78888,0
2014-03-11,15:00:00,0.13,0.13,0.125,0.125,8500,0
2014-03-11,16:00:00,0.13,0.13,0.12,0.12,165000,0
2014-03-11,18:00:00,0.123,0.14,0.123,0.14,135000,0
2014-03-11,19:00:00,0.135,0.135,0.135,0.135,100,0
2014-03-11,20:00:00,0.1232,0.1232,0.1232,0.1232,200,0
2014-03-11,21:00:00,0.1101,0.1101,0.1101,0.1101,300,0
2014-03-12,15:00:00,0.107,0.107,0.107,0.107,500,0
2014-03-12,16:00:00,0.107,0.13,0.107,0.12,57700,0
2014-03-12,18:00:00,0.12,0.12,0.12,0.12,25300,0
2014-03-12,19:00:00,0.13,0.13,0.13,0.13,42500,0
2014-03-13,15:00:00,0.1261,0.1261,0.1261,0.1261,1000,0
2014-03-13,16:00:00,0.128,0.128,0.1261,0.1261,12000,0
2014-03-13,17:00:00,0.1261,0.1261,0.1261,0.1261,3900,0
2014-03-13,18:00:00,0.125,0.13,0.125,0.13,10000,0
2014-03-13,19:00:00,0.132,0.145,0.13,0.1375,132125,0
2014-03-13,20:00:00,0.135,0.135,0.135,0.135,6000,0
2014-03-13,21:00:00,0.135,0.14,0.135,0.14,28778,0
2014-03-14,15:00:00,0.135,0.135,0.135,0.135,5000,0
2014-03-14,16:00:00,0.1361,0.1361,0.135,0.135,30000,0
2014-03-14,18:00:00,0.112,0.112,0.112,0.112,5000,0
2014-03-17,20:00:00,0.112,0.112,0.112,0.112,1000,0
2014-03-17,21:00:00,0.12,0.12,0.12,0.12,3200,0
2014-03-18,15:00:00,0.1138,0.1138,0.1138,0.1138,5000,0
2014-03-18,16:00:00,0.112,0.112,0.112,0.112,5000,0
2014-03-19,16:00:00,0.1089,0.1089,0.1089,0.1089,5000,0
2014-03-19,17:00:00,0.11,0.115,0.11,0.115,5261,0
2014-03-19,18:00:00,0.12,0.12,0.1151,0.1151,46400,0
2014-03-19,21:00:00,0.1325,0.1325,0.1325,0.1325,5000,0
2014-03-20,15:00:00,0.149,0.149,0.149,0.149,30000,0
2014-03-20,16:00:00,0.1201,0.1201,0.1201,0.1201,5000,0
2014-03-21,17:00:00,0.1299,0.13,0.1299,0.13,5384,0
2014-03-21,18:00:00,0.1301,0.1301,0.1301,0.1301,5100,0
2014-03-21,19:00:00,0.1301,0.1301,0.1301,0.1301,10000,0
2014-03-21,20:00:00,0.1203,0.1203,0.1203,0.1203,5000,0
2014-03-21,21:00:00,0.1203,0.1203,0.1201,0.1201,24500,0
2014-03-24,16:00:00,0.1375,0.1449,0.1375,0.14,40000,0
2014-03-24,18:00:00,0.1439,0.15,0.1438,0.15,134850,0
2014-03-24,19:00:00,0.15,0.15,0.15,0.15,32000,0
2014-03-24,21:00:00,0.1474,0.15,0.1474,0.1475,54215,0
2014-03-25,16:00:00,0.1475,0.15,0.1475,0.15,34400,0
2014-03-25,17:00:00,0.145,0.145,0.145,0.145,5000,0
2014-03-25,18:00:00,0.145,0.145,0.145,0.145,17000,0
2014-03-25,19:00:00,0.145,0.145,0.145,0.145,18000,0
2014-03-26,16:00:00,0.142,0.142,0.142,0.142,50000,0
2014-03-26,21:00:00,0.1366,0.1366,0.1366,0.1366,3500,0
2014-03-27,15:00:00,0.1303,0.1303,0.1303,0.1303,1650,0
2014-03-27,17:00:00,0.143,0.15,0.143,0.15,70000,0
2014-03-27,19:00:00,0.15,0.15,0.15,0.15,20000,0
2014-03-27,21:00:00,0.149,0.149,0.1331,0.1331,20300,0
2014-03-28,17:00:00,0.1598,0.1598,0.1598,0.1598,3200,0
2014-03-28,18:00:00,0.1399,0.1399,0.1353,0.1353,23800,0
2014-03-31,17:00:00,0.135,0.135,0.135,0.135,2000,0
2014-03-31,19:00:00,0.135,0.135,0.135,0.135,102,0
2014-03-31,22:00:00,0.1399,0.1399,0.1399,0.1399,1000,0
2014-04-01,16:00:00,0.1399,0.1399,0.1399,0.1399,13000,0
2014-04-01,17:00:00,0.1399,0.141,0.1399,0.141,19000,0
2014-04-01,19:00:00,0.141,0.141,0.141,0.141,8162,0
2014-04-02,21:00:00,0.145,0.145,0.145,0.145,4000,0
2014-04-03,18:00:00,0.15,0.15,0.15,0.15,22857,0
2014-04-03,22:00:00,0.1502,0.1502,0.15,0.15,30000,0
2014-04-04,16:00:00,0.17,0.17,0.17,0.17,7000,0
2014-04-04,17:00:00,0.1599,0.1599,0.1599,0.1599,5000,0
2014-04-04,18:00:00,0.1599,0.16,0.1599,0.16,39500,0
2014-04-04,19:00:00,0.16,0.16,0.16,0.16,10000,0
2014-04-04,21:00:00,0.16,0.16,0.16,0.16,30000,0
2014-04-04,22:00:00,0.16,0.169,0.16,0.169,16478,0
2014-04-07,16:00:00,0.17,0.29,0.155,0.2,205859,0
2014-04-07,17:00:00,0.198,0.28,0.1701,0.25,89291,0
2014-04-07,18:00:00,0.25,0.25,0.2,0.2,60909,0
2014-04-07,19:00:00,0.2,0.215,0.196,0.215,94400,0
2014-04-07,20:00:00,0.211,0.235,0.211,0.23,35624,0
2014-04-07,21:00:00,0.23,0.235,0.23,0.235,55630,0
2014-04-07,22:00:00,0.23,0.24,0.23,0.235,82500,0
2014-04-08,16:00:00,0.235,0.235,0.235,0.235,4500,0
2014-04-08,17:00:00,0.235,0.238,0.235,0.238,104550,0
2014-04-08,18:00:00,0.24,0.249,0.238,0.249,60500,0
2014-04-08,20:00:00,0.249,0.249,0.24,0.241,38000,0
2014-04-08,21:00:00,0.238,0.24,0.235,0.235,89550,0
2014-04-08,22:00:00,0.21,0.21,0.21,0.21,200,0
2014-04-09,18:00:00,0.22,0.24,0.22,0.2345,28800,0
2014-04-09,19:00:00,0.239,0.239,0.239,0.239,3000,0
2014-04-09,20:00:00,0.239,0.239,0.239,0.239,4000,0
2014-04-09,21:00:00,0.235,0.235,0.23,0.23,40000,0
2014-04-10,17:00:00,0.24,0.24,0.24,0.24,5275,0
2014-04-10,18:00:00,0.211,0.211,0.211,0.211,1000,0
2014-04-10,19:00:00,0.24,0.24,0.24,0.24,11000,0
2014-04-11,16:00:00,0.23,0.23,0.18,0.18,91799,0
2014-04-11,17:00:00,0.18,0.215,0.18,0.19,105199,0
2014-04-11,18:00:00,0.21,0.21,0.21,0.21,200,0
2014-04-11,19:00:00,0.21,0.23,0.21,0.23,59500,0
2014-04-11,20:00:00,0.22,0.22,0.2,0.2,58000,0
2014-04-11,21:00:00,0.2,0.2,0.2,0.2,7801,0
2014-04-11,22:00:00,0.21,0.21,0.21,0.21,3000,0
2014-04-14,16:00:00,0.1951,0.1951,0.1951,0.1951,13000,0
2014-04-14,17:00:00,0.1951,0.1951,0.195,0.195,3000,0
2014-04-14,18:00:00,0.2179,0.22,0.2179,0.22,21558,0
2014-04-14,19:00:00,0.22,0.22,0.22,0.22,19000,0
2014-04-14,21:00:00,0.22,0.22,0.22,0.22,5000,0
2014-04-15,18:00:00,0.21,0.21,0.21,0.21,12000,0
2014-04-15,19:00:00,0.21,0.21,0.21,0.21,9450,0
2014-04-15,20:00:00,0.21,0.21,0.21,0.21,6299,0
2014-04-16,16:00:00,0.1801,0.1801,0.1801,0.1801,3000,0
2014-04-16,18:00:00,0.21,0.21,0.21,0.21,50000,0
2014-04-21,18:00:00,0.205,0.21,0.205,0.21,4350,0
2014-04-21,21:00:00,0.22,0.22,0.22,0.22,4150,0
2014-04-21,22:00:00,0.21,0.21,0.21,0.21,4000,0
2014-04-22,16:00:00,0.2101,0.2101,0.2101,0.2101,3000,0
2014-04-22,17:00:00,0.2176,0.229,0.2176,0.229,13000,0
2014-04-22,18:00:00,0.2299,0.23,0.2299,0.23,4300,0
2014-04-22,20:00:00,0.23,0.248,0.23,0.23,69700,0
2014-04-22,21:00:00,0.23,0.23,0.23,0.23,162,0
2014-04-22,22:00:00,0.235,0.235,0.23,0.23,10000,0
2014-04-23,17:00:00,0.2336,0.2336,0.23,0.23,5100,0
2014-04-23,18:00:00,0.23,0.23,0.23,0.23,2000,0
2014-04-24,17:00:00,0.2315,0.2315,0.23,0.23,17500,0
2014-04-24,21:00:00,0.21,0.21,0.2,0.2,30500,0
2014-04-25,16:00:00,0.2,0.2,0.2,0.2,1000,0
2014-04-25,18:00:00,0.2298,0.23,0.2298,0.23,44001,0
