Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,14.2574,14.2574,13.92,14.07,9887,0
2014-02-10,17:00:00,13.93,14.07,13.784,14.0278,6432,0
2014-02-10,18:00:00,14.1,14.1,13.99,14.058,1400,0
2014-02-10,19:00:00,14.05,14.05,13.936,13.936,3000,0
2014-02-10,20:00:00,14,14,13.93,13.99,2000,0
2014-02-10,21:00:00,14,14,13.97,13.99,1600,0
2014-02-10,22:00:00,13.96,14,13.81,13.9,40461,0
2014-02-11,16:00:00,14.03,14.03,13.89,13.99,4370,0
2014-02-11,17:00:00,14.03,14.1,13.99,14.06,12948,0
2014-02-11,18:00:00,14,14.1,13.8901,14.1,8560,0
2014-02-11,19:00:00,14.15,14.15,13.99,14.03,20202,0
2014-02-11,20:00:00,14.05,14.0899,14,14,10100,0
2014-02-11,21:00:00,14,14.01,13.9601,14,28116,0
2014-02-11,22:00:00,14.09,14.12,14.02,14.07,17672,0
2014-02-12,16:00:00,14.07,14.1,14.05,14.095,10342,0
2014-02-12,17:00:00,14.15,14.37,14.1,14.2,22580,0
2014-02-12,18:00:00,14.18,14.19,14.0701,14.0701,2500,0
2014-02-12,19:00:00,14.07,14.2,14.04,14.15,4902,0
2014-02-12,20:00:00,14.16,14.1999,14.11,14.1999,7688,0
2014-02-12,21:00:00,14.155,14.175,13.99,14,9810,0
2014-02-12,22:00:00,14.0027,14.1,13.9,14.1,19067,0
2014-02-13,16:00:00,14,14.06,13.95,13.95,4712,0
2014-02-13,17:00:00,14.03,14.19,13.98,14.124,6778,0
2014-02-13,18:00:00,14.105,14.1499,14.06,14.13,1800,0
2014-02-13,19:00:00,14.12,14.25,14.08,14.25,11100,0
2014-02-13,20:00:00,14.25,14.349,14.2,14.25,8050,0
2014-02-13,21:00:00,14.22,14.25,14.1801,14.238,6000,0
2014-02-13,22:00:00,14.25,14.41,14.1601,14.41,82917,0
2014-02-14,16:00:00,14.4,14.4388,14.37,14.384,16922,0
2014-02-14,17:00:00,14.38,14.7,14.38,14.585,25753,0
2014-02-14,18:00:00,14.6,14.7185,14.585,14.7,36337,0
2014-02-14,19:00:00,14.65,14.76,14.63,14.7401,26892,0
2014-02-14,20:00:00,14.74,14.81,14.6901,14.7,12128,0
2014-02-14,21:00:00,14.68,14.7,14.64,14.7,2244,0
2014-02-14,22:00:00,14.6701,14.7,14.5,14.58,92268,0
2014-02-18,16:00:00,14.715,14.715,14.65,14.69,2402,0
2014-02-18,17:00:00,14.7,14.769,14.555,14.74,11882,0
2014-02-18,18:00:00,14.8,14.99,14.79,14.98,12983,0
2014-02-18,19:00:00,14.9325,14.99,14.86,14.9494,12615,0
2014-02-18,20:00:00,14.92,14.92,14.89,14.89,5800,0
2014-02-18,21:00:00,14.82,14.95,14.78,14.9,14655,0
2014-02-18,22:00:00,14.9,14.9,14.84,14.88,37230,0
2014-02-19,16:00:00,14.78,14.85,14.76,14.82,7440,0
2014-02-19,17:00:00,14.85,14.85,14.78,14.83,9496,0
2014-02-19,18:00:00,14.83,14.85,14.76,14.83,5110,0
2014-02-19,19:00:00,14.77,14.81,14.71,14.71,5524,0
2014-02-19,20:00:00,14.78,14.8,14.78,14.79,1400,0
2014-02-19,21:00:00,14.79,14.8,14.79,14.79,1900,0
2014-02-19,22:00:00,14.76,14.8,14.69,14.7,13156,0
2014-02-20,16:00:00,14.7,14.84,14.7,14.84,2420,0
2014-02-20,17:00:00,14.85,14.9,14.85,14.9,12236,0
2014-02-20,18:00:00,14.9,14.95,14.85,14.95,11818,0
2014-02-20,19:00:00,14.95,15,14.9,14.98,26685,0
2014-02-20,20:00:00,14.944,14.99,14.91,14.95,29808,0
2014-02-20,21:00:00,14.95,15,14.95,14.96,36017,0
2014-02-20,22:00:00,14.97,15.02,14.869,14.92,49411,0
2014-02-21,16:00:00,15,15.01,14.99,15,2700,0
2014-02-21,17:00:00,15,15.1,14.9555,15,13269,0
2014-02-21,18:00:00,15,15,14.98,15,4852,0
2014-02-21,19:00:00,15,15.02,14.919,15,7264,0
2014-02-21,20:00:00,15.01,15.01,14.965,14.98,1600,0
2014-02-21,21:00:00,14.929,15,14.9,14.9,4900,0
2014-02-21,22:00:00,14.91,15,14.75,14.79,14355,0
2014-02-24,16:00:00,14.8,14.9,14.741,14.9,2450,0
2014-02-24,17:00:00,14.93,14.93,14.9,14.9,1500,0
2014-02-24,18:00:00,14.9,14.91,14.87,14.9,5297,0
2014-02-24,19:00:00,14.935,14.96,14.8925,14.9,4380,0
2014-02-24,20:00:00,14.909,14.93,14.84,14.9,10646,0
2014-02-24,21:00:00,14.9,14.95,14.8,14.86,6212,0
2014-02-24,22:00:00,14.89,14.925,14.75,14.81,35196,0
2014-02-25,16:00:00,14.76,14.76,14.76,14.76,1100,0
2014-02-25,17:00:00,14.75,14.87,14.75,14.87,1400,0
2014-02-25,18:00:00,14.802,14.8699,14.802,14.86,1400,0
2014-02-25,20:00:00,14.93,14.95,14.93,14.95,600,0
2014-02-25,21:00:00,14.8685,14.96,14.85,14.85,3088,0
2014-02-25,22:00:00,14.7545,14.76,14.64,14.68,13303,0
2014-02-26,16:00:00,14.77,14.85,14.77,14.85,1400,0
2014-02-26,17:00:00,14.84,15.05,14.84,14.92,9179,0
2014-02-26,18:00:00,14.94,15.09,14.89,15.09,2200,0
2014-02-26,19:00:00,15.05,15.15,15.05,15.12,4100,0
2014-02-26,20:00:00,15.14,15.15,14.97,15.0035,14506,0
2014-02-26,21:00:00,15,15.07,14.89,14.93,3700,0
2014-02-26,22:00:00,15.02,15.02,14.85,14.98,8900,0
2014-02-27,16:00:00,14.88,14.92,14.88,14.92,2106,0
2014-02-27,18:00:00,14.94,14.96,14.94,14.96,1300,0
2014-02-27,20:00:00,14.89,15,14.89,14.98,6656,0
2014-02-27,21:00:00,14.97,14.97,14.92,14.92,3300,0
2014-02-27,22:00:00,15.03,15.1,14.93,15.1,14513,0
2014-02-28,16:00:00,15.12,15.14,14.98,15.14,5800,0
2014-02-28,17:00:00,15.15,15.62,15.15,15.32,18625,0
2014-02-28,18:00:00,15.33,15.389,15.26,15.28,5350,0
2014-02-28,19:00:00,15.28,15.36,15.263,15.31,1900,0
2014-02-28,20:00:00,15.32,15.38,15.26,15.34,1700,0
2014-02-28,21:00:00,15.35,15.39,15.031,15.12,13502,0
2014-02-28,22:00:00,15.15,15.22,15.07,15.11,25851,0
2014-03-03,16:00:00,15.01,15.0592,14.7505,15.0592,5952,0
2014-03-03,17:00:00,14.71,15.01,14.71,15.01,2500,0
2014-03-03,18:00:00,14.94,14.95,14.81,14.94,7703,0
2014-03-03,19:00:00,14.988,15.13,14.9295,15.01,2650,0
2014-03-03,20:00:00,15.04,15.04,15.04,15.04,500,0
2014-03-03,21:00:00,15.02,15.05,15.02,15.05,1300,0
2014-03-03,22:00:00,15.03,15.19,15.03,15.18,6300,0
2014-03-04,16:00:00,15.38,15.72,15.2545,15.52,24230,0
2014-03-04,17:00:00,15.41,15.82,15.271,15.7,27708,0
2014-03-04,18:00:00,15.73,15.73,15.5501,15.68,11287,0
2014-03-04,19:00:00,15.68,15.695,15.6625,15.69,5499,0
2014-03-04,20:00:00,15.69,15.72,15.64,15.66,8398,0
2014-03-04,21:00:00,15.6,15.6,15.47,15.52,5388,0
2014-03-04,22:00:00,15.54,15.7,15.48,15.51,20703,0
2014-03-05,16:00:00,15.4,15.4,15.4,15.4,1404,0
2014-03-05,17:00:00,15.4,15.48,15.4,15.47,8621,0
2014-03-05,18:00:00,15.48,15.48,15.48,15.48,1300,0
2014-03-05,19:00:00,15.45,15.48,15.45,15.48,3625,0
2014-03-05,20:00:00,15.48,15.5,15.48,15.5,800,0
2014-03-05,21:00:00,15.5,15.54,15.463,15.5,2681,0
2014-03-05,22:00:00,15.5,15.63,15.48,15.63,16526,0
2014-03-06,16:00:00,15.59,15.59,15.46,15.52,2100,0
2014-03-06,17:00:00,15.57,15.57,15.39,15.45,2500,0
2014-03-06,18:00:00,15.431,15.54,15.415,15.43,3140,0
2014-03-06,19:00:00,15.51,15.51,15.41,15.41,500,0
2014-03-06,20:00:00,15.41,15.47,15.38,15.39,1700,0
2014-03-06,21:00:00,15.4,15.45,15.4,15.42,700,0
2014-03-06,22:00:00,15.49,15.53,15.45,15.46,3131,0
2014-03-07,16:00:00,15.54,15.55,15.39,15.5,8614,0
2014-03-07,17:00:00,15.4995,15.5,15.35,15.35,15900,0
2014-03-07,18:00:00,15.42,15.86,15.4,15.67,22258,0
2014-03-07,19:00:00,15.661,15.74,15.63,15.74,2940,0
2014-03-07,20:00:00,15.72,15.87,15.67,15.72,37744,0
2014-03-07,21:00:00,15.8,15.8,15.65,15.72,9960,0
2014-03-07,22:00:00,15.72,15.8,15.67,15.72,27616,0
2014-03-10,15:00:00,16.07,16.46,16.02,16.401,42129,0
2014-03-10,16:00:00,16.4,16.4,16.14,16.16,29759,0
2014-03-10,17:00:00,16.2499,16.33,16.1501,16.2999,11225,0
2014-03-10,18:00:00,16.29,16.9,16.29,16.57,74388,0
2014-03-10,19:00:00,16.57,16.669,16.38,16.38,23339,0
2014-03-10,20:00:00,16.32,16.68,16.3,16.68,25940,0
