Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,11.21,11.28,11.17,11.21,1393458,0
2014-02-10,17:00:00,11.22,11.23,10.97,10.98,3311556,0
2014-02-10,18:00:00,10.99,11.07,10.83,11.01,4957844,0
2014-02-10,19:00:00,11.02,11.03,10.93,11.02,2572220,0
2014-02-10,20:00:00,11.02,11.06,10.96,11.06,2079232,0
2014-02-10,21:00:00,11.06,11.07,11.01,11.06,1822563,0
2014-02-10,22:00:00,11.07,11.07,11,11.06,5722915,0
2014-02-11,16:00:00,11.23,11.33,11.14,11.16,3231590,0
2014-02-11,17:00:00,11.16,11.22,11.13,11.19,2409656,0
2014-02-11,18:00:00,11.19,11.25,11.17,11.23,2015059,0
2014-02-11,19:00:00,11.22,11.28,11.18,11.22,1459389,0
2014-02-11,20:00:00,11.22,11.36,11.22,11.36,3132125,0
2014-02-11,21:00:00,11.36,11.38,11.33,11.35,2518553,0
2014-02-11,22:00:00,11.35,11.38,11.32,11.33,6371066,0
2014-02-12,16:00:00,11.35,11.48,11.32,11.43,2487210,0
2014-02-12,17:00:00,11.43,11.46,11.37,11.38,2445346,0
2014-02-12,18:00:00,11.38,11.41,11.3,11.33,1390252,0
2014-02-12,19:00:00,11.33,11.38,11.31,11.32,1100318,0
2014-02-12,20:00:00,11.32,11.33,11.29,11.31,1458365,0
2014-02-12,21:00:00,11.31,11.31,11.21,11.27,1408085,0
2014-02-12,22:00:00,11.27,11.31,11.25,11.27,3088367,0
2014-02-13,16:00:00,11.13,11.29,11.12,11.29,1420977,0
2014-02-13,17:00:00,11.29,11.32,11.24,11.29,1461421,0
2014-02-13,18:00:00,11.29,11.31,11.25,11.29,1047742,0
2014-02-13,19:00:00,11.29,11.35,11.28,11.35,701893,0
2014-02-13,20:00:00,11.34,11.45,11.34,11.45,2318610,0
2014-02-13,21:00:00,11.45,11.45,11.38,11.4,1622653,0
2014-02-13,22:00:00,11.4,11.43,11.38,11.4,4516871,0
2014-02-14,16:00:00,11.41,11.49,11.37,11.42,933566,0
2014-02-14,17:00:00,11.42,11.44,11.32,11.33,2317870,0
2014-02-14,18:00:00,11.32,11.39,11.3,11.32,1431097,0
2014-02-14,19:00:00,11.33,11.37,11.31,11.36,979574,0
2014-02-14,20:00:00,11.35,11.4,11.34,11.4,760892,0
2014-02-14,21:00:00,11.39,11.4,11.37,11.39,778356,0
2014-02-14,22:00:00,11.39,11.39,11.35,11.37,4054474,0
2014-02-18,16:00:00,11.34,11.42,11.21,11.27,2520661,0
2014-02-18,17:00:00,11.26,11.41,11.23,11.32,3196526,0
2014-02-18,18:00:00,11.32,11.4,11.28,11.39,1530929,0
2014-02-18,19:00:00,11.39,11.44,11.37,11.43,1662495,0
2014-02-18,20:00:00,11.43,11.43,11.38,11.41,814035,0
2014-02-18,21:00:00,11.41,11.43,11.38,11.38,1128225,0
2014-02-18,22:00:00,11.38,11.43,11.37,11.4,3506334,0
2014-02-19,16:00:00,11.38,11.6,11.34,11.6,2813114,0
2014-02-19,17:00:00,11.59,11.95,11.57,11.95,7299966,0
2014-02-19,18:00:00,11.95,12,11.79,11.79,4987934,0
2014-02-19,19:00:00,11.79,11.87,11.72,11.83,3269775,0
2014-02-19,20:00:00,11.82,11.9,11.81,11.86,2075162,0
2014-02-19,21:00:00,11.86,11.9,11.8,11.85,3407513,0
2014-02-19,22:00:00,11.85,11.87,11.76,11.76,16139927,0
2014-02-20,16:00:00,11.76,11.84,11.61,11.79,3766931,0
2014-02-20,17:00:00,11.78,11.83,11.71,11.81,3816689,0
2014-02-20,18:00:00,11.8,11.81,11.73,11.75,2713998,0
2014-02-20,19:00:00,11.75,11.77,11.73,11.74,1259510,0
2014-02-20,20:00:00,11.74,11.8,11.72,11.77,1564582,0
2014-02-20,21:00:00,11.76,11.8,11.73,11.8,2089353,0
2014-02-20,22:00:00,11.79,11.8,11.77,11.78,5311589,0
2014-02-21,16:00:00,11.84,11.9,11.79,11.87,2875844,0
