Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,7.4202,7.4595,7.4104,7.4595,8461,0
2014-02-10,17:00:00,7.4595,7.4987,7.4202,7.4398,38761,0
2014-02-10,18:00:00,7.4398,7.4791,7.43,7.4693,21224,0
2014-02-10,19:00:00,7.4595,7.4595,7.4398,7.4496,8419,0
2014-02-10,20:00:00,7.4595,7.4693,7.4595,7.4693,11077,0
2014-02-10,21:00:00,7.4791,7.4987,7.4791,7.4987,14999,0
2014-02-10,22:00:00,7.4889,7.4987,7.4693,7.4889,14005,0
2014-02-11,16:00:00,7.5085,7.5282,7.5085,7.5282,11416,0
2014-02-11,17:00:00,7.5282,7.5478,7.5184,7.538,34128,0
2014-02-11,18:00:00,7.5282,7.5478,7.5282,7.538,9472,0
2014-02-11,19:00:00,7.538,7.5478,7.5184,7.5282,24485,0
2014-02-11,20:00:00,7.5282,7.5282,7.5282,7.5282,2140,0
2014-02-11,21:00:00,7.5282,7.5282,7.5184,7.5282,7811,0
2014-02-11,22:00:00,7.5282,7.5282,7.5184,7.5282,13217,0
2014-02-12,16:00:00,7.5252,7.5647,7.5252,7.5252,4355,0
2014-02-12,17:00:00,7.5548,7.5548,7.5351,7.545,15082,0
2014-02-12,18:00:00,7.545,7.5548,7.5153,7.5351,15364,0
2014-02-12,19:00:00,7.5351,7.5746,7.5351,7.5746,12111,0
2014-02-12,20:00:00,7.5746,7.5943,7.5647,7.5746,14721,0
2014-02-12,21:00:00,7.5746,7.5746,7.5548,7.5746,2773,0
2014-02-12,22:00:00,7.5746,7.5746,7.5647,7.5746,13258,0
2014-02-13,16:00:00,7.5351,7.5548,7.5252,7.5548,5294,0
2014-02-13,17:00:00,7.545,7.5943,7.545,7.5943,10594,0
2014-02-13,18:00:00,7.5943,7.6042,7.5746,7.6042,12135,0
2014-02-13,19:00:00,7.6042,7.6141,7.5943,7.6141,21563,0
2014-02-13,20:00:00,7.624,7.6338,7.624,7.624,6086,0
2014-02-13,21:00:00,7.6141,7.6338,7.6141,7.6141,10645,0
2014-02-13,22:00:00,7.624,7.6338,7.6141,7.6338,18069,0
2014-02-14,16:00:00,7.624,7.6437,7.624,7.6338,2923,0
2014-02-14,17:00:00,7.6437,7.6437,7.624,7.6437,18410,0
2014-02-14,18:00:00,7.6437,7.6536,7.6338,7.6437,8685,0
2014-02-14,19:00:00,7.6536,7.6536,7.6338,7.6338,10430,0
2014-02-14,20:00:00,7.6338,7.6338,7.5548,7.5548,20295,0
2014-02-14,21:00:00,7.5548,7.5845,7.5548,7.5845,4100,0
2014-02-14,22:00:00,7.5845,7.6141,7.5746,7.5943,10627,0
2014-02-18,16:00:00,7.5746,7.6141,7.5746,7.5746,23070,0
2014-02-18,17:00:00,7.5845,7.6536,7.5845,7.6536,19071,0
2014-02-18,18:00:00,7.6536,7.6931,7.6437,7.6931,22400,0
2014-02-18,19:00:00,7.6931,7.6931,7.6536,7.6931,35021,0
2014-02-18,20:00:00,7.6832,7.6931,7.6832,7.6832,4243,0
2014-02-18,21:00:00,7.6832,7.6832,7.6536,7.6733,13133,0
2014-02-18,22:00:00,7.6733,7.6832,7.6635,7.6832,17460,0
2014-02-19,16:00:00,7.6536,7.6536,7.624,7.624,8354,0
2014-02-19,17:00:00,7.6141,7.6437,7.6141,7.624,13006,0
2014-02-19,18:00:00,7.624,7.6437,7.5943,7.5943,17902,0
2014-02-19,19:00:00,7.5845,7.6536,7.5746,7.6536,24841,0
2014-02-19,20:00:00,7.6338,7.6437,7.624,7.624,16254,0
2014-02-19,21:00:00,7.624,7.624,7.5647,7.5647,9340,0
2014-02-19,22:00:00,7.5647,7.5845,7.5351,7.5746,6044,0
2014-02-20,16:00:00,7.5647,7.5845,7.5548,7.5746,3493,0
2014-02-20,17:00:00,7.5845,7.624,7.5845,7.6042,9370,0
2014-02-20,18:00:00,7.6042,7.624,7.5943,7.6141,15153,0
2014-02-20,19:00:00,7.6141,7.624,7.5943,7.624,10835,0
2014-02-20,20:00:00,7.6141,7.624,7.6042,7.6042,1924,0
2014-02-20,21:00:00,7.6042,7.6042,7.5845,7.5943,6714,0
