Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-12,16:00:00,23,23,23,23,100,0
2014-02-13,19:00:00,23.02,23.02,23.02,23.02,100,0
2014-02-13,20:00:00,23,23,23,23,200,0
2014-02-18,18:00:00,22.41,22.41,22.41,22.41,100,0
2014-02-21,21:00:00,24.11,24.11,24.11,24.11,100,0
2014-02-21,22:00:00,23.72,23.72,23.72,23.72,100,0
2014-02-24,21:00:00,24.6,24.6,24.6,24.6,100,0
2014-02-25,16:00:00,23,23,23,23,300,0
2014-02-26,18:00:00,24.86,24.86,24.86,24.86,200,0
2014-02-26,21:00:00,24.85,24.85,24.85,24.85,200,0
2014-02-27,18:00:00,25.2,25.2,25.2,25.2,100,0
2014-02-28,21:00:00,26.06,26.46,26.06,26.18,800,0
2014-03-03,18:00:00,25.76,25.76,25.76,25.76,100,0
2014-03-04,16:00:00,26.28,26.28,26.28,26.28,100,0
2014-03-04,22:00:00,26.16,26.16,26.16,26.16,500,0
2014-03-06,21:00:00,26.41,26.41,26.41,26.41,100,0
2014-03-07,21:00:00,25.5,25.5,25.5,25.5,100,0
2014-03-07,22:00:00,25.75,25.75,25.75,25.75,100,0
2014-03-10,20:00:00,27.32,27.32,27.32,27.32,100,0
2014-03-11,20:00:00,25.69,25.69,25.69,25.69,100,0
2014-03-12,20:00:00,27.25,27.25,27.25,27.25,100,0
2014-03-13,20:00:00,25.75,25.75,25.75,25.75,100,0
2014-03-17,20:00:00,27.89,27.89,27.89,27.89,200,0
2014-03-18,20:00:00,26.22,26.22,26.22,26.22,100,0
2014-03-20,16:00:00,26.51,26.51,26.51,26.51,300,0
2014-03-21,19:00:00,26.5,26.5,26.5,26.5,200,0
2014-03-21,20:00:00,26.5,26.5,26.5,26.5,300,0
2014-03-21,21:00:00,26.5,26.5,25.55,25.55,1700,0
2014-03-24,19:00:00,26.3,26.3,26.3,26.3,1500,0
2014-03-24,21:00:00,27.55,27.55,27.55,27.55,200,0
2014-03-25,20:00:00,27.55,27.55,27.55,27.55,200,0
2014-03-26,19:00:00,26.01,26.01,26.01,26.01,100,0
2014-03-26,20:00:00,25.73,25.73,25.73,25.73,100,0
2014-03-28,20:00:00,26.79,26.79,26.79,26.79,100,0
2014-04-02,18:00:00,25.8,25.8,25.8,25.8,100,0
2014-04-03,21:00:00,26.28,27.28,26.28,27.28,400,0
2014-04-04,21:00:00,27.79,27.79,27.79,27.79,100,0
2014-04-11,21:00:00,28.5,28.5,28.5,28.5,200,0
2014-04-14,18:00:00,27.17,27.25,27.13,27.25,6504,0
2014-04-16,19:00:00,27.39,27.39,27.39,27.39,300,0
2014-04-16,21:00:00,27.47,27.47,27.47,27.47,100,0
2014-04-21,21:00:00,28.45,28.45,28.45,28.45,100,0
2014-04-22,16:00:00,28.77,28.77,27.64,27.64,700,0
2014-05-01,17:00:00,26.5,27.6,26.5,27.6,900,0
2014-05-02,18:00:00,27.7,27.8,27.7,27.74,602,0
2014-05-07,18:00:00,26.87,26.87,26.87,26.87,100,0
