Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,26.136,26.186,26.016,26.036,36531,0
2014-02-10,17:00:00,26.026,26.046,25.807,25.907,76175,0
2014-02-10,18:00:00,25.936,26.335,25.907,26.266,230153,0
2014-02-10,19:00:00,26.325,26.325,26.226,26.295,45406,0
2014-02-10,20:00:00,26.295,26.345,26.166,26.166,25936,0
2014-02-10,21:00:00,26.176,26.236,26.156,26.206,37743,0
2014-02-10,22:00:00,26.216,26.266,26.196,26.226,85742,0
2014-02-11,16:00:00,26.236,26.345,26.226,26.226,26219,0
2014-02-11,17:00:00,26.226,26.515,26.226,26.395,26259,0
2014-02-11,18:00:00,26.425,26.515,26.385,26.515,8623,0
2014-02-11,19:00:00,26.495,26.634,26.475,26.634,17674,0
2014-02-11,20:00:00,26.634,26.704,26.634,26.704,7794,0
2014-02-11,21:00:00,26.674,26.744,26.674,26.734,12251,0
2014-02-11,22:00:00,26.734,26.764,26.565,26.595,42518,0
2014-02-12,16:00:00,26.634,27.163,26.634,26.934,24131,0
2014-02-12,17:00:00,26.964,27.053,26.864,26.984,33641,0
2014-02-12,18:00:00,26.993,27.023,26.864,26.993,28157,0
2014-02-12,19:00:00,26.993,27.153,26.964,27.083,24915,0
2014-02-12,20:00:00,27.113,27.273,27.083,27.203,49224,0
2014-02-12,21:00:00,27.203,27.213,27.153,27.183,25802,0
2014-02-12,22:00:00,27.183,27.203,27.133,27.203,72513,0
2014-02-13,16:00:00,26.974,27.073,26.864,26.954,14941,0
2014-02-13,17:00:00,26.944,27.163,26.944,27.133,15594,0
2014-02-13,18:00:00,27.123,27.183,27.123,27.133,14256,0
2014-02-13,19:00:00,27.123,27.163,27.073,27.153,17811,0
2014-02-13,20:00:00,27.163,27.382,27.163,27.382,14989,0
2014-02-13,21:00:00,27.402,27.452,27.253,27.323,42577,0
2014-02-13,22:00:00,27.313,27.333,27.253,27.313,157736,0
2014-02-14,16:00:00,27.223,27.233,26.984,27.153,38794,0
2014-02-14,17:00:00,27.163,27.233,27.063,27.163,21060,0
2014-02-14,18:00:00,27.143,27.263,27.123,27.253,22856,0
2014-02-14,19:00:00,27.253,27.283,27.183,27.183,25368,0
2014-02-14,20:00:00,27.213,27.253,27.143,27.243,13933,0
2014-02-14,21:00:00,27.243,27.283,27.203,27.233,21275,0
2014-02-14,22:00:00,27.223,27.323,27.213,27.253,77807,0
2014-02-18,16:00:00,27.223,27.283,27.043,27.113,54258,0
2014-02-18,17:00:00,27.223,27.313,27.093,27.283,45969,0
2014-02-18,18:00:00,27.253,27.382,27.193,27.213,38512,0
2014-02-18,19:00:00,27.173,27.253,27.163,27.203,16728,0
2014-02-18,20:00:00,27.203,27.323,27.203,27.243,17074,0
2014-02-18,21:00:00,27.243,27.293,27.183,27.203,58166,0
2014-02-18,22:00:00,27.193,27.472,27.193,27.342,358899,0
2014-02-19,16:00:00,27.253,27.402,27.233,27.342,10445,0
2014-02-19,17:00:00,27.362,27.492,27.273,27.273,19294,0
2014-02-19,18:00:00,27.233,27.352,27.133,27.293,27977,0
2014-02-19,19:00:00,27.253,27.352,27.193,27.313,32230,0
2014-02-19,20:00:00,27.293,27.412,27.283,27.352,40941,0
2014-02-19,21:00:00,27.342,27.342,27.083,27.153,38549,0
2014-02-19,22:00:00,27.123,27.153,27.053,27.093,82398,0
2014-02-20,16:00:00,27.203,27.263,27.013,27.263,9744,0
2014-02-20,17:00:00,27.223,27.422,27.193,27.263,35845,0
2014-02-20,18:00:00,27.233,27.442,27.223,27.372,23141,0
2014-02-20,19:00:00,27.362,27.492,27.352,27.442,21096,0
2014-02-20,20:00:00,27.442,27.462,27.342,27.412,54967,0
2014-02-20,21:00:00,27.412,27.522,27.303,27.492,10346,0
2014-02-20,22:00:00,27.502,27.562,27.482,27.522,52829,0
2014-02-21,16:00:00,27.572,27.572,27.303,27.333,9106,0
2014-02-21,17:00:00,27.362,27.412,27.283,27.323,32244,0
2014-02-21,18:00:00,27.313,27.412,27.313,27.382,16613,0
2014-02-21,19:00:00,27.372,27.392,27.323,27.372,13677,0
2014-02-21,20:00:00,27.352,27.362,27.273,27.283,11232,0
2014-02-21,21:00:00,27.273,27.313,27.183,27.273,16045,0
2014-02-21,22:00:00,27.263,27.283,27.143,27.163,83978,0
2014-02-24,16:00:00,27.203,27.662,27.193,27.592,13836,0
2014-02-24,17:00:00,27.592,27.721,27.442,27.572,24864,0
2014-02-24,18:00:00,27.572,27.861,27.572,27.811,53029,0
2014-02-24,19:00:00,27.831,27.861,27.731,27.841,9825,0
2014-02-24,20:00:00,27.821,27.821,27.682,27.731,36603,0
2014-02-24,21:00:00,27.701,27.801,27.672,27.721,16749,0
2014-02-24,22:00:00,27.642,27.781,27.642,27.701,81148,0
2014-02-25,16:00:00,27.672,27.691,27.512,27.532,41960,0
2014-02-25,17:00:00,27.542,27.622,27.293,27.342,35176,0
2014-02-25,18:00:00,27.323,27.532,27.303,27.352,43433,0
2014-02-25,19:00:00,27.362,27.362,27.193,27.213,14613,0
2014-02-25,20:00:00,27.193,27.223,27.153,27.173,16305,0
2014-02-25,21:00:00,27.193,27.223,27.093,27.203,32481,0
2014-02-25,22:00:00,27.183,27.183,27.033,27.153,54732,0
2014-02-26,16:00:00,27.323,28.529,27.293,27.931,72437,0
2014-02-26,17:00:00,27.841,28.05,27.682,27.941,64570,0
2014-02-26,18:00:00,27.951,28.19,27.941,28.14,22302,0
2014-02-26,19:00:00,28.13,28.16,28.041,28.07,97171,0
2014-02-26,20:00:00,28.08,28.15,28.031,28.041,15467,0
2014-02-26,21:00:00,28.041,28.041,27.731,27.751,18051,0
2014-02-26,22:00:00,27.771,27.931,27.761,27.851,92128,0
2014-02-27,16:00:00,27.682,27.731,27.532,27.632,10968,0
2014-02-27,17:00:00,27.632,27.771,27.612,27.672,26843,0
2014-02-27,18:00:00,27.672,27.871,27.672,27.741,8298,0
2014-02-27,19:00:00,27.751,27.971,27.731,27.951,8023,0
2014-02-27,20:00:00,27.971,28.05,27.971,28.011,11640,0
2014-02-27,21:00:00,28.031,28.031,27.771,27.891,13739,0
2014-02-27,22:00:00,27.871,28.06,27.811,27.991,65166,0
2014-02-28,16:00:00,28.031,28.13,27.811,28.13,5625,0
2014-02-28,17:00:00,28.14,28.39,28.14,28.33,25619,0
2014-02-28,18:00:00,28.33,28.35,28.14,28.28,47668,0
2014-02-28,19:00:00,28.28,28.579,28.23,28.579,34066,0
2014-02-28,20:00:00,28.569,28.988,28.569,28.968,81394,0
2014-02-28,21:00:00,28.968,29.367,28.878,28.908,79799,0
2014-02-28,22:00:00,28.918,28.918,28.669,28.818,141970,0
2014-03-03,16:00:00,28.539,28.878,28.469,28.679,65549,0
2014-03-03,17:00:00,28.649,28.838,28.529,28.699,63813,0
2014-03-03,18:00:00,28.729,28.748,28.539,28.589,47531,0
2014-03-03,19:00:00,28.549,29.058,28.469,29.048,38369,0
2014-03-03,20:00:00,29.028,29.337,29.028,29.297,60682,0
2014-03-03,21:00:00,29.287,29.427,29.107,29.117,57120,0
2014-03-03,22:00:00,29.098,29.237,29.038,29.157,128723,0
2014-03-04,16:00:00,29.676,29.945,29.606,29.915,61852,0
2014-03-04,17:00:00,29.915,30.474,29.895,30.374,138207,0
2014-03-04,18:00:00,30.344,30.793,30.314,30.563,266363,0
2014-03-04,19:00:00,30.504,30.563,30.085,30.384,145039,0
2014-03-04,20:00:00,30.384,30.573,30.075,30.155,102103,0
2014-03-04,21:00:00,30.155,30.394,29.985,30.254,59464,0
2014-03-04,22:00:00,30.254,30.494,30.234,30.244,223456,0
2014-03-05,16:00:00,30.284,30.563,30.015,30.264,32725,0
2014-03-05,17:00:00,30.324,30.523,30.244,30.424,86743,0
2014-03-05,18:00:00,30.424,30.583,30.364,30.464,75008,0
2014-03-05,19:00:00,30.464,30.523,30.444,30.444,61236,0
2014-03-05,20:00:00,30.464,30.613,30.414,30.504,59523,0
2014-03-05,21:00:00,30.504,30.583,30.484,30.513,122634,0
2014-03-05,22:00:00,30.504,30.583,30.474,30.494,196768,0
2014-03-06,16:00:00,30.613,30.683,30.384,30.504,27644,0
