Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,21.1,21.29,21.07,21.2,3300,0
2014-02-10,17:00:00,21.11,21.24,21.1,21.1,6340,0
2014-02-10,18:00:00,21.15,21.31,21.11,21.31,12859,0
2014-02-10,19:00:00,21.25,21.26,21.12,21.25,14963,0
2014-02-10,20:00:00,21.25,21.25,21.18,21.18,7100,0
2014-02-10,21:00:00,21.18,21.25,21.18,21.19,25302,0
2014-02-10,22:00:00,21.19,21.37,21.18,21.37,58036,0
2014-02-11,16:00:00,21.48,21.48,21.36,21.38,1400,0
2014-02-11,17:00:00,21.39,21.4,21.3,21.38,48260,0
2014-02-11,18:00:00,21.38,21.5,21.38,21.48,15665,0
2014-02-11,19:00:00,21.48,21.49,21.31,21.39,15638,0
2014-02-11,20:00:00,21.36,21.43,21.3,21.42,17152,0
2014-02-11,21:00:00,21.42,21.5,21.39,21.49,11109,0
2014-02-11,22:00:00,21.5,21.78,21.47,21.77,48117,0
2014-02-12,16:00:00,21.71,21.71,21.46,21.46,4205,0
2014-02-12,17:00:00,21.52,21.76,21.46,21.73,4750,0
2014-02-12,18:00:00,21.71,21.9,21.69,21.85,13500,0
2014-02-12,19:00:00,21.72,21.87,21.56,21.87,6100,0
2014-02-12,20:00:00,21.87,21.9,21.63,21.74,25847,0
2014-02-12,21:00:00,21.71,21.98,21.63,21.98,46395,0
2014-02-12,22:00:00,22,22.09,21.88,22.04,57553,0
2014-02-13,16:00:00,21.74,22.17,21.72,22.01,4420,0
2014-02-13,17:00:00,22.04,22.13,22,22.1,10700,0
2014-02-13,18:00:00,22.11,22.45,22.1,22.32,30270,0
2014-02-13,19:00:00,22.33,22.33,22.1,22.22,29912,0
2014-02-13,20:00:00,22.22,22.31,22.12,22.12,7966,0
2014-02-13,21:00:00,22.12,22.19,22,22.02,138582,0
2014-02-13,22:00:00,22.01,22.1,21.89,22.1,40830,0
2014-02-14,16:00:00,22.04,22.05,21.93,21.93,7681,0
2014-02-14,17:00:00,21.95,22,21.86,21.95,11523,0
2014-02-14,18:00:00,21.9,21.9,21.47,21.53,32405,0
2014-02-14,19:00:00,21.49,21.8,21.32,21.75,29557,0
2014-02-14,20:00:00,21.76,22,21.76,22,18525,0
2014-02-14,21:00:00,22,22,21.84,22,25910,0
2014-02-14,22:00:00,22,22.02,21.96,22,59459,0
2014-02-18,16:00:00,22.1,22.1,21.88,22.05,44940,0
2014-02-18,17:00:00,22.07,22.1,21.94,22.09,37500,0
2014-02-18,18:00:00,22.01,22.1,21.95,21.95,21196,0
2014-02-18,19:00:00,21.95,21.95,21.8,21.9,9860,0
2014-02-18,20:00:00,21.89,21.96,21.86,21.93,14476,0
2014-02-18,21:00:00,21.92,21.98,21.87,21.87,17812,0
2014-02-18,22:00:00,21.86,22.02,21.86,21.99,54964,0
2014-02-19,16:00:00,21.95,21.95,21.95,21.95,700,0
2014-02-19,17:00:00,21.93,22.15,21.91,22.09,28006,0
2014-02-19,18:00:00,22.07,22.25,22.07,22.13,29618,0
2014-02-19,19:00:00,22.14,22.15,21.98,22,38231,0
2014-02-19,20:00:00,22,22,21.76,21.79,27921,0
2014-02-19,21:00:00,21.78,21.99,21.76,21.96,18637,0
2014-02-19,22:00:00,21.95,22,21.89,21.93,74368,0
2014-02-20,16:00:00,21.76,21.92,21.63,21.78,7950,0
2014-02-20,17:00:00,21.79,22.06,21.78,22,34710,0
2014-02-20,18:00:00,21.99,22.05,21.93,21.99,22800,0
2014-02-20,19:00:00,21.99,22.03,21.92,21.95,17100,0
2014-02-20,20:00:00,21.95,22.05,21.91,22,20540,0
2014-02-20,21:00:00,22,22.01,21.97,21.99,24887,0
2014-02-20,22:00:00,21.99,22.01,21.94,21.95,61325,0
2014-02-21,16:00:00,22,22.15,21.97,22.06,9179,0
2014-02-21,17:00:00,22.05,22.64,21.79,22.59,54431,0
2014-02-21,18:00:00,22.59,22.63,22.33,22.43,48467,0
2014-02-21,19:00:00,22.42,22.45,22.2,22.26,21057,0
2014-02-21,20:00:00,22.24,22.25,21.9,22.14,118976,0
2014-02-21,21:00:00,22.19,22.41,22.17,22.4,21811,0
2014-02-21,22:00:00,22.4,22.41,22.31,22.31,46056,0
2014-02-24,16:00:00,22.4,22.5,22.27,22.35,10374,0
2014-02-24,17:00:00,22.38,22.38,21.9,22.04,64642,0
2014-02-24,18:00:00,21.99,22.07,21.99,22.04,50768,0
2014-02-24,19:00:00,22.02,22.14,22,22.14,48110,0
2014-02-24,20:00:00,22.14,22.16,22.04,22.13,22550,0
2014-02-24,21:00:00,22.14,22.25,22.08,22.24,35703,0
2014-02-24,22:00:00,22.22,22.44,22.1,22.39,38415,0
2014-02-25,16:00:00,22.39,22.63,22.31,22.62,41924,0
2014-02-25,17:00:00,22.55,22.66,22.4,22.64,39272,0
2014-02-25,18:00:00,22.64,22.93,22.5,22.55,36771,0
2014-02-25,19:00:00,22.54,22.72,22.54,22.68,23265,0
2014-02-25,20:00:00,22.67,22.72,22.65,22.72,14884,0
2014-02-25,21:00:00,22.71,22.77,22.68,22.68,31404,0
2014-02-25,22:00:00,22.7,22.72,22.4,22.47,92552,0
2014-02-26,16:00:00,22.75,22.88,21.67,21.97,82230,0
2014-02-26,17:00:00,21.92,22.48,21.85,22.24,90422,0
2014-02-26,18:00:00,22.2,22.71,22.18,22.44,94198,0
2014-02-26,19:00:00,22.42,22.58,22.28,22.45,101151,0
2014-02-26,20:00:00,22.47,22.67,22.37,22.49,50344,0
2014-02-26,21:00:00,22.5,22.57,22.45,22.57,89088,0
2014-02-26,22:00:00,22.57,22.57,22.4,22.52,119368,0
2014-02-27,16:00:00,22.52,22.52,22.14,22.46,33722,0
2014-02-27,17:00:00,22.47,22.64,22.15,22.64,63509,0
2014-02-27,18:00:00,22.72,22.93,22.72,22.75,46580,0
2014-02-27,19:00:00,22.75,22.9,22.51,22.74,63850,0
2014-02-27,20:00:00,22.73,22.82,22.6,22.8,35082,0
2014-02-27,21:00:00,22.83,22.9,22.8,22.9,40217,0
2014-02-27,22:00:00,22.89,22.94,22.74,22.74,133197,0
2014-02-28,16:00:00,22.74,22.94,22.57,22.88,46149,0
2014-02-28,17:00:00,22.87,22.88,22.35,22.66,94745,0
2014-02-28,18:00:00,22.68,22.76,22.52,22.65,71767,0
2014-02-28,19:00:00,22.65,22.8,22.64,22.77,17847,0
2014-02-28,20:00:00,22.71,22.79,22.6,22.74,22119,0
2014-02-28,21:00:00,22.72,22.79,22.7,22.73,29596,0
2014-02-28,22:00:00,22.73,22.92,22.68,22.89,66447,0
2014-03-03,16:00:00,22.97,23.6,22.77,23.08,100663,0
2014-03-03,17:00:00,23.08,23.3,22.98,23.22,79829,0
2014-03-03,18:00:00,23.22,23.23,23.15,23.17,36240,0
2014-03-03,19:00:00,23.17,23.19,23.13,23.16,23473,0
2014-03-03,20:00:00,23.15,23.18,23.13,23.15,29088,0
2014-03-03,21:00:00,23.15,23.16,23.11,23.13,40067,0
2014-03-03,22:00:00,23.14,23.16,22.89,22.95,105045,0
2014-03-04,16:00:00,23.26,23.47,23.13,23.46,22802,0
2014-03-04,17:00:00,23.46,23.5,23.32,23.48,43852,0
2014-03-04,18:00:00,23.47,23.55,23.4,23.49,42028,0
2014-03-04,19:00:00,23.55,24,23.55,23.89,39238,0
2014-03-04,20:00:00,23.93,23.99,23.71,23.76,28664,0
