Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,24.1651,24.1651,24.1651,24.1651,203,0
2014-02-10,18:00:00,24.1947,24.1947,24.1947,24.1947,405,0
2014-02-10,19:00:00,24.175,24.2737,24.175,24.2638,2916,0
2014-02-10,21:00:00,24.254,24.254,24.254,24.254,810,0
2014-02-10,22:00:00,24.254,24.2935,24.1947,24.2935,4735,0
2014-02-11,16:00:00,24.2046,24.2737,24.2046,24.2737,9316,0
2014-02-11,17:00:00,24.3132,24.3132,24.254,24.254,2734,0
2014-02-11,18:00:00,24.254,24.2638,24.2145,24.2243,4253,0
2014-02-11,19:00:00,24.2046,24.2836,24.2046,24.2836,1630,0
2014-02-11,21:00:00,24.2836,24.2836,24.2046,24.2046,3301,0
2014-02-11,22:00:00,24.2046,24.2836,24.1947,24.1947,16792,0
2014-02-12,16:00:00,24.2441,24.2441,24.2046,24.2046,405,0
2014-02-12,17:00:00,24.254,24.254,24.1947,24.2441,5063,0
2014-02-12,18:00:00,24.1453,24.254,24.0466,24.254,5580,0
2014-02-12,19:00:00,24.1947,24.254,24.1947,24.2441,2414,0
2014-02-12,20:00:00,24.2441,24.254,24.2441,24.254,7007,0
2014-02-12,21:00:00,24.2046,24.2046,24.2046,24.2046,2025,0
2014-02-12,22:00:00,24.2441,24.2441,24.2441,24.2441,405,0
2014-02-13,16:00:00,24.2046,24.2935,24.2046,24.2935,3483,0
2014-02-13,17:00:00,24.412,24.412,24.3725,24.3725,68,0
2014-02-13,18:00:00,24.2935,24.2935,24.2935,24.2935,1813,0
2014-02-13,19:00:00,24.2935,24.2935,24.2935,24.2935,101,0
2014-02-13,20:00:00,24.2342,24.2342,24.2342,24.2342,506,0
2014-02-13,22:00:00,24.3725,24.3725,24.3725,24.3725,101,0
2014-02-14,17:00:00,24.3725,24.3725,24.3725,24.3725,203,0
2014-02-14,18:00:00,24.2638,24.2638,24.2638,24.2638,608,0
2014-02-14,19:00:00,24.4317,24.4416,24.4317,24.4416,7079,0
2014-02-14,20:00:00,24.3725,24.3725,24.3725,24.3725,203,0
2014-02-14,21:00:00,24.4416,24.4416,24.3922,24.3922,810,0
2014-02-14,22:00:00,24.4515,24.4515,24.4416,24.4416,2025,0
2014-02-18,17:00:00,24.5601,24.5996,24.4416,24.4416,10673,0
2014-02-18,18:00:00,24.4416,24.5799,24.4416,24.5799,36201,0
2014-02-18,19:00:00,24.57,24.57,24.4515,24.5502,16860,0
2014-02-18,20:00:00,24.5799,24.5996,24.5799,24.5996,14491,0
2014-02-18,21:00:00,24.5206,24.5206,24.5206,24.5206,101,0
2014-02-18,22:00:00,24.5996,24.5996,24.5996,24.5996,304,0
2014-02-19,17:00:00,24.4317,24.4416,24.4317,24.4416,1418,0
2014-02-19,18:00:00,24.4614,24.4614,24.4614,24.4614,1418,0
2014-02-19,21:00:00,24.6391,24.6391,24.5897,24.6391,2764,0
2014-02-19,22:00:00,24.6391,24.649,24.5897,24.5897,7735,0
2014-02-20,16:00:00,24.5996,24.5996,24.5996,24.5996,405,0
2014-02-20,17:00:00,24.5897,24.7774,24.5404,24.6885,33386,0
2014-02-20,18:00:00,24.6885,24.807,24.6885,24.7181,6592,0
2014-02-20,19:00:00,24.7181,24.7181,24.7181,24.7181,911,0
2014-02-20,20:00:00,24.7181,24.8761,24.7181,24.8761,2126,0
2014-02-20,22:00:00,24.6885,24.8267,24.649,24.649,4092,0
2014-02-21,16:00:00,24.8662,24.8662,24.7083,24.7083,506,0
2014-02-21,17:00:00,24.6391,24.6589,24.6292,24.6589,709,0
2014-02-21,18:00:00,24.649,24.649,24.649,24.649,2673,0
2014-02-21,20:00:00,24.649,24.649,24.6391,24.6391,3038,0
2014-02-21,21:00:00,24.6391,24.6786,24.6391,24.6391,2835,0
2014-02-21,22:00:00,24.6589,24.6589,24.6095,24.6391,3532,0
2014-02-24,17:00:00,24.6391,24.6885,24.6391,24.6885,3038,0
2014-02-24,18:00:00,24.649,24.649,24.5502,24.5502,608,0
2014-02-24,21:00:00,24.5996,24.6885,24.5996,24.6885,4587,0
2014-02-24,22:00:00,24.5502,24.5502,24.5502,24.5502,962,0
2014-02-25,17:00:00,24.6885,24.6885,24.6391,24.6391,3615,0
2014-02-25,21:00:00,24.6786,24.6786,24.4614,24.6786,7068,0
2014-02-25,22:00:00,24.4712,24.4712,24.4712,24.4712,1316,0
2014-02-26,17:00:00,24.6391,24.6391,24.6391,24.6391,203,0
2014-02-26,18:00:00,24.4712,24.649,24.412,24.6391,15453,0
2014-02-26,19:00:00,24.649,24.6688,24.6391,24.6391,2447,0
2014-02-26,20:00:00,24.6391,24.6391,24.6391,24.6391,5183,0
2014-02-26,21:00:00,24.6391,24.6688,24.6391,24.649,20241,0
2014-02-26,22:00:00,24.6391,24.6786,24.491,24.491,8289,0
2014-02-27,16:00:00,24.5206,24.728,24.5206,24.728,1620,0
2014-02-27,19:00:00,24.6391,24.6391,24.6391,24.6391,2025,0
2014-02-27,20:00:00,24.6391,24.6391,24.6391,24.6391,203,0
2014-02-27,21:00:00,24.5206,24.5206,24.5206,24.5206,2025,0
2014-02-27,22:00:00,24.5206,24.6391,24.5206,24.6391,709,0
2014-02-28,17:00:00,24.7181,24.7181,24.7181,24.7181,1013,0
2014-02-28,18:00:00,24.6984,24.6984,24.6984,24.6984,152,0
2014-02-28,19:00:00,24.6589,24.6589,24.6589,24.6589,1013,0
2014-02-28,20:00:00,24.6984,24.6984,24.6984,24.6984,304,0
2014-02-28,22:00:00,24.6885,24.6984,24.6391,24.6984,1561,0
2014-03-03,16:00:00,24.6885,24.6885,24.6885,24.6885,810,0
2014-03-03,17:00:00,24.6885,24.6885,24.6885,24.6885,253,0
2014-03-03,18:00:00,24.6885,24.6885,24.6885,24.6885,3524,0
2014-03-03,19:00:00,24.6885,24.6885,24.5897,24.6391,7413,0
2014-03-03,20:00:00,24.6688,24.6688,24.5601,24.6391,2861,0
2014-03-03,21:00:00,24.6391,24.6589,24.5601,24.6391,1322,0
2014-03-03,22:00:00,24.6589,24.6885,24.6391,24.6391,4628,0
2014-03-04,16:00:00,24.6885,24.6885,24.6885,24.6885,304,0
2014-03-04,17:00:00,24.6391,24.6391,24.6391,24.6391,4050,0
2014-03-04,19:00:00,24.649,24.649,24.6292,24.6391,4557,0
2014-03-04,20:00:00,24.7576,24.7576,24.7576,24.7576,6076,0
2014-03-04,22:00:00,24.6688,24.6786,24.6688,24.6786,4871,0
2014-03-05,16:00:00,24.6984,24.7576,24.6984,24.7576,1620,0
2014-03-05,17:00:00,24.7576,24.7576,24.7576,24.7576,1899,0
2014-03-05,18:00:00,24.7181,24.7181,24.7083,24.7083,3645,0
2014-03-05,19:00:00,24.7576,24.7576,24.7576,24.7576,904,0
2014-03-05,20:00:00,24.7576,24.7675,24.7083,24.7083,2964,0
2014-03-05,21:00:00,24.7083,24.7675,24.7083,24.7576,4151,0
2014-03-05,22:00:00,24.7083,24.7576,24.7083,24.7576,4001,0
