Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,2.64,2.71,2.64,2.65,8310,0
2014-02-10,17:00:00,2.64,2.65,2.61,2.62,59516,0
2014-02-10,18:00:00,2.62,2.64,2.6,2.61,66845,0
2014-02-10,19:00:00,2.61,2.62,2.61,2.61,18138,0
2014-02-10,20:00:00,2.62,2.63,2.61,2.62,15298,0
2014-02-10,21:00:00,2.62,2.62,2.61,2.62,12900,0
2014-02-10,22:00:00,2.62,2.64,2.61,2.63,87485,0
2014-02-11,16:00:00,2.65,2.68,2.61,2.66,11148,0
2014-02-11,17:00:00,2.66,2.67,2.62,2.63,35277,0
2014-02-11,18:00:00,2.64,2.65,2.6,2.61,44653,0
2014-02-11,19:00:00,2.6,2.85,2.6,2.62,225016,0
2014-02-11,20:00:00,2.62,2.62,2.61,2.61,30554,0
2014-02-11,21:00:00,2.61,2.62,2.6,2.61,29782,0
2014-02-11,22:00:00,2.61,2.75,2.61,2.75,313786,0
2014-02-12,16:00:00,2.75,2.79,2.7,2.7,16741,0
2014-02-12,17:00:00,2.7,2.71,2.67,2.7,36587,0
2014-02-12,18:00:00,2.7,2.74,2.69,2.71,24476,0
2014-02-12,19:00:00,2.72,2.73,2.71,2.72,13371,0
2014-02-12,20:00:00,2.72,2.72,2.71,2.71,9964,0
2014-02-12,21:00:00,2.72,2.74,2.71,2.72,10312,0
2014-02-12,22:00:00,2.71,2.72,2.7,2.71,60106,0
2014-02-13,16:00:00,2.7,2.76,2.7,2.76,8568,0
2014-02-13,17:00:00,2.76,2.79,2.76,2.79,14956,0
2014-02-13,18:00:00,2.79,2.8,2.79,2.79,10189,0
2014-02-13,19:00:00,2.8,2.8,2.77,2.78,11348,0
2014-02-13,20:00:00,2.78,2.78,2.76,2.77,17592,0
2014-02-13,21:00:00,2.77,2.77,2.75,2.75,8658,0
2014-02-13,22:00:00,2.75,2.78,2.75,2.77,120366,0
2014-02-14,16:00:00,2.79,2.79,2.78,2.78,1045,0
2014-02-14,17:00:00,2.78,2.8,2.77,2.8,27634,0
2014-02-14,18:00:00,2.8,2.8,2.79,2.79,3157,0
2014-02-14,19:00:00,2.8,2.8,2.77,2.78,9146,0
2014-02-14,20:00:00,2.78,2.84,2.78,2.84,24961,0
2014-02-14,21:00:00,2.83,2.84,2.83,2.83,9920,0
2014-02-14,22:00:00,2.83,2.85,2.82,2.82,78506,0
2014-02-18,16:00:00,2.81,2.81,2.8,2.81,5700,0
2014-02-18,17:00:00,2.8,2.83,2.8,2.81,36227,0
2014-02-18,18:00:00,2.81,2.81,2.79,2.8,40340,0
2014-02-18,19:00:00,2.8,2.81,2.79,2.81,11646,0
2014-02-18,20:00:00,2.8,2.82,2.8,2.81,55188,0
2014-02-18,21:00:00,2.8,2.82,2.8,2.81,39570,0
2014-02-18,22:00:00,2.81,2.82,2.8,2.81,213575,0
2014-02-19,16:00:00,2.79,2.83,2.79,2.81,9243,0
2014-02-19,17:00:00,2.8,2.8,2.78,2.79,20941,0
2014-02-19,18:00:00,2.79,2.81,2.78,2.79,18807,0
2014-02-19,19:00:00,2.79,2.79,2.73,2.74,31896,0
2014-02-19,20:00:00,2.74,2.76,2.74,2.75,18228,0
2014-02-19,21:00:00,2.75,2.76,2.73,2.73,20156,0
2014-02-19,22:00:00,2.73,2.74,2.7,2.7,99845,0
2014-02-20,16:00:00,2.74,2.74,2.71,2.71,2600,0
2014-02-20,17:00:00,2.73,2.77,2.73,2.76,10099,0
2014-02-20,18:00:00,2.76,2.83,2.76,2.8,22388,0
2014-02-20,19:00:00,2.81,2.81,2.79,2.79,16808,0
2014-02-20,20:00:00,2.79,2.82,2.77,2.81,23903,0
2014-02-20,21:00:00,2.82,2.88,2.81,2.85,96900,0
2014-02-20,22:00:00,2.85,2.89,2.84,2.87,164519,0
2014-02-21,16:00:00,2.91,2.93,2.87,2.88,43462,0
2014-02-21,17:00:00,2.87,2.87,2.83,2.83,24589,0
2014-02-21,18:00:00,2.83,2.85,2.79,2.8,37382,0
2014-02-21,19:00:00,2.79,2.8,2.79,2.8,7400,0
2014-02-21,20:00:00,2.8,2.82,2.76,2.78,28700,0
2014-02-21,21:00:00,2.78,2.8,2.77,2.79,22000,0
2014-02-21,22:00:00,2.8,2.8,2.77,2.79,94231,0
2014-02-24,16:00:00,2.81,2.83,2.8,2.8,34797,0
2014-02-24,17:00:00,2.79,2.81,2.78,2.8,42233,0
2014-02-24,18:00:00,2.8,2.81,2.8,2.8,35899,0
2014-02-24,19:00:00,2.81,2.81,2.79,2.8,14646,0
2014-02-24,20:00:00,2.8,2.8,2.79,2.8,10323,0
2014-02-24,21:00:00,2.79,2.8,2.79,2.8,19849,0
2014-02-24,22:00:00,2.8,2.8,2.79,2.8,131250,0
2014-02-25,16:00:00,2.78,2.79,2.78,2.79,4240,0
2014-02-25,17:00:00,2.78,2.79,2.77,2.79,8200,0
2014-02-25,18:00:00,2.79,2.8,2.77,2.78,30536,0
2014-02-25,19:00:00,2.78,2.79,2.77,2.77,8600,0
2014-02-25,20:00:00,2.78,2.78,2.77,2.78,2300,0
2014-02-25,21:00:00,2.77,2.78,2.75,2.75,29766,0
2014-02-25,22:00:00,2.76,2.76,2.73,2.75,50030,0
2014-02-26,16:00:00,2.78,2.78,2.75,2.75,6693,0
2014-02-26,17:00:00,2.75,2.75,2.7,2.74,38483,0
2014-02-26,18:00:00,2.74,2.74,2.67,2.72,66390,0
2014-02-26,19:00:00,2.72,2.73,2.69,2.7,31050,0
2014-02-26,20:00:00,2.7,2.71,2.66,2.68,31170,0
2014-02-26,21:00:00,2.68,2.68,2.66,2.67,13337,0
2014-02-26,22:00:00,2.66,2.66,2.6,2.61,132184,0
2014-02-27,16:00:00,2.61,2.64,2.61,2.64,6828,0
2014-02-27,17:00:00,2.64,2.64,2.63,2.63,5500,0
2014-02-27,18:00:00,2.64,2.71,2.64,2.67,131488,0
2014-02-27,19:00:00,2.67,2.7,2.67,2.7,9186,0
2014-02-27,20:00:00,2.7,2.72,2.69,2.71,12400,0
2014-02-27,21:00:00,2.71,2.74,2.66,2.66,71411,0
2014-02-27,22:00:00,2.66,2.7,2.62,2.67,194647,0
2014-02-28,16:00:00,2.69,2.7,2.64,2.65,14300,0
2014-02-28,17:00:00,2.66,2.68,2.66,2.68,6246,0
2014-02-28,18:00:00,2.68,2.69,2.68,2.68,8510,0
2014-02-28,19:00:00,2.68,2.69,2.66,2.67,11960,0
2014-02-28,20:00:00,2.67,2.7,2.67,2.69,4100,0
2014-02-28,21:00:00,2.69,2.7,2.69,2.69,24844,0
2014-02-28,22:00:00,2.69,2.7,2.68,2.69,83113,0
2014-03-03,16:00:00,2.66,2.68,2.65,2.68,9177,0
2014-03-03,17:00:00,2.68,2.69,2.67,2.69,18850,0
2014-03-03,18:00:00,2.69,2.71,2.68,2.69,11375,0
2014-03-03,19:00:00,2.69,2.7,2.68,2.69,4600,0
2014-03-03,20:00:00,2.7,2.78,2.69,2.78,77568,0
2014-03-03,21:00:00,2.78,2.78,2.77,2.78,20775,0
2014-03-03,22:00:00,2.77,2.79,2.75,2.77,139913,0
2014-03-04,16:00:00,2.8,2.86,2.8,2.83,53609,0
2014-03-04,17:00:00,2.84,2.86,2.79,2.85,128453,0
2014-03-04,18:00:00,2.85,2.89,2.83,2.89,998972,0
2014-03-04,19:00:00,2.9,2.95,2.89,2.92,75525,0
2014-03-04,20:00:00,2.93,2.93,2.9,2.9,117331,0
2014-03-04,21:00:00,2.9,2.91,2.87,2.91,82996,0
2014-03-04,22:00:00,2.9,2.91,2.87,2.89,267142,0
2014-03-05,16:00:00,2.92,2.94,2.9,2.94,3200,0
2014-03-05,17:00:00,2.93,2.95,2.92,2.95,14258,0
