Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,32.947,33.144,32.604,32.732,45200,0
2014-02-10,17:00:00,32.741,32.898,32.594,32.663,58141,0
2014-02-10,18:00:00,32.663,32.712,32.604,32.633,35876,0
2014-02-10,19:00:00,32.614,32.673,32.319,32.378,78901,0
2014-02-10,20:00:00,32.378,32.506,32.359,32.437,65654,0
2014-02-10,21:00:00,32.437,32.535,32.408,32.418,32754,0
2014-02-10,22:00:00,32.418,32.467,32.3,32.457,117508,0
2014-02-11,16:00:00,32.584,32.624,32.388,32.496,8135,0
2014-02-11,17:00:00,32.496,32.996,32.467,32.722,93742,0
2014-02-11,18:00:00,32.732,32.869,32.535,32.575,73327,0
2014-02-11,19:00:00,32.575,32.692,32.339,32.359,78554,0
2014-02-11,20:00:00,32.359,32.545,32.349,32.476,44535,0
2014-02-11,21:00:00,32.447,32.535,32.378,32.418,64214,0
2014-02-11,22:00:00,32.398,32.741,32.378,32.624,204938,0
2014-02-12,16:00:00,32.624,32.741,32.575,32.673,34537,0
2014-02-12,17:00:00,32.653,32.967,32.496,32.751,90395,0
2014-02-12,18:00:00,32.751,32.898,32.359,32.388,57790,0
2014-02-12,19:00:00,32.368,32.614,32.359,32.447,100593,0
2014-02-12,20:00:00,32.398,32.427,32.28,32.368,96099,0
2014-02-12,21:00:00,32.368,32.378,32.27,32.31,77377,0
2014-02-12,22:00:00,32.3,32.359,32.192,32.251,253302,0
2014-02-13,16:00:00,32.074,32.506,32.055,32.496,53366,0
2014-02-13,17:00:00,32.457,32.673,32.368,32.565,46067,0
2014-02-13,18:00:00,32.555,32.584,32.408,32.516,59316,0
2014-02-13,19:00:00,32.506,32.614,32.418,32.575,44391,0
2014-02-13,20:00:00,32.545,32.624,32.486,32.545,69999,0
2014-02-13,21:00:00,32.545,32.614,32.359,32.398,51111,0
2014-02-13,22:00:00,32.408,32.506,32.212,32.28,158919,0
2014-02-14,16:00:00,32.908,33.036,32.535,32.575,40735,0
2014-02-14,17:00:00,32.604,32.682,32.476,32.545,60742,0
2014-02-14,18:00:00,32.555,32.584,32.378,32.496,49273,0
2014-02-14,19:00:00,32.447,32.614,32.408,32.467,36497,0
2014-02-14,20:00:00,32.467,32.525,32.378,32.398,42601,0
2014-02-14,21:00:00,32.398,32.535,32.359,32.398,45668,0
2014-02-14,22:00:00,32.388,32.516,32.349,32.457,126334,0
2014-02-18,16:00:00,31.858,31.878,29.651,30.583,555286,0
2014-02-18,17:00:00,30.602,31.23,30.573,30.858,551336,0
2014-02-18,18:00:00,30.858,31.044,30.71,31.005,446433,0
2014-02-18,19:00:00,30.946,31.083,30.799,30.867,308050,0
2014-02-18,20:00:00,30.858,31.132,30.858,30.965,247174,0
2014-02-18,21:00:00,30.956,31.064,30.642,30.651,422251,0
2014-02-18,22:00:00,30.642,30.897,30.387,30.416,838883,0
2014-02-19,16:00:00,30.465,30.907,29.14,29.435,635257,0
2014-02-19,17:00:00,29.435,29.602,29.16,29.435,642644,0
2014-02-19,18:00:00,29.435,29.67,29.415,29.494,238604,0
2014-02-19,19:00:00,29.494,29.572,29.425,29.454,214006,0
2014-02-19,20:00:00,29.464,29.621,29.435,29.484,228822,0
2014-02-19,21:00:00,29.474,29.749,29.435,29.504,231786,0
2014-02-19,22:00:00,29.494,29.621,29.445,29.562,479304,0
2014-02-20,16:00:00,29.504,29.906,29.239,29.464,104354,0
2014-02-20,17:00:00,29.494,29.68,29.474,29.562,157836,0
2014-02-20,18:00:00,29.562,29.7,29.494,29.543,141037,0
2014-02-20,19:00:00,29.582,29.611,29.523,29.562,97253,0
2014-02-20,20:00:00,29.553,29.562,29.484,29.504,97967,0
2014-02-20,21:00:00,29.494,29.817,29.347,29.778,185745,0
2014-02-20,22:00:00,29.788,29.827,29.572,29.808,276764,0
2014-02-21,16:00:00,30.308,30.651,30.141,30.416,146506,0
2014-02-21,17:00:00,30.406,30.563,30.249,30.426,153423,0
2014-02-21,18:00:00,30.445,30.72,30.367,30.622,109787,0
2014-02-21,19:00:00,30.651,30.975,30.602,30.965,134208,0
2014-02-21,20:00:00,30.985,31.456,30.975,31.446,150264,0
2014-02-21,21:00:00,31.446,31.476,31.113,31.181,133754,0
2014-02-21,22:00:00,31.162,31.289,30.897,30.985,234812,0
2014-02-24,16:00:00,30.602,30.838,30.445,30.553,62052,0
2014-02-24,17:00:00,30.583,30.593,30.181,30.337,102698,0
2014-02-24,18:00:00,30.328,30.602,30.328,30.426,145007,0
2014-02-24,19:00:00,30.396,30.504,30.328,30.387,83097,0
2014-02-24,20:00:00,30.387,30.465,30.387,30.406,53502,0
2014-02-24,21:00:00,30.406,30.455,30.269,30.337,101484,0
2014-02-24,22:00:00,30.328,30.426,30.308,30.426,164514,0
2014-02-25,16:00:00,30.455,30.671,30.396,30.583,67319,0
2014-02-25,17:00:00,30.524,30.74,30.524,30.691,52981,0
2014-02-25,18:00:00,30.71,30.71,30.514,30.553,72218,0
2014-02-25,19:00:00,30.553,30.632,30.494,30.504,49225,0
2014-02-25,20:00:00,30.485,30.514,30.387,30.465,45924,0
2014-02-25,21:00:00,30.455,30.583,30.328,30.387,89098,0
2014-02-25,22:00:00,30.377,30.455,30.298,30.308,190987,0
2014-02-26,16:00:00,30.151,30.377,30.014,30.377,59648,0
2014-02-26,17:00:00,30.347,30.367,30.141,30.161,68773,0
2014-02-26,18:00:00,30.161,30.357,30.161,30.279,117133,0
2014-02-26,19:00:00,30.259,30.387,30.151,30.181,136839,0
2014-02-26,20:00:00,30.181,30.269,30.181,30.2,57882,0
2014-02-26,21:00:00,30.22,30.406,30.2,30.406,225722,0
2014-02-26,22:00:00,30.396,30.416,30.298,30.328,149075,0
2014-02-27,16:00:00,30.328,30.406,30.131,30.131,20973,0
2014-02-27,17:00:00,30.131,30.181,29.935,30.043,90284,0
2014-02-27,18:00:00,30.024,30.2,30.014,30.131,48815,0
2014-02-27,19:00:00,30.102,30.171,30.053,30.122,164738,0
2014-02-27,20:00:00,30.141,30.19,30.102,30.122,152205,0
2014-02-27,21:00:00,30.141,30.161,30.073,30.141,54899,0
2014-02-27,22:00:00,30.122,30.151,30.063,30.151,94905,0
2014-02-28,16:00:00,30.131,30.249,29.935,30.161,49422,0
2014-02-28,17:00:00,30.2,30.298,30.082,30.122,60467,0
2014-02-28,18:00:00,30.122,30.19,30.004,30.151,117540,0
2014-02-28,19:00:00,30.151,30.387,30.151,30.298,49557,0
2014-02-28,20:00:00,30.337,30.337,30.19,30.269,58273,0
2014-02-28,21:00:00,30.279,30.328,30.151,30.2,102675,0
2014-02-28,22:00:00,30.21,30.288,30.112,30.161,122536,0
2014-03-03,16:00:00,30.122,30.131,29.925,30.131,22575,0
2014-03-03,17:00:00,30.131,30.161,29.886,29.974,66145,0
2014-03-03,18:00:00,29.955,29.994,29.808,29.857,141010,0
2014-03-03,19:00:00,29.827,29.925,29.788,29.896,41690,0
2014-03-03,20:00:00,29.896,29.906,29.798,29.808,46724,0
2014-03-03,21:00:00,29.808,29.916,29.798,29.827,70901,0
2014-03-03,22:00:00,29.827,29.974,29.788,29.955,164428,0
2014-03-04,16:00:00,30.073,30.514,30.024,30.426,77142,0
2014-03-04,17:00:00,30.406,30.475,30.328,30.357,71247,0
2014-03-04,18:00:00,30.387,30.475,30.171,30.21,135706,0
