Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,70.057,70.255,69.819,70.116,44262,0
2014-02-10,17:00:00,70.106,70.651,70.077,70.602,133622,0
2014-02-10,18:00:00,70.602,70.81,70.503,70.701,67570,0
2014-02-10,19:00:00,70.701,70.978,70.661,70.889,51607,0
2014-02-10,20:00:00,70.879,70.899,70.73,70.81,49520,0
2014-02-10,21:00:00,70.8,71.047,70.76,71.027,102896,0
2014-02-10,22:00:00,71.027,71.027,70.869,70.958,220692,0
2014-02-11,16:00:00,70.889,71.017,70.671,70.77,22780,0
2014-02-11,17:00:00,70.81,71.225,70.75,71.067,71843,0
2014-02-11,18:00:00,71.077,71.107,70.859,70.998,130750,0
2014-02-11,19:00:00,71.037,71.146,70.918,70.938,76329,0
2014-02-11,20:00:00,70.928,71.047,70.899,70.918,62633,0
2014-02-11,21:00:00,70.909,70.968,70.849,70.889,68670,0
2014-02-11,22:00:00,70.889,70.938,70.433,70.453,244669,0
2014-02-12,16:00:00,70.631,70.928,70.384,70.671,47721,0
2014-02-12,17:00:00,70.631,70.671,70.166,70.413,74846,0
2014-02-12,18:00:00,70.493,70.503,69.938,70.067,91176,0
2014-02-12,19:00:00,70.047,70.245,70.017,70.215,28426,0
2014-02-12,20:00:00,70.225,70.413,70.196,70.384,48569,0
2014-02-12,21:00:00,70.404,70.493,70.205,70.305,59634,0
2014-02-12,22:00:00,70.354,70.542,70.314,70.542,166974,0
2014-02-13,16:00:00,70.027,70.988,70.007,70.889,20217,0
2014-02-13,17:00:00,70.918,71.255,70.909,71.206,66361,0
2014-02-13,18:00:00,71.215,71.324,71.047,71.225,28846,0
2014-02-13,19:00:00,71.225,71.245,71.057,71.116,31630,0
2014-02-13,20:00:00,71.116,71.136,71.027,71.077,41529,0
2014-02-13,21:00:00,71.107,71.176,70.918,71.146,68129,0
2014-02-13,22:00:00,71.156,71.196,70.928,70.938,152336,0
2014-02-14,16:00:00,70.829,71.235,70.73,71.235,13426,0
2014-02-14,17:00:00,71.225,71.305,70.918,71.136,28267,0
2014-02-14,18:00:00,71.146,71.344,71.017,71.077,31605,0
2014-02-14,19:00:00,71.087,71.265,71.047,71.265,32030,0
2014-02-14,20:00:00,71.285,71.423,71.245,71.315,23385,0
2014-02-14,21:00:00,71.334,71.453,71.295,71.315,31557,0
2014-02-14,22:00:00,71.315,71.334,71.146,71.305,97826,0
