Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,46.9602,46.9701,46.4841,46.7816,22552,0
2014-02-10,17:00:00,46.8114,47.2081,46.8114,47.2081,78566,0
2014-02-10,18:00:00,47.1982,47.2279,47.0098,47.0593,70269,0
2014-02-10,19:00:00,47.0494,47.0494,46.8709,46.8907,33200,0
2014-02-10,20:00:00,46.9007,47.0197,46.9007,46.9899,18834,0
2014-02-10,21:00:00,46.98,47.0692,46.9602,47.0197,25296,0
2014-02-10,22:00:00,47.0395,47.0395,46.9502,47.0197,166209,0
2014-02-11,16:00:00,46.2262,46.2262,45.8196,46.1172,141125,0
2014-02-11,17:00:00,46.1271,46.1568,45.8295,46.0477,165799,0
2014-02-11,18:00:00,46.0477,46.0775,45.5915,45.8295,327351,0
2014-02-11,19:00:00,45.8395,45.9287,45.7205,45.8196,210431,0
2014-02-11,20:00:00,45.8097,45.8295,45.4626,45.6014,322072,0
2014-02-11,21:00:00,45.6114,45.6213,45.2345,45.3237,397809,0
2014-02-11,22:00:00,45.3237,45.3337,44.8874,45.0956,1070749,0
2014-02-12,16:00:00,44.1336,44.5799,43.8956,44.4212,2633903,0
2014-02-12,17:00:00,44.4212,44.7287,44.2824,44.7089,870053,0
2014-02-12,18:00:00,44.6989,44.9965,44.689,44.7783,663566,0
2014-02-12,19:00:00,44.7882,44.9865,44.7783,44.9072,279741,0
2014-02-12,20:00:00,44.9171,44.9766,44.7089,44.8576,264780,0
2014-02-12,21:00:00,44.8675,44.8774,44.57,44.7981,343493,0
2014-02-12,22:00:00,44.7981,44.8279,44.4807,44.7089,2283411,0
2014-02-13,16:00:00,44.7089,45.2047,44.7089,45.1055,189780,0
2014-02-13,17:00:00,45.1055,45.4527,45.056,45.4229,192350,0
2014-02-13,18:00:00,45.4427,45.6213,45.3733,45.5915,128898,0
2014-02-13,19:00:00,45.6014,45.6014,45.3833,45.3833,72399,0
2014-02-13,20:00:00,45.3733,45.4923,45.3634,45.4923,70737,0
2014-02-13,21:00:00,45.4923,45.6114,45.413,45.5122,109453,0
2014-02-13,22:00:00,45.5122,45.5419,45.3833,45.4824,391254,0
2014-02-14,16:00:00,45.4923,45.5023,45.1849,45.4229,74137,0
2014-02-14,17:00:00,45.4328,45.4328,45.175,45.1948,95880,0
2014-02-14,18:00:00,45.1948,45.2345,44.9469,45.056,90699,0
2014-02-14,19:00:00,45.0461,45.1551,44.927,45.1155,48546,0
2014-02-14,20:00:00,45.1254,45.1948,45.0659,45.1849,46984,0
2014-02-14,21:00:00,45.1849,45.2841,45.0857,45.0857,102676,0
2014-02-14,22:00:00,45.0857,45.175,44.9965,45.1551,234666,0
2014-02-18,16:00:00,45.1452,45.2543,45.0163,45.0758,74643,0
2014-02-18,17:00:00,45.0758,45.2345,45.0064,45.1055,99338,0
2014-02-18,18:00:00,45.1155,45.3138,45.0659,45.2841,113756,0
2014-02-18,19:00:00,45.2841,45.4229,45.2841,45.3833,79468,0
2014-02-18,20:00:00,45.3833,45.3932,45.175,45.1849,60140,0
2014-02-18,21:00:00,45.175,45.2642,45.0956,45.2246,66622,0
2014-02-18,22:00:00,45.2246,45.3733,45.2146,45.2841,182893,0
2014-02-19,16:00:00,45.1948,45.2742,45.0758,45.0956,44792,0
2014-02-19,17:00:00,45.1155,45.2146,45.0659,45.1155,66795,0
2014-02-19,18:00:00,45.1055,45.3436,45.0956,45.2246,70632,0
2014-02-19,19:00:00,45.175,45.1948,44.8874,44.8973,68465,0
2014-02-19,20:00:00,44.8874,45.1849,44.7485,45.1353,59710,0
2014-02-19,21:00:00,45.1254,45.175,44.7783,44.8477,68191,0
2014-02-19,22:00:00,44.8477,44.8477,44.5402,44.57,238533,0
2014-02-20,16:00:00,44.51,44.88,44.51,44.65,45607,0
2014-02-20,17:00:00,44.63,44.81,44.53,44.79,53593,0
2014-02-20,18:00:00,44.8,44.93,44.67,44.69,81051,0
2014-02-20,19:00:00,44.69,45.11,44.69,45.1,73317,0
2014-02-20,20:00:00,45.11,45.22,45.07,45.18,85606,0
2014-02-20,21:00:00,45.17,45.22,45.09,45.22,70688,0
2014-02-20,22:00:00,45.21,45.3,45.2,45.3,270837,0
2014-02-21,16:00:00,45.24,45.38,45.14,45.24,32681,0
2014-02-21,17:00:00,45.27,45.53,45.27,45.53,47251,0
2014-02-21,18:00:00,45.54,45.59,45.47,45.54,64924,0
2014-02-21,19:00:00,45.54,45.58,45.5,45.58,45436,0
2014-02-21,20:00:00,45.57,45.59,45.54,45.57,67905,0
2014-02-21,21:00:00,45.58,45.58,45.47,45.54,58352,0
2014-02-21,22:00:00,45.53,45.63,45.51,45.56,302125,0
