Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,27.2613,27.2613,26.9039,27.0131,13198,0
2014-02-10,17:00:00,27.1024,27.1421,26.9039,27.0032,36113,0
2014-02-10,18:00:00,27.0131,27.2613,27.0032,27.0329,65287,0
2014-02-10,19:00:00,27.0528,27.0528,26.8244,26.9039,30421,0
2014-02-10,20:00:00,26.884,26.9138,26.8244,26.9039,22580,0
2014-02-10,21:00:00,26.9237,27.0826,26.9138,27.0528,40499,0
2014-02-10,22:00:00,27.0429,27.0826,26.9833,27.0131,66991,0
2014-02-11,16:00:00,27.1421,27.1818,27.0131,27.1223,7015,0
2014-02-11,17:00:00,27.1124,27.3208,27.1124,27.2017,13055,0
2014-02-11,18:00:00,27.2513,27.4499,27.2116,27.43,19725,0
2014-02-11,19:00:00,27.4499,27.5889,27.4002,27.5492,15734,0
2014-02-11,20:00:00,27.5591,27.708,27.5591,27.6981,15211,0
2014-02-11,21:00:00,27.6981,27.7378,27.6286,27.708,19119,0
2014-02-11,22:00:00,27.7279,27.7974,27.6782,27.7775,82931,0
2014-02-12,16:00:00,27.86,27.91,27.71,27.81,9833,0
2014-02-12,17:00:00,27.85,27.9,27.69,27.82,32351,0
2014-02-12,18:00:00,27.82,27.84,27.56,27.56,26370,0
2014-02-12,19:00:00,27.56,27.64,27.51,27.57,24024,0
2014-02-12,20:00:00,27.56,27.67,27.51,27.64,11000,0
2014-02-12,21:00:00,27.62,27.67,27.48,27.54,17248,0
2014-02-12,22:00:00,27.53,27.69,27.51,27.66,41596,0
2014-02-13,16:00:00,27.51,27.69,27.51,27.59,18344,0
2014-02-13,17:00:00,27.63,27.92,27.63,27.88,12357,0
2014-02-13,18:00:00,27.91,27.98,27.78,27.89,26221,0
2014-02-13,19:00:00,27.9,27.93,27.85,27.92,14261,0
2014-02-13,20:00:00,27.92,28.21,27.9,28.21,20505,0
2014-02-13,21:00:00,28.2,28.36,28.06,28.27,22443,0
2014-02-13,22:00:00,28.27,28.31,28.15,28.31,77664,0
2014-02-14,16:00:00,28.31,28.39,28,28.16,18900,0
2014-02-14,17:00:00,28.04,28.43,28.04,28.36,29051,0
2014-02-14,18:00:00,28.32,28.4,28.07,28.09,32180,0
2014-02-14,19:00:00,28.07,28.09,27.78,27.79,33037,0
2014-02-14,20:00:00,27.79,27.8,27.68,27.72,37294,0
2014-02-14,21:00:00,27.71,27.83,27.67,27.81,54841,0
2014-02-14,22:00:00,27.79,28.26,27.77,28.19,111374,0
2014-02-18,16:00:00,28.24,28.3,28.17,28.19,11307,0
2014-02-18,17:00:00,28.19,28.33,28.13,28.28,15529,0
2014-02-18,18:00:00,28.31,28.55,28.31,28.52,22120,0
2014-02-18,19:00:00,28.52,28.7,28.49,28.57,24829,0
2014-02-18,20:00:00,28.6,28.63,28.54,28.55,13800,0
2014-02-18,21:00:00,28.57,28.59,28.45,28.48,21791,0
2014-02-18,22:00:00,28.48,28.57,28.46,28.52,99745,0
2014-02-19,16:00:00,28.39,28.56,28.39,28.52,27615,0
2014-02-19,17:00:00,28.58,28.73,28.48,28.59,17271,0
2014-02-19,18:00:00,28.55,28.55,28.4,28.44,16750,0
2014-02-19,19:00:00,28.39,28.41,28.14,28.16,20279,0
2014-02-19,20:00:00,28.16,28.4,28.15,28.38,18970,0
2014-02-19,21:00:00,28.39,28.44,28.17,28.17,41220,0
2014-02-19,22:00:00,28.19,28.2,28,28.01,56593,0
2014-02-20,16:00:00,28.01,28.27,27.94,28.27,7557,0
2014-02-20,17:00:00,28.16,28.51,28.15,28.43,33598,0
2014-02-20,18:00:00,28.44,28.53,28.32,28.45,27254,0
2014-02-20,19:00:00,28.44,28.57,28.44,28.57,24679,0
2014-02-20,20:00:00,28.57,28.66,28.52,28.56,34566,0
2014-02-20,21:00:00,28.61,28.72,28.55,28.7,21726,0
2014-02-20,22:00:00,28.65,28.74,28.62,28.7,87642,0
2014-02-21,16:00:00,28.79,28.8,28.68,28.78,38758,0
2014-02-21,17:00:00,28.82,28.88,28.53,28.75,93205,0
2014-02-21,18:00:00,28.75,28.9,28.63,28.78,53301,0
2014-02-21,19:00:00,28.72,28.77,28.6,28.75,15742,0
2014-02-21,20:00:00,28.75,28.84,28.75,28.8,14102,0
2014-02-21,21:00:00,28.81,28.83,28.71,28.75,18737,0
2014-02-21,22:00:00,28.72,28.82,28.65,28.71,84789,0
2014-02-24,16:00:00,29.07,29.3,28.72,29.23,23363,0
2014-02-24,17:00:00,29.2,29.2,28.93,28.97,22669,0
2014-02-24,18:00:00,28.89,29.12,28.85,29.06,17112,0
2014-02-24,19:00:00,29.07,29.25,29.03,29.21,25055,0
2014-02-24,20:00:00,29.2,29.25,29,29,14200,0
2014-02-24,21:00:00,28.99,29.11,28.97,28.99,16636,0
2014-02-24,22:00:00,28.92,28.99,28.78,28.81,110169,0
2014-02-25,16:00:00,28.93,28.98,28.83,28.86,12677,0
2014-02-25,17:00:00,28.84,29.1,28.77,28.93,34239,0
2014-02-25,18:00:00,28.88,29.09,28.88,28.98,10457,0
2014-02-25,19:00:00,29,29,28.68,28.69,23937,0
2014-02-25,20:00:00,28.69,28.78,28.55,28.58,37271,0
2014-02-25,21:00:00,28.56,28.58,28.46,28.5,23072,0
2014-02-25,22:00:00,28.52,28.52,28.38,28.47,60132,0
2014-02-26,16:00:00,28.67,28.9,28.52,28.52,8700,0
2014-02-26,17:00:00,28.56,28.79,28.51,28.55,25267,0
2014-02-26,18:00:00,28.55,28.68,28.43,28.5,69176,0
2014-02-26,19:00:00,28.49,28.53,28.38,28.4,32306,0
2014-02-26,20:00:00,28.39,28.59,28.33,28.4,42347,0
2014-02-26,21:00:00,28.4,28.49,28.31,28.44,31787,0
2014-02-26,22:00:00,28.44,28.51,28.28,28.46,116613,0
2014-02-27,16:00:00,28.44,29.35,28.41,29.16,31874,0
2014-02-27,17:00:00,29.17,29.5,29.09,29.48,30883,0
2014-02-27,18:00:00,29.47,29.5,29.15,29.21,20079,0
2014-02-27,19:00:00,29.28,29.3,29.2,29.23,9468,0
2014-02-27,20:00:00,29.26,29.3,29.19,29.28,15522,0
2014-02-27,21:00:00,29.28,29.44,29.26,29.38,30734,0
2014-02-27,22:00:00,29.38,29.5,29.3,29.4,94692,0
2014-02-28,16:00:00,29.57,30,29.52,29.94,25990,0
2014-02-28,17:00:00,29.95,30.2,29.94,30.1,47692,0
2014-02-28,18:00:00,30.05,30.14,29.96,29.98,26519,0
2014-02-28,19:00:00,29.99,30.07,29.92,30.06,21109,0
2014-02-28,20:00:00,30.11,30.17,30.01,30.12,25341,0
2014-02-28,21:00:00,30.11,30.21,29.88,29.96,51350,0
2014-02-28,22:00:00,29.98,30.16,29.89,30.03,97302,0
2014-03-03,16:00:00,29.95,30.07,29.79,30,132557,0
2014-03-03,17:00:00,30,30.07,29.91,30,55626,0
2014-03-03,18:00:00,30,30.06,29.95,29.98,21722,0
2014-03-03,19:00:00,30,30.16,29.98,30.07,36292,0
2014-03-03,20:00:00,30.04,30.17,30,30.11,17720,0
2014-03-03,21:00:00,30.18,30.21,30.08,30.14,20730,0
2014-03-03,22:00:00,30.14,30.14,29.99,30.02,79385,0
2014-03-04,16:00:00,30.31,30.75,30.23,30.73,18167,0
2014-03-04,17:00:00,30.72,31.08,30.67,31.08,46236,0
2014-03-04,18:00:00,31.03,31.12,30.9,31.04,46225,0
2014-03-04,19:00:00,31,31.1,30.94,31.06,26612,0
2014-03-04,20:00:00,31.03,31.12,30.8,30.88,21403,0
2014-03-04,21:00:00,30.89,30.91,30.76,30.88,27152,0
2014-03-04,22:00:00,30.9,31.01,30.82,30.88,158872,0
2014-03-05,16:00:00,30.85,30.85,30.45,30.58,13349,0
2014-03-05,17:00:00,30.6,30.71,30.52,30.58,25302,0
2014-03-05,18:00:00,30.61,30.66,30.55,30.64,7985,0
2014-03-05,19:00:00,30.61,30.64,30.51,30.51,16671,0
2014-03-05,20:00:00,30.59,30.66,30.45,30.47,18697,0
2014-03-05,21:00:00,30.49,30.63,30.49,30.56,19808,0
2014-03-05,22:00:00,30.54,30.81,30.5,30.76,134231,0
2014-03-06,16:00:00,30.72,30.88,30.67,30.7,15723,0
2014-03-06,17:00:00,30.76,30.87,30.61,30.77,30963,0
2014-03-06,18:00:00,30.77,30.84,30.74,30.74,12666,0
2014-03-06,19:00:00,30.74,30.78,30.65,30.75,23947,0
