Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,13.776,13.805,13.687,13.776,79567,0
2014-02-10,17:00:00,13.776,13.815,13.756,13.805,131969,0
2014-02-10,18:00:00,13.805,13.815,13.726,13.785,137414,0
2014-02-10,19:00:00,13.785,13.805,13.776,13.795,124405,0
2014-02-10,20:00:00,13.805,13.825,13.776,13.825,144159,0
2014-02-10,21:00:00,13.815,13.865,13.815,13.865,186633,0
2014-02-10,22:00:00,13.865,13.904,13.815,13.835,706662,0
2014-02-11,16:00:00,13.875,13.875,13.726,13.766,111737,0
2014-02-11,17:00:00,13.776,13.795,13.736,13.766,432717,0
2014-02-11,18:00:00,13.756,13.845,13.716,13.845,308085,0
2014-02-11,19:00:00,13.845,13.845,13.835,13.845,161761,0
2014-02-11,20:00:00,13.845,13.954,13.835,13.954,222387,0
2014-02-11,21:00:00,13.954,14.013,13.944,14.013,285417,0
2014-02-11,22:00:00,14.013,14.063,13.964,13.964,541368,0
2014-02-12,16:00:00,13.993,14.033,13.904,13.914,256891,0
2014-02-12,17:00:00,13.924,13.924,13.855,13.894,126937,0
2014-02-12,18:00:00,13.894,13.904,13.805,13.825,443239,0
2014-02-12,19:00:00,13.825,13.884,13.815,13.875,225449,0
2014-02-12,20:00:00,13.875,13.974,13.875,13.964,402130,0
2014-02-12,21:00:00,13.954,13.954,13.875,13.914,138650,0
2014-02-12,22:00:00,13.914,13.934,13.884,13.904,429680,0
2014-02-13,16:00:00,13.865,13.954,13.865,13.934,87274,0
2014-02-13,17:00:00,13.924,13.934,13.865,13.884,88362,0
2014-02-13,18:00:00,13.875,13.914,13.845,13.904,119249,0
2014-02-13,19:00:00,13.904,13.914,13.875,13.904,224839,0
2014-02-13,20:00:00,13.894,13.914,13.875,13.894,217010,0
2014-02-13,21:00:00,13.884,13.934,13.875,13.934,495798,0
2014-02-13,22:00:00,13.934,13.934,13.884,13.914,624375,0
2014-02-14,16:00:00,13.924,13.944,13.865,13.934,47170,0
2014-02-14,17:00:00,13.934,13.944,13.894,13.914,116720,0
2014-02-14,18:00:00,13.914,13.924,13.894,13.894,280126,0
2014-02-14,19:00:00,13.894,13.924,13.894,13.924,332563,0
2014-02-14,20:00:00,13.924,13.964,13.914,13.964,138663,0
2014-02-14,21:00:00,13.964,14.053,13.954,14.043,121740,0
2014-02-14,22:00:00,14.043,14.053,13.974,13.983,278904,0
2014-02-18,16:00:00,14.043,14.152,14.003,14.152,338502,0
2014-02-18,17:00:00,14.142,14.231,14.122,14.231,297335,0
2014-02-18,18:00:00,14.231,14.32,14.201,14.211,159155,0
2014-02-18,19:00:00,14.211,14.251,14.201,14.201,110758,0
2014-02-18,20:00:00,14.211,14.241,14.201,14.231,87469,0
2014-02-18,21:00:00,14.231,14.28,14.221,14.261,95862,0
2014-02-18,22:00:00,14.251,14.29,14.211,14.261,430794,0
2014-02-19,16:00:00,14.241,14.369,14.201,14.359,167978,0
2014-02-19,17:00:00,14.369,14.449,14.35,14.409,172319,0
2014-02-19,18:00:00,14.399,14.468,14.399,14.409,87389,0
2014-02-19,19:00:00,14.409,14.449,14.359,14.369,98013,0
2014-02-19,20:00:00,14.379,14.449,14.379,14.449,134143,0
2014-02-19,21:00:00,14.449,14.449,14.35,14.379,235224,0
2014-02-19,22:00:00,14.379,14.399,14.3,14.399,734577,0
2014-02-20,16:00:00,14.181,14.409,14.171,14.32,168592,0
2014-02-20,17:00:00,14.32,14.33,14.201,14.231,173489,0
2014-02-20,18:00:00,14.241,14.369,14.221,14.27,292149,0
2014-02-20,19:00:00,14.28,14.369,14.28,14.31,83150,0
2014-02-20,20:00:00,14.3,14.31,14.251,14.27,120112,0
2014-02-20,21:00:00,14.27,14.34,14.211,14.32,130496,0
2014-02-20,22:00:00,14.32,14.34,14.261,14.29,689978,0
2014-02-21,16:00:00,14.29,14.389,14.191,14.34,111396,0
2014-02-21,17:00:00,14.33,14.399,14.32,14.379,72782,0
2014-02-21,18:00:00,14.389,14.419,14.359,14.359,69130,0
2014-02-21,19:00:00,14.359,14.389,14.32,14.33,36332,0
2014-02-21,20:00:00,14.34,14.369,14.32,14.35,48588,0
2014-02-21,21:00:00,14.35,14.389,14.35,14.35,75806,0
2014-02-21,22:00:00,14.35,14.35,14.251,14.28,457106,0
2014-02-24,16:00:00,14.31,14.419,14.28,14.379,46085,0
2014-02-24,17:00:00,14.389,14.389,14.32,14.34,92367,0
2014-02-24,18:00:00,14.33,14.399,14.3,14.369,153853,0
2014-02-24,19:00:00,14.369,14.379,14.359,14.369,81255,0
2014-02-24,20:00:00,14.359,14.389,14.34,14.389,131273,0
2014-02-24,21:00:00,14.379,14.399,14.359,14.359,174819,0
2014-02-24,22:00:00,14.359,14.359,14.231,14.261,652327,0
2014-02-25,16:00:00,14.27,14.35,14.221,14.35,127221,0
2014-02-25,17:00:00,14.35,14.468,14.3,14.449,147174,0
2014-02-25,18:00:00,14.449,14.488,14.429,14.439,102281,0
2014-02-25,19:00:00,14.449,14.468,14.389,14.409,70066,0
2014-02-25,20:00:00,14.399,14.468,14.389,14.458,78892,0
2014-02-25,21:00:00,14.449,14.468,14.409,14.429,70301,0
2014-02-25,22:00:00,14.419,14.439,14.369,14.389,292667,0
2014-02-26,16:00:00,14.449,14.478,14.369,14.449,86992,0
2014-02-26,17:00:00,14.468,14.548,14.429,14.518,137150,0
2014-02-26,18:00:00,14.528,14.577,14.498,14.557,74124,0
2014-02-26,19:00:00,14.557,14.577,14.409,14.439,266572,0
2014-02-26,20:00:00,14.439,14.508,14.439,14.468,133583,0
2014-02-26,21:00:00,14.468,14.528,14.449,14.498,268725,0
2014-02-26,22:00:00,14.498,14.508,14.379,14.409,591650,0
2014-02-27,16:00:00,14.429,14.498,14.33,14.468,46377,0
2014-02-27,17:00:00,14.468,14.478,14.369,14.399,80521,0
2014-02-27,18:00:00,14.389,14.449,14.34,14.369,86349,0
2014-02-27,19:00:00,14.35,14.379,14.28,14.32,92071,0
2014-02-27,20:00:00,14.32,14.34,14.29,14.31,130487,0
2014-02-27,21:00:00,14.31,14.33,14.261,14.33,104432,0
2014-02-27,22:00:00,14.33,14.369,14.31,14.33,368504,0
2014-02-28,16:00:00,14.33,14.429,14.31,14.429,28088,0
2014-02-28,17:00:00,14.419,14.468,14.389,14.439,105338,0
2014-02-28,18:00:00,14.429,14.439,14.369,14.389,169655,0
2014-02-28,19:00:00,14.389,14.458,14.379,14.449,162228,0
2014-02-28,20:00:00,14.449,14.518,14.439,14.468,116466,0
2014-02-28,21:00:00,14.468,14.557,14.458,14.557,221956,0
2014-02-28,22:00:00,14.557,14.617,14.458,14.498,1019492,0
2014-03-03,16:00:00,14.755,14.765,14.548,14.676,207177,0
2014-03-03,17:00:00,14.676,14.676,14.478,14.518,271191,0
2014-03-03,18:00:00,14.508,14.597,14.488,14.567,103725,0
2014-03-03,19:00:00,14.567,14.666,14.548,14.666,93498,0
2014-03-03,20:00:00,14.666,14.736,14.646,14.726,84110,0
2014-03-03,21:00:00,14.726,14.736,14.676,14.686,82529,0
2014-03-03,22:00:00,14.676,14.686,14.577,14.656,435519,0
2014-03-04,16:00:00,14.805,14.844,14.765,14.805,77698,0
2014-03-04,17:00:00,14.805,14.815,14.765,14.805,161090,0
2014-03-04,18:00:00,14.795,14.815,14.765,14.805,103101,0
2014-03-04,19:00:00,14.805,14.825,14.765,14.785,174645,0
2014-03-04,20:00:00,14.775,14.785,14.676,14.686,107806,0
2014-03-04,21:00:00,14.686,14.706,14.627,14.637,143613,0
2014-03-04,22:00:00,14.646,14.785,14.637,14.765,1031659,0
2014-03-05,16:00:00,14.785,14.844,14.726,14.745,36822,0
2014-03-05,17:00:00,14.755,14.815,14.736,14.775,81180,0
2014-03-05,18:00:00,14.765,14.785,14.646,14.666,133890,0
2014-03-05,19:00:00,14.666,14.676,14.617,14.637,130606,0
2014-03-05,20:00:00,14.637,14.706,14.627,14.686,151166,0
2014-03-05,21:00:00,14.686,14.745,14.686,14.745,91067,0
2014-03-05,22:00:00,14.745,14.815,14.706,14.815,307994,0
2014-03-06,16:00:00,14.805,14.835,14.676,14.745,25950,0
2014-03-06,17:00:00,14.745,14.745,14.607,14.736,72979,0
2014-03-06,18:00:00,14.736,14.736,14.676,14.706,38357,0
2014-03-06,19:00:00,14.706,14.726,14.627,14.637,32410,0
2014-03-06,20:00:00,14.646,14.666,14.617,14.646,56484,0
2014-03-06,21:00:00,14.646,14.646,14.607,14.646,71283,0
2014-03-06,22:00:00,14.646,14.676,14.617,14.656,280724,0
2014-03-07,16:00:00,14.607,14.617,14.33,14.33,149543,0
2014-03-07,17:00:00,14.33,14.429,14.32,14.399,233535,0
2014-03-07,18:00:00,14.399,14.399,14.35,14.359,100714,0
2014-03-07,19:00:00,14.359,14.399,14.33,14.35,116120,0
2014-03-07,20:00:00,14.35,14.379,14.34,14.369,122432,0
2014-03-07,21:00:00,14.369,14.369,14.27,14.33,115780,0
2014-03-07,22:00:00,14.33,14.359,14.251,14.31,515229,0
2014-03-10,15:00:00,14.32,14.399,14.191,14.251,50799,0
2014-03-10,16:00:00,14.27,14.27,14.162,14.171,107987,0
2014-03-10,17:00:00,14.162,14.201,14.102,14.112,84374,0
2014-03-10,18:00:00,14.122,14.152,14.102,14.142,46169,0
2014-03-10,19:00:00,14.142,14.142,14.082,14.102,46856,0
2014-03-10,20:00:00,14.092,14.122,14.082,14.122,156388,0
2014-03-10,21:00:00,14.112,14.181,14.112,14.162,648291,0
2014-03-11,15:00:00,14.112,14.211,14.112,14.211,13701,0
2014-03-11,16:00:00,14.211,14.31,14.191,14.27,90096,0
2014-03-11,17:00:00,14.27,14.359,14.261,14.31,99849,0
2014-03-11,18:00:00,14.32,14.32,14.231,14.231,71636,0
2014-03-11,19:00:00,14.221,14.231,14.162,14.201,62667,0
2014-03-11,20:00:00,14.211,14.211,14.142,14.152,60536,0
2014-03-11,21:00:00,14.152,14.201,14.142,14.181,282702,0
2014-03-12,15:00:00,14.181,14.251,14.102,14.221,108445,0
2014-03-12,16:00:00,14.181,14.221,14.122,14.201,226608,0
2014-03-12,17:00:00,14.201,14.241,14.171,14.221,334038,0
2014-03-12,18:00:00,14.221,14.31,14.221,14.29,312697,0
2014-03-12,19:00:00,14.29,14.389,14.29,14.369,340088,0
2014-03-12,20:00:00,14.379,14.389,14.34,14.359,107079,0
2014-03-12,21:00:00,14.359,14.389,14.28,14.3,585563,0
2014-03-13,15:00:00,14.35,14.439,14.33,14.35,102477,0
2014-03-13,16:00:00,14.34,14.429,14.29,14.399,205824,0
2014-03-13,17:00:00,14.399,14.468,14.369,14.439,96823,0
2014-03-13,18:00:00,14.449,14.458,14.359,14.419,161759,0
2014-03-13,19:00:00,14.419,14.478,14.409,14.458,175818,0
2014-03-13,20:00:00,14.468,14.498,14.449,14.488,163099,0
2014-03-13,21:00:00,14.488,14.498,14.33,14.34,434832,0
2014-03-14,15:00:00,14.35,14.488,14.35,14.389,45703,0
2014-03-14,16:00:00,14.399,14.409,14.3,14.31,106592,0
2014-03-14,17:00:00,14.32,14.419,14.3,14.399,102560,0
2014-03-14,18:00:00,14.399,14.399,14.369,14.389,116793,0
2014-03-14,19:00:00,14.389,14.409,14.359,14.399,121108,0
2014-03-14,20:00:00,14.399,14.419,14.359,14.369,113954,0
2014-03-14,21:00:00,14.379,14.419,14.359,14.409,244630,0
2014-03-17,15:00:00,14.478,14.498,14.439,14.498,35290,0
2014-03-17,16:00:00,14.498,14.597,14.488,14.488,88133,0
2014-03-17,17:00:00,14.488,14.488,14.32,14.34,75417,0
2014-03-17,18:00:00,14.34,14.34,14.29,14.33,75994,0
2014-03-17,19:00:00,14.34,14.35,14.28,14.29,93099,0
2014-03-17,20:00:00,14.29,14.3,14.27,14.29,65947,0
2014-03-17,21:00:00,14.29,14.478,14.27,14.468,778959,0
2014-03-18,15:00:00,14.478,14.548,14.429,14.538,30785,0
2014-03-18,16:00:00,14.548,14.567,14.488,14.488,46023,0
2014-03-18,17:00:00,14.478,14.518,14.468,14.498,47562,0
2014-03-18,18:00:00,14.498,14.538,14.488,14.528,138287,0
2014-03-18,19:00:00,14.538,14.607,14.528,14.587,184203,0
2014-03-18,20:00:00,14.587,14.597,14.548,14.557,102624,0
2014-03-18,21:00:00,14.557,14.567,14.478,14.538,659456,0
2014-03-19,15:00:00,14.567,14.656,14.508,14.548,187578,0
2014-03-19,16:00:00,14.538,14.577,14.508,14.508,271299,0
2014-03-19,17:00:00,14.508,14.538,14.419,14.419,45606,0
2014-03-19,18:00:00,14.419,14.439,14.359,14.379,203658,0
2014-03-19,19:00:00,14.389,14.399,14.35,14.35,53026,0
2014-03-19,20:00:00,14.359,14.379,14.152,14.211,335039,0
2014-03-19,21:00:00,14.211,14.211,14.063,14.162,632772,0
2014-03-20,15:00:00,14.152,14.171,13.954,13.964,32087,0
2014-03-20,16:00:00,13.954,14.072,13.954,14.003,78440,0
2014-03-20,17:00:00,14.003,14.023,13.964,14.003,61882,0
2014-03-20,18:00:00,14.013,14.132,14.013,14.132,70695,0
2014-03-20,19:00:00,14.132,14.171,14.092,14.102,54396,0
2014-03-20,20:00:00,14.102,14.181,14.072,14.171,153568,0
2014-03-20,21:00:00,14.162,14.162,14.092,14.142,697471,0
2014-03-21,15:00:00,14.152,14.241,14.102,14.171,183933,0
2014-03-21,16:00:00,14.171,14.251,14.142,14.201,323454,0
2014-03-21,17:00:00,14.191,14.31,14.191,14.28,95501,0
2014-03-21,18:00:00,14.28,14.33,14.261,14.31,57449,0
2014-03-21,19:00:00,14.31,14.32,14.221,14.231,106105,0
2014-03-21,20:00:00,14.231,14.251,14.181,14.201,104145,0
2014-03-21,21:00:00,14.211,14.29,14.191,14.251,2146559,0
2014-03-24,15:00:00,14.3,14.32,14.162,14.211,189332,0
2014-03-24,16:00:00,14.201,14.201,14.033,14.053,84397,0
2014-03-24,17:00:00,14.043,14.043,13.993,13.993,85755,0
2014-03-24,18:00:00,14.003,14.033,13.993,14.023,74812,0
2014-03-24,19:00:00,14.033,14.162,14.023,14.162,81578,0
2014-03-24,20:00:00,14.162,14.201,14.142,14.152,59844,0
2014-03-24,21:00:00,14.152,14.201,14.112,14.142,1040537,0
2014-03-25,15:00:00,14.31,14.34,14.132,14.142,149865,0
2014-03-25,16:00:00,14.152,14.162,14.082,14.102,121530,0
2014-03-25,17:00:00,14.092,14.152,14.082,14.102,89970,0
2014-03-25,18:00:00,14.102,14.221,14.092,14.211,111071,0
2014-03-25,19:00:00,14.201,14.251,14.201,14.241,76918,0
2014-03-25,20:00:00,14.241,14.33,14.241,14.31,205817,0
2014-03-25,21:00:00,14.31,14.35,14.29,14.33,354039,0
2014-03-26,15:00:00,14.33,14.389,14.231,14.231,21045,0
2014-03-26,16:00:00,14.251,14.27,14.211,14.261,97226,0
2014-03-26,17:00:00,14.261,14.31,14.241,14.29,65363,0
2014-03-26,18:00:00,14.29,14.35,14.29,14.34,54886,0
2014-03-26,19:00:00,14.34,14.35,14.27,14.28,81158,0
2014-03-26,20:00:00,14.27,14.28,14.211,14.241,63693,0
2014-03-26,21:00:00,14.251,14.251,14.162,14.171,250139,0
2014-03-27,15:00:00,14.171,14.27,14.142,14.191,59775,0
2014-03-27,16:00:00,14.181,14.181,14.072,14.082,189196,0
2014-03-27,17:00:00,14.082,14.082,13.934,13.944,333268,0
2014-03-27,18:00:00,13.954,14.053,13.934,14.033,346198,0
2014-03-27,19:00:00,14.033,14.053,13.993,14.003,126745,0
2014-03-27,20:00:00,14.003,14.003,13.944,13.954,143396,0
2014-03-27,21:00:00,13.944,14.072,13.924,13.993,1151906,0
2014-03-28,15:00:00,14.043,14.102,14.023,14.053,167122,0
2014-03-28,16:00:00,14.063,14.092,14.013,14.053,280378,0
2014-03-28,17:00:00,14.053,14.053,13.993,14.023,462020,0
2014-03-28,18:00:00,14.033,14.152,14.023,14.152,335159,0
2014-03-28,19:00:00,14.162,14.211,14.152,14.211,127952,0
2014-03-28,20:00:00,14.201,14.211,14.142,14.152,78793,0
2014-03-28,21:00:00,14.152,14.162,14.082,14.112,363960,0
2014-03-31,16:00:00,14.231,14.231,14.033,14.092,75294,0
2014-03-31,17:00:00,14.092,14.211,14.082,14.181,139612,0
2014-03-31,18:00:00,14.181,14.3,14.171,14.29,196587,0
2014-03-31,19:00:00,14.3,14.35,14.28,14.32,110058,0
2014-03-31,20:00:00,14.33,14.35,14.31,14.34,127512,0
2014-03-31,21:00:00,14.33,14.389,14.33,14.359,115091,0
2014-03-31,22:00:00,14.35,14.359,14.28,14.31,444988,0
2014-04-01,16:00:00,14.33,14.35,14.22,14.26,166428,0
2014-04-01,17:00:00,14.27,14.3,14.14,14.14,108625,0
