Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,24.829,24.829,24.829,24.829,310,0
2014-02-10,19:00:00,24.809,24.809,24.809,24.809,204,0
2014-02-10,20:00:00,24.829,24.829,24.829,24.829,612,0
2014-02-11,18:00:00,24.819,24.819,24.79,24.79,632,0
2014-02-11,20:00:00,24.819,24.829,24.819,24.829,1020,0
2014-02-11,21:00:00,24.878,24.878,24.878,24.878,408,0
2014-02-12,18:00:00,24.829,24.829,24.819,24.819,510,0
2014-02-12,22:00:00,24.859,24.859,24.849,24.849,612,0
2014-02-14,17:00:00,24.79,24.79,24.79,24.79,612,0
2014-02-14,18:00:00,24.868,24.868,24.868,24.868,204,0
2014-02-14,19:00:00,24.868,24.898,24.859,24.898,1083,0
2014-02-14,20:00:00,24.898,24.898,24.898,24.898,612,0
2014-02-14,21:00:00,24.898,24.898,24.898,24.898,408,0
2014-02-14,22:00:00,24.898,24.898,24.898,24.898,204,0
2014-02-19,17:00:00,24.947,24.947,24.947,24.947,352,0
2014-02-19,20:00:00,24.937,24.937,24.937,24.937,102,0
2014-02-19,22:00:00,24.947,24.947,24.839,24.839,306,0
2014-02-20,17:00:00,24.868,24.868,24.868,24.868,714,0
2014-02-20,20:00:00,24.878,24.878,24.878,24.878,102,0
2014-02-20,22:00:00,24.908,24.908,24.908,24.908,122,0
2014-02-21,17:00:00,24.888,24.888,24.888,24.888,102,0
2014-02-21,22:00:00,24.957,24.996,24.957,24.996,1517,0
2014-02-24,16:00:00,24.937,25.104,24.917,25.104,1632,0
2014-02-24,18:00:00,25.104,25.104,25.104,25.104,306,0
2014-02-24,21:00:00,25.153,25.163,25.153,25.163,1261,0
2014-02-24,22:00:00,25.202,25.27,25.202,25.261,1045,0
2014-02-25,19:00:00,25.417,25.496,25.261,25.29,2147,0
2014-02-25,21:00:00,25.261,25.261,25.261,25.261,306,0
2014-02-27,16:00:00,24.976,24.976,24.976,24.976,714,0
2014-02-27,20:00:00,25.015,25.015,25.015,25.015,2040,0
2014-02-28,16:00:00,25.261,25.261,25.261,25.261,102,0
2014-03-05,18:00:00,25.025,25.025,25.025,25.025,204,0
2014-03-06,19:00:00,25.261,25.261,25.261,25.261,1713,0
2014-03-07,17:00:00,24.986,24.986,24.986,24.986,561,0
2014-03-07,18:00:00,25.202,25.202,25.202,25.202,4079,0
2014-03-10,17:00:00,25.006,25.006,25.006,25.006,446,0
2014-03-10,18:00:00,25.055,25.055,25.055,25.055,202,0
2014-03-12,19:00:00,25.074,25.074,25.074,25.074,163,0
2014-03-13,17:00:00,25.202,25.202,25.192,25.192,306,0
2014-03-13,20:00:00,25.182,25.231,25.182,25.231,306,0
2014-03-14,15:00:00,25.202,25.251,25.202,25.251,324,0
2014-03-14,19:00:00,25.045,25.251,25.045,25.202,536,0
2014-03-14,20:00:00,25.251,25.251,25.251,25.251,132,0
2014-03-17,19:00:00,25.251,25.251,25.251,25.251,102,0
2014-03-17,21:00:00,25.261,25.261,25.261,25.261,102,0
2014-03-20,16:00:00,25.113,25.113,25.094,25.094,2925,0
2014-03-20,21:00:00,25.094,25.094,25.094,25.094,408,0
2014-03-21,18:00:00,25.104,25.104,25.104,25.104,102,0
2014-03-21,19:00:00,25.172,25.172,25.094,25.094,613,0
2014-03-21,20:00:00,25.153,25.153,25.153,25.153,204,0
2014-03-24,21:00:00,25.113,25.113,25.113,25.113,653,0
2014-03-25,15:00:00,25.035,25.094,25.035,25.094,734,0
2014-03-25,20:00:00,25.104,25.104,25.104,25.104,811,0
2014-03-26,17:00:00,25.202,25.202,25.202,25.202,102,0
2014-03-26,20:00:00,25.163,25.163,25.163,25.163,177,0
2014-03-26,21:00:00,25.163,25.163,25.163,25.163,102,0
2014-03-27,16:00:00,25.231,25.231,25.231,25.231,408,0
2014-03-27,17:00:00,25.163,25.163,25.163,25.163,447,0
2014-03-28,20:00:00,25.251,25.251,25.251,25.251,143,0
2014-03-31,17:00:00,25.182,25.182,25.182,25.182,162,0
2014-03-31,19:00:00,25.202,25.202,25.202,25.202,204,0
2014-03-31,21:00:00,25.261,25.29,25.182,25.182,3466,0
2014-04-01,18:00:00,25.212,25.212,25.212,25.212,306,0
2014-04-01,21:00:00,25.251,25.251,25.251,25.251,102,0
2014-04-01,22:00:00,25.29,25.29,25.29,25.29,117,0
2014-04-02,16:00:00,25.35,25.7,25.35,25.7,2776,0
2014-04-02,18:00:00,25.62,25.65,25.62,25.65,1576,0
2014-04-02,21:00:00,25.69,25.7,25.69,25.7,436,0
2014-04-02,22:00:00,25.7,25.74,25.7,25.74,1100,0
2014-04-04,21:00:00,25.45,25.45,25.45,25.45,320,0
2014-04-09,19:00:00,25.5,25.75,25.5,25.75,800,0
2014-04-09,20:00:00,25.75,25.75,25.75,25.75,1462,0
2014-04-09,21:00:00,25.75,25.75,25.75,25.75,600,0
