Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,12.484,12.484,12.484,12.484,100,0
2014-02-10,17:00:00,12.435,12.494,12.435,12.464,4150,0
2014-02-10,18:00:00,12.464,12.474,12.464,12.474,2258,0
2014-02-10,19:00:00,12.474,12.474,12.464,12.474,1421,0
2014-02-10,20:00:00,12.474,12.474,12.474,12.474,302,0
2014-02-10,21:00:00,12.474,12.474,12.474,12.474,3038,0
2014-02-11,16:00:00,12.464,12.464,12.464,12.464,253,0
2014-02-11,17:00:00,12.474,12.474,12.474,12.474,1064,0
2014-02-11,18:00:00,12.494,12.494,12.474,12.474,4360,0
2014-02-11,19:00:00,12.474,12.474,12.474,12.474,12179,0
2014-02-11,20:00:00,12.494,12.494,12.494,12.494,4566,0
2014-02-11,21:00:00,12.494,12.494,12.494,12.494,404,0
2014-02-11,22:00:00,12.474,12.474,12.474,12.474,240,0
2014-02-12,16:00:00,12.516,12.516,12.516,12.516,404,0
2014-02-12,17:00:00,12.457,12.457,12.447,12.447,908,0
2014-02-12,18:00:00,12.447,12.497,12.447,12.487,2424,0
2014-02-12,21:00:00,12.487,12.526,12.487,12.526,2429,0
2014-02-12,22:00:00,12.516,12.516,12.487,12.487,2471,0
2014-02-13,16:00:00,12.546,12.546,12.546,12.546,202,0
2014-02-13,17:00:00,12.457,12.506,12.457,12.506,1184,0
2014-02-13,18:00:00,12.457,12.477,12.457,12.457,2020,0
2014-02-13,21:00:00,12.546,12.546,12.546,12.546,706,0
2014-02-13,22:00:00,12.546,12.546,12.526,12.526,202,0
2014-02-14,16:00:00,12.536,12.556,12.536,12.556,4101,0
2014-02-14,17:00:00,12.556,12.556,12.526,12.546,2778,0
2014-02-14,18:00:00,12.546,12.546,12.526,12.546,1850,0
2014-02-14,19:00:00,12.546,12.556,12.546,12.546,1312,0
2014-02-14,20:00:00,12.536,12.556,12.536,12.556,1136,0
2014-02-14,21:00:00,12.487,12.487,12.477,12.477,404,0
2014-02-14,22:00:00,12.487,12.536,12.477,12.526,1514,0
2014-02-18,16:00:00,12.536,12.536,12.536,12.536,267,0
2014-02-18,17:00:00,12.526,12.536,12.526,12.526,1616,0
2014-02-18,18:00:00,12.526,12.536,12.526,12.526,908,0
2014-02-18,19:00:00,12.497,12.526,12.487,12.487,1918,0
2014-02-18,20:00:00,12.487,12.487,12.487,12.487,404,0
2014-02-18,21:00:00,12.487,12.487,12.487,12.487,1414,0
2014-02-18,22:00:00,12.487,12.487,12.477,12.477,1052,0
2014-02-19,17:00:00,12.526,12.526,12.487,12.487,3498,0
2014-02-19,18:00:00,12.506,12.506,12.497,12.506,1110,0
2014-02-19,19:00:00,12.497,12.497,12.457,12.467,4056,0
2014-02-19,20:00:00,12.457,12.526,12.457,12.516,1616,0
2014-02-19,21:00:00,12.487,12.487,12.477,12.477,404,0
2014-02-19,22:00:00,12.487,12.516,12.477,12.477,1084,0
2014-02-20,17:00:00,12.506,12.506,12.467,12.467,4548,0
2014-02-20,18:00:00,12.437,12.447,12.437,12.447,1414,0
2014-02-20,20:00:00,12.447,12.477,12.437,12.477,1965,0
2014-02-20,21:00:00,12.447,12.447,12.437,12.437,2222,0
2014-02-20,22:00:00,12.447,12.447,12.437,12.437,2307,0
2014-02-21,16:00:00,12.497,12.506,12.497,12.506,504,0
2014-02-21,17:00:00,12.477,12.546,12.477,12.526,5352,0
2014-02-21,18:00:00,12.526,12.526,12.526,12.526,404,0
2014-02-21,19:00:00,12.526,12.526,12.526,12.526,504,0
2014-02-21,20:00:00,12.526,12.536,12.526,12.536,5446,0
2014-02-21,21:00:00,12.526,12.526,12.526,12.526,404,0
2014-02-21,22:00:00,12.526,12.526,12.467,12.516,4224,0
2014-02-24,16:00:00,12.566,12.566,12.506,12.526,504,0
2014-02-24,17:00:00,12.506,12.576,12.506,12.576,3448,0
2014-02-24,18:00:00,12.506,12.506,12.506,12.506,404,0
