Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,22.0519,22.0519,22.0519,22.0519,237,0
2014-02-10,19:00:00,22.2582,22.268,22.2582,22.268,1018,0
2014-02-10,20:00:00,22.16,22.268,22.16,22.268,611,0
2014-02-10,21:00:00,22.2484,22.2484,22.2484,22.2484,611,0
2014-02-10,22:00:00,22.2189,22.3269,22.2189,22.3269,679,0
2014-02-11,16:00:00,22.1894,22.1894,22.1894,22.1894,611,0
2014-02-11,17:00:00,22.4546,22.4546,22.4546,22.4546,187,0
2014-02-11,18:00:00,22.4448,22.4448,22.4448,22.4448,102,0
2014-02-11,20:00:00,22.4252,22.435,22.268,22.268,1222,0
2014-02-11,22:00:00,22.3662,22.4841,22.3662,22.4841,3665,0
2014-02-12,17:00:00,22.4841,22.6511,22.4841,22.6511,3024,0
2014-02-12,18:00:00,22.6609,22.71,22.5234,22.5234,6108,0
2014-02-12,21:00:00,22.71,22.7198,22.6511,22.7198,1955,0
2014-02-12,22:00:00,22.7297,22.7689,22.7002,22.7689,2727,0
2014-02-13,16:00:00,22.7689,22.7886,22.7591,22.7591,2952,0
2014-02-13,17:00:00,22.7493,22.7493,22.7493,22.7493,15,0
2014-02-13,20:00:00,22.7297,22.7395,22.5627,22.7297,5741,0
2014-02-13,22:00:00,22.5529,22.6511,22.5529,22.6511,1935,0
2014-02-14,17:00:00,22.7198,22.9556,22.7198,22.9556,6495,0
2014-02-14,18:00:00,22.8475,22.8868,22.6216,22.6216,7705,0
2014-02-14,19:00:00,22.6609,22.6609,22.6216,22.6216,967,0
2014-02-14,20:00:00,22.6314,22.6413,22.5037,22.543,4708,0
2014-02-18,16:00:00,22.5627,22.5627,22.5627,22.5627,270,0
2014-02-18,18:00:00,22.7591,22.7591,22.5627,22.5627,3436,0
2014-02-18,19:00:00,22.6904,22.7395,22.6805,22.6904,5617,0
2014-02-18,20:00:00,22.7493,22.7886,22.6904,22.7886,2036,0
2014-02-18,21:00:00,22.7297,22.7395,22.7297,22.7395,1731,0
2014-02-18,22:00:00,22.7297,22.9851,22.7297,22.9851,917,0
2014-02-19,17:00:00,22.7984,22.8181,22.7984,22.7984,4072,0
2014-02-19,18:00:00,22.9949,23.0342,22.9949,23.0342,4275,0
2014-02-19,19:00:00,23.0243,23.0342,23.0243,23.0342,585,0
2014-02-19,21:00:00,23.0342,23.1815,23.0243,23.1815,4352,0
2014-02-19,22:00:00,23.1913,23.2306,23.1815,23.2306,9670,0
2014-02-20,16:00:00,23.211,23.211,23.1029,23.1029,8534,0
2014-02-20,17:00:00,23.0833,23.0833,23.0735,23.0735,204,0
2014-02-20,18:00:00,23.0735,23.0931,23.0735,23.0931,566,0
2014-02-20,19:00:00,22.9851,22.9851,22.9654,22.9654,415,0
2014-02-20,20:00:00,23.0833,23.0833,22.8377,22.8377,7649,0
2014-02-20,21:00:00,22.8377,22.9556,22.8377,22.9556,585,0
2014-02-20,22:00:00,22.9359,22.9556,22.9359,22.9556,3362,0
2014-02-21,16:00:00,22.8475,22.8475,22.8475,22.8475,2504,0
2014-02-21,17:00:00,23.0735,23.0735,22.8672,22.8672,1221,0
2014-02-21,18:00:00,22.877,22.877,22.877,22.877,102,0
2014-02-21,19:00:00,23.0735,23.0735,23.0735,23.0735,1045,0
2014-02-21,21:00:00,23.0047,23.0636,22.9359,22.9359,1549,0
2014-02-21,22:00:00,23.0636,23.0636,22.9359,22.9359,2656,0
2014-02-24,16:00:00,22.9359,22.9359,22.8868,22.8868,612,0
2014-02-24,17:00:00,22.8377,22.8475,22.8377,22.8377,816,0
2014-02-24,18:00:00,22.8967,22.8967,22.8967,22.8967,2701,0
2014-02-24,19:00:00,22.8377,22.8574,22.8377,22.8574,509,0
2014-02-24,20:00:00,22.8574,22.8574,22.8574,22.8574,1018,0
2014-02-24,22:00:00,22.9359,23.044,22.877,23.0342,4160,0
2014-02-25,17:00:00,22.9359,23.0833,22.9359,23.044,5244,0
2014-02-25,18:00:00,23.0342,23.044,22.9752,22.9851,1937,0
2014-02-25,19:00:00,22.9851,22.9851,22.9851,22.9851,2964,0
2014-02-25,20:00:00,22.9851,23.044,22.9851,23.044,42148,0
2014-02-25,21:00:00,23.0243,23.0243,23.0243,23.0243,1018,0
2014-02-25,22:00:00,23.0243,23.1324,23.0243,23.0735,10463,0
2014-02-26,16:00:00,23.1815,23.1815,23.0833,23.0833,713,0
2014-02-26,17:00:00,23.0833,23.0833,23.0833,23.0833,407,0
2014-02-26,18:00:00,23.0145,23.0145,22.9949,22.9949,408,0
2014-02-26,19:00:00,22.9752,22.9752,22.9261,22.9261,1120,0
2014-02-26,20:00:00,22.9359,23.0833,22.9359,23.0833,3935,0
2014-02-26,21:00:00,23.0833,23.1422,23.0735,23.1422,2114,0
2014-02-26,22:00:00,23.0047,23.1422,22.9261,22.9261,43241,0
2014-02-27,17:00:00,23.0047,23.0145,22.9752,23.0047,2445,0
2014-02-27,18:00:00,23.0243,23.0243,22.9851,22.9851,1478,0
2014-02-27,19:00:00,23.0047,23.0047,22.9851,22.9851,306,0
2014-02-27,20:00:00,22.9851,23.0538,22.9556,23.0538,2215,0
2014-02-27,21:00:00,23.044,23.1127,23.0047,23.0047,4887,0
2014-02-27,22:00:00,23.0145,23.1324,22.9949,23.0047,4582,0
2014-02-28,17:00:00,23.0833,23.0833,23.0833,23.0833,3460,0
2014-02-28,18:00:00,23.0243,23.1324,22.9949,23.1324,10273,0
2014-02-28,21:00:00,23.0538,23.0538,22.9949,22.9949,3800,0
2014-02-28,22:00:00,22.9949,22.9949,22.9065,22.9065,3359,0
2014-03-03,17:00:00,22.8279,22.8672,22.8279,22.8672,2519,0
2014-03-03,20:00:00,22.9261,22.9261,22.9261,22.9261,255,0
2014-03-03,21:00:00,22.877,22.877,22.877,22.877,865,0
2014-03-03,22:00:00,22.9458,22.9458,22.877,22.877,575,0
2014-03-04,16:00:00,22.9949,22.9949,22.9851,22.9949,559,0
2014-03-04,17:00:00,22.9851,22.9851,22.9163,22.9458,2022,0
2014-03-04,18:00:00,23.0342,23.0342,23.0342,23.0342,1628,0
2014-03-04,19:00:00,22.9556,23.0342,22.9556,23.0342,714,0
2014-03-04,20:00:00,22.9556,22.9851,22.9556,22.9851,3981,0
2014-03-04,21:00:00,22.9556,22.9556,22.9556,22.9556,1018,0
2014-03-04,22:00:00,22.9851,22.9851,22.9556,22.9556,7968,0
2014-03-05,16:00:00,22.9458,22.9458,22.9458,22.9458,204,0
2014-03-05,17:00:00,22.9065,22.9065,22.8475,22.8475,1929,0
2014-03-05,19:00:00,22.8475,22.9556,22.8475,22.9556,2547,0
2014-03-05,20:00:00,22.9556,22.9556,22.8475,22.9556,1990,0
2014-03-05,22:00:00,22.8574,22.8574,22.8475,22.8475,204,0
2014-03-06,16:00:00,23.0636,23.0636,23.0538,23.0538,687,0
2014-03-06,17:00:00,23.044,23.044,23.044,23.044,455,0
2014-03-06,18:00:00,23.0243,23.0342,23.0145,23.0342,4924,0
2014-03-06,19:00:00,22.8868,23.0243,22.8868,23.0243,2444,0
2014-03-06,20:00:00,23.0636,23.0636,23.0636,23.0636,209,0
2014-03-06,21:00:00,22.9752,22.9752,22.9752,22.9752,204,0
2014-03-06,22:00:00,23.0636,23.0833,23.0538,23.0833,1179,0
2014-03-07,16:00:00,23.0833,23.0833,23.0833,23.0833,1277,0
2014-03-07,18:00:00,22.9359,23.1815,22.9359,23.1815,3228,0
2014-03-07,19:00:00,23.0047,23.1619,22.9556,22.9556,5092,0
2014-03-07,20:00:00,22.9654,23.0342,22.8967,23.0342,4075,0
2014-03-07,21:00:00,23.0243,23.0833,23.0243,23.0342,816,0
2014-03-07,22:00:00,23.0145,23.0145,22.8574,22.9359,3771,0
2014-03-10,15:00:00,23.2,23.2,23.2,23.2,100,0
2014-03-10,16:00:00,22.78,22.78,22.78,22.78,350,0
2014-03-10,17:00:00,22.84,23.19,22.84,22.9,1762,0
2014-03-10,19:00:00,22.94,22.94,22.94,22.94,1000,0
2014-03-10,20:00:00,22.88,22.88,22.88,22.88,200,0
2014-03-10,21:00:00,22.85,22.85,22.85,22.85,386,0
2014-03-11,15:00:00,22.87,23.09,22.87,23.09,1100,0
2014-03-11,16:00:00,23.13,23.13,22.87,23.1,2550,0
2014-03-11,18:00:00,22.87,22.87,22.87,22.87,400,0
2014-03-11,19:00:00,23.07,23.07,23.07,23.07,600,0
2014-03-11,20:00:00,23,23.07,22.92,23.07,3502,0
2014-03-11,21:00:00,22.87,22.87,22.87,22.87,374,0
2014-03-12,17:00:00,22.87,22.87,22.87,22.87,500,0
2014-03-12,21:00:00,22.98,23.1,22.89,23.1,4300,0
2014-03-13,16:00:00,23,23,22.84,22.93,12496,0
2014-03-13,17:00:00,22.83,22.87,22.83,22.86,1510,0
2014-03-13,18:00:00,22.86,22.94,22.86,22.92,2160,0
2014-03-13,19:00:00,22.94,22.94,22.94,22.94,1000,0
2014-03-13,20:00:00,22.94,23.04,22.93,23,9680,0
2014-03-13,21:00:00,23.04,23.16,23.04,23.16,3200,0
2014-03-14,15:00:00,23.02,23.02,22.97,22.97,1460,0
2014-03-14,16:00:00,22.92,23.02,22.92,22.92,2100,0
2014-03-14,17:00:00,22.98,23,22.92,23,3748,0
2014-03-14,18:00:00,23,23,23,23,1340,0
2014-03-14,19:00:00,23.02,23.02,23.01,23.01,414,0
2014-03-14,20:00:00,23.02,23.02,22.98,23.02,1806,0
2014-03-14,21:00:00,23.02,23.02,23.02,23.02,100,0
2014-03-17,15:00:00,22.89,22.89,22.89,22.89,500,0
2014-03-17,16:00:00,22.89,23.19,22.89,23.09,2432,0
