Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,46.262,46.262,44.674,44.753,190613,0
2014-02-10,17:00:00,44.753,45.359,44.595,45.061,150519,0
2014-02-10,18:00:00,45.101,45.22,44.873,45.22,161253,0
2014-02-10,19:00:00,45.25,45.627,45.131,45.409,121321,0
2014-02-10,20:00:00,45.419,45.617,45.419,45.587,34185,0
2014-02-10,21:00:00,45.617,45.716,45.518,45.667,76712,0
2014-02-10,22:00:00,45.667,45.667,45.151,45.399,143970,0
2014-02-11,16:00:00,45.438,45.746,45.359,45.677,46007,0
2014-02-11,17:00:00,45.706,46.411,45.677,46.362,111723,0
2014-02-11,18:00:00,46.372,46.401,45.855,46.193,147086,0
2014-02-11,19:00:00,46.183,46.709,46.143,46.481,100581,0
2014-02-11,20:00:00,46.461,46.848,46.451,46.818,81836,0
2014-02-11,21:00:00,46.808,46.868,46.66,46.689,91189,0
2014-02-11,22:00:00,46.689,46.719,46.451,46.481,221794,0
2014-02-12,16:00:00,46.55,46.769,46.491,46.679,29538,0
2014-02-12,17:00:00,46.689,46.739,46.094,46.292,79088,0
2014-02-12,18:00:00,46.282,46.282,45.965,46.084,55684,0
2014-02-12,19:00:00,46.104,46.114,45.677,45.756,73202,0
2014-02-12,20:00:00,45.756,45.915,45.647,45.677,90749,0
2014-02-12,21:00:00,45.716,45.925,45.716,45.836,43246,0
2014-02-12,22:00:00,45.826,45.975,45.816,45.826,64618,0
2014-02-13,16:00:00,45.567,45.567,45.031,45.438,14725,0
2014-02-13,17:00:00,45.468,45.687,45.071,45.409,60525,0
2014-02-13,18:00:00,45.359,45.726,45.359,45.498,101166,0
2014-02-13,19:00:00,45.498,45.647,45.379,45.488,50865,0
2014-02-13,20:00:00,45.488,45.925,45.488,45.925,25130,0
2014-02-13,21:00:00,45.945,46.163,45.885,45.935,36616,0
2014-02-13,22:00:00,45.925,45.965,45.826,45.945,124336,0
2014-02-14,16:00:00,45.875,46.054,45.875,45.925,6195,0
2014-02-14,17:00:00,45.945,46.094,45.925,45.955,17158,0
2014-02-14,18:00:00,45.955,46.243,45.865,46.243,27802,0
2014-02-14,19:00:00,46.243,46.362,46.203,46.362,24880,0
2014-02-14,20:00:00,46.352,46.56,46.302,46.54,30234,0
2014-02-14,21:00:00,46.53,46.62,46.322,46.421,45630,0
2014-02-14,22:00:00,46.421,46.55,46.292,46.411,78319,0
2014-02-18,16:00:00,46.58,46.58,45.637,45.716,53475,0
2014-02-18,17:00:00,45.766,45.895,45.18,45.22,79711,0
2014-02-18,18:00:00,45.26,45.468,45.22,45.429,67360,0
2014-02-18,19:00:00,45.379,45.468,45.27,45.27,31938,0
2014-02-18,20:00:00,45.27,45.379,45.012,45.091,44269,0
2014-02-18,21:00:00,45.101,45.329,45.071,45.26,49917,0
2014-02-18,22:00:00,45.26,45.389,45.16,45.24,126181,0
2014-02-19,16:00:00,45.538,45.538,44.902,45.131,65856,0
2014-02-19,17:00:00,45.121,45.22,44.932,45.151,74204,0
2014-02-19,18:00:00,45.17,45.359,45.051,45.061,59714,0
2014-02-19,19:00:00,45.041,45.19,44.753,45.141,71172,0
2014-02-19,20:00:00,45.151,45.448,45.151,45.389,52431,0
2014-02-19,21:00:00,45.379,45.468,45.17,45.22,69938,0
2014-02-19,22:00:00,45.26,45.27,45.131,45.22,90660,0
2014-02-20,16:00:00,45.429,45.429,44.763,44.833,38155,0
2014-02-20,17:00:00,44.773,44.932,44.753,44.882,84373,0
2014-02-20,18:00:00,44.882,44.922,44.466,44.505,57594,0
2014-02-20,19:00:00,44.525,45.101,44.525,44.942,34780,0
2014-02-20,20:00:00,44.952,45.25,44.803,45.141,82235,0
2014-02-20,21:00:00,45.131,45.25,45.081,45.19,48114,0
2014-02-20,22:00:00,45.21,45.349,45.16,45.16,84116,0
2014-02-21,16:00:00,45.24,45.448,45.121,45.448,14264,0
2014-02-21,17:00:00,45.409,45.558,45.28,45.359,38745,0
2014-02-21,18:00:00,45.339,45.548,45.309,45.448,86334,0
2014-02-21,19:00:00,45.448,45.706,45.438,45.697,131497,0
2014-02-21,20:00:00,45.697,45.915,45.687,45.865,76225,0
2014-02-21,21:00:00,45.885,45.925,45.558,45.915,102200,0
2014-02-21,22:00:00,45.915,46.084,45.716,45.994,141780,0
2014-02-24,16:00:00,46.223,46.858,46.203,46.838,40417,0
2014-02-24,17:00:00,46.838,46.977,46.64,46.838,44540,0
2014-02-24,18:00:00,46.848,47.752,46.818,47.752,204342,0
2014-02-24,19:00:00,47.752,48.149,47.652,48.109,109918,0
2014-02-24,20:00:00,48.099,48.298,48.069,48.278,58207,0
2014-02-24,21:00:00,48.288,48.437,48.208,48.228,107882,0
2014-02-24,22:00:00,48.208,48.228,47.98,48,139873,0
2014-02-25,16:00:00,47.325,48.139,47.325,47.821,76352,0
2014-02-25,17:00:00,47.752,47.811,47.176,47.474,94011,0
2014-02-25,18:00:00,47.474,47.761,47.414,47.503,65935,0
2014-02-25,19:00:00,47.523,47.613,47.434,47.484,50160,0
2014-02-25,20:00:00,47.454,47.523,47.315,47.364,40285,0
2014-02-25,21:00:00,47.374,47.474,47.315,47.384,36460,0
2014-02-25,22:00:00,47.364,47.752,47.335,47.573,297545,0
2014-02-26,16:00:00,47.235,47.454,46.669,46.669,14239,0
2014-02-26,17:00:00,46.679,47.424,46.669,47.325,74944,0
2014-02-26,18:00:00,47.305,47.493,47.136,47.295,37576,0
2014-02-26,19:00:00,47.255,47.444,47.255,47.384,134106,0
2014-02-26,20:00:00,47.354,47.583,47.354,47.503,51114,0
2014-02-26,21:00:00,47.503,47.593,47.404,47.593,46371,0
2014-02-26,22:00:00,47.603,47.632,47.434,47.523,148978,0
2014-02-27,16:00:00,47.722,48.188,47.096,47.851,94474,0
2014-02-27,17:00:00,47.841,48.139,47.841,48.02,71921,0
2014-02-27,18:00:00,48.069,48.784,48.03,48.774,135613,0
