Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.81,24.85,24.38,24.65,55161,0
2014-02-10,17:00:00,24.69,24.82,24.56,24.63,109037,0
2014-02-10,18:00:00,24.62,24.74,24.57,24.71,50594,0
2014-02-10,19:00:00,24.7,24.99,24.7,24.99,83067,0
2014-02-10,20:00:00,24.97,25.09,24.43,24.56,551600,0
2014-02-10,21:00:00,24.55,24.58,23.76,24.16,382578,0
2014-02-10,22:00:00,24.16,24.25,24.05,24.2,230947,0
2014-02-11,16:00:00,24.2,24.4,24,24.25,61524,0
2014-02-11,17:00:00,24.23,24.35,24.1,24.2,80705,0
2014-02-11,18:00:00,24.23,24.29,24.13,24.25,63688,0
2014-02-11,19:00:00,24.26,24.56,24.23,24.52,97091,0
2014-02-11,20:00:00,24.57,24.7,24.55,24.68,40194,0
2014-02-11,21:00:00,24.68,24.83,24.64,24.82,57418,0
2014-02-11,22:00:00,24.82,24.97,24.7,24.74,247986,0
2014-02-12,16:00:00,24.65,25.13,24.51,24.92,72923,0
2014-02-12,17:00:00,24.91,25.12,24.77,24.98,63538,0
2014-02-12,18:00:00,24.98,25.18,24.8,24.81,116989,0
2014-02-12,19:00:00,24.78,25.05,24.75,25.03,57582,0
2014-02-12,20:00:00,25.03,25.37,24.93,25.24,158753,0
2014-02-12,21:00:00,25.24,25.34,25.12,25.33,125136,0
2014-02-12,22:00:00,25.31,25.4,24.68,24.93,348247,0
2014-02-13,16:00:00,23.94,24.3,23.2,23.2,598224,0
2014-02-13,17:00:00,23.13,24.68,23.01,24.01,525889,0
2014-02-13,18:00:00,24.06,24.68,23.58,23.99,330388,0
2014-02-13,19:00:00,23.97,24.3,23.97,24.08,178858,0
2014-02-13,20:00:00,24.04,24.21,23.78,23.88,210146,0
2014-02-13,21:00:00,23.89,23.97,23.67,23.83,262092,0
2014-02-13,22:00:00,23.83,24.53,23.82,24.36,755977,0
2014-02-14,16:00:00,24.15,24.19,23.78,23.84,99941,0
2014-02-14,17:00:00,23.85,24,23.71,23.98,215091,0
2014-02-14,18:00:00,23.96,23.96,23.71,23.73,123034,0
2014-02-14,19:00:00,23.74,24.19,23.74,24.19,138525,0
2014-02-14,20:00:00,24.22,24.4,24.19,24.28,123961,0
2014-02-14,21:00:00,24.28,24.67,24.26,24.66,140654,0
2014-02-14,22:00:00,24.66,24.66,24.46,24.5,490050,0
2014-02-18,16:00:00,24.31,24.31,23.97,24.03,74705,0
2014-02-18,17:00:00,24.02,24.25,23.91,24.23,126532,0
2014-02-18,18:00:00,24.24,24.53,24.12,24.53,117085,0
2014-02-18,19:00:00,24.51,24.56,24.29,24.32,97554,0
2014-02-18,20:00:00,24.3,24.35,24.14,24.16,79309,0
2014-02-18,21:00:00,24.15,24.16,24.08,24.09,108215,0
2014-02-18,22:00:00,24.09,24.13,24.02,24.05,774684,0
2014-02-19,16:00:00,23.94,24.47,23.87,24.2,58648,0
2014-02-19,17:00:00,24.23,24.23,24.02,24.02,100463,0
2014-02-19,18:00:00,24.02,24.13,24,24.08,63100,0
2014-02-19,19:00:00,24.05,24.23,24,24.18,115233,0
2014-02-19,20:00:00,24.16,24.24,24.07,24.12,124428,0
2014-02-19,21:00:00,24.11,24.16,23.98,24,131500,0
2014-02-19,22:00:00,24.01,24.01,23.64,23.64,211704,0
2014-02-20,16:00:00,23.53,23.86,23.53,23.8,35975,0
2014-02-20,17:00:00,23.77,24.18,23.66,24.14,142467,0
2014-02-20,18:00:00,24.14,24.15,24.04,24.09,209940,0
2014-02-20,19:00:00,24.1,24.11,24,24.06,53070,0
2014-02-20,20:00:00,24.06,24.2,24.06,24.2,115673,0
2014-02-20,21:00:00,24.2,24.29,24.1,24.2,151068,0
2014-02-20,22:00:00,24.21,24.28,24.15,24.17,206801,0
2014-02-21,16:00:00,24.26,24.58,24.02,24.09,26729,0
2014-02-21,17:00:00,24.15,24.41,24.08,24.28,135018,0
2014-02-21,18:00:00,24.23,24.38,24.18,24.28,88024,0
2014-02-21,19:00:00,24.28,24.5,24.22,24.5,42053,0
2014-02-21,20:00:00,24.46,24.46,24.34,24.44,118854,0
2014-02-21,21:00:00,24.43,24.45,24.2,24.25,60726,0
2014-02-21,22:00:00,24.26,24.33,24.23,24.26,199484,0
2014-02-24,16:00:00,24.3,24.95,24.3,24.95,46819,0
2014-02-24,17:00:00,24.95,25.07,24.74,25.05,167234,0
2014-02-24,18:00:00,25.03,25.06,24.9,24.9,100156,0
2014-02-24,19:00:00,24.91,24.96,24.88,24.93,105673,0
2014-02-24,20:00:00,24.93,24.95,24.87,24.92,65879,0
2014-02-24,21:00:00,24.9,24.99,24.87,24.97,149900,0
2014-02-24,22:00:00,24.97,25.26,24.92,25.21,363194,0
2014-02-25,16:00:00,25.09,25.11,24.73,24.75,22761,0
2014-02-25,17:00:00,24.8,24.8,24.61,24.68,167651,0
2014-02-25,18:00:00,24.67,25.2,24.63,25.05,103086,0
2014-02-25,19:00:00,25.05,25.09,24.99,25.06,60500,0
2014-02-25,20:00:00,25.06,25.13,24.99,25.04,50742,0
2014-02-25,21:00:00,25.02,25.1,24.97,25.03,84895,0
2014-02-25,22:00:00,25.02,25.2,24.98,25.18,209773,0
2014-02-26,16:00:00,25.18,25.24,24.98,25.03,51446,0
2014-02-26,17:00:00,25.04,25.46,24.98,25.19,112992,0
2014-02-26,18:00:00,25.2,25.31,25.17,25.22,57732,0
2014-02-26,19:00:00,25.22,25.62,25.21,25.54,104039,0
2014-02-26,20:00:00,25.55,26.03,25.38,25.83,198783,0
2014-02-26,21:00:00,25.83,25.85,25.68,25.75,98510,0
2014-02-26,22:00:00,25.74,25.74,25.29,25.3,198265,0
2014-02-27,16:00:00,25.2,25.22,24.88,25.03,33755,0
2014-02-27,17:00:00,25,25.17,24.75,24.97,47497,0
2014-02-27,18:00:00,24.97,25.08,24.96,25.01,50037,0
2014-02-27,19:00:00,25.02,25.07,24.99,25.04,67209,0
