Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,32.55,32.55,32.16,32.27,24832,0
2014-02-10,17:00:00,32.27,32.37,32.17,32.31,73125,0
2014-02-10,18:00:00,32.3,32.37,32.27,32.3,49736,0
2014-02-10,19:00:00,32.3,32.37,32.28,32.33,26411,0
2014-02-10,20:00:00,32.33,32.48,32.3,32.47,46613,0
2014-02-10,21:00:00,32.47,32.55,32.46,32.52,41958,0
2014-02-10,22:00:00,32.52,32.54,32.41,32.46,277919,0
2014-02-11,16:00:00,32.43,32.63,32.37,32.51,23470,0
2014-02-11,17:00:00,32.54,32.68,32.47,32.53,49905,0
2014-02-11,18:00:00,32.56,32.78,32.49,32.76,36049,0
2014-02-11,19:00:00,32.75,32.85,32.73,32.83,41538,0
2014-02-11,20:00:00,32.85,32.98,32.85,32.97,81390,0
2014-02-11,21:00:00,32.95,32.99,32.9,32.9,58431,0
2014-02-11,22:00:00,32.9,32.92,32.77,32.82,185463,0
2014-02-12,16:00:00,32.96,33.08,32.79,32.9,18353,0
2014-02-12,17:00:00,32.92,32.93,32.82,32.85,74592,0
2014-02-12,18:00:00,32.85,32.91,32.82,32.86,51454,0
2014-02-12,19:00:00,32.87,32.89,32.82,32.82,41382,0
2014-02-12,20:00:00,32.83,32.88,32.79,32.81,50620,0
2014-02-12,21:00:00,32.81,32.84,32.79,32.83,63411,0
2014-02-12,22:00:00,32.84,33.02,32.83,33.01,209136,0
2014-02-13,16:00:00,33.21,33.44,33.01,33.1,61670,0
2014-02-13,17:00:00,33.12,33.4,33.06,33.33,86352,0
2014-02-13,18:00:00,33.33,33.62,33.33,33.57,145154,0
2014-02-13,19:00:00,33.56,33.65,33.48,33.61,90608,0
2014-02-13,20:00:00,33.61,33.82,33.61,33.78,99249,0
2014-02-13,21:00:00,33.79,33.95,33.79,33.95,117698,0
2014-02-13,22:00:00,33.96,34.23,33.96,34.17,335330,0
2014-02-14,16:00:00,34.2,34.26,33.72,33.77,49041,0
2014-02-14,17:00:00,33.76,33.94,33.58,33.9,161735,0
2014-02-14,18:00:00,33.9,33.93,33.8,33.83,63550,0
2014-02-14,19:00:00,33.83,33.9,33.8,33.85,52610,0
2014-02-14,20:00:00,33.85,33.88,33.81,33.86,60405,0
2014-02-14,21:00:00,33.87,33.9,33.82,33.85,65026,0
2014-02-14,22:00:00,33.85,33.88,33.81,33.87,142039,0
2014-02-18,16:00:00,33.9,34.2,33.82,33.83,45822,0
2014-02-18,17:00:00,33.82,33.96,33.68,33.93,74509,0
2014-02-18,18:00:00,33.91,34.21,33.9,34.09,62706,0
2014-02-18,19:00:00,34.09,34.15,34.02,34.1,67223,0
2014-02-18,20:00:00,34.1,34.21,34.04,34.14,71123,0
2014-02-18,21:00:00,34.13,34.41,34.13,34.38,68265,0
2014-02-18,22:00:00,34.38,34.46,34.32,34.38,231575,0
2014-02-19,16:00:00,34.17,34.72,34.17,34.46,31378,0
2014-02-19,17:00:00,34.46,34.7,34.39,34.63,46227,0
2014-02-19,18:00:00,34.62,34.68,34.41,34.41,30877,0
2014-02-19,19:00:00,34.41,34.47,34.34,34.38,33219,0
2014-02-19,20:00:00,34.4,34.57,34.38,34.53,39826,0
2014-02-19,21:00:00,34.51,34.59,34.47,34.52,30911,0
2014-02-19,22:00:00,34.55,34.57,34.39,34.49,142134,0
2014-02-20,16:00:00,34.52,34.7,34.35,34.42,19610,0
2014-02-20,17:00:00,34.38,34.66,34.3,34.62,55269,0
2014-02-20,18:00:00,34.62,34.64,34.39,34.39,39980,0
2014-02-20,19:00:00,34.41,34.56,34.4,34.49,29667,0
2014-02-20,20:00:00,34.5,34.54,34.27,34.27,70321,0
2014-02-20,21:00:00,34.27,34.31,34.12,34.13,81722,0
2014-02-20,22:00:00,34.15,34.18,34.05,34.15,264123,0
2014-02-21,16:00:00,34.17,34.35,34.01,34.18,21906,0
