Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,76.791,77.1101,76.093,76.4321,54629,0
2014-02-10,17:00:00,76.4221,76.6514,76.2226,76.3722,38423,0
2014-02-10,18:00:00,76.3822,76.4919,76.3124,76.3722,37016,0
2014-02-10,19:00:00,76.3822,76.5018,76.1927,76.3523,26626,0
2014-02-10,20:00:00,76.4021,76.4021,76.2825,76.2924,55440,0
2014-02-10,21:00:00,76.3323,76.6115,76.2825,76.4121,54593,0
2014-02-10,22:00:00,76.4121,76.4221,76.2526,76.3224,145899,0
2014-02-11,16:00:00,76.3722,76.9605,76.3722,76.442,16246,0
2014-02-11,17:00:00,76.5018,76.791,76.3523,76.5018,22544,0
2014-02-11,18:00:00,76.4719,77.2896,76.442,77.2597,26255,0
2014-02-11,19:00:00,77.2896,77.3395,77.1301,77.1699,37484,0
2014-02-11,20:00:00,77.1699,77.2597,76.9705,76.9805,31537,0
2014-02-11,21:00:00,77.0204,77.2298,77.0204,77.2298,34652,0
2014-02-11,22:00:00,77.2298,77.3494,77.0902,77.1699,61304,0
2014-02-12,16:00:00,77.15,77.6984,76.9406,77.4591,16369,0
2014-02-12,17:00:00,77.4591,77.5588,76.811,76.9007,35187,0
2014-02-12,18:00:00,76.9007,76.9206,76.6414,76.7811,47794,0
2014-02-12,19:00:00,76.7711,77.14,76.7412,77.14,37331,0
2014-02-12,20:00:00,77.14,77.2098,77.0303,77.0503,67740,0
2014-02-12,21:00:00,77.0403,77.14,76.8907,76.9805,38907,0
2014-02-12,22:00:00,76.9904,77.15,76.9107,77.15,116317,0
2014-02-13,16:00:00,76.55,76.87,76.29,76.66,14384,0
2014-02-13,17:00:00,76.61,77.17,76.61,77.03,18867,0
2014-02-13,18:00:00,77.07,77.41,77.07,77.27,21100,0
2014-02-13,19:00:00,77.24,77.41,77.23,77.32,22380,0
2014-02-13,20:00:00,77.32,77.65,77.32,77.51,26172,0
2014-02-13,21:00:00,77.53,77.68,77.39,77.5,66363,0
2014-02-13,22:00:00,77.5,77.78,77.5,77.75,87776,0
2014-02-14,16:00:00,77.82,77.97,77.51,77.97,7582,0
2014-02-14,17:00:00,77.68,78.18,77.68,77.81,26134,0
2014-02-14,18:00:00,77.79,77.87,77.59,77.74,27856,0
2014-02-14,19:00:00,77.7,78,77.62,77.93,35469,0
2014-02-14,20:00:00,78.01,78.25,77.96,78.25,16824,0
2014-02-14,21:00:00,78.27,78.47,78.25,78.44,27851,0
2014-02-14,22:00:00,78.39,78.39,78.23,78.38,53209,0
2014-02-18,16:00:00,78.75,78.75,77.97,78,16600,0
2014-02-18,17:00:00,77.8,77.88,77.6,77.8,30282,0
2014-02-18,18:00:00,77.85,78.23,77.59,77.61,51438,0
2014-02-18,19:00:00,77.56,77.69,77.3,77.38,47228,0
2014-02-18,20:00:00,77.43,77.56,77.34,77.41,47986,0
2014-02-18,21:00:00,77.46,77.67,77.37,77.58,31774,0
2014-02-18,22:00:00,77.6,77.8,77.57,77.69,61994,0
2014-02-19,16:00:00,77.48,77.71,77.43,77.58,6500,0
2014-02-19,17:00:00,77.58,77.76,77.39,77.55,29529,0
2014-02-19,18:00:00,77.63,77.87,77.52,77.71,27597,0
2014-02-19,19:00:00,77.37,77.45,77.19,77.34,14208,0
