Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,1.81,1.88,1.68,1.68,3400,0
2014-02-10,19:00:00,1.68,1.8,1.67,1.8,27500,0
2014-02-10,20:00:00,1.8,1.88,1.77,1.88,8075,0
2014-02-10,21:00:00,1.89,1.89,1.89,1.89,100,0
2014-02-10,22:00:00,1.89,1.89,1.89,1.89,900,0
2014-02-11,16:00:00,1.76,1.83,1.71,1.79,5499,0
2014-02-11,17:00:00,1.84,1.84,1.84,1.84,18352,0
2014-02-11,18:00:00,1.84,1.85,1.84,1.85,5882,0
2014-02-11,19:00:00,1.87,1.9,1.87,1.89,2009,0
2014-02-11,21:00:00,1.86,1.86,1.86,1.86,1800,0
2014-02-11,22:00:00,1.86,1.86,1.86,1.86,800,0
2014-02-12,17:00:00,1.88,1.88,1.88,1.88,300,0
2014-02-12,19:00:00,1.87,1.89,1.87,1.89,200,0
2014-02-12,20:00:00,1.87,1.87,1.87,1.87,100,0
2014-02-12,21:00:00,1.87,1.87,1.87,1.87,1000,0
2014-02-13,17:00:00,1.87,1.9,1.86,1.86,700,0
2014-02-13,18:00:00,1.96,1.96,1.96,1.96,100,0
2014-02-13,19:00:00,1.96,1.96,1.83,1.92,2500,0
2014-02-13,20:00:00,1.94,1.95,1.91,1.93,1300,0
2014-02-13,21:00:00,1.86,1.9,1.86,1.9,2900,0
2014-02-14,18:00:00,1.94,1.94,1.94,1.94,100,0
2014-02-14,19:00:00,1.94,1.94,1.94,1.94,100,0
2014-02-14,20:00:00,1.85,1.86,1.82,1.82,1400,0
2014-02-14,21:00:00,1.88,1.88,1.88,1.88,1000,0
2014-02-14,22:00:00,1.84,1.84,1.84,1.84,300,0
2014-02-18,16:00:00,1.82,1.84,1.82,1.84,3047,0
2014-02-18,17:00:00,1.84,1.9,1.84,1.87,2000,0
2014-02-18,19:00:00,1.83,1.83,1.83,1.83,150,0
2014-02-18,20:00:00,1.81,1.82,1.81,1.82,500,0
2014-02-19,17:00:00,1.92,1.92,1.85,1.85,1310,0
2014-02-19,18:00:00,1.85,1.85,1.84,1.84,1416,0
2014-02-19,19:00:00,1.84,1.84,1.84,1.84,100,0
2014-02-19,21:00:00,1.85,1.86,1.85,1.86,3126,0
2014-02-19,22:00:00,1.88,1.88,1.88,1.88,100,0
2014-02-20,17:00:00,1.88,1.88,1.8,1.8,2833,0
2014-02-21,17:00:00,1.9,1.9,1.89,1.89,1700,0
2014-02-21,18:00:00,1.85,1.85,1.85,1.85,100,0
2014-02-21,19:00:00,1.88,1.9,1.88,1.9,1100,0
2014-02-21,22:00:00,1.92,1.93,1.92,1.93,7300,0
2014-02-24,17:00:00,1.95,1.95,1.86,1.86,2100,0
2014-02-24,18:00:00,1.99,2,1.99,2,9368,0
2014-02-24,21:00:00,1.92,1.92,1.92,1.92,1000,0
2014-02-24,22:00:00,1.96,1.96,1.92,1.95,1200,0
2014-02-25,16:00:00,1.9,1.9,1.85,1.85,600,0
2014-02-25,21:00:00,1.93,1.93,1.93,1.93,200,0
2014-02-26,16:00:00,1.9,1.9,1.9,1.9,100,0
2014-02-26,20:00:00,1.86,1.88,1.86,1.88,3300,0
2014-02-26,21:00:00,1.86,1.86,1.86,1.86,400,0
2014-02-27,19:00:00,1.86,1.89,1.86,1.87,5100,0
2014-02-27,20:00:00,1.88,1.88,1.88,1.88,200,0
2014-02-28,18:00:00,1.89,2.04,1.87,1.91,331828,0
2014-02-28,19:00:00,1.92,1.94,1.82,1.85,37943,0
2014-02-28,20:00:00,1.85,1.92,1.8,1.8,12560,0
