Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,11.592,11.621,11.582,11.621,1025,0
2014-02-10,17:00:00,11.621,11.621,11.572,11.572,5979,0
2014-02-10,18:00:00,11.612,11.621,11.582,11.582,1741,0
2014-02-10,19:00:00,11.572,11.592,11.562,11.592,3057,0
2014-02-10,20:00:00,11.562,11.582,11.562,11.572,9129,0
2014-02-10,21:00:00,11.562,11.572,11.562,11.572,1107,0
2014-02-10,22:00:00,11.572,11.612,11.562,11.612,6309,0
2014-02-11,16:00:00,11.651,11.661,11.631,11.661,2618,0
2014-02-11,17:00:00,11.651,11.67,11.651,11.67,5742,0
2014-02-11,18:00:00,11.661,11.67,11.661,11.67,5226,0
2014-02-11,19:00:00,11.69,11.7,11.68,11.69,3467,0
2014-02-11,20:00:00,11.72,11.72,11.7,11.72,6115,0
2014-02-11,21:00:00,11.72,11.72,11.71,11.71,2157,0
2014-02-11,22:00:00,11.729,11.739,11.71,11.739,9971,0
2014-02-12,16:00:00,11.734,11.774,11.645,11.714,46491,0
2014-02-12,17:00:00,11.734,11.744,11.626,11.675,64332,0
2014-02-12,18:00:00,11.685,11.695,11.675,11.685,2532,0
2014-02-12,19:00:00,11.695,11.734,11.695,11.695,12358,0
2014-02-12,20:00:00,11.705,11.744,11.695,11.734,22480,0
2014-02-12,21:00:00,11.705,11.744,11.695,11.734,7988,0
2014-02-12,22:00:00,11.734,11.734,11.705,11.714,1664,0
2014-02-13,16:00:00,11.734,11.734,11.685,11.695,9222,0
2014-02-13,17:00:00,11.705,11.705,11.685,11.685,1924,0
2014-02-13,18:00:00,11.685,11.724,11.685,11.714,3659,0
2014-02-13,19:00:00,11.724,11.724,11.645,11.675,55127,0
2014-02-13,20:00:00,11.675,11.714,11.665,11.695,16099,0
2014-02-13,21:00:00,11.685,11.714,11.665,11.675,36049,0
2014-02-13,22:00:00,11.675,11.724,11.665,11.724,25630,0
2014-02-14,16:00:00,11.705,11.734,11.695,11.724,3346,0
2014-02-14,17:00:00,11.714,11.724,11.705,11.724,2315,0
2014-02-14,18:00:00,11.714,11.754,11.714,11.754,2426,0
2014-02-14,19:00:00,11.734,11.754,11.734,11.734,1518,0
2014-02-14,20:00:00,11.724,11.754,11.724,11.754,7998,0
2014-02-14,21:00:00,11.754,11.764,11.754,11.754,2734,0
2014-02-14,22:00:00,11.764,11.774,11.754,11.774,506,0
2014-02-18,16:00:00,11.784,11.793,11.774,11.793,1504,0
2014-02-18,17:00:00,11.784,11.784,11.764,11.784,2514,0
2014-02-18,18:00:00,11.793,11.813,11.793,11.813,1873,0
2014-02-18,20:00:00,11.793,11.793,11.764,11.784,3559,0
2014-02-18,21:00:00,11.793,11.793,11.784,11.784,1751,0
2014-02-18,22:00:00,11.784,11.803,11.784,11.803,5399,0
2014-02-19,16:00:00,11.793,11.793,11.793,11.793,11716,0
2014-02-19,17:00:00,11.793,11.843,11.784,11.833,5429,0
2014-02-19,18:00:00,11.823,11.823,11.813,11.813,1700,0
2014-02-19,19:00:00,11.813,11.813,11.813,11.813,1254,0
2014-02-19,20:00:00,11.813,11.833,11.813,11.813,2448,0
2014-02-19,21:00:00,11.823,11.823,11.784,11.784,3962,0
2014-02-19,22:00:00,11.793,11.803,11.774,11.803,12624,0
2014-02-20,16:00:00,11.784,11.803,11.784,11.784,1318,0
2014-02-20,17:00:00,11.793,11.803,11.784,11.803,3245,0
2014-02-20,18:00:00,11.813,11.833,11.813,11.833,2168,0
2014-02-20,19:00:00,11.823,11.833,11.823,11.833,2096,0
2014-02-20,20:00:00,11.823,11.833,11.823,11.833,4844,0
2014-02-20,21:00:00,11.813,11.843,11.813,11.833,4357,0
2014-02-20,22:00:00,11.823,11.833,11.813,11.833,13715,0
2014-02-21,16:00:00,11.872,11.902,11.872,11.892,1722,0
2014-02-21,17:00:00,11.902,11.902,11.882,11.902,3916,0
2014-02-21,18:00:00,11.902,11.902,11.882,11.902,2936,0
2014-02-21,19:00:00,11.902,11.902,11.882,11.902,7046,0
