Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-21,16:00:00,24.636,24.636,24.587,24.636,8930,0
2014-02-21,17:00:00,24.636,24.636,24.439,24.498,13902,0
2014-02-21,18:00:00,24.498,24.616,24.449,24.587,8717,0
2014-02-21,19:00:00,24.616,24.626,24.537,24.537,5059,0
2014-02-21,20:00:00,24.518,24.587,24.518,24.587,2324,0
2014-02-21,21:00:00,24.537,24.537,24.488,24.537,837,0
2014-02-21,22:00:00,24.537,24.537,24.468,24.537,10382,0
2014-02-24,16:00:00,24.587,24.685,24.547,24.636,39914,0
2014-02-24,17:00:00,24.636,24.685,24.488,24.488,69200,0
2014-02-24,18:00:00,24.488,24.518,24.439,24.508,9630,0
2014-02-24,19:00:00,24.488,24.508,24.439,24.508,9427,0
2014-02-24,20:00:00,24.478,24.498,24.449,24.488,7281,0
2014-02-24,21:00:00,24.468,24.528,24.468,24.488,30689,0
2014-02-24,22:00:00,24.478,24.478,24.439,24.439,5074,0
2014-02-25,16:00:00,24.518,24.518,24.409,24.409,7814,0
2014-02-25,17:00:00,24.459,24.459,24.439,24.439,3247,0
2014-02-25,18:00:00,24.439,24.439,24.439,24.439,1827,0
2014-02-25,19:00:00,24.439,24.439,24.419,24.439,5277,0
2014-02-25,20:00:00,24.459,24.478,24.459,24.478,1624,0
2014-02-25,21:00:00,24.478,24.518,24.439,24.518,38272,0
2014-02-25,22:00:00,24.518,24.518,24.449,24.459,8303,0
2014-02-26,17:00:00,24.528,24.528,24.488,24.488,6089,0
2014-02-26,18:00:00,24.468,24.528,24.468,24.488,4566,0
2014-02-26,19:00:00,24.488,24.528,24.488,24.488,5175,0
2014-02-26,20:00:00,24.508,24.508,24.488,24.488,16744,0
2014-02-26,21:00:00,24.488,24.488,24.478,24.478,2233,0
2014-02-26,22:00:00,24.488,24.508,24.478,24.488,5277,0
2014-02-27,16:00:00,24.488,24.488,24.478,24.488,7205,0
2014-02-27,17:00:00,24.488,24.508,24.439,24.488,14582,0
2014-02-27,18:00:00,24.488,24.488,24.459,24.459,4668,0
2014-02-27,19:00:00,24.449,24.488,24.449,24.488,1928,0
2014-02-27,20:00:00,24.488,24.508,24.488,24.508,18279,0
2014-02-27,21:00:00,24.508,24.508,24.488,24.508,1289,0
2014-02-27,22:00:00,24.508,24.508,24.459,24.459,7032,0
2014-02-28,16:00:00,24.488,24.528,24.488,24.528,4663,0
2014-02-28,17:00:00,24.488,24.528,24.488,24.488,8524,0
2014-02-28,18:00:00,24.488,24.488,24.439,24.468,34273,0
2014-02-28,19:00:00,24.468,24.498,24.468,24.488,6596,0
2014-02-28,20:00:00,24.498,24.508,24.488,24.498,2435,0
2014-02-28,21:00:00,24.498,24.498,24.459,24.459,3481,0
2014-02-28,22:00:00,24.459,24.478,24.439,24.439,11536,0
2014-03-03,16:00:00,24.488,24.528,24.439,24.488,21209,0
2014-03-03,17:00:00,24.488,24.577,24.488,24.577,9109,0
2014-03-03,18:00:00,24.537,24.537,24.508,24.537,8524,0
2014-03-03,19:00:00,24.537,24.577,24.537,24.577,8626,0
2014-03-03,20:00:00,24.537,24.537,24.537,24.537,3653,0
2014-03-03,21:00:00,24.528,24.537,24.528,24.537,3856,0
2014-03-03,22:00:00,24.537,24.537,24.537,24.537,1624,0
2014-03-04,16:00:00,24.537,24.636,24.537,24.636,36380,0
