Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,20.7809,20.7809,20.7711,20.7711,1016,0
2014-02-10,17:00:00,20.7809,20.8203,20.7809,20.8203,5075,0
2014-02-10,18:00:00,20.8105,20.8203,20.7908,20.7908,1931,0
2014-02-10,19:00:00,20.7908,20.7908,20.7711,20.7809,4009,0
2014-02-10,20:00:00,20.7908,20.7908,20.7711,20.7711,5615,0
2014-02-10,21:00:00,20.7711,20.7908,20.7317,20.7711,2848,0
2014-02-10,22:00:00,20.7711,20.7711,20.7514,20.7711,2746,0
2014-02-11,16:00:00,20.7612,20.7612,20.6923,20.6923,2341,0
2014-02-11,17:00:00,20.7416,20.7416,20.7416,20.7416,714,0
2014-02-11,18:00:00,20.7416,20.7908,20.7416,20.7809,2170,0
2014-02-11,20:00:00,20.7416,20.7908,20.7317,20.7711,7466,0
2014-02-11,21:00:00,20.7317,20.7612,20.7219,20.7612,2747,0
2014-02-11,22:00:00,20.712,20.7908,20.6923,20.7219,8140,0
2014-02-12,16:00:00,20.8,20.81,20.8,20.81,900,0
2014-02-12,17:00:00,20.8,20.83,20.8,20.8,4270,0
2014-02-12,19:00:00,20.82,20.82,20.8,20.81,4160,0
2014-02-12,20:00:00,20.81,20.82,20.8,20.82,2500,0
2014-02-12,21:00:00,20.78,20.81,20.78,20.81,3169,0
2014-02-12,22:00:00,20.82,20.83,20.79,20.83,1043,0
2014-02-13,16:00:00,20.74,20.81,20.74,20.75,589,0
2014-02-13,17:00:00,20.76,20.83,20.76,20.83,2722,0
2014-02-13,18:00:00,20.86,20.86,20.84,20.86,2450,0
2014-02-13,19:00:00,20.86,20.86,20.86,20.86,700,0
2014-02-13,20:00:00,20.86,20.87,20.86,20.87,2350,0
2014-02-13,21:00:00,20.86,20.87,20.85,20.86,8850,0
2014-02-13,22:00:00,20.86,20.86,20.83,20.83,3000,0
2014-02-14,16:00:00,20.92,20.92,20.88,20.88,500,0
2014-02-14,17:00:00,20.88,20.89,20.85,20.85,5082,0
2014-02-14,18:00:00,20.82,20.83,20.81,20.83,2710,0
2014-02-14,20:00:00,20.81,20.85,20.81,20.82,3030,0
2014-02-14,21:00:00,20.85,20.85,20.79,20.79,1400,0
2014-02-14,22:00:00,20.83,20.83,20.83,20.83,1100,0
2014-02-18,16:00:00,20.85,20.93,20.84,20.9,4200,0
2014-02-18,17:00:00,20.9,20.9,20.89,20.89,12515,0
2014-02-18,18:00:00,20.91,20.94,20.89,20.89,27125,0
2014-02-18,20:00:00,20.9,20.9,20.85,20.85,1414,0
2014-02-18,21:00:00,20.91,20.91,20.89,20.89,1600,0
2014-02-18,22:00:00,20.88,20.89,20.82,20.86,9533,0
2014-02-19,16:00:00,20.88,21.1,20.88,21.04,14740,0
2014-02-19,17:00:00,21.06,21.09,21.04,21.04,4700,0
2014-02-19,18:00:00,21.04,21.08,21.04,21.05,5648,0
2014-02-19,19:00:00,21.03,21.04,21.02,21.02,3622,0
2014-02-19,20:00:00,21.07,21.07,21.05,21.07,5593,0
2014-02-19,21:00:00,21.03,21.05,21.02,21.02,7320,0
2014-02-19,22:00:00,21.02,21.05,21.01,21.01,20488,0
2014-02-20,16:00:00,21.01,21.01,21.01,21.01,3013,0
2014-02-20,17:00:00,20.97,20.97,20.9,20.9,2200,0
2014-02-20,18:00:00,20.92,20.94,20.87,20.93,4200,0
2014-02-20,19:00:00,20.94,20.96,20.94,20.96,1700,0
2014-02-20,20:00:00,20.94,20.94,20.94,20.94,100,0
2014-02-20,21:00:00,20.94,20.94,20.92,20.92,1244,0
2014-02-20,22:00:00,20.94,21,20.91,20.97,6687,0
2014-02-21,17:00:00,21.04,21.04,20.94,20.96,3800,0
2014-02-21,18:00:00,21.03,21.03,21.03,21.03,1100,0
2014-02-21,20:00:00,20.96,21.14,20.96,21.1,3998,0
2014-02-21,21:00:00,21.11,21.13,21.1,21.13,5100,0
2014-02-21,22:00:00,21.11,21.11,21.1,21.1,2399,0
2014-02-24,16:00:00,21.11,21.15,21.11,21.15,800,0
2014-02-24,17:00:00,21.12,21.13,21.1,21.1,1900,0
2014-02-24,18:00:00,21.13,21.15,21.09,21.15,2720,0
2014-02-24,19:00:00,21.15,21.19,21.15,21.17,6800,0
2014-02-24,20:00:00,21.16,21.16,21.15,21.15,2200,0
2014-02-24,21:00:00,21.16,21.16,21.1,21.11,6969,0
2014-02-24,22:00:00,21.11,21.13,21.1,21.1,5688,0
2014-02-25,16:00:00,21.16,21.16,21.1,21.15,12029,0
2014-02-25,18:00:00,21.14,21.14,21.11,21.11,2145,0
2014-02-25,19:00:00,21.12,21.15,21.1,21.11,17442,0
2014-02-25,20:00:00,21.13,21.16,21.13,21.15,10400,0
2014-02-25,21:00:00,21.16,21.16,21.15,21.16,26500,0
2014-02-25,22:00:00,21.16,21.18,21.15,21.15,3507,0
2014-02-26,16:00:00,21.24,21.35,21.19,21.24,1600,0
2014-02-26,17:00:00,21.18,21.24,21.18,21.24,1400,0
2014-02-26,19:00:00,21.21,21.21,21.21,21.21,400,0
2014-02-26,20:00:00,21.22,21.22,21.15,21.17,9766,0
2014-02-26,21:00:00,21.19,21.21,21.19,21.2,2600,0
2014-02-26,22:00:00,21.21,21.34,21.17,21.17,3537,0
2014-02-27,17:00:00,21.21,21.21,21.21,21.21,1000,0
