Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,22.3792,22.4284,22.2413,22.261,14294,0
2014-02-10,17:00:00,22.2512,22.33,22.2512,22.33,6737,0
2014-02-10,18:00:00,22.3201,22.3201,22.2906,22.2906,1421,0
2014-02-10,19:00:00,22.2906,22.3201,22.2906,22.2906,4462,0
2014-02-10,20:00:00,22.3102,22.3201,22.3102,22.3102,2517,0
2014-02-10,21:00:00,22.3004,22.4088,22.3004,22.3595,18837,0
2014-02-10,22:00:00,22.3595,22.4383,22.3595,22.4383,11013,0
2014-02-11,16:00:00,22.3792,22.4482,22.3792,22.4482,2060,0
2014-02-11,17:00:00,22.4974,22.5466,22.3989,22.5171,11114,0
2014-02-11,18:00:00,22.5368,22.5762,22.5072,22.5565,2858,0
2014-02-11,19:00:00,22.5762,22.5762,22.5565,22.5664,2382,0
2014-02-11,20:00:00,22.5565,22.5664,22.5565,22.5664,1289,0
2014-02-11,21:00:00,22.5466,22.5762,22.5171,22.5565,8464,0
2014-02-11,22:00:00,22.5762,22.6255,22.5466,22.6255,29846,0
2014-02-12,16:00:00,22.6255,22.7141,22.5565,22.6944,12612,0
2014-02-12,17:00:00,22.6353,22.6845,22.6156,22.6255,5099,0
2014-02-12,18:00:00,22.6255,22.6353,22.5762,22.6057,7098,0
2014-02-12,19:00:00,22.6057,22.6451,22.5959,22.6255,12284,0
2014-02-12,20:00:00,22.6255,22.6255,22.6057,22.6057,1936,0
2014-02-12,21:00:00,22.6255,22.655,22.6255,22.6255,13735,0
2014-02-12,22:00:00,22.6057,22.6255,22.5664,22.6255,6997,0
2014-02-13,16:00:00,22.5368,22.655,22.5171,22.655,5957,0
2014-02-13,17:00:00,22.6649,22.8126,22.6649,22.7338,12410,0
2014-02-13,18:00:00,22.7732,22.7929,22.7338,22.7338,5147,0
2014-02-13,19:00:00,22.7633,22.7732,22.6747,22.6747,15832,0
2014-02-13,20:00:00,22.6747,22.6845,22.6649,22.6649,4280,0
2014-02-13,21:00:00,22.6747,22.6944,22.655,22.6649,6003,0
2014-02-13,22:00:00,22.6451,22.6845,22.6353,22.6747,19767,0
