Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,28.6,28.91,28.5,28.54,176441,0
2014-02-10,17:00:00,28.56,28.56,28.25,28.45,58829,0
2014-02-10,18:00:00,28.4,28.64,28.35,28.47,159046,0
2014-02-10,19:00:00,28.51,28.51,28.33,28.38,42049,0
2014-02-10,20:00:00,28.37,28.61,28.36,28.54,53992,0
2014-02-10,21:00:00,28.51,28.53,28.27,28.33,80454,0
2014-02-10,22:00:00,28.3,28.43,27.9,28.1,324180,0
2014-02-11,16:00:00,28.33,28.82,28.16,28.33,120141,0
2014-02-11,17:00:00,28.48,28.61,28.31,28.57,141671,0
2014-02-11,18:00:00,28.59,28.65,28.46,28.61,33001,0
2014-02-11,19:00:00,28.64,28.82,28.58,28.76,33765,0
2014-02-11,20:00:00,28.79,28.94,28.73,28.73,26330,0
2014-02-11,21:00:00,28.73,28.87,28.66,28.75,33814,0
2014-02-11,22:00:00,28.75,28.88,28.7,28.72,131055,0
2014-02-12,16:00:00,28.93,30.63,28.93,30.47,189761,0
2014-02-12,17:00:00,30.47,30.98,30.11,30.71,243490,0
2014-02-12,18:00:00,30.7,31.05,30.27,30.43,88644,0
2014-02-12,19:00:00,30.43,31.01,30.27,30.5,76186,0
2014-02-12,20:00:00,30.5,31,30.39,30.74,137415,0
2014-02-12,21:00:00,30.73,31.33,30.7,31.09,351083,0
2014-02-12,22:00:00,31.19,31.3,30.96,31.13,261684,0
2014-02-13,16:00:00,30.68,31.02,30.15,30.69,37983,0
2014-02-13,17:00:00,30.69,30.84,30.3,30.45,120464,0
2014-02-13,18:00:00,30.51,30.57,30.06,30.15,95660,0
2014-02-13,19:00:00,30.19,30.55,30.16,30.41,60978,0
2014-02-13,20:00:00,30.36,30.88,30.36,30.87,39918,0
2014-02-13,21:00:00,30.87,31.12,30.8,30.94,69279,0
2014-02-13,22:00:00,30.93,31.26,30.88,31.11,232952,0
2014-02-14,16:00:00,31.11,31.11,30.46,30.51,47158,0
2014-02-14,17:00:00,30.5,31.5,30.4,31.32,114730,0
2014-02-14,18:00:00,31.31,31.35,30.84,31.3,52023,0
2014-02-14,19:00:00,31.28,31.42,31.09,31.14,55172,0
2014-02-14,20:00:00,31.13,31.37,31.13,31.28,35333,0
2014-02-14,21:00:00,31.27,31.41,31.22,31.41,41917,0
2014-02-14,22:00:00,31.43,31.43,31.07,31.11,170440,0
2014-02-18,16:00:00,31.37,31.43,30.97,31.14,31965,0
2014-02-18,17:00:00,31.08,31.86,31.08,31.77,94812,0
2014-02-18,18:00:00,31.77,32.43,31.67,32.15,100245,0
2014-02-18,19:00:00,32.17,32.66,32.17,32.52,61162,0
2014-02-18,20:00:00,32.56,32.66,32.11,32.22,157943,0
2014-02-18,21:00:00,32.18,32.18,31.84,32.07,34391,0
2014-02-18,22:00:00,32.05,32.24,32.02,32.04,136261,0
2014-02-19,16:00:00,32.01,32.46,31.77,32.07,40330,0
2014-02-19,17:00:00,32.05,32.1,31.64,31.84,101831,0
2014-02-19,18:00:00,31.85,32.01,31.6,31.74,61448,0
2014-02-19,19:00:00,31.71,31.71,31.41,31.53,29886,0
2014-02-19,20:00:00,31.49,31.95,31.45,31.95,59589,0
2014-02-19,21:00:00,31.89,32.04,31.8,31.88,35923,0
2014-02-19,22:00:00,31.91,31.91,31.36,31.36,115298,0
2014-02-20,16:00:00,31.52,31.94,31.24,31.54,40224,0
2014-02-20,17:00:00,31.51,32.2,31.46,32.16,90922,0
2014-02-20,18:00:00,32.25,32.34,32.11,32.32,29966,0
2014-02-20,19:00:00,32.33,32.4,32.23,32.31,19100,0
2014-02-20,20:00:00,32.35,32.5,32.29,32.44,48264,0
2014-02-20,21:00:00,32.43,32.66,32.39,32.61,53070,0
2014-02-20,22:00:00,32.61,32.66,32.53,32.63,127315,0
2014-02-21,16:00:00,32.74,34.28,32.74,33.96,69939,0
2014-02-21,17:00:00,33.97,34.43,33.76,33.99,268975,0
2014-02-21,18:00:00,33.97,34.35,33.94,33.94,56238,0
