Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,25.507,25.556,25.507,25.556,407,0
2014-02-10,19:00:00,25.547,25.556,25.547,25.547,1017,0
2014-02-10,20:00:00,25.507,25.547,25.497,25.497,1730,0
2014-02-10,21:00:00,25.547,25.547,25.497,25.497,814,0
2014-02-12,17:00:00,25.458,25.458,25.458,25.458,310,0
2014-02-12,18:00:00,25.36,25.36,25.36,25.36,1017,0
2014-02-12,20:00:00,25.458,25.458,25.429,25.458,1424,0
2014-02-12,22:00:00,25.409,25.419,25.409,25.419,712,0
2014-02-14,18:00:00,25.36,25.36,25.36,25.36,610,0
2014-02-14,22:00:00,25.399,25.399,25.301,25.301,1119,0
2014-02-18,18:00:00,25.399,25.399,25.399,25.399,203,0
2014-02-18,20:00:00,25.556,25.556,25.291,25.301,1373,0
2014-02-19,17:00:00,25.547,25.556,25.36,25.36,2035,0
2014-02-19,18:00:00,25.36,25.36,25.36,25.36,102,0
2014-02-20,19:00:00,25.36,25.36,25.36,25.36,305,0
2014-02-21,22:00:00,25.36,25.37,25.36,25.37,1170,0
2014-02-24,18:00:00,25.429,25.429,25.429,25.429,1017,0
2014-02-24,20:00:00,25.438,25.438,25.438,25.438,407,0
2014-02-26,21:00:00,25.596,25.596,25.596,25.596,1017,0
2014-02-27,18:00:00,25.409,25.409,25.271,25.271,1323,0
2014-02-27,22:00:00,25.36,25.36,25.36,25.36,560,0
2014-02-28,16:00:00,25.36,25.36,25.36,25.36,610,0
2014-03-03,17:00:00,25.311,25.311,25.311,25.311,407,0
2014-03-03,20:00:00,25.488,25.488,25.488,25.488,448,0
2014-03-04,22:00:00,25.468,25.468,25.468,25.468,102,0
2014-03-05,21:00:00,25.556,25.556,25.556,25.556,1221,0
2014-03-05,22:00:00,25.478,25.478,25.478,25.478,260,0
2014-03-06,20:00:00,25.576,25.576,25.576,25.576,407,0
2014-03-06,21:00:00,25.576,25.576,25.478,25.478,610,0
2014-03-06,22:00:00,25.547,25.556,25.468,25.468,1221,0
2014-03-07,18:00:00,25.547,25.556,25.458,25.458,712,0
2014-03-07,19:00:00,25.389,25.556,25.389,25.488,2035,0
2014-03-07,21:00:00,25.468,25.645,25.458,25.458,3866,0
2014-03-07,22:00:00,25.458,25.458,25.458,25.458,102,0
2014-03-10,15:00:00,25.36,25.36,25.36,25.36,407,0
2014-03-10,17:00:00,25.596,25.596,25.488,25.488,1831,0
2014-03-10,18:00:00,25.547,25.586,25.547,25.586,2977,0
2014-03-10,21:00:00,25.586,25.782,25.458,25.458,3551,0
2014-03-11,16:00:00,25.448,25.448,25.271,25.399,1017,0
2014-03-11,17:00:00,25.488,25.497,25.488,25.497,1017,0
2014-03-11,20:00:00,25.596,25.596,25.596,25.596,509,0
2014-03-11,21:00:00,25.596,25.743,25.488,25.488,1323,0
2014-03-12,17:00:00,25.438,25.438,25.438,25.438,407,0
2014-03-12,19:00:00,25.488,25.753,25.458,25.753,2645,0
2014-03-12,20:00:00,25.723,25.723,25.723,25.723,102,0
2014-03-12,21:00:00,25.704,25.9,25.704,25.861,2442,0
2014-03-14,15:00:00,26.097,26.097,26.097,26.097,203,0
2014-03-14,17:00:00,25.861,25.861,25.841,25.841,509,0
2014-03-17,17:00:00,25.841,25.841,25.841,25.841,610,0
2014-03-17,20:00:00,25.832,25.832,25.832,25.832,305,0
2014-03-18,16:00:00,25.812,25.812,25.782,25.782,814,0
2014-03-18,20:00:00,25.9,25.9,25.812,25.812,1730,0
2014-03-19,17:00:00,25.822,25.822,25.802,25.802,2849,0
2014-03-20,15:00:00,25.822,25.822,25.822,25.822,407,0
2014-03-24,15:00:00,25.556,25.556,25.37,25.37,1221,0
2014-03-24,18:00:00,25.615,26.146,25.537,25.537,21568,0
2014-03-24,21:00:00,25.665,25.665,25.665,25.665,814,0
2014-03-25,17:00:00,25.615,25.615,25.615,25.615,102,0
2014-03-25,18:00:00,25.714,25.969,25.655,25.969,9774,0
2014-03-25,19:00:00,25.802,25.9,25.704,25.704,1125,0
2014-03-25,20:00:00,25.841,25.841,25.841,25.841,127,0
2014-03-27,19:00:00,25.753,26.028,25.704,25.704,10483,0
