Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,30.369,30.428,30.21,30.378,285475,0
2014-02-10,17:00:00,30.388,30.626,30.388,30.586,365711,0
2014-02-10,18:00:00,30.586,30.645,30.527,30.547,156543,0
2014-02-10,19:00:00,30.547,30.547,30.438,30.507,147689,0
2014-02-10,20:00:00,30.507,30.645,30.497,30.636,215261,0
2014-02-10,21:00:00,30.636,30.645,30.576,30.636,295555,0
2014-02-10,22:00:00,30.626,30.645,30.576,30.626,767186,0
2014-02-11,16:00:00,30.616,30.735,30.527,30.636,97964,0
2014-02-11,17:00:00,30.626,30.764,30.626,30.754,236506,0
2014-02-11,18:00:00,30.754,30.932,30.754,30.913,265114,0
2014-02-11,19:00:00,30.903,31.011,30.903,31.002,247782,0
2014-02-11,20:00:00,31.002,31.229,30.992,31.209,441183,0
2014-02-11,21:00:00,31.209,31.219,31.031,31.081,411193,0
2014-02-11,22:00:00,31.071,31.13,30.952,30.982,1084433,0
2014-02-12,16:00:00,30.962,30.992,30.794,30.992,166168,0
2014-02-12,17:00:00,31.002,31.031,30.814,30.873,247418,0
2014-02-12,18:00:00,30.883,30.932,30.794,30.794,246198,0
2014-02-12,19:00:00,30.794,30.833,30.774,30.814,111021,0
2014-02-12,20:00:00,30.814,30.873,30.794,30.843,99813,0
2014-02-12,21:00:00,30.843,30.843,30.695,30.715,235124,0
2014-02-12,22:00:00,30.715,30.784,30.675,30.735,1563857,0
2014-02-13,16:00:00,30.695,30.952,30.636,30.863,198812,0
2014-02-13,17:00:00,30.863,30.893,30.804,30.883,298467,0
2014-02-13,18:00:00,30.873,31.051,30.843,31.051,342912,0
2014-02-13,19:00:00,31.051,31.101,31.021,31.081,134894,0
2014-02-13,20:00:00,31.081,31.308,31.081,31.308,249771,0
2014-02-13,21:00:00,31.308,31.417,31.298,31.387,630116,0
2014-02-13,22:00:00,31.377,31.387,31.219,31.259,1233614,0
2014-02-14,16:00:00,31.209,31.457,31.12,31.368,241597,0
2014-02-14,17:00:00,31.377,31.476,31.348,31.467,398972,0
2014-02-14,18:00:00,31.457,31.476,31.229,31.249,239876,0
2014-02-14,19:00:00,31.249,31.259,31.17,31.18,176539,0
2014-02-14,20:00:00,31.17,31.298,31.15,31.298,215900,0
2014-02-14,21:00:00,31.298,31.358,31.19,31.249,361263,0
2014-02-14,22:00:00,31.249,31.407,31.239,31.407,910461,0
2014-02-18,16:00:00,31.318,31.427,31.239,31.318,227616,0
2014-02-18,17:00:00,31.328,31.377,31.12,31.17,285028,0
2014-02-18,18:00:00,31.16,31.397,31.14,31.387,219278,0
2014-02-18,19:00:00,31.377,31.496,31.358,31.407,232649,0
2014-02-18,20:00:00,31.417,31.437,31.269,31.308,216811,0
2014-02-18,21:00:00,31.298,31.328,31.249,31.298,195400,0
2014-02-18,22:00:00,31.298,31.358,31.279,31.279,2623816,0
2014-02-19,16:00:00,31.17,31.417,31.041,31.417,139299,0
