Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,18.672,18.672,18.632,18.662,3142,0
2014-02-10,17:00:00,18.711,18.73,18.711,18.73,3970,0
2014-02-10,18:00:00,18.73,18.74,18.73,18.74,6169,0
2014-02-10,19:00:00,18.74,18.75,18.711,18.75,5615,0
2014-02-10,20:00:00,18.74,18.75,18.721,18.75,3981,0
2014-02-10,21:00:00,18.75,18.77,18.721,18.76,3745,0
2014-02-10,22:00:00,18.76,18.76,18.721,18.74,6398,0
2014-02-11,16:00:00,18.799,18.838,18.76,18.77,9047,0
2014-02-11,17:00:00,18.809,18.838,18.74,18.75,11337,0
2014-02-11,18:00:00,18.77,18.77,18.74,18.75,1735,0
2014-02-11,19:00:00,18.789,18.809,18.789,18.799,1460,0
2014-02-11,20:00:00,18.799,18.799,18.799,18.799,108,0
2014-02-11,21:00:00,18.809,18.809,18.799,18.799,1940,0
2014-02-11,22:00:00,18.799,18.799,18.77,18.77,3572,0
2014-02-12,16:00:00,18.789,18.809,18.73,18.809,2653,0
2014-02-12,17:00:00,18.819,18.838,18.799,18.799,5599,0
2014-02-12,18:00:00,18.809,18.809,18.799,18.799,3880,0
2014-02-12,19:00:00,18.77,18.809,18.77,18.789,7855,0
2014-02-12,20:00:00,18.789,18.799,18.779,18.779,2783,0
2014-02-12,21:00:00,18.779,18.848,18.75,18.848,13022,0
2014-02-12,22:00:00,18.799,18.809,18.799,18.809,612,0
2014-02-13,16:00:00,18.77,18.858,18.77,18.858,4938,0
2014-02-13,17:00:00,18.819,18.995,18.819,18.995,6942,0
2014-02-13,18:00:00,18.966,18.966,18.926,18.966,2184,0
2014-02-13,19:00:00,18.966,18.966,18.956,18.956,2043,0
2014-02-13,20:00:00,18.897,18.926,18.897,18.926,2658,0
2014-02-13,21:00:00,18.897,18.926,18.877,18.917,9155,0
2014-02-13,22:00:00,18.887,18.936,18.887,18.936,919,0
2014-02-14,16:00:00,18.936,18.936,18.917,18.917,1978,0
2014-02-14,17:00:00,18.956,19.044,18.926,19.044,3110,0
2014-02-14,18:00:00,19.024,19.093,18.975,19.093,8455,0
2014-02-14,19:00:00,19.064,19.103,19.044,19.044,4679,0
2014-02-14,20:00:00,19.064,19.064,19.054,19.054,1327,0
2014-02-14,21:00:00,19.015,19.054,18.926,19.024,7418,0
2014-02-14,22:00:00,19.024,19.024,19.024,19.024,3062,0
2014-02-18,16:00:00,19.054,19.093,19.024,19.064,5790,0
2014-02-18,17:00:00,19.054,19.073,19.015,19.015,13447,0
2014-02-18,18:00:00,19.024,19.024,19.024,19.024,1227,0
2014-02-18,19:00:00,19.015,19.024,18.985,19.005,5054,0
2014-02-18,20:00:00,19.005,19.015,19.005,19.015,4829,0
2014-02-18,21:00:00,19.005,19.005,19.005,19.005,1461,0
2014-02-18,22:00:00,19.015,19.015,18.995,19.005,3008,0
