Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,14.886,15.024,14.847,15.024,14874,0
2014-02-10,17:00:00,15.024,15.043,14.847,14.906,31740,0
2014-02-10,18:00:00,14.906,15.053,14.837,14.916,47604,0
2014-02-10,19:00:00,14.925,14.974,14.886,14.925,13813,0
2014-02-10,20:00:00,14.896,14.994,14.896,14.984,10609,0
2014-02-10,21:00:00,14.984,15.21,14.984,15.2,41828,0
2014-02-10,22:00:00,15.2,15.21,15.073,15.132,63480,0
2014-02-11,16:00:00,15.161,15.21,15.073,15.122,5192,0
2014-02-11,17:00:00,15.161,15.171,14.886,14.896,16667,0
2014-02-11,18:00:00,14.886,14.965,14.847,14.945,26696,0
2014-02-11,19:00:00,14.925,14.955,14.896,14.906,28069,0
2014-02-11,20:00:00,14.916,14.925,14.847,14.847,32396,0
2014-02-11,21:00:00,14.837,14.886,14.807,14.857,38152,0
2014-02-11,22:00:00,14.857,14.857,14.68,14.69,81491,0
2014-02-12,16:00:00,14.68,14.906,14.68,14.827,13198,0
2014-02-12,17:00:00,14.886,14.916,14.788,14.827,16449,0
2014-02-12,18:00:00,14.837,14.876,14.798,14.866,12512,0
2014-02-12,19:00:00,14.866,14.906,14.837,14.857,12240,0
2014-02-12,20:00:00,14.876,14.974,14.847,14.876,17517,0
2014-02-12,21:00:00,14.876,14.925,14.749,14.749,10890,0
2014-02-12,22:00:00,14.798,14.817,14.749,14.778,36329,0
2014-02-13,16:00:00,14.876,14.974,14.837,14.896,33715,0
2014-02-13,17:00:00,14.925,15.024,14.886,14.965,20340,0
2014-02-13,18:00:00,14.955,14.984,14.906,14.955,29217,0
2014-02-13,19:00:00,14.935,14.955,14.866,14.925,19272,0
2014-02-13,20:00:00,14.955,14.974,14.925,14.965,11467,0
2014-02-13,21:00:00,14.955,15.014,14.955,14.994,21710,0
2014-02-13,22:00:00,14.984,15.004,14.945,14.955,42213,0
2014-02-14,16:00:00,15.024,15.024,15.004,15.014,2850,0
2014-02-14,17:00:00,15.033,15.112,14.965,15.024,22854,0
2014-02-14,18:00:00,15.014,15.073,14.965,15.073,8570,0
2014-02-14,19:00:00,15.053,15.083,15.014,15.073,8968,0
2014-02-14,20:00:00,15.063,15.073,14.935,14.965,15613,0
2014-02-14,21:00:00,14.955,14.994,14.906,14.945,17625,0
2014-02-14,22:00:00,14.935,15.004,14.916,14.974,29238,0
2014-02-18,16:00:00,15.033,15.132,14.886,14.886,51751,0
2014-02-18,17:00:00,14.896,15.092,14.857,15.083,59080,0
2014-02-18,18:00:00,15.063,15.142,14.945,15.142,25270,0
