Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,50.0205,50.1602,49.7911,50.1602,152485,0
2014-02-10,17:00:00,50.1302,50.4994,49.7312,50.2599,132617,0
2014-02-10,18:00:00,50.2699,50.8485,50.24,50.8186,116641,0
2014-02-10,19:00:00,50.8186,51.1179,50.7987,51.0281,118951,0
2014-02-10,20:00:00,51.0181,51.0381,50.659,50.8884,66953,0
2014-02-10,21:00:00,50.8884,51.0181,50.8685,50.9882,103303,0
2014-02-10,22:00:00,50.9683,51.0281,50.8785,50.8884,340643,0
2014-02-11,16:00:00,51.1981,51.5976,50.8984,51.218,80069,0
2014-02-11,17:00:00,51.248,52.2368,51.1381,52.1869,237413,0
2014-02-11,18:00:00,52.1569,52.4366,52.0171,52.3766,193838,0
2014-02-11,19:00:00,52.3766,52.4266,52.037,52.037,137372,0
2014-02-11,20:00:00,52.037,52.077,51.6475,51.7574,112549,0
2014-02-11,21:00:00,51.7574,51.9771,51.7174,51.8872,190604,0
2014-02-11,22:00:00,51.8872,51.9971,51.6575,51.8173,199360,0
2014-02-12,16:00:00,52.097,52.1769,50.9683,51.4877,57700,0
2014-02-12,17:00:00,51.4777,51.7075,50.9783,51.0882,110205,0
2014-02-12,18:00:00,51.0183,51.0183,50.1194,50.2792,149235,0
2014-02-12,19:00:00,50.2892,50.9983,50.2692,50.9084,84299,0
2014-02-12,20:00:00,50.9084,50.9783,50.4789,50.5588,80031,0
2014-02-12,21:00:00,50.5588,50.6387,49.9895,50.0594,100526,0
2014-02-12,22:00:00,50.0594,50.2392,49.7698,49.9596,272228,0
2014-02-13,16:00:00,49.9596,51.3179,49.9096,51.0882,81992,0
2014-02-13,17:00:00,51.0782,51.7174,51.0682,51.1481,81535,0
2014-02-13,18:00:00,51.1182,51.3179,50.8984,51.0782,51278,0
2014-02-13,19:00:00,51.0882,51.4478,50.9184,51.4278,43903,0
2014-02-13,20:00:00,51.4278,51.9072,51.258,51.9072,89608,0
2014-02-13,21:00:00,51.9172,52.1569,51.7774,51.9771,96264,0
2014-02-13,22:00:00,51.9771,52.1369,51.8273,52.057,224841,0
2014-02-14,16:00:00,52.876,53.2955,52.7062,52.916,72349,0
2014-02-14,17:00:00,52.926,53.2955,51.9571,51.9571,136364,0
2014-02-14,18:00:00,51.9571,52.3766,51.8872,52.057,96351,0
