Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,17.062,17.062,16.993,17.022,609,0
2014-02-10,17:00:00,17.022,17.022,17.022,17.022,609,0
2014-02-10,18:00:00,17.032,17.032,17.013,17.013,2127,0
2014-02-10,21:00:00,17.013,17.013,17.013,17.013,815,0
2014-02-10,22:00:00,17.032,17.042,17.032,17.032,1215,0
2014-02-11,16:00:00,16.993,16.993,16.943,16.963,1052,0
2014-02-11,18:00:00,16.983,16.983,16.943,16.983,3913,0
2014-02-11,19:00:00,16.993,17.022,16.993,17.022,10626,0
2014-02-11,20:00:00,16.993,17.052,16.983,17.052,5318,0
2014-02-11,22:00:00,17.042,17.042,17.042,17.042,303,0
2014-02-12,17:00:00,17.022,17.062,17.013,17.062,654,0
2014-02-12,18:00:00,17.032,17.032,16.983,16.983,2533,0
2014-02-12,19:00:00,16.993,16.993,16.993,16.993,4575,0
2014-02-12,20:00:00,16.993,17.032,16.993,17.032,2276,0
2014-02-12,21:00:00,17.032,17.032,17.022,17.022,303,0
2014-02-12,22:00:00,17.032,17.032,16.983,17.022,2145,0
2014-02-13,16:00:00,17.003,17.003,17.003,17.003,1321,0
2014-02-13,17:00:00,16.983,17.003,16.973,16.973,3790,0
2014-02-13,19:00:00,17.003,17.003,17.003,17.003,1011,0
2014-02-13,20:00:00,17.062,17.062,17.052,17.062,2821,0
2014-02-13,21:00:00,17.062,17.062,16.993,17.003,2123,0
2014-02-13,22:00:00,17.003,17.013,17.003,17.013,840,0
2014-02-14,16:00:00,16.953,16.973,16.953,16.973,303,0
2014-02-14,17:00:00,16.973,16.983,16.973,16.983,404,0
2014-02-14,18:00:00,16.973,16.983,16.973,16.983,708,0
2014-02-14,19:00:00,16.993,16.993,16.983,16.983,7594,0
2014-02-14,20:00:00,16.983,17.032,16.983,16.993,2187,0
2014-02-14,22:00:00,17.003,17.003,17.003,17.003,202,0
2014-02-18,16:00:00,16.953,16.953,16.953,16.953,1469,0
2014-02-18,18:00:00,16.993,17.022,16.983,16.993,3558,0
2014-02-18,21:00:00,17.003,17.003,16.993,16.993,6159,0
2014-02-18,22:00:00,16.993,17.013,16.983,16.983,4621,0
2014-02-19,16:00:00,16.966,16.985,16.946,16.985,3298,0
2014-02-19,17:00:00,17.015,17.015,16.995,16.995,9297,0
2014-02-19,18:00:00,16.995,16.995,16.995,16.995,1110,0
2014-02-19,19:00:00,17.005,17.005,17.005,17.005,1357,0
2014-02-19,20:00:00,16.995,16.995,16.995,16.995,6189,0
2014-02-19,21:00:00,16.995,16.995,16.995,16.995,1690,0
2014-02-19,22:00:00,16.985,16.995,16.985,16.995,4942,0
2014-02-20,17:00:00,16.976,16.985,16.976,16.985,323,0
2014-02-20,19:00:00,16.985,16.995,16.985,16.995,504,0
2014-02-20,20:00:00,16.995,17.055,16.995,17.055,6136,0
2014-02-20,21:00:00,17.025,17.025,17.005,17.015,3572,0
2014-02-20,22:00:00,17.005,17.005,16.985,17.005,1714,0
2014-02-21,16:00:00,17.075,17.075,17.075,17.075,100,0
2014-02-21,17:00:00,17.035,17.035,17.015,17.035,706,0
2014-02-21,18:00:00,17.025,17.035,17.025,17.025,2924,0
2014-02-21,19:00:00,16.995,17.025,16.985,17.025,1807,0
2014-02-21,21:00:00,17.035,17.035,17.035,17.035,1512,0
2014-02-21,22:00:00,17.035,17.035,17.025,17.025,1801,0
2014-02-24,16:00:00,16.976,16.985,16.976,16.976,1008,0
2014-02-24,17:00:00,16.995,17.005,16.966,17.005,7758,0
2014-02-24,18:00:00,16.995,16.995,16.995,16.995,519,0
2014-02-24,20:00:00,17.015,17.025,17.015,17.025,706,0
2014-02-24,21:00:00,17.015,17.015,17.005,17.005,7826,0
2014-02-24,22:00:00,17.015,17.025,17.005,17.005,6018,0
2014-02-25,16:00:00,17.015,17.015,17.015,17.015,1585,0
