Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,16.832,16.922,16.832,16.922,10435,0
2014-02-11,19:00:00,16.922,16.922,16.742,16.772,802,0
2014-02-13,21:00:00,17.011,17.041,16.961,16.961,5177,0
2014-02-18,19:00:00,16.692,16.692,16.662,16.662,5974,0
2014-02-19,18:00:00,16.662,16.662,16.662,16.662,4110,0
2014-02-19,19:00:00,16.662,16.662,16.662,16.662,11565,0
2014-02-19,22:00:00,16.662,16.662,16.662,16.662,502,0
2014-02-20,21:00:00,16.662,16.662,16.662,16.662,10003,0
2014-02-21,16:00:00,16.662,16.662,16.662,16.662,200,0
2014-02-21,20:00:00,16.752,16.762,16.752,16.762,702,0
2014-02-24,18:00:00,16.662,16.662,16.662,16.662,14533,0
2014-02-25,21:00:00,16.712,16.712,16.712,16.712,602,0
2014-03-03,17:00:00,16.662,16.662,16.652,16.662,8319,0
2014-03-04,16:00:00,16.662,16.662,16.662,16.662,8018,0
2014-03-06,16:00:00,16.861,16.861,16.861,16.861,2606,0
2014-03-06,17:00:00,16.861,16.861,16.861,16.861,2906,0
2014-03-06,18:00:00,16.612,16.612,16.612,16.612,400,0
2014-03-07,17:00:00,16.672,16.861,16.662,16.861,8068,0
2014-03-07,18:00:00,16.861,16.861,16.831,16.861,14533,0
2014-03-07,21:00:00,16.772,16.772,16.742,16.742,1002,0
2014-03-07,22:00:00,16.861,16.861,16.861,16.861,100,0
2014-03-12,20:00:00,16.891,16.891,16.881,16.881,10161,0
2014-03-18,16:00:00,16.981,16.981,16.981,16.981,2803,0
2014-03-18,17:00:00,16.681,16.681,16.681,16.681,333,0
2014-03-18,18:00:00,16.691,16.701,16.691,16.701,400,0
2014-03-18,20:00:00,16.731,16.731,16.731,16.731,334,0
2014-03-20,18:00:00,16.631,16.631,16.631,16.631,1001,0
2014-03-21,18:00:00,16.981,16.981,16.981,16.981,1101,0
2014-03-21,19:00:00,16.831,16.841,16.831,16.831,1201,0
2014-03-25,21:00:00,16.721,17.061,16.721,17.051,1701,0
2014-03-28,20:00:00,17.021,17.061,17.021,17.061,305,0
2014-04-01,18:00:00,16.881,16.881,16.681,16.711,14715,0
2014-04-01,22:00:00,16.801,16.801,16.711,16.711,300,0
2014-04-03,18:00:00,17.211,17.211,16.831,16.831,1289,0
2014-04-03,21:00:00,16.831,16.831,16.831,16.831,200,0
2014-04-04,21:00:00,17.86,17.86,17.86,17.86,300,0
2014-04-08,16:00:00,17.111,17.111,17.111,17.111,100,0
2014-04-08,22:00:00,17.78,17.78,17.78,17.78,200,0
2014-04-10,22:00:00,17.45,17.5,17.45,17.5,460,0
2014-04-14,21:00:00,17.12,17.12,17.12,17.12,100,0
2014-04-15,16:00:00,17.11,17.25,17.1,17.25,1400,0
2014-04-15,20:00:00,17.5,17.5,17.5,17.5,655,0
2014-04-15,21:00:00,17.1,17.1,17.1,17.1,900,0
2014-04-16,22:00:00,17.1,17.1,17.1,17.1,400,0
2014-04-24,17:00:00,17.15,17.15,17.1,17.12,600,0
2014-04-24,19:00:00,17.1,17.1,17.1,17.1,400,0
2014-04-24,20:00:00,17.1,17.1,16.9,17,1620,0
2014-04-25,16:00:00,16.88,16.89,16.7,16.84,1626,0
2014-04-25,21:00:00,17.19,17.19,17.19,17.19,300,0
2014-04-28,17:00:00,17,17,17,17,300,0
2014-04-28,18:00:00,17.04,17.04,16.76,17,1096,0
2014-04-29,17:00:00,16.93,16.93,16.93,16.93,250,0
2014-04-29,20:00:00,16.92,16.92,16.92,16.92,600,0
2014-04-30,17:00:00,16.9,16.9,16.9,16.9,200,0
2014-04-30,22:00:00,16.91,16.91,16.9,16.9,400,0
2014-05-01,16:00:00,16.9,16.9,16.9,16.9,1000,0
2014-05-01,19:00:00,16.9,16.93,16.9,16.93,680,0
2014-05-05,20:00:00,16.98,16.98,16.98,16.98,100,0
2014-05-05,22:00:00,17.2,17.2,17.2,17.2,400,0
