Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,102.96,103.6,102.47,103.23,43729,0
2014-02-10,17:00:00,103.31,103.35,100.56,100.74,210649,0
2014-02-10,18:00:00,100.81,101.61,100.27,101.12,210385,0
2014-02-10,19:00:00,101.11,102.2,101.05,102.2,105594,0
2014-02-10,20:00:00,102.22,102.47,101.85,101.86,99423,0
2014-02-10,21:00:00,101.89,102.32,101.82,101.83,56182,0
2014-02-10,22:00:00,101.84,101.87,101.54,101.84,224574,0
2014-02-11,16:00:00,102.24,103.09,101.6,102.45,39222,0
2014-02-11,17:00:00,102.39,102.61,101.94,102.13,112150,0
2014-02-11,18:00:00,102.14,103.33,101.72,103.21,66465,0
2014-02-11,19:00:00,103.13,104.03,103.11,103.88,94874,0
2014-02-11,20:00:00,103.99,104.05,103.33,103.82,113006,0
2014-02-11,21:00:00,103.84,104.78,103.75,104.65,235422,0
2014-02-11,22:00:00,104.74,104.92,104.07,104.18,340584,0
2014-02-12,16:00:00,104.39,104.99,103.95,104.43,43454,0
2014-02-12,17:00:00,104.42,105.19,104.42,104.7,271430,0
2014-02-12,18:00:00,104.7,105.28,104.51,104.9,93378,0
2014-02-12,19:00:00,104.83,105.24,104.73,105.05,76745,0
2014-02-12,20:00:00,105.07,105.16,104.95,105.04,122755,0
2014-02-12,21:00:00,105.04,105.56,104.98,105.05,193787,0
2014-02-12,22:00:00,105,105.03,104.27,104.61,297519,0
2014-02-13,16:00:00,103.47,103.95,103.06,103.2,92348,0
2014-02-13,17:00:00,103.11,104.57,103.02,104.27,198218,0
2014-02-13,18:00:00,104.25,104.72,103.92,104.57,110214,0
2014-02-13,19:00:00,104.51,104.8,103.83,104.45,68381,0
2014-02-13,20:00:00,104.47,104.56,104.25,104.26,134855,0
2014-02-13,21:00:00,104.25,104.28,104.01,104.19,166396,0
2014-02-13,22:00:00,104.19,104.21,103.84,103.99,322948,0
2014-02-14,16:00:00,104,104.66,104,104.57,55537,0
2014-02-14,17:00:00,104.56,105.8,104.13,104.16,190332,0
2014-02-14,18:00:00,104.31,104.92,103.62,104.59,159643,0
2014-02-14,19:00:00,104.66,105.27,104.57,105.23,44172,0
2014-02-14,20:00:00,105.27,105.53,105.1,105.13,52982,0
2014-02-14,21:00:00,105.12,105.25,104.93,104.96,204626,0
2014-02-14,22:00:00,104.96,105.08,104.73,104.79,238820,0
2014-02-18,16:00:00,105.44,105.65,104.53,104.56,78808,0
2014-02-18,17:00:00,104.51,104.72,103.9,104.1,154688,0
2014-02-18,18:00:00,104.14,104.52,103.98,104.12,90494,0
2014-02-18,19:00:00,104.05,104.24,103.67,104.14,95707,0
2014-02-18,20:00:00,104.14,104.24,103.83,103.97,100491,0
2014-02-18,21:00:00,103.99,104,103.86,103.92,74533,0
2014-02-18,22:00:00,103.94,103.99,103.76,103.87,296557,0
2014-02-19,16:00:00,103.42,103.97,102.67,103.18,96820,0
2014-02-19,17:00:00,103.32,103.68,103,103.26,111902,0
2014-02-19,18:00:00,103.25,104,103.11,103.54,152695,0
2014-02-19,19:00:00,103.33,103.6,103.06,103.55,43112,0
2014-02-19,20:00:00,103.52,103.6,103.4,103.47,40676,0
2014-02-19,21:00:00,103.38,103.64,102.84,103.25,100698,0
2014-02-19,22:00:00,103.22,103.26,102.29,102.45,261531,0
2014-02-20,16:00:00,102.76,103.34,102.21,103.25,64897,0
2014-02-20,17:00:00,103.21,103.66,102.83,103.26,150917,0
2014-02-20,18:00:00,103.21,103.68,103.12,103.53,106780,0
2014-02-20,19:00:00,103.55,103.75,103.43,103.68,86775,0
2014-02-20,20:00:00,103.68,104,103.65,103.9,83264,0
2014-02-20,21:00:00,103.86,103.99,103.42,103.66,239759,0
2014-02-20,22:00:00,103.66,104.03,103.33,103.79,389628,0
2014-02-21,16:00:00,104.35,104.46,103.1,103.4,63533,0
2014-02-21,17:00:00,103.41,104.56,103.24,104.52,250815,0
2014-02-21,18:00:00,104.5,104.54,104.19,104.5,117335,0
2014-02-21,19:00:00,104.49,105.97,104.42,105.65,237464,0
2014-02-21,20:00:00,105.56,105.58,104.74,104.74,121493,0
2014-02-21,21:00:00,104.71,104.97,104.44,104.59,60363,0
2014-02-21,22:00:00,104.59,104.96,104.5,104.55,339212,0
2014-02-24,16:00:00,104.07,104.85,104,104.6,58178,0
2014-02-24,17:00:00,104.64,106.14,104.45,106.14,169164,0
2014-02-24,18:00:00,106.11,106.37,105.83,106.04,138099,0
2014-02-24,19:00:00,106.11,106.46,105.94,106.21,51135,0
2014-02-24,20:00:00,106.24,106.4,106.14,106.31,88700,0
2014-02-24,21:00:00,106.31,106.35,106.19,106.2,84560,0
2014-02-24,22:00:00,106.22,106.27,105.72,105.76,444011,0
2014-02-25,16:00:00,107.14,107.99,105.69,106.01,151044,0
2014-02-25,17:00:00,106.22,107,105.32,106.97,164849,0
2014-02-25,18:00:00,107,107,105.97,106.05,158817,0
2014-02-25,19:00:00,106.05,106.45,105.86,106.24,102502,0
2014-02-25,20:00:00,106.26,106.52,106.06,106.06,66368,0
2014-02-25,21:00:00,106.1,106.11,105.75,106,252411,0
2014-02-25,22:00:00,105.99,106.05,105.32,105.57,314488,0
2014-02-26,16:00:00,105.99,106.02,104.45,104.71,69639,0
2014-02-26,17:00:00,104.85,106.12,104.84,106.12,367777,0
2014-02-26,18:00:00,106.16,106.39,105.85,106,233947,0
2014-02-26,19:00:00,106,106.2,105.94,106.13,306112,0
2014-02-26,20:00:00,106.15,106.2,105.83,105.96,114298,0
2014-02-26,21:00:00,105.98,106.01,104.81,105.7,173437,0
2014-02-26,22:00:00,105.69,105.96,105.28,105.8,214013,0
2014-02-27,16:00:00,106.02,106.02,105.04,105.49,60985,0
2014-02-27,17:00:00,105.46,105.73,104.61,105.21,136271,0
2014-02-27,18:00:00,105.25,105.71,105.14,105.42,108266,0
2014-02-27,19:00:00,105.59,105.62,104.97,105.28,100900,0
2014-02-27,20:00:00,105.19,105.61,104.9,105.52,100665,0
2014-02-27,21:00:00,105.55,105.57,105.02,105.43,81548,0
2014-02-27,22:00:00,105.43,105.72,105,105.6,489735,0
2014-02-28,16:00:00,106,106,105.37,105.51,47401,0
2014-02-28,17:00:00,105.61,105.87,105.26,105.71,209583,0
2014-02-28,18:00:00,105.74,105.93,105.48,105.8,90194,0
2014-02-28,19:00:00,105.78,105.8,105.47,105.6,80006,0
2014-02-28,20:00:00,105.6,105.75,105.45,105.54,64268,0
2014-02-28,21:00:00,105.5,105.5,104.48,104.61,129073,0
2014-02-28,22:00:00,104.6,105.05,103.7,104.73,834370,0
2014-03-03,16:00:00,103.62,103.8,102.22,102.62,293094,0
2014-03-03,17:00:00,102.59,103.7,101.61,103.61,317944,0
2014-03-03,18:00:00,103.66,103.96,103.09,103.51,296954,0
2014-03-03,19:00:00,103.57,103.8,103.17,103.66,129306,0
2014-03-03,20:00:00,103.66,104.06,102.85,103.32,131820,0
2014-03-03,21:00:00,103.26,104.92,103.12,104.78,157956,0
2014-03-03,22:00:00,104.77,104.79,103.88,104.44,211209,0
2014-03-04,16:00:00,106.06,106.35,105.26,106.17,84606,0
2014-03-04,17:00:00,106.24,107.11,105.81,107.08,165088,0
2014-03-04,18:00:00,107.14,107.31,106.71,107.29,158011,0
2014-03-04,19:00:00,107.27,107.73,107.15,107.53,115945,0
2014-03-04,20:00:00,107.53,108.23,107.24,107.95,196794,0
2014-03-04,21:00:00,107.97,108.36,107.61,108.24,151906,0
2014-03-04,22:00:00,108.19,108.8,108.17,108.68,493283,0
2014-03-05,16:00:00,108.72,108.94,107.25,107.27,49362,0
2014-03-05,17:00:00,107.33,108.29,107,107.68,164994,0
2014-03-05,18:00:00,107.7,107.8,107.46,107.7,132869,0
2014-03-05,19:00:00,107.67,107.94,107.54,107.71,80836,0
2014-03-05,20:00:00,107.71,107.72,106.92,107.09,65965,0
2014-03-05,21:00:00,107.11,107.3,106.75,106.89,89105,0
2014-03-05,22:00:00,106.91,107.17,106.5,106.98,372491,0
2014-03-06,16:00:00,107.18,107.61,106.81,107.18,19547,0
2014-03-06,17:00:00,107.11,107.3,106.55,107.19,200759,0
2014-03-06,18:00:00,107.18,107.63,106.9,107.6,636445,0
2014-03-06,19:00:00,107.61,107.85,107.52,107.85,79899,0
2014-03-06,20:00:00,107.91,108.22,107.46,107.65,104349,0
2014-03-06,21:00:00,107.62,107.89,107.53,107.8,83058,0
2014-03-06,22:00:00,107.77,107.88,107.67,107.78,222240,0
2014-03-07,16:00:00,109.36,109.64,108.08,108.57,118258,0
2014-03-07,17:00:00,108.54,109.34,108.36,108.94,113793,0
2014-03-07,18:00:00,108.84,109.22,108.24,109.13,123232,0
2014-03-07,19:00:00,109.16,109.87,108.91,109.82,183488,0
2014-03-07,20:00:00,109.81,109.84,108.96,109.01,105712,0
2014-03-07,21:00:00,109.02,109.32,108.7,109.11,93786,0
2014-03-07,22:00:00,109.08,109.27,108.89,109.09,342909,0
2014-03-10,15:00:00,109,109.08,108.33,108.53,40850,0
2014-03-10,16:00:00,108.68,108.68,106.74,106.85,130322,0
2014-03-10,17:00:00,106.82,107.62,106.78,107.11,127799,0
2014-03-10,18:00:00,107.12,107.93,106.93,107.9,60113,0
2014-03-10,19:00:00,107.89,107.89,107.43,107.76,57159,0
2014-03-10,20:00:00,107.77,108.41,107.67,108.22,66617,0
2014-03-10,21:00:00,108.22,108.64,107.98,108.52,210282,0
2014-03-11,15:00:00,108.78,108.87,107.75,108.32,54356,0
2014-03-11,16:00:00,108.37,108.55,107.82,108.32,66529,0
2014-03-11,17:00:00,108.3,108.61,107.79,108.14,130129,0
2014-03-11,18:00:00,108.2,108.2,107.55,107.57,40803,0
2014-03-11,19:00:00,107.57,107.61,107.33,107.6,41197,0
2014-03-11,20:00:00,107.61,107.67,106.94,107.12,83258,0
2014-03-11,21:00:00,107.06,107.55,106.83,107.43,207086,0
2014-03-12,15:00:00,106.35,107.58,105.78,106.29,39640,0
2014-03-12,16:00:00,106.3,107.4,106.28,107.27,64193,0
2014-03-12,17:00:00,107.28,107.56,107.07,107.36,105347,0
2014-03-12,18:00:00,107.34,107.53,106.95,107.46,74208,0
2014-03-12,19:00:00,107.38,107.38,107.1,107.27,53586,0
2014-03-12,20:00:00,107.3,107.82,107.2,107.76,76547,0
2014-03-12,21:00:00,107.75,107.86,107.39,107.71,216556,0
2014-03-13,15:00:00,108.21,108.21,107.27,107.5,14960,0
2014-03-13,16:00:00,107.42,107.65,106.74,106.75,67568,0
2014-03-13,17:00:00,106.68,107.58,106.65,107.39,134197,0
2014-03-13,18:00:00,107.43,107.47,106.5,106.55,71602,0
2014-03-13,19:00:00,106.51,106.81,106,106.48,43691,0
2014-03-13,20:00:00,106.44,106.64,105.86,105.91,62079,0
2014-03-13,21:00:00,105.92,106.27,105.36,105.93,288584,0
2014-03-14,15:00:00,105.21,105.57,104.72,104.8,66563,0
2014-03-14,16:00:00,104.84,105.55,104.84,104.89,150726,0
2014-03-14,17:00:00,104.89,105.04,104.43,105.02,1170942,0
2014-03-14,18:00:00,105.02,105.02,104.49,104.9,94889,0
2014-03-14,19:00:00,104.92,104.96,104.69,104.95,83233,0
2014-03-14,20:00:00,104.88,104.96,104.52,104.52,88378,0
2014-03-14,21:00:00,104.47,104.9,104.15,104.53,299261,0
2014-03-17,15:00:00,105.24,106.31,104.85,105.75,55096,0
2014-03-17,16:00:00,105.85,105.97,104.6,104.86,81614,0
2014-03-17,17:00:00,104.83,105.34,104.8,105.3,59259,0
2014-03-17,18:00:00,105.46,105.87,105.4,105.84,66453,0
2014-03-17,19:00:00,105.84,106.09,105.63,105.96,102490,0
2014-03-17,20:00:00,105.99,106.74,105.93,106.74,99812,0
2014-03-17,21:00:00,106.72,106.9,106.61,106.83,306594,0
2014-03-18,15:00:00,107.37,108.57,107.19,108.18,48020,0
2014-03-18,16:00:00,108.24,108.53,107.68,107.93,156856,0
2014-03-18,17:00:00,107.81,109.16,107.81,109.12,87332,0
2014-03-18,18:00:00,109.12,109.26,108.62,109.03,62666,0
2014-03-18,19:00:00,109.03,109.12,108.82,108.99,78338,0
2014-03-18,20:00:00,109.01,109.01,108.74,108.87,118129,0
2014-03-18,21:00:00,108.83,109.38,108.8,109.26,208706,0
2014-03-19,15:00:00,109.5,109.54,108.57,108.94,57093,0
2014-03-19,16:00:00,109.11,109.45,108.69,108.94,61078,0
2014-03-19,17:00:00,108.91,109.57,108.41,108.77,108215,0
2014-03-19,18:00:00,108.78,109.34,108.76,109.29,79042,0
2014-03-19,19:00:00,109.27,109.37,109.07,109.17,76289,0
2014-03-19,20:00:00,109.12,109.16,108.47,108.59,86189,0
2014-03-19,21:00:00,108.64,108.8,107.57,108.6,259635,0
2014-03-20,15:00:00,108.43,108.62,107.8,108.36,51955,0
2014-03-20,16:00:00,108.41,110.16,108.22,109.41,144350,0
2014-03-20,17:00:00,109.42,110.08,109.34,109.95,173034,0
2014-03-20,18:00:00,109.95,110.77,109.73,110.45,125531,0
2014-03-20,19:00:00,110.41,111.09,110.36,110.83,153368,0
2014-03-20,20:00:00,110.82,111.23,110.46,111.21,137510,0
2014-03-20,21:00:00,111.17,111.17,110.62,110.9,310748,0
2014-03-21,15:00:00,111.98,111.98,110.32,111.6,51399,0
2014-03-21,16:00:00,111.61,111.67,110.79,111.27,90464,0
2014-03-21,17:00:00,111.33,111.69,111.04,111.68,87378,0
2014-03-21,18:00:00,111.68,111.72,110.53,110.53,57287,0
2014-03-21,19:00:00,110.53,110.61,109.31,109.57,106935,0
2014-03-21,20:00:00,109.57,109.84,109.13,109.67,91115,0
2014-03-21,21:00:00,109.67,109.69,109.29,109.35,883661,0
2014-03-24,15:00:00,109.98,110.03,108.27,108.66,76168,0
2014-03-24,16:00:00,108.52,108.52,106.49,106.84,146244,0
2014-03-24,17:00:00,106.84,107.7,106.51,107.52,250578,0
2014-03-24,18:00:00,107.46,108.02,107.16,107.31,96766,0
2014-03-24,19:00:00,107.31,107.69,106.92,107.55,108639,0
2014-03-24,20:00:00,107.54,108.15,107.44,107.87,143114,0
2014-03-24,21:00:00,107.86,108.51,107.73,108.13,189603,0
2014-03-25,15:00:00,109.05,109.69,108.89,109.6,74253,0
2014-03-25,16:00:00,109.68,110.33,107.73,108.06,187372,0
2014-03-25,17:00:00,108.03,108.87,106.94,107.25,148796,0
2014-03-25,18:00:00,107.17,107.97,106.9,107.91,101135,0
2014-03-25,19:00:00,107.92,107.93,107.48,107.5,67214,0
2014-03-25,20:00:00,107.46,107.93,106.68,106.78,155734,0
2014-03-25,21:00:00,106.76,107,106.44,106.72,373147,0
2014-03-26,15:00:00,107.45,108.18,106.82,107.98,22342,0
2014-03-26,16:00:00,107.98,108.01,106.75,106.86,33076,0
2014-03-26,17:00:00,106.91,107.69,106.83,106.98,31227,0
2014-03-26,18:00:00,106.99,107.03,106.42,106.54,47039,0
2014-03-26,19:00:00,106.54,106.69,105.08,105.53,58271,0
2014-03-26,20:00:00,105.41,106.1,104.76,106.05,86744,0
2014-03-26,21:00:00,106.07,106.11,105.22,105.27,147811,0
2014-03-27,15:00:00,105.08,105.4,103.18,103.92,88668,0
2014-03-27,16:00:00,103.9,105.22,103.68,104.26,279806,0
2014-03-27,17:00:00,104.32,104.34,103.88,104.17,188914,0
2014-03-27,18:00:00,104.14,104.73,103.95,104.13,73061,0
2014-03-27,19:00:00,104.13,104.57,104.1,104.38,96106,0
2014-03-27,20:00:00,104.37,104.44,103.95,104.1,109739,0
2014-03-27,21:00:00,104.1,104.15,103.6,103.77,290397,0
2014-03-28,15:00:00,104.23,106.1,104.23,104.82,77215,0
2014-03-28,16:00:00,104.87,106.63,104.8,106.43,93552,0
2014-03-28,17:00:00,106.51,106.52,105.5,105.67,67062,0
2014-03-28,18:00:00,105.71,106.02,105.22,105.55,193350,0
