Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,8.72,8.72,8.5,8.59,19470,0
2014-02-10,17:00:00,8.58,8.67,8.51,8.67,14310,0
2014-02-10,18:00:00,8.59,8.6,8.58,8.58,5200,0
2014-02-10,19:00:00,8.58,8.65,8.55,8.65,59714,0
2014-02-10,20:00:00,8.64,8.71,8.6,8.65,72940,0
2014-02-10,21:00:00,8.66,8.9,8.66,8.9,119538,0
2014-02-10,22:00:00,8.9,9.18,8.84,9.04,392501,0
2014-02-11,16:00:00,8.89,9,8.89,8.96,17400,0
2014-02-11,17:00:00,8.96,8.96,8.75,8.76,31213,0
2014-02-11,18:00:00,8.77,8.92,8.7,8.77,34292,0
2014-02-11,19:00:00,8.76,9.01,8.76,8.93,42551,0
2014-02-11,20:00:00,8.96,9.15,8.95,9.1,27300,0
2014-02-11,21:00:00,9.1,9.19,9.04,9.08,23774,0
2014-02-11,22:00:00,9.11,9.3,9.05,9.29,173001,0
2014-02-12,16:00:00,9.23,9.23,9.04,9.04,4782,0
2014-02-12,17:00:00,9.04,9.09,8.86,8.92,42901,0
2014-02-12,18:00:00,8.92,9.03,8.9,9.03,51100,0
2014-02-12,19:00:00,9.03,9.44,9.03,9.35,41942,0
2014-02-12,20:00:00,9.35,9.4,9.17,9.25,81425,0
2014-02-12,21:00:00,9.24,9.27,9.16,9.17,44107,0
2014-02-12,22:00:00,9.16,9.4,9.15,9.3,394513,0
2014-02-13,16:00:00,9.3,9.3,9.2,9.22,3700,0
2014-02-13,17:00:00,9.23,9.41,9.23,9.3,12222,0
2014-02-13,18:00:00,9.29,9.46,9.27,9.4,76493,0
2014-02-13,19:00:00,9.4,9.43,9.38,9.4,90987,0
2014-02-13,20:00:00,9.39,9.4,9.39,9.4,11580,0
2014-02-13,21:00:00,9.4,9.45,9.38,9.44,236483,0
2014-02-13,22:00:00,9.44,9.49,9.39,9.49,465223,0
2014-02-14,16:00:00,9.4,9.5,9.4,9.45,29400,0
2014-02-14,17:00:00,9.47,9.48,9.32,9.33,25200,0
2014-02-14,18:00:00,9.34,9.54,9.25,9.5,351522,0
2014-02-14,19:00:00,9.48,9.48,9.37,9.39,61558,0
2014-02-14,20:00:00,9.39,9.41,9.33,9.33,50789,0
2014-02-14,21:00:00,9.32,9.36,9.32,9.35,64248,0
2014-02-14,22:00:00,9.35,9.52,9.3,9.47,421639,0
2014-02-18,16:00:00,9.32,9.38,9.27,9.27,19200,0
2014-02-18,17:00:00,9.27,9.38,9.27,9.38,11900,0
