Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,126.51,126.92,125.17,125.95,9317,0
2014-02-10,17:00:00,125.94,126.35,125.13,125.63,12461,0
2014-02-10,18:00:00,125.53,126.98,125.33,126.98,19880,0
2014-02-10,19:00:00,126.98,127.62,126.83,126.93,17015,0
2014-02-10,20:00:00,126.96,127.05,126.5,126.93,23414,0
2014-02-10,21:00:00,126.71,127.05,126.42,127.05,12984,0
2014-02-10,22:00:00,126.97,127.19,126.81,126.85,28869,0
2014-02-11,16:00:00,126.81,127.85,126.81,127.36,6553,0
2014-02-11,17:00:00,127.4,127.9,127.4,127.63,5330,0
2014-02-11,18:00:00,127.57,128.84,127.57,128.84,12295,0
2014-02-11,19:00:00,128.88,129.85,128.79,129.78,16293,0
2014-02-11,20:00:00,129.8,129.9,129.29,129.29,33550,0
2014-02-11,21:00:00,129.46,129.64,128.89,129.28,37042,0
2014-02-11,22:00:00,129.32,129.52,128.41,128.5,43928,0
2014-02-12,16:00:00,129.63,129.73,129.13,129.68,4747,0
2014-02-12,17:00:00,129.95,130.45,129.09,129.41,43173,0
2014-02-12,18:00:00,129.45,130.79,129.25,130.05,35640,0
2014-02-12,19:00:00,130.02,130.85,130.02,130.78,18722,0
2014-02-12,20:00:00,130.69,132.64,130.69,131.12,38030,0
2014-02-12,21:00:00,131.21,132.01,131.04,131.65,23337,0
2014-02-12,22:00:00,131.6,131.6,130.32,130.9,48607,0
2014-02-13,16:00:00,129.81,130.78,129.42,129.97,13172,0
2014-02-13,17:00:00,129.94,130.83,129.81,130.35,11839,0
2014-02-13,18:00:00,130.44,130.83,130.21,130.21,11600,0
2014-02-13,19:00:00,130.01,130.63,129.67,130,18579,0
2014-02-13,20:00:00,130,130.51,129.54,129.89,36388,0
2014-02-13,21:00:00,129.94,130.09,129.66,129.67,21365,0
2014-02-13,22:00:00,129.66,129.85,128.48,128.58,81413,0
2014-02-14,16:00:00,128.74,128.82,128.13,128.26,4900,0
2014-02-14,17:00:00,128.33,128.63,128.05,128.06,16428,0
2014-02-14,18:00:00,128.08,128.09,127.25,127.64,17590,0
2014-02-14,19:00:00,127.63,128.37,127.24,128.1,16069,0
2014-02-14,20:00:00,128,128.46,127.88,128.13,23524,0
2014-02-14,21:00:00,128.39,128.41,127.86,128.24,20483,0
2014-02-14,22:00:00,128.17,129.27,128.16,129.01,52432,0
2014-02-18,16:00:00,129.46,130.99,129.38,130.27,21716,0
2014-02-18,17:00:00,130.26,130.26,129.14,130.02,23362,0
2014-02-18,18:00:00,130.06,131.11,130.06,130.91,19298,0
2014-02-18,19:00:00,131.02,132.2,131.01,132.05,20356,0
2014-02-18,20:00:00,132.2,132.4,131.95,131.99,15418,0
2014-02-18,21:00:00,132.04,132.51,132.02,132.26,11999,0
2014-02-18,22:00:00,132.09,132.84,132.03,132.68,67772,0
2014-02-19,16:00:00,131.82,133.16,131.82,132.68,4900,0
2014-02-19,17:00:00,132.69,133.99,132.69,133.75,18769,0
2014-02-19,18:00:00,133.79,134.31,133.5,133.5,15435,0
2014-02-19,19:00:00,133.5,133.85,132.52,132.75,31365,0
2014-02-19,20:00:00,132.88,133.77,132.74,132.74,27020,0
2014-02-19,21:00:00,132.68,133.01,132.57,132.59,16314,0
2014-02-19,22:00:00,132.73,132.75,131.63,132,52833,0
2014-02-20,16:00:00,132.52,132.9,131.89,132.9,8514,0
2014-02-20,17:00:00,132.89,133.68,132.36,133.3,19000,0
2014-02-20,18:00:00,133.14,133.34,132.38,132.41,21102,0
2014-02-20,19:00:00,132.38,132.9,132.38,132.8,21932,0
2014-02-20,20:00:00,132.81,132.81,131.99,132.11,37543,0
2014-02-20,21:00:00,132.12,132.86,131.67,132.86,14371,0
2014-02-20,22:00:00,132.91,133.13,132.41,132.6,56845,0
2014-02-21,16:00:00,133.16,134.26,133,133.93,15861,0
2014-02-21,17:00:00,133.72,134.38,133.51,134.01,24107,0
2014-02-21,18:00:00,134.07,134.52,133.9,134.02,19720,0
2014-02-21,19:00:00,133.91,134.49,133.78,133.98,21007,0
2014-02-21,20:00:00,134.04,134.08,133.52,133.99,25986,0
2014-02-21,21:00:00,134.04,134.25,133.88,134.1,37260,0
2014-02-21,22:00:00,134.1,135.05,133.8,134.94,77543,0
2014-02-24,16:00:00,134.99,135.62,134.27,135.05,23446,0
2014-02-24,17:00:00,135.05,136.45,134.91,136.44,33461,0
2014-02-24,18:00:00,136.39,137.18,136.04,137.18,30057,0
2014-02-24,19:00:00,136.96,137.27,136.48,136.8,22149,0
2014-02-24,20:00:00,136.76,136.87,136.5,136.71,10881,0
2014-02-24,21:00:00,136.76,137.13,136.21,136.34,24314,0
2014-02-24,22:00:00,136.24,136.53,135.56,136.18,62357,0
2014-02-25,16:00:00,136.18,136.27,134.3,135.5,19032,0
2014-02-25,17:00:00,134.96,136.5,134.81,136.15,17145,0
2014-02-25,18:00:00,136.16,136.36,135.78,135.98,8200,0
2014-02-25,19:00:00,135.65,135.92,135.04,135.25,12181,0
2014-02-25,20:00:00,135.2,135.47,134.53,135.3,18513,0
2014-02-25,21:00:00,135.3,136.04,135.06,135.62,23635,0
2014-02-25,22:00:00,135.57,135.69,134.79,135.59,37671,0
2014-02-26,16:00:00,135.8,136.26,134.77,135.14,20678,0
2014-02-26,17:00:00,135.56,136.04,134.83,135.87,25121,0
2014-02-26,18:00:00,135.59,136.06,135.32,135.56,22437,0
2014-02-26,19:00:00,135.51,136.25,134.9,135,22704,0
2014-02-26,20:00:00,134.97,135.78,134.84,135.2,40903,0
2014-02-26,21:00:00,135.06,135.49,134.62,135.49,23810,0
2014-02-26,22:00:00,135.35,135.68,134.86,135.3,42349,0
2014-02-27,16:00:00,135.28,136.81,135.28,136.08,13972,0
2014-02-27,17:00:00,136.09,136.09,134.58,135.43,9704,0
2014-02-27,18:00:00,135.65,135.8,134.85,134.89,10600,0
2014-02-27,19:00:00,134.76,135.31,134.74,135.1,29823,0
2014-02-27,20:00:00,134.92,135.49,134.83,135.1,18559,0
2014-02-27,21:00:00,135.11,135.16,134.77,135.16,14993,0
2014-02-27,22:00:00,134.81,135.81,134.81,135.22,45125,0
2014-02-28,16:00:00,136.5,136.94,135.5,136.6,17821,0
2014-02-28,17:00:00,136.5,137.75,136.47,136.89,18681,0
2014-02-28,18:00:00,136.78,136.78,135.27,135.59,22800,0
2014-02-28,19:00:00,135.47,138,135.41,137.71,40536,0
2014-02-28,20:00:00,137.83,139.36,137.45,139.11,34535,0
