Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,64.724,65.0327,64.6443,64.6642,109137,0
2014-02-10,17:00:00,64.7041,64.714,63.8776,63.9174,229434,0
2014-02-10,18:00:00,63.9871,64.2859,63.9174,64.1962,138768,0
2014-02-10,19:00:00,64.1763,64.4153,64.1564,64.246,94105,0
2014-02-10,20:00:00,64.2361,64.3954,64.2261,64.2759,109864,0
2014-02-10,21:00:00,64.2759,64.4153,64.256,64.2859,132358,0
2014-02-10,22:00:00,64.2958,64.3954,64.2659,64.3157,287732,0
2014-02-11,16:00:00,64.4352,64.5049,64.1365,64.2361,123487,0
2014-02-11,17:00:00,64.256,64.3655,63.8577,64.1265,111305,0
2014-02-11,18:00:00,64.1166,64.4053,64.0767,64.3556,85250,0
2014-02-11,19:00:00,64.3556,64.3755,64.1464,64.2859,102399,0
2014-02-11,20:00:00,64.2859,64.4252,64.2659,64.2759,93599,0
2014-02-11,21:00:00,64.2759,64.475,64.1763,64.4551,154423,0
2014-02-11,22:00:00,64.475,64.6543,64.3456,64.4153,683844,0
2014-02-12,16:00:00,64.3456,65.3413,64.3456,65.0426,91270,0
2014-02-12,17:00:00,65.0327,65.0625,64.6344,64.714,473390,0
2014-02-12,18:00:00,64.714,64.8833,64.485,64.714,328433,0
2014-02-12,19:00:00,64.6941,64.7539,64.6543,64.6941,176802,0
2014-02-12,20:00:00,64.7041,64.7937,64.6642,64.7339,186913,0
2014-02-12,21:00:00,64.7439,64.7937,64.6144,64.724,200337,0
2014-02-12,22:00:00,64.724,64.9729,64.6941,64.8933,816467,0
2014-02-13,16:00:00,64.5149,64.77,64.1664,64.62,114173,0
2014-02-13,17:00:00,64.63,64.67,64.0867,64.1863,202652,0
2014-02-13,18:00:00,64.2062,64.3356,64.0568,64.256,153270,0
2014-02-13,19:00:00,64.246,64.3954,64.1066,64.3954,128371,0
2014-02-13,20:00:00,64.3954,64.6344,64.3655,64.5447,160501,0
